star wars : episode 1 - the phantom menace ( 1999 ) 	Translation	Positive	Negative	EmotionRationale
review by matt pusateri 	review by matt pusateri	1	-1	 review[0] by[0] matt[0] pusateri[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
few movies evoke nostalgia , enthusiasm , and affection like george lucas' 1977 classic , star wars . 	few movies evoke nostalgia , enthusiasm , and affection like george lucas' 1977 classic , star wars .	3	-3	 few[0] movies[0] evoke[0] nostalgia[0] enthusiasm[2] and[0] affection[2] like[1] george[0] lucas'[0] 1977[0] classic[0] star[0] wars[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the original blockbuster film and its two sequels not only evoked wonder and passion in a generation of filmgoers , but has deeply entrenched itself in american pop culture . 	the original blockbuster film and its two sequels not only evoked wonder and passion in a generation of filmgoers , but has deeply entrenched itself in american pop culture .	3	-2	 the[0] original[0] blockbuster[-1] film[0] and[0] its[0] two[0] sequels[0] not[0] only[0] evoked[0] wonder[0] and[0] passion[2] in[0] a[0] generation[0] of[0] filmgoers[0] but[0] has[0] deeply[0] entrenched[0] itself[0] in[0] american[0] pop[0] culture[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
arguably , more americans today can explain what " the force " or a " jedi " is than a budget deficit or a serb . 	arguably , more americans today can explain what " the force " or a " jedi " is than a budget deficit or a serb .	1	-2	 arguably[-1] more[0] americans[0] today[0] can[0] explain[0] what[0] the[0] force[-1] or[0] a[0] jedi[0] is[0] than[0] a[0] budget[0] deficit[-1] or[0] a[0] serb[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so 22 years after the release of the original , and 16 years since the third film , the return of the jedi , how can any new star wars film withstand the weight of incomparable expectations and anticipation ? 	so 22 years after the release of the original , and 16 years since the third film , the return of the jedi , how can any new star wars film withstand the weight of incomparable expectations and anticipation ?	1	-3	 so[0] 22[0] years[0] after[0] the[0] release[0] of[0] the[0] original[0] and[0] 16[0] years[0] since[0] the[0] third[0] film[0] the[0] return[0] of[0] the[0] jedi[0] how[0] can[0] any[0] new[0] star[0] wars[-2] film[0] withstand[0] the[0] weight[0] of[0] incomparable[0] expectations[0] and[0] anticipation[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
can a new storyline and a new cast of characters possibly compete with the legends of the first trilogy - luke , han solo , and darth vader -all cultural icons ? 	can a new storyline and a new cast of characters possibly compete with the legends of the first trilogy - luke , han solo , and darth vader -all cultural icons ?	1	-1	 can[0] a[0] new[0] storyline[0] and[0] a[0] new[0] cast[0] of[0] characters[0] possibly[0] compete[0] with[0] the[0] legends[0] of[0] the[0] first[0] trilogy[0] luke[0] han[0] solo[0] and[0] darth[0] vader[0] all[0] cultural[0] icons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
against this challenge , the fourth star wars film , episode one : the phantom menace hit the screens last week . 	against this challenge , the fourth star wars film , episode one : the phantom menace hit the screens last week .	1	-3	 against[-1] this[0] challenge[-1] the[0] fourth[0] star[0] wars[-2] film[0] episode[0] one[0] the[0] phantom[0] menace[-2] hit[0] the[0] screens[0] last[0] week[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and despite some early critical reviews in the major media , the film is neither a flop nor a disappointment . 	and despite some early critical reviews in the major media , the film is neither a flop nor a disappointment .	1	-2	 and[0] despite[0] some[0] early[0] critical[-1] reviews[0] in[0] the[0] major[0] media[0] the[0] film[0] is[0] neither[0] a[0] flop[0] nor[0] a[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while the phantom menace is certainly not the finest film in the series , it is nonetheless engaging , exciting , and visually breathtaking . 	while the phantom menace is certainly not the finest film in the series , it is nonetheless engaging , exciting , and visually breathtaking .	3	-3	 while[0] the[0] phantom[0] menace[-2] is[0] certainly[0] not[0] the[0] finest[0] film[0] in[0] the[0] series[0] it[0] is[0] nonetheless[0] engaging[0] exciting[2] and[0] visually[0] breathtaking[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it is a worthy sequel - er , prequel - to the original star wars films . 	it is a worthy sequel - er , prequel - to the original star wars films .	1	-3	 it[0] is[0] a[0] worthy[0] sequel[0] er[0] prequel[0] to[0] the[0] original[0] star[0] wars[-2] films[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
