of all the films i've come to see this year ( 1997 ) , i think only chasing amy had as many " laugh-out-loud " moments . 	Translation	Positive	Negative	EmotionRationale
i'm not saying that i was hysterically rolling on the floor while watching waiting for guffman , but my mouth burst open with at least a delighted guffaw at least every couple of minutes . 	i'm not saying that i was hysterically rolling on the floor while watching waiting for guffman , but my mouth burst open with at least a delighted guffaw at least every couple of minutes .	3	-1	 i'm[0] not[0] saying[0] that[0] i[0] was[0] hysterically[0] rolling[0] on[0] the[0] floor[0] while[0] watching[0] waiting[0] for[0] guffman[0] but[0] my[0] mouth[0] burst[0] open[0] with[0] at[0] least[0] a[0] delighted[2] guffaw[0] at[0] least[0] every[0] couple[0] of[0] minutes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and i think i'm the kind of person that laughs least at movies , even when i find them funny . 	and i think i'm the kind of person that laughs least at movies , even when i find them funny .	2	-1	 and[0] i[0] think[0] i'm[0] the[0] kind[1] of[0] person[0] that[0] laughs[1] least[0] at[0] movies[0] even[0] when[0] i[0] find[0] them[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
usually all you can get out of me is a warm smile , so to get me laughing out loud , and so frequently , is a really good sign . 	usually all you can get out of me is a warm smile , so to get me laughing out loud , and so frequently , is a really good sign .	3	-1	 usually[0] all[0] you[0] can[0] get[0] out[0] of[0] me[0] is[0] a[0] warm[0] smile[2] so[0] to[0] get[0] me[0] laughing[1] out[0] loud[0] and[0] so[0] frequently[0] is[0] a[0] really[0] good[1][1 LastWordBoosterStrength] sign[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
waiting for guffman is the story of blaine , missouri , a town celebrating it's 150th anniversary , and the musical that is being put on for the big event . 	waiting for guffman is the story of blaine , missouri , a town celebrating it's 150th anniversary , and the musical that is being put on for the big event .	2	-1	 waiting[0] for[0] guffman[0] is[0] the[0] story[0] of[0] blaine[0] missouri[0] a[0] town[0] celebrating[1] it's[0] 150th[0] anniversary[0] and[0] the[0] musical[0] that[0] is[0] being[0] put[0] on[0] for[0] the[0] big[0] event[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the play is being directed by corky st . clair ( christopher guest , who also wrote and directed this " mockumentary " as well as co-writing several original musical numbers ) , the effeminate broadway hopeful determined to make this production a smashing success . 	the play is being directed by corky st .<br> clair ( christopher guest , who also wrote and directed this " mockumentary " as well as co-writing several original musical numbers ) , the effeminate broadway hopeful determined to make this production a smashing success .	3	-1	 the[0] play[0] is[0] being[0] directed[0] by[0] corky[0] st[0] [[Sentence=-1,1=word max, 1-5]] clair[0] christopher[0] guest[0] who[0] also[0] wrote[0] and[0] directed[0] this[0] mockumentary[0] as[0] well[0] as[0] co[0] writing[0] several[0] original[0] musical[0] numbers[0] the[0] effeminate[0] broadway[0] hopeful[1] determined[0] to[0] make[0] this[0] production[0] a[0] smashing[0] success[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
teaming up with st . clair are a handful of blaine residents : allan pearl ( eugene levy ) , a jewish dentist who spent his youth not as the class clown , but sitting right next to him and studying him , ron and sheila albertson ( fred willard and catherine o'hara respectively ) , a married couple setting their sights on hollywood , libby mae brown ( parker posey ) , the dense but fun queen of the dairy queen , and a few others . 	teaming up with st .<br> clair are a handful of blaine residents : allan pearl ( eugene levy ) , a jewish dentist who spent his youth not as the class clown , but sitting right next to him and studying him , ron and sheila albertson ( fred willard and catherine o'hara respectively ) , a married couple setting their sights on hollywood , libby mae brown ( parker posey ) , the dense but fun queen of the dairy queen , and a few others .	3	-2	 teaming[0] up[0] with[0] st[0] [[Sentence=-1,1=word max, 1-5]] clair[0] are[0] a[0] handful[0] of[0] blaine[0] residents[0] allan[0] pearl[0] eugene[0] levy[0] a[0] jewish[0] dentist[-1] who[0] spent[0] his[0] youth[0] not[0] as[0] the[0] class[0] clown[0] but[0] sitting[0] right[0] next[0] to[0] him[0] and[0] studying[0] him[0] ron[0] and[0] sheila[0] albertson[0] fred[0] willard[0] and[0] catherine[0] o'hara[0] respectively[2] a[0] married[0] couple[0] setting[0] their[0] sights[0] on[0] hollywood[0] libby[0] mae[0] brown[0] parker[0] posey[0] the[0] dense[0] but[0] fun[1] queen[0] of[0] the[0] dairy[0] queen[0] and[0] a[0] few[0] others[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everybody in this movie is brilliant , absolutely so , but levy particularly stands out . 	everybody in this movie is brilliant , absolutely so , but levy particularly stands out .	2	-1	 everybody[0] in[0] this[0] movie[0] is[0] brilliant[1] absolutely[0] so[0] but[0] levy[0] particularly[0] stands[0] out[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
these characters are portrayed with such saddening realism that you can't help but love them , as pathetic as they really are . 	these characters are portrayed with such saddening realism that you can't help but love them , as pathetic as they really are .	3	-4	 these[0] characters[0] are[0] portrayed[0] with[0] such[0] saddening[-3] realism[0] that[0] you[0] can't[0] help[0] but[0] love[2] them[0] as[0] pathetic[-2] as[0] they[0] really[0] are[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
although levy stands out , guest , willard , o'hara , and posey are all wonderful and definitely should be commended for their performances ! 	although levy stands out , guest , willard , o'hara , and posey are all wonderful and definitely should be commended for their performances !	3	-1	 although[0] levy[0] stands[0] out[0] guest[0] willard[0] o'hara[0] and[0] posey[0] are[0] all[0] wonderful[2] and[0] definitely[0] should[0] be[0] commended[0] for[0] their[0] performances[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if there was an oscar for an ensemble performance , this is the group that should sweep it . 	if there was an oscar for an ensemble performance , this is the group that should sweep it .	1	-1	 if[0] there[0] was[0] an[0] oscar[0] for[0] an[0] ensemble[0] performance[0] this[0] is[0] the[0] group[0] that[0] should[0] sweep[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some humor was a tad uneven from the rest of the film and , even after starting very humorously , they nearly lost me with the tad-too-long intros . 	some humor was a tad uneven from the rest of the film and , even after starting very humorously , they nearly lost me with the tad-too-long intros .	4	-2	 some[0] humor[2][-1 LastWordBoosterStrength] was[0] a[0] tad[0] uneven[-1] from[0] the[0] rest[0] of[0] the[0] film[0] and[0] even[0] after[0] starting[0] very[0] humorously[2][1 LastWordBoosterStrength] they[0] nearly[0] lost[0] me[0] with[0] the[0] tad[0] too[0] long[0] intros[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
as delightful as it was , it began to get monotonous . 	as delightful as it was , it began to get monotonous .	3	-2	 as[0] delightful[2] as[0] it[0] was[0] it[0] began[0] to[0] get[0] monotonous[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
thankfully , just as your about to say " ok , maybe i should run to the bathroom " , they finally get past the intros and onto the rehearsal scenes . 	thankfully , just as your about to say " ok , maybe i should run to the bathroom " , they finally get past the intros and onto the rehearsal scenes .	2	-1	 thankfully[1] just[0] as[0] your[0] about[0] to[0] say[0] ok[0] maybe[0] i[0] should[0] run[0] to[0] the[0] bathroom[0] they[0] finally[0] get[0] past[0] the[0] intros[0] and[0] onto[0] the[0] rehearsal[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
like a play , this film gives a very three-act feel , the intros ( funny , but almost too long ) , the rehearsals ( even funnier ) , and finally , the actual performance of the play ( excellent ! ) . 	like a play , this film gives a very three-act feel , the intros ( funny , but almost too long ) , the rehearsals ( even funnier ) , and finally , the actual performance of the play ( excellent !<br> ) .	4	-1	 like[1] a[0] play[0] this[0] film[0] gives[0] a[0] very[0] three[0] act[0] feel[0] the[0] intros[0] funny[1] but[0] almost[0] too[0] long[0] the[0] rehearsals[0] even[0] funnier[1] and[0] finally[0] the[0] actual[0] performance[0] of[0] the[0] play[0] excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
