no , it is not a bad film , in fact it is so good in achieving its = purpose , i actually wished for the film to end itself quickly . 	Translation	Positive	Negative	EmotionRationale
event   horizon is not your run-of-the-mill sci-fi film , i'm sure many who have   watched this will agree with me . 	event   horizon is not your run-of-the-mill sci-fi film , i'm sure many who have   watched this will agree with me .	1	-1	 event[0] horizon[0] is[0] not[0] your[0] run[0] of[0] the[0] mill[0] sci[0] fi[0] film[0] i'm[0] sure[0] many[0] who[0] have[0] watched[0] this[0] will[0] agree[0] with[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is not even original in that sense ,   and it does borrow heavily from films like alien , hellraiser and even   blade runner . 	it is not even original in that sense ,   and it does borrow heavily from films like alien , hellraiser and even   blade runner .	2	-2	 it[0] is[0] not[0] even[0] original[0] in[0] that[0] sense[0] and[0] it[0] does[0] borrow[0] heavily[0] from[0] films[0] like[1] alien[-1] hellraiser[0] and[0] even[0] blade[0] runner[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the magic of this film lies in its unorthodox setting and   methodical build-up that makes it wonderfully horrifying . 	the magic of this film lies in its unorthodox setting and   methodical build-up that makes it wonderfully horrifying .	3	-4	 the[0] magic[0] of[0] this[0] film[0] lies[-2] in[0] its[0] unorthodox[0] setting[0] and[0] methodical[0] build[0] up[0] that[0] makes[0] it[0] wonderfully[2] horrifying[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the story brings us to the year 2050 , where space travel have since   enormously progressed . 	the story brings us to the year 2050 , where space travel have since   enormously progressed .	1	-1	 the[0] story[0] brings[0] us[0] to[0] the[0] year[0] 2050[0] where[0] space[0] travel[0] have[0] since[0] enormously[0] progressed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the event horizon is actually a ship built for a   secret experimental purpose ; it has the ability to fold time and space   thus making it possible for travelling distances not reachable in a   man's lifetime . 	the event horizon is actually a ship built for a   secret experimental purpose ; it has the ability to fold time and space   thus making it possible for travelling distances not reachable in a   man's lifetime .	1	-1	 the[0] event[0] horizon[0] is[0] actually[0] a[0] ship[0] built[0] for[0] a[0] secret[0] experimental[0] purpose[0] it[0] has[0] the[0] ability[0] to[0] fold[0] time[0] and[0] space[0] thus[0] making[0] it[0] possible[0] for[0] travelling[0] distances[0] not[0] reachable[0] in[0] a[0] man's[0] lifetime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the ship disappeared as soon as it went into operation   but after 7 years , it reappeared again within the orbit of neptune . 	the ship disappeared as soon as it went into operation   but after 7 years , it reappeared again within the orbit of neptune .	1	-1	 the[0] ship[0] disappeared[0] as[0] soon[0] as[0] it[0] went[0] into[0] operation[0] but[0] after[0] 7[0] years[0] it[0] reappeared[0] again[0] within[0] the[0] orbit[0] of[0] neptune[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a   search and rescue team led by miller ( fishburne ) is given the task to   check for survivors of the event horizon . 	a   search and rescue team led by miller ( fishburne ) is given the task to   check for survivors of the event horizon .	1	-1	 a[0] search[0] and[0] rescue[0] team[0] led[0] by[0] miller[0] fishburne[0] is[0] given[0] the[0] task[0] to[0] check[0] for[0] survivors[0] of[0] the[0] event[0] horizon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the designer of the ship , dr .   weir ( neill ) follows along to satisfy his curiosity on what actually   happened to his otherwise technologically impressive ship . 	the designer of the ship , dr .<br>   weir ( neill ) follows along to satisfy his curiosity on what actually   happened to his otherwise technologically impressive ship .	2	-1	 the[0] designer[0] of[0] the[0] ship[0] dr[0] [[Sentence=-1,1=word max, 1-5]] weir[0] neill[0] follows[0] along[0] to[0] satisfy[1] his[0] curiosity[0] on[0] what[0] actually[0] happened[0] to[0] his[0] otherwise[0] technologically[0] impressive[1] ship[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
event horizon is a sci-fi horror film , much truer to the word than say ,   alien would ever be . 	event horizon is a sci-fi horror film , much truer to the word than say ,   alien would ever be .	2	-4	 event[0] horizon[0] is[0] a[0] sci[0] fi[0] horror[-3] film[0] much[0] truer[1] to[0] the[0] word[0] than[0] say[0] alien[-1] would[0] ever[0] be[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
while in alien , the crew has to cope with a   ferocious creature while encased within tight spaces , in event horizon ,   the forces which goes against the crew is undefined but yet so powerful   and horrifying . 	while in alien , the crew has to cope with a   ferocious creature while encased within tight spaces , in event horizon ,   the forces which goes against the crew is undefined but yet so powerful   and horrifying .	1	-4	 while[0] in[0] alien[-1] the[0] crew[0] has[0] to[0] cope[0] with[0] a[0] ferocious[-3] creature[0] while[0] encased[0] within[0] tight[0] spaces[0] in[0] event[0] horizon[0] the[0] forces[0] which[0] goes[0] against[-1] the[0] crew[0] is[0] undefined[0] but[0] yet[0] so[0] powerful[0] and[0] horrifying[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the story unfolds itself slowly and the suspense buildup   is superb , up till the point where i really felt like saying out loud    enough ! 	the story unfolds itself slowly and the suspense buildup   is superb , up till the point where i really felt like saying out loud    enough !	2	-1	 the[0] story[0] unfolds[0] itself[0] slowly[0] and[0] the[0] suspense[0] buildup[0] is[0] superb[0] up[0] till[0] the[0] point[0] where[0] i[0] really[0] felt[0] like[1] saying[0] out[0] loud[0] enough[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can't stand this anymore ! ' . 	i can't stand this anymore !<br> ' .	1	-1	 i[0] can't[0] stand[0] this[0] anymore[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are more than enough jolts   to send your adrenalin pumping overtime . 	there are more than enough jolts   to send your adrenalin pumping overtime .	1	-1	 there[0] are[0] more[0] than[0] enough[0] jolts[0] to[0] send[0] your[0] adrenalin[0] pumping[0] overtime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story in itself is not   exactly something very exciting and also , the acting is only at most ,   average by most commercial standards . 	the story in itself is not   exactly something very exciting and also , the acting is only at most ,   average by most commercial standards .	4	-1	 the[0] story[0] in[0] itself[0] is[0] not[0] exactly[0] something[0] very[0] exciting[2][1 LastWordBoosterStrength] and[0] also[0] the[0] acting[0] is[0] only[0] at[0] most[0] average[0] by[0] most[0] commercial[0] standards[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
even so , the essence of horror is   carried out very well in this film , thanks to its well-paced   storytelling , disturbing set designs and some really gory sequences   ( which incidentally , has been quite generously removed by our censorship   board ) .  20 	even so , the essence of horror is   carried out very well in this film , thanks to its well-paced   storytelling , disturbing set designs and some really gory sequences   ( which incidentally , has been quite generously removed by our censorship   board ) .<br>  20	2	-4	 even[0] so[0] the[0] essence[0] of[0] horror[-3] is[0] carried[0] out[0] very[0] well[0] in[0] this[0] film[0] thanks[1] to[0] its[0] well[0] paced[0] storytelling[0] disturbing[-1] set[0] designs[0] and[0] some[0] really[0] gory[0] sequences[0] which[0] incidentally[0] has[0] been[0] quite[0] generously[1] removed[0] by[0] our[0] censorship[-1] board[0] [[Sentence=-4,2=word max, 1-5]] 20[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
director paul anderson ( who did mortal kombat ) and his team of    atmosphere' creators have done well in keeping event horizon within the   bounds of the term  horror' . 	director paul anderson ( who did mortal kombat ) and his team of    atmosphere' creators have done well in keeping event horizon within the   bounds of the term  horror' .	1	-4	 director[0] paul[0] anderson[0] who[0] did[0] mortal[0] kombat[0] and[0] his[0] team[0] of[0] atmosphere'[0] creators[0] have[0] done[0] well[0] in[0] keeping[0] event[0] horizon[0] within[0] the[0] bounds[0] of[0] the[0] term[0] horror'[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this picture did not do very well in the us   box-office most probably for the dread-factor impact it has on most   audiences ; people will not see it again and not many would recommend   their friend to watch this . 	this picture did not do very well in the us   box-office most probably for the dread-factor impact it has on most   audiences ; people will not see it again and not many would recommend   their friend to watch this .	2	-4	 this[0] picture[0] did[0] not[0] do[0] very[0] well[0] in[0] the[0] us[0] box[0] office[0] most[0] probably[0] for[0] the[0] dread[-3] factor[0] impact[0] it[0] has[0] on[0] most[0] audiences[0] people[0] will[0] not[0] see[0] it[0] again[0] and[0] not[0] many[0] would[0] recommend[0] their[0] friend[1] to[0] watch[0] this[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
although on the face of it , event horizon is   mostly molded for mass-entertainment ; many thrills , spills and suspense   to keep audiences in focus . 	although on the face of it , event horizon is   mostly molded for mass-entertainment ; many thrills , spills and suspense   to keep audiences in focus .	4	-2	 although[0] on[0] the[0] face[0] of[0] it[0] event[0] horizon[0] is[0] mostly[0] molded[0] for[0] mass[0] entertainment[0] many[0] thrills[3] spills[-1] and[0] suspense[0] to[0] keep[0] audiences[0] in[0] focus[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
however , the offbeat horror element which it   ultimately convey audiences is very disturbing . 	however , the offbeat horror element which it   ultimately convey audiences is very disturbing .	1	-4	 however[0] the[0] offbeat[0] horror[-3] element[0] which[0] it[0] ultimately[0] convey[0] audiences[0] is[0] very[0] disturbing[-1][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my friend and i could   not say a word to each other for quite a while after going through the    experience' of event horizon . 	my friend and i could   not say a word to each other for quite a while after going through the    experience' of event horizon .	2	-1	 my[0] friend[1] and[0] i[0] could[0] not[0] say[0] a[0] word[0] to[0] each[0] other[0] for[0] quite[0] a[0] while[0] after[0] going[0] through[0] the[0] experience'[0] of[0] event[0] horizon[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i guess it was just the immense feeling   of dread which the film had cast upon us . 	i guess it was just the immense feeling   of dread which the film had cast upon us .	1	-4	 i[0] guess[0] it[0] was[0] just[0] the[0] immense[0] feeling[0] of[0] dread[-3] which[0] the[0] film[0] had[0] cast[0] upon[0] us[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
be forewarned , this film is not for the faint-hearted nor for pure   entertainment . 	be forewarned , this film is not for the faint-hearted nor for pure   entertainment .	1	-2	 be[0] forewarned[0] this[0] film[0] is[0] not[0] for[0] the[0] faint[-1] hearted[0] nor[0] for[0] pure[0] entertainment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
be prepared to be disturbed if you should decide to watch   this film ! 	be prepared to be disturbed if you should decide to watch   this film !	1	-2	 be[0] prepared[0] to[0] be[0] disturbed[-1] if[0] you[0] should[0] decide[0] to[0] watch[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
event horizon is highly recommended 85 85but at your own   risk ! 	event horizon is highly recommended 85 85but at your own   risk !	1	-2	 event[0] horizon[0] is[0] highly[0] recommended[0] 85[0] 85but[0] at[0] your[0] own[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has been a long time since good-horror embraced the big screen ,   and event horizon is one . 	it has been a long time since good-horror embraced the big screen ,   and event horizon is one .	2	-4	 it[0] has[0] been[0] a[0] long[0] time[0] since[0] good[1] horror[-3] embraced[0] the[0] big[0] screen[0] and[0] event[0] horizon[0] is[0] one[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
