tone alone cannot sustain a film , but it can go a long way . 	Translation	Positive	Negative	EmotionRationale
if i can find myself lost in the time and place of a story , it scores immediate style points . 	if i can find myself lost in the time and place of a story , it scores immediate style points .	1	-1	 if[0] i[0] can[0] find[0] myself[0] lost[0] in[0] the[0] time[0] and[0] place[0] of[0] a[0] story[0] it[0] scores[0] immediate[0] style[0] points[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when that tone is backed up by an outstanding story and great acting , the effect can be described best by an adjective i do not use lightly : " literary . " 	when that tone is backed up by an outstanding story and great acting , the effect can be described best by an adjective i do not use lightly : " literary .<br> "	3	-1	 when[0] that[0] tone[0] is[0] backed[0] up[0] by[0] an[0] outstanding[2] story[0] and[0] great[2] acting[0] the[0] effect[0] can[0] be[0] described[0] best[1] by[0] an[0] adjective[0] i[0] do[0] not[0] use[0] lightly[0] literary[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what's eating gilbert grape ? 	what's eating gilbert grape ?	1	-1	 what's[0] eating[0] gilbert[0] grape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is such a film . 	is such a film .	1	-1	 is[0] such[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a rich , memorable and stunningly acted story of desire colliding with responsibility , staged in a manner which many viewers might find too prosaic , but which insinuated itself into my imagination with its confidence . 	it's a rich , memorable and stunningly acted story of desire colliding with responsibility , staged in a manner which many viewers might find too prosaic , but which insinuated itself into my imagination with its confidence .	2	-2	 it's[0] a[0] rich[0] memorable[0] and[0] stunningly[0] acted[0] story[0] of[0] desire[0] colliding[0] with[0] responsibility[0] staged[0] in[0] a[0] manner[0] which[0] many[0] viewers[0] might[0] find[0] too[0] prosaic[0] but[0] which[0] insinuated[-1] itself[0] into[0] my[0] imagination[0] with[0] its[0] confidence[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
gilbert grape ( johnny depp ) is a young man living in rural endora , iowa , facing incredible responsibilities . 	gilbert grape ( johnny dep ) is a young man living in rural endora , iowa , facing incredible responsibilities .	1	-1	 gilbert[0] grape[0] johnny[0] depp/dep[0] is[0] a[0] young[0] man[0] living[0] in[0] rural[0] endora[0] iowa[0] facing[0] incredible[0] responsibilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the man of the house since his father's suicide , gilbert must support the family by working at the local grocery store . 	as the man of the house since his father's suicide , gilbert must support the family by working at the local grocery store .	2	-4	 as[0] the[0] man[0] of[0] the[0] house[0] since[0] his[0] father's[0] suicide[-3] gilbert[0] must[0] support[1] the[0] family[0] by[0] working[0] at[0] the[0] local[0] grocery[0] store[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
he also must watch over his mentally handicapped brother arnie ( leonardo dicaprio ) and help care for his extremely overweight mother ( darlene cates ) . 	he also must watch over his mentally handicapped brother arnie ( leonardo dicaprio ) and help care for his extremely overweight mother ( darlene cates ) .	2	-4	 he[0] also[0] must[0] watch[0] over[0] his[0] mentally[0] handicapped[0] brother[0] arnie[0] leonardo[0] dicaprio[0] and[0] help[0] care[1] for[0] his[0] extremely[0] overweight[-1][-2 LastWordBoosterStrength] mother[0] darlene[0] cates[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
gilbert seems destined to spend the rest of his life in the small town until the arrival in endora of becky ( juliette lewis ) , a free spirit passing through with her grandmother when their truck breaks down . 	gilbert seems destined to spend the rest of his life in the small town until the arrival in endora of becky ( juliette lewis ) , a free spirit passing through with her grandmother when their truck breaks down .	1	-1	 gilbert[0] seems[0] destined[0] to[0] spend[0] the[0] rest[0] of[0] his[0] life[0] in[0] the[0] small[0] town[0] until[0] the[0] arrival[0] in[0] endora[0] of[0] becky[0] juliette[0] lewis[0] a[0] free[0] spirit[0] passing[0] through[0] with[0] her[0] grandmother[0] when[0] their[0] truck[0] breaks[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he spends time with becky , gilbert begins to think about all the things he is missing . 	as he spends time with becky , gilbert begins to think about all the things he is missing .	1	-1	 as[0] he[0] spends[0] time[0] with[0] becky[0] gilbert[0] begins[0] to[0] think[0] about[0] all[0] the[0] things[0] he[0] is[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
slowly his resentment builds , until he realizes that he can no longer live his entire life for other people . 	slowly his resentment builds , until he realizes that he can no longer live his entire life for other people .	1	-3	 slowly[0] his[0] resentment[-2] builds[0] until[0] he[0] realizes[0] that[0] he[0] can[0] no[0] longer[0] live[0] his[0] entire[0] life[0] for[0] other[0] people[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director lasse hallstrom ( my life as a dog ) and legendary cinematographer sven nykvist create a magnificent visual backdrop for peter hedges' screenplay , based on his own novel . 	director lase hallstrom ( my life as a dog ) and legendary cinematographer sven nykvist create a magnificent visual backdrop for peter hedges' screenplay , based on his own novel .	4	-1	 director[0] lasse/lase[0] hallstrom[0] my[0] life[0] as[0] a[0] dog[0] and[0] legendary[0] cinematographer[0] sven[0] nykvist[0] create[0] a[0] magnificent[3] visual[0] backdrop[0] for[0] peter[0] hedges'[0] screenplay[0] based[0] on[0] his[0] own[0] novel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
endora is a town on the edge of the world represented by the giant foodmart , a tiny insular community where everyone knows everyone else . 	endora is a town on the edge of the world represented by the giant foodmart , a tiny insular community where everyone knows everyone else .	1	-1	 endora[0] is[0] a[0] town[0] on[0] the[0] edge[0] of[0] the[0] world[0] represented[0] by[0] the[0] giant[0] foodmart[0] a[0] tiny[0] insular[0] community[0] where[0] everyone[0] knows[0] everyone[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the midwestern sunsets and sprawling fields are beautifully photographed , and the atmosphere of the town is intensely real . 	the midwestern sunsets and sprawling fields are beautifully photographed , and the atmosphere of the town is intensely real .	3	-1	 the[0] midwestern[0] sunsets[0] and[0] sprawling[0] fields[0] are[0] beautifully[2] photographed[0] and[0] the[0] atmosphere[0] of[0] the[0] town[0] is[0] intensely[0] real[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
