while screen adaptations of john irving's novels have been disappointingly uneven , the films have all shared one particular strength : key casting . 	Translation	Positive	Negative	EmotionRationale
who can forget john lithgow as roberta muldoon , the transsexual quarterback of " the world according to garp , " or nastassja kinski as susie the bear in " the hotel new hampshire " ? 	who can forget john lithgow as roberta muldoon , the transsexual quarterback of " the world according to garp , " or nastassja kinski as susie the bear in " the hotel new hampshire " ?	1	-3	 who[0] can[0] forget[0] john[0] lithgow[0] as[0] roberta[0] muldoon[0] the[0] transsexual[0] quarterback[0] of[0] the[0] world[0] according[0] to[0] garp[0] or[0] nastassja[-2] kinski[0] as[0] susie[0] the[0] bear[0] in[0] the[0] hotel[0] new[0] hampshire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a lot of good casting decisions have gone into the making of " the cider house rules , " an adaptation of irving's poetic 1994 novel about a restless young man called homer wells . 	a lot of good casting decisions have gone into the making of " the cider house rules , " an adaptation of irving's poetic 1994 novel about a restless young man called homer wells .	2	-2	 a[0] lot[0] of[0] good[1] casting[0] decisions[0] have[0] gone[0] into[0] the[0] making[0] of[0] the[0] cider[0] house[0] rules[0] an[0] adaptation[0] of[0] irving's[0] poetic[0] 1994[0] novel[0] about[0] a[0] restless[-1] young[0] man[0] called[0] homer[0] wells[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
among those sound judgments was the decision to have the splendid tobey maguire assume the pivotal role ; the decision to cast michael caine as his mentor and father figure , dr . wilbur larch , the ether-addicted head obstetrician of the st . cloud's orphanage , maine ; and the decision to offer jane alexander and kathy baker supporting roles as his head nurses . 	among those sound judgments was the decision to have the splendid tobey maguire assume the pivotal role ; the decision to cast michael caine as his mentor and father figure , dr .<br> wilbur larch , the ether-addicted head obstetrician of the st .<br> cloud's orphanage , maine ; and the decision to offer jane alexander and kathy baker supporting roles as his head nurses .	3	-2	 among[0] those[0] sound[0] judgments[0] was[0] the[0] decision[0] to[0] have[0] the[0] splendid[2] tobey[0] maguire[0] assume[0] the[0] pivotal[0] role[0] the[0] decision[0] to[0] cast[0] michael[0] caine[0] as[0] his[0] mentor[0] and[0] father[0] figure[0] dr[0] [[Sentence=-1,3=word max, 1-5]] wilbur[0] larch[0] the[0] ether[0] addicted[-1] head[0] obstetrician[0] of[0] the[0] st[0] [[Sentence=-2,1=word max, 1-5]] cloud's[0] orphanage[0] maine[0] and[0] the[0] decision[0] to[0] offer[0] jane[0] alexander[0] and[0] kathy[0] baker[0] supporting[1] roles[0] as[0] his[0] head[0] nurses[0] [[Sentence=-1,2=word max, 1-5]][[[3,-2 max of sentences]]]
then there are the brethren who populate the apple orchard where homer wells finds himself shortly after leaving st . cloud's , including delroy lindo , oscar ? -worthy as the foreman of the migrant work detail that drifts up and down the coast as the seasons take them . 	then there are the brethren who populate the apple orchard where homer wells finds himself shortly after leaving st .<br> cloud's , including delroy lindo , oscar ?<br> -worthy as the foreman of the migrant work detail that drifts up and down the coast as the seasons take them .	1	-1	 then[0] there[0] are[0] the[0] brethren[0] who[0] populate[0] the[0] apple[0] orchard[0] where[0] homer[0] wells[0] finds[0] himself[0] shortly[0] after[0] leaving[0] st[0] [[Sentence=-1,1=word max, 1-5]] cloud's[0] including[0] delroy[0] lindo[0] oscar[0] [[Sentence=-1,1=word max, 1-5]] worthy[0] as[0] the[0] foreman[0] of[0] the[0] migrant[0] work[0] detail[0] that[0] drifts[0] up[0] and[0] down[0] the[0] coast[0] as[0] the[0] seasons[0] take[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's kate nelligan as the matriarch of the cider house , and charlize theron as candy , the lovely , lonely wife of a wwii bomber pilot ( paul rudd ) sent away on a mission overseas leaving candy to set lobster traps with homer wells , a man who's never seen the ocean before let alone a lobster . 	there's kate nelligan as the matriarch of the cider house , and charlize theron as candy , the lovely , lonely wife of a wwi bomber pilot ( paul rudd ) sent away on a mission overseas leaving candy to set lobster traps with homer wells , a man who's never seen the ocean before let alone a lobster .	2	-2	 there's[0] kate[0] nelligan[0] as[0] the[0] matriarch[0] of[0] the[0] cider[0] house[0] and[0] charlize[0] theron[0] as[0] candy[0] the[0] lovely[1] lonely[-1] wife[0] of[0] a[0] wwii/wwi[0] bomber[-1] pilot[0] paul[0] rudd[0] sent[0] away[0] on[0] a[0] mission[0] overseas[0] leaving[0] candy[0] to[0] set[0] lobster[0] traps[0] with[0] homer[0] wells[0] a[0] man[0] who's[0] never[0] seen[0] the[0] ocean[0] before[0] let[0] alone[0] a[0] lobster[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
am i forgetting anyone ? 	am i forgetting anyone ?	1	-1	 am[0] i[0] forgetting[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yes . 	yes .	1	-1	 yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kieran culkin and paz de la huerta as dissolute orphanage residents who make you sit up and take notice every time they're on the screen . 	kieran culkin and paz de la huerta as dissolute orphanage residents who make you sit up and take notice every time they're on the screen .	1	-1	 kieran[0] culkin[0] and[0] paz[0] de[0] la[0] huerta[0] as[0] dissolute[0] orphanage[0] residents[0] who[0] make[0] you[0] sit[0] up[0] and[0] take[0] notice[0] every[0] time[0] they're[0] on[0] the[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but with " the cider house rules , " the good people decisions don't end with the cast . 	but with " the cider house rules , " the good people decisions don't end with the cast .	2	-1	 but[0] with[0] the[0] cider[0] house[0] rules[0] the[0] good[1] people[0] decisions[0] don't[0] end[0] with[0] the[0] cast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
irving has written his own screenplay in order to get it right this time ( last year's " simon birch , " loosely based on his " a prayer for owen meaney , " was a big-screen example of irving handled sub-standardly ) ; the author appears fleetingly as a stationmaster here . 	irving has written his own screenplay in order to get it right this time ( last year's " simon birch , " loosely based on his " a prayer for owen meaney , " was a big-screen example of irving handled sub-standardly ) ; the author appears fleetingly as a stationmaster here .	1	-2	 irving[0] has[0] written[0] his[0] own[0] screenplay[0] in[0] order[0] to[0] get[0] it[0] right[0] this[0] time[0] last[0] year's[0] simon[0] birch[0] loosely[0] based[0] on[0] his[0] a[0] prayer[0] for[0] owen[0] meaney[0] was[0] a[0] big[0] screen[0] example[0] of[0] irving[0] handled[0] sub[0] standardly[0] the[0] author[0] appears[0] fleetingly[-1] as[0] a[0] stationmaster[0] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
