at first glance , three kings looks to be just another war movie , the 90s version of all those favourite war movies with names i cannot remember . 	Translation	Positive	Negative	EmotionRationale
the 90s version , it definitely is , just another war movie ? 	the 90s version , it definitely is , just another war movie ?	1	-3	 the[0] 90s[0] version[0] it[0] definitely[0] is[0] just[0] another[0] war[-2] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not in your dreams ! 	not in your dreams !	1	-1	 not[0] in[0] your[0] dreams[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
imagine pulp fiction approach to saving private ryan , that s three kings for you . 	imagine pulp fiction approach to saving private ryan , that s three kings for you .	1	-1	 imagine[0] pulp[0] fiction[0] approach[0] to[0] saving[0] private[0] ryan[0] that[0] s[0] three[0] kings[0] for[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
believe it or not , it bears the cool of the former and the stark humane meaning of the latter . 	believe it or not , it bears the cool of the former and the stark humane meaning of the latter .	2	-2	 believe[0] it[0] or[0] not[0] it[0] bears[0] the[0] cool[1] of[0] the[0] former[0] and[0] the[0] stark[-1] humane[0] meaning[0] of[0] the[0] latter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the story brings us to the twilight of the gulf war , with the allied troops victorious . 	the story brings us to the twilight of the gulf war , with the allied troops victorious .	1	-3	 the[0] story[0] brings[0] us[0] to[0] the[0] twilight[0] of[0] the[0] gulf[0] war[-2] with[0] the[0] allied[0] troops[0] victorious[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
majpr archie gates ( clooney ) leads an enterprising bunch of grunts to a rather unorthodox post-war looting spree ; the millions in gold bars secretly stowed away by saddam in a desolate village in the desert . 	majpr archie gates ( clooney ) leads an enterprising bunch of grunts to a rather unorthodox post-war looting spree ; the millions in gold bars secretly stowed away by saddam in a desolate village in the desert .	1	-3	 majpr[0] archie[0] gates[0] clooney[0] leads[0] an[0] enterprising[0] bunch[0] of[0] grunts[0] to[0] a[0] rather[0] unorthodox[0] post[0] war[-2] looting[0] spree[0] the[0] millions[0] in[0] gold[0] bars[0] secretly[0] stowed[0] away[0] by[0] saddam[0] in[0] a[0] desolate[-1] village[0] in[0] the[0] desert[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the rest of the troops are celebrating their victory and getting ready to be shipped home , this  wild bunch  goes awol on an armed hum-vee ( the vehicle of choice of the us army ) . 	as the rest of the troops are celebrating their victory and getting ready to be shipped home , this  wild bunch  goes awol on an armed hum-vee ( the vehicle of choice of the us army ) .	2	-1	 as[0] the[0] rest[0] of[0] the[0] troops[0] are[0] celebrating[1] their[0] victory[0] and[0] getting[0] ready[0] to[0] be[0] shipped[0] home[0] this[0] wild[0] bunch[0] goes[0] awol[0] on[0] an[0] armed[0] hum[0] vee[0] the[0] vehicle[0] of[0] choice[0] of[0] the[0] us[0] army[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they soon find out that they have much resistance , as they get tangled with the local rebellion against saddam s forces . 	they soon find out that they have much resistance , as they get tangled with the local rebellion against saddam s forces .	1	-2	 they[0] soon[0] find[0] out[0] that[0] they[0] have[0] much[0] resistance[0] as[0] they[0] get[0] tangled[0] with[0] the[0] local[0] rebellion[-1] against[-1] saddam[0] s[0] forces[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
frequently switching their modes between looters and robin hood s merry men , they become consciously attacked by their own morals . 	frequently switching their modes between looters and robin hood s merry men , they become consciously attacked by their own morals .	2	-3	 frequently[0] switching[0] their[0] modes[0] between[0] looters[0] and[0] robin[0] hood[0] s[0] merry[1] men[0] they[0] become[0] consciously[0] attacked[-2] by[0] their[0] own[0] morals[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as the film begins to roll , it seemed to have a rather  light  mood to it . 	as the film begins to roll , it seemed to have a rather  light  mood to it .	1	-1	 as[0] the[0] film[0] begins[0] to[0] roll[0] it[0] seemed[0] to[0] have[0] a[0] rather[0] light[0] mood[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 special  effects such as when gates describes to his men how a bullet can kill simply paves the way for a light-hearted funny action movie . 	 special  effects such as when gates describes to his men how a bullet can kill simply paves the way for a light-hearted funny action movie .	2	-2	 special[1] effects[0] such[0] as[0] when[0] gates[0] describes[0] to[0] his[0] men[0] how[0] a[0] bullet[-1] can[0] kill[-1] simply[0] paves[0] the[0] way[0] for[0] a[0] light[0] hearted[0] funny[1] action[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
three kings is much smarter than that . 	three kings is much smarter than that .	2	-1	 three[0] kings[0] is[0] much[0] smarter[1] than[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the conflict becomes more and more complex , the audience will be trapped in a limbo , trying to stay focussed on that light-mood/serious-mood that the film seem to portray . 	as the conflict becomes more and more complex , the audience will be trapped in a limbo , trying to stay focussed on that light-mood/serious-mood that the film seem to portray .	1	-2	 as[0] the[0] conflict[-1] becomes[0] more[0] and[0] more[0] complex[0] the[0] audience[0] will[0] be[0] trapped[0] in[0] a[0] limbo[0] trying[0] to[0] stay[0] focussed[0] on[0] that[0] light[0] mood/serious[0] mood[0] that[0] the[0] film[0] seem[0] to[0] portray[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i personally found this analogous to the same feelings of the main characters involved in the film ; trapped between their initial plan paved by greed and their own sense of humanity . 	i personally found this analogous to the same feelings of the main characters involved in the film ; trapped between their initial plan paved by greed and their own sense of humanity .	1	-3	 i[0] personally[0] found[0] this[0] analogous[0] to[0] the[0] same[0] feelings[0] of[0] the[0] main[0] characters[0] involved[0] in[0] the[0] film[0] trapped[0] between[0] their[0] initial[0] plan[0] paved[0] by[0] greed[-2] and[0] their[0] own[0] sense[0] of[0] humanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this simply made the entire experience of watching three kings truly brilliant . 	this simply made the entire experience of watching three kings truly brilliant .	2	-1	 this[0] simply[0] made[0] the[0] entire[0] experience[0] of[0] watching[0] three[0] kings[0] truly[1] brilliant[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
action sequences are not shot as your old-fashioned war films nor anything like steven spielberg s in-your-face war violence . 	action sequences are not shot as your old-fashioned war films nor anything like steven spielberg s in-your-face war violence .	2	-5	 action[0] sequences[0] are[0] not[0] shot[-1][NegatedDueToPreviousWord] as[0] your[0] old[0] fashioned[0] war[-2] films[0] nor[0] anything[0] like[1] steven[0] spielberg[0] s[0] in[0] your[0] face[0] war[-2] violence[-3][-1 MultiplePositiveWords] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
they are carefully built to generate tension with just the right tight close-ups and pauses , right before the action starts . 	they are carefully built to generate tension with just the right tight close-ups and pauses , right before the action starts .	1	-3	 they[0] are[0] carefully[0] built[0] to[0] generate[0] tension[-2] with[0] just[0] the[0] right[0] tight[0] close[0] ups[0] and[0] pauses[0] right[0] before[0] the[0] action[0] starts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
not john woo for sure but more of sergio leone s spaghetti western style ( tons of them starring clint eastwood ) . 	not john woo for sure but more of sergio leone s spaghetti western style ( tons of them starring clint eastwood ) .	1	-1	 not[0] john[0] woo[0] for[0] sure[0] but[0] more[0] of[0] sergio[0] leone[0] s[0] spaghetti[0] western[0] style[0] tons[0] of[0] them[0] starring[0] clint[0] eastwood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
great performances by clooney and wahlberg but the brilliance have to lie in the conception of this film ; the screenwriter and the director . 	great performances by clooney and wahlberg but the brilliance have to lie in the conception of this film ; the screenwriter and the director .	3	-1	 great[2] performances[0] by[0] clooney[0] and[0] wahlberg[0] but[0] the[0] brilliance[1] have[0] to[0] lie[0] in[0] the[0] conception[0] of[0] this[0] film[0] the[0] screenwriter[0] and[0] the[0] director[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
three kings ranks among the best films of the year , well , for me at least . 	three kings ranks among the best films of the year , well , for me at least .	2	-1	 three[0] kings[0] ranks[0] among[0] the[0] best[1] films[0] of[0] the[0] year[0] well[0] for[0] me[0] at[0] least[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
highly recommended . 	highly recommended .	1	-1	 highly[0] recommended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
