note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's startling to consider that it was only a few years ago that film distributors would worriedly rearrange their summer release schedules in order to give the annual disney animated feature juggernaut a wide berth . 	it's startling to consider that it was only a few years ago that film distributors would worriedly rearrange their summer release schedules in order to give the annual disney animated feature juggernaut a wide berth .	1	-3	 it's[0] startling[-1] to[0] consider[0] that[0] it[0] was[0] only[0] a[0] few[0] years[0] ago[0] that[0] film[0] distributors[0] would[0] worriedly[-3][--1 LastWordBoosterStrength] rearrange[0] their[0] summer[0] release[0] schedules[0] in[0] order[0] to[0] give[0] the[0] annual[0] disney[0] animated[0] feature[0] juggernaut[0] a[0] wide[0] berth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the lion king had just cracked  300 million domestic in gross to become one of the most profitable ventures in film history , continuing to build on a sturdy base left by prior flicks aladdin and beauty and the beast . 	the lion king had just cracked  300 million domestic in gross to become one of the most profitable ventures in film history , continuing to build on a sturdy base left by prior flicks aladdin and beauty and the beast .	3	-2	 the[0] lion[0] king[0] had[0] just[0] cracked[0] 300[0] million[0] domestic[0] in[0] gross[-1] to[0] become[0] one[0] of[0] the[0] most[0] profitable[1] ventures[0] in[0] film[0] history[0] continuing[0] to[0] build[0] on[0] a[0] sturdy[0] base[0] left[0] by[0] prior[0] flicks[0] aladdin[0] and[0] beauty[2] and[0] the[0] beast[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
since then , though , disney's animated features have shown an unbroken string of diminishing returns , with pocahontas , the hunchback of notre dame , and this year's hercules successively proving less and less potent . 	since then , though , disney's animated features have shown an unbroken string of diminishing returns , with pocahontas , the hunchback of notre dame , and this year's hercules successively proving less and less potent .	1	-1	 since[0] then[0] though[0] disney's[0] animated[0] features[0] have[0] shown[0] an[0] unbroken[0] string[0] of[0] diminishing[0] returns[0] with[0] pocahontas[0] the[0] hunchback[0] of[0] notre[0] dame[0] and[0] this[0] year's[0] hercules[0] successively[0] proving[0] less[0] and[0] less[0] potent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the once seemingly-impregnable disney stranglehold on the market share suddenly looking mighty vulnerable , and faced with their first serious competition in the animated film market from fox's anastasia , disney has brought xmas home early by dusting off the feature which sparked the modern revival of feature animation , the little mermaid . 	with the once seemingly-impregnable disney stranglehold on the market share suddenly looking mighty vulnerable , and faced with their first serious competition in the animated film market from fox's anastasia , disney has brought xmas home early by dusting off the feature which sparked the modern revival of feature animation , the little mermaid .	1	-3	 with[0] the[0] once[0] seemingly[0] impregnable[0] disney[0] stranglehold[-2] on[0] the[0] market[0] share[0] suddenly[0] looking[0] mighty[0] vulnerable[-2] and[0] faced[0] with[0] their[0] first[0] serious[-1] competition[0] in[0] the[0] animated[0] film[0] market[0] from[0] fox's[0] anastasia[0] disney[0] has[0] brought[0] xmas[0] home[0] early[0] by[0] dusting[0] off[0] the[0] feature[0] which[0] sparked[0] the[0] modern[0] revival[0] of[0] feature[0] animation[0] the[0] little[0] mermaid[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while the animation for the film is , as is typically the case for disney films , unquestionably top-notch , the magic in the little mermaid is not its animation , but the wonderful innocence of its story and its rousingly superb music . 	while the animation for the film is , as is typically the case for disney films , unquestionably top-notch , the magic in the little mermaid is not its animation , but the wonderful innocence of its story and its rousingly superb music .	3	-1	 while[0] the[0] animation[0] for[0] the[0] film[0] is[0] as[0] is[0] typically[0] the[0] case[0] for[0] disney[0] films[0] unquestionably[0] top[0] notch[0] the[0] magic[0] in[0] the[0] little[0] mermaid[0] is[0] not[0] its[0] animation[0] but[0] the[0] wonderful[2] innocence[1] of[0] its[0] story[0] and[0] its[0] rousingly[0] superb[0] music[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film's storyline is fairly straightforward -- young teen falls for handsome man , father disapproves and assigns hapless chaperone to his daughter , teen disobeys father and goes to desperate lengths to win her man -- except in this case , the chaperone is a crab , the teen is a young mermaid , and the object of her desire is a human prince . 	the film's storyline is fairly straightforward - young teen falls for handsome man , father disapproves and assigns hapless chaperone to his daughter , teen disobeys father and goes to desperate lengths to win her man - except in this case , the chaperone is a crab , the teen is a young mermaid , and the object of her desire is a human prince .	2	-3	 the[0] film's[0] storyline[0] is[0] fairly[0] straightforward[0] young[0] teen[0] falls[0] for[0] handsome[1] man[0] father[0] disapproves[-1] and[0] assigns[0] hapless[-1] chaperone[0] to[0] his[0] daughter[0] teen[0] disobeys[0] father[0] and[0] goes[0] to[0] desperate[-2] lengths[0] to[0] win[0] her[0] man[0] except[0] in[0] this[0] case[0] the[0] chaperone[0] is[0] a[0] crab[0] the[0] teen[0] is[0] a[0] young[0] mermaid[0] and[0] the[0] object[0] of[0] her[0] desire[0] is[0] a[0] human[0] prince[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what makes the little mermaid so affecting and so emotionally resonant is the richness and charm of its characters and the sheer clarity and honest simplicity of their emotions . 	what makes the little mermaid so affecting and so emotionally resonant is the richness and charm of its characters and the sheer clarity and honest simplicity of their emotions .	2	-1	 what[0] makes[0] the[0] little[0] mermaid[0] so[0] affecting[0] and[0] so[0] emotionally[0] resonant[0] is[0] the[0] richness[1] and[0] charm[1] of[0] its[0] characters[0] and[0] the[0] sheer[0] clarity[0] and[0] honest[0] simplicity[0] of[0] their[0] emotions[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
from the moment mermaid ariel lays her eyes on prince eric , she's resolutely smitten , and she's such a pure and endearing character that one can't help but invest their heart with her . 	from the moment mermaid ariel lays her eyes on prince eric , she's resolutely smitten , and she's such a pure and endearing character that one can't help but invest their heart with her .	1	-1	 from[0] the[0] moment[0] mermaid[0] ariel[0] lays[0] her[0] eyes[0] on[0] prince[0] eric[0] she's[0] resolutely[0] smitten[0] and[0] she's[0] such[0] a[0] pure[0] and[0] endearing[0] character[0] that[0] one[0] can't[0] help[0] but[0] invest[0] their[0] heart[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this simple but touching love story , coupled with a healthy dose of smart humour , makes the little mermaid a remarkably captivating picture . 	this simple but touching love story , coupled with a healthy dose of smart humour , makes the little mermaid a remarkably captivating picture .	3	-1	 this[0] simple[0] but[0] touching[0] love[2] story[0] coupled[0] with[0] a[0] healthy[0] dose[0] of[0] smart[1] humour[2] makes[0] the[0] little[0] mermaid[0] a[0] remarkably[0] captivating[0] picture[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
