few films in 1999 have divided the critical consensus as sharply as alan parker's adaptation of frank mccourt's memoir angela's ashes . 	Translation	Positive	Negative	EmotionRationale
many dismissed it as an humorless , sentimentalized , uninteresting version of the hugely popular novel ; others hailed it as a heartfelt , sincere portrait of the human spirit . 	many dismissed it as an humorless , sentimentalized , uninteresting version of the hugely popular novel ; others hailed it as a heartfelt , sincere portrait of the human spirit .	3	-3	 many[0] dismissed[-1] it[0] as[0] an[0] humorless[-2] sentimentalized[2] uninteresting[0] version[0] of[0] the[0] hugely[0] popular[0] novel[0] others[0] hailed[0] it[0] as[0] a[0] heartfelt[1] sincere[0] portrait[0] of[0] the[0] human[0] spirit[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'm somewhere in between , leaning strongly towards the latter . 	i'm somewhere in between , leaning strongly towards the latter .	1	-1	 i'm[0] somewhere[0] in[0] between[0] leaning[0] strongly[0] towards[0] the[0] latter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's certainly well-made and it never becomes tedious like some literary adaptations have a tendency to be . 	it's certainly well-made and it never becomes tedious like some literary adaptations have a tendency to be .	3	-1	 it's[0] certainly[0] well[0] made[0] and[0] it[0] never[0] becomes[0] tedious[-2][NegatedDueToPreviousWord] like[1] some[0] literary[0] adaptations[0] have[0] a[0] tendency[0] to[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but i have a feeling that parker filled the movie with pseudo-lyrical shots of rain falling on the homely streets of ireland just so it can have the two-and-a-half hour running time that screams " i'm important ! " 	but i have a feeling that parker filled the movie with pseudo-lyrical shots of rain falling on the homely streets of ireland just so it can have the two-and-a-half hour running time that screams " i'm important !<br> "	1	-4	 but[0] i[0] have[0] a[0] feeling[0] that[0] parker[0] filled[0] the[0] movie[0] with[0] pseudo[0] lyrical[0] shots[0] of[0] rain[0] falling[0] on[0] the[0] homely[-1] streets[0] of[0] ireland[0] just[0] so[0] it[0] can[0] have[0] the[0] two[0] and[0] a[0] half[0] hour[0] running[0] time[0] that[0] screams[-3] i'm[0] important[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
mccourt's book of the same name was about him and his family moving from the us to ireland in the early 1900's , a time when most people were desperately trying to get into the us . 	mccourt's book of the same name was about him and his family moving from the us to ireland in the early 1900's , a time when most people were desperately trying to get into the us .	1	-3	 mccourt's[0] book[0] of[0] the[0] same[0] name[0] was[0] about[0] him[0] and[0] his[0] family[0] moving[0] from[0] the[0] us[0] to[0] ireland[0] in[0] the[0] early[0] 1900's[0] a[0] time[0] when[0] most[0] people[0] were[0] desperately[-2] trying[0] to[0] get[0] into[0] the[0] us[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as he comments , " we were the only irishfolk to say goodbye to the statue of liberty . " 	as he comments , " we were the only irishfolk to say goodbye to the statue of liberty .<br> "	1	-1	 as[0] he[0] comments[0] we[0] were[0] the[0] only[0] irishfolk[0] to[0] say[0] goodbye[0] to[0] the[0] statue[0] of[0] liberty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in ireland , frank ( played by joe breen as a small child ) , his 3 brothers , his mother angela ( emily watson ) and his father malachy ( robert carlyle ) get financial help from angela's mother , a stereotypically strict catholic who chides her daughter for marrying a northern irishman . 	in ireland , frank ( played by joe breen as a small child ) , his 3 brothers , his mother angela ( emily watson ) and his father malachy ( robert carlyle ) get financial help from angela's mother , a stereotypically strict catholic who chides her daughter for marrying a northern irishman .	1	-2	 in[0] ireland[0] frank[0] played[0] by[0] joe[0] breen[0] as[0] a[0] small[0] child[0] his[0] 3[0] brothers[0] his[0] mother[0] angela[0] emily[0] watson[0] and[0] his[0] father[0] malachy[0] robert[0] carlyle[0] get[0] financial[0] help[0] from[0] angela's[0] mother[0] a[0] stereotypically[0] strict[-1] catholic[0] who[0] chides[-1] her[0] daughter[0] for[0] marrying[0] a[0] northern[0] irishman[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
she helps them get a rat-infested apartment and malachy goes looking for a job . 	she helps them get a rat-infested apartment and malachy goes looking for a job .	1	-3	 she[0] helps[0] them[0] get[0] a[0] rat[-1] infested[-2] apartment[0] and[0] malachy[0] goes[0] looking[0] for[0] a[0] job[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
positions are scarce and when he does finally find one , he is unable to hold on to it because of his fondness for drinking . 	positions are scarce and when he does finally find one , he is unable to hold on to it because of his fondness for drinking .	3	-1	 positions[0] are[0] scarce[0] and[0] when[0] he[0] does[0] finally[0] find[0] one[0] he[0] is[0] unable[0] to[0] hold[0] on[0] to[0] it[0] because[0] of[0] his[0] fondness[2] for[0] drinking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
meanwhile , frank goes to an uptight catholic school , where the instructors beat students with blunt wooden objects as often as their heart desires . 	meanwhile , frank goes to an uptight catholic school , where the instructors beat students with blunt wooden objects as often as their heart desires .	1	-3	 meanwhile[0] frank[0] goes[0] to[0] an[0] uptight[-2] catholic[0] school[0] where[0] the[0] instructors[0] beat[0] students[0] with[0] blunt[-1] wooden[0] objects[0] as[0] often[0] as[0] their[0] heart[0] desires[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
