in the company of men made a splash at the sundance film festival because , in a year plagued by brothers mcmullen-style , earnestly shallow gen-x angst pictures , it seemed to be actually about something . 	Translation	Positive	Negative	EmotionRationale
it angered people , started arguments outside the theater , riled things up . 	it angered people , started arguments outside the theater , riled things up .	1	-4	 it[0] angered[-3] people[0] started[0] arguments[-1] outside[0] the[0] theater[0] riled[0] things[0] up[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it ignited a spark of excitement in what otherwise has been a disappointing year for independent film . 	it ignited a spark of excitement in what otherwise has been a disappointing year for independent film .	3	-2	 it[0] ignited[0] a[0] spark[0] of[0] excitement[2] in[0] what[0] otherwise[0] has[0] been[0] a[0] disappointing[-1] year[0] for[0] independent[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
having endured my share of the hype , i waited calmly for men to reach the hinterlands wherein i reside , and then checked in to see what all the fuss was about . 	having endured my share of the hype , i waited calmly for men to reach the hinterlands wherein i reside , and then checked in to see what all the fuss was about .	2	-2	 having[0] endured[0] my[0] share[0] of[0] the[0] hype[0] i[0] waited[0] calmly[1] for[0] men[0] to[0] reach[0] the[0] hinterlands[0] wherein[0] i[0] reside[0] and[0] then[0] checked[0] in[0] to[0] see[0] what[0] all[0] the[0] fuss[-1] was[0] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
does men live up to its press ? 	does men live up to its press ?	1	-1	 does[0] men[0] live[0] up[0] to[0] its[0] press[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , yes it does . 	well , yes it does .	1	-1	 well[0] yes[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it may make you think twice before you consider dating anyone your office . 	and it may make you think twice before you consider dating anyone your office .	1	-1	 and[0] it[0] may[0] make[0] you[0] think[0] twice[0] before[0] you[0] consider[0] dating[0] anyone[0] your[0] office[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for the uninitiated , newcomers aaron eckhart and matt malloy play chad and howard , two corporate drones who are dispatched by their nameless company to a remote branch office for a six week assignment . 	for the uninitiated , newcomers aron eckhart and matt malloy play chad and howard , two corporate drones who are dispatched by their nameless company to a remote branch office for a six week assignment .	1	-1	 for[0] the[0] uninitiated[0] newcomers[0] aaron/aron[0] eckhart[0] and[0] matt[0] malloy[0] play[0] chad[0] and[0] howard[0] two[0] corporate[0] drones[0] who[0] are[0] dispatched[0] by[0] their[0] nameless[0] company[0] to[0] a[0] remote[0] branch[0] office[0] for[0] a[0] six[0] week[0] assignment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chad and howard are archetypes , examples of which you can no doubt find in your own place of business . 	chad and howard are archetypes , examples of which you can no doubt find in your own place of business .	1	-2	 chad[0] and[0] howard[0] are[0] archetypes[0] examples[0] of[0] which[0] you[0] can[0] no[0] doubt[-1] find[0] in[0] your[0] own[0] place[0] of[0] business[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chad is the blond golden boy , genetically engineered for success , the natural charmer who seems to glide effortlessly up the corporate ladder . 	chad is the blond golden boy , genetically engineered for success , the natural charmer who seems to glide effortlessly up the corporate ladder .	3	-1	 chad[0] is[0] the[0] blond[0] golden[0] boy[0] genetically[0] engineered[0] for[0] success[2] the[0] natural[0] charmer[1] who[0] seems[0] to[0] glide[0] effortlessly[0] up[0] the[0] corporate[0] ladder[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
howard is chad's boss , but he is weaker of will , the clumsy practitioner of office politics who has achieved his position through dogged persistence rather than raw talent . 	howard is chad's boss , but he is weaker of will , the clumsy practitioner of office politics who has achieved his position through dogged persistence rather than raw talent .	2	-2	 howard[0] is[0] chad's[0] boss[0] but[0] he[0] is[0] weaker[-1] of[0] will[0] the[0] clumsy[-1] practitioner[0] of[0] office[0] politics[0] who[0] has[0] achieved[0] his[0] position[0] through[0] dogged[0] persistence[0] rather[0] than[0] raw[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we first meet them awaiting their flight in a drab airport lounge . 	we first meet them awaiting their flight in a drab airport lounge .	1	-2	 we[0] first[0] meet[0] them[0] awaiting[0] their[0] flight[0] in[0] a[0] drab[-1] airport[0] lounge[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there chad suggests a scheme worthy of a shakespearean villain : he and howard will find a vulnerable single woman at the branch office , woo her simultaneously , win her love , and then dump her . 	there chad suggests a scheme worthy of a shakespearean villain : he and howard will find a vulnerable single woman at the branch office , woo her simultaneously , win her love , and then dump her .	3	-3	 there[0] chad[0] suggests[0] a[0] scheme[0] worthy[0] of[0] a[0] shakespearean[0] villain[-2] he[0] and[0] howard[0] will[0] find[0] a[0] vulnerable[-2] single[0] woman[0] at[0] the[0] branch[0] office[0] woo[0] her[0] simultaneously[0] win[0] her[0] love[2] and[0] then[0] dump[-1] her[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the reason ? 	the reason ?	1	-1	 the[0] reason[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both men have recently been dumped themselves , and chad sees an easy route to revenge against the fairer sex . 	both men have recently been dumped themselves , and chad sees an easy route to revenge against the fairer sex .	1	-2	 both[0] men[0] have[0] recently[0] been[0] dumped[-1] themselves[0] and[0] chad[0] sees[0] an[0] easy[0] route[0] to[0] revenge[-1] against[-1] the[0] fairer[0] sex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " it'll restore a little dignity to our lives , " he says . 	 " it'll restore a little dignity to our lives , " he says .	2	-1	 it'll[0] restore[0] a[0] little[0] dignity[1] to[0] our[0] lives[0] he[0] says[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
howard , helpless against the force of chad's will , agrees to the plan . 	howard , helpless against the force of chad's will , agrees to the plan .	1	-2	 howard[0] helpless[-1] against[-1] the[0] force[-1] of[0] chad's[0] will[0] agrees[0] to[0] the[0] plan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they quickly spot their prey in the form of christine ( stacy edwards ) , a fragile deaf woman working as a temp . 	they quickly spot their prey in the form of christine ( stacy edwards ) , a fragile deaf woman working as a temp .	1	-2	 they[0] quickly[0] spot[0] their[0] prey[0] in[0] the[0] form[0] of[0] christine[0] stacy[0] edwards[0] a[0] fragile[-1] deaf[-1] woman[0] working[0] as[0] a[0] temp[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
chad moves in for the kill , flashing his golden boy smile , plying christine with lunch , then flowers , then dinner . 	chad moves in for the kill , flashing his golden boy smile , plying christine with lunch , then flowers , then dinner .	3	-2	 chad[0] moves[0] in[0] for[0] the[0] kill[-1] flashing[0] his[0] golden[0] boy[0] smile[2] plying[0] christine[0] with[0] lunch[0] then[0] flowers[0] then[0] dinner[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
howard follows suit , though his efforts are in contrast ham-handed and desperate . 	howard follows suit , though his efforts are in contrast ham-handed and desperate .	1	-3	 howard[0] follows[0] suit[0] though[0] his[0] efforts[0] are[0] in[0] contrast[0] ham[0] handed[0] and[0] desperate[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
flattered to have the attention of two eligible men , christine dates them both . 	flattered to have the attention of two eligible men , christine dates them both .	1	-1	 flattered[0] to[0] have[0] the[0] attention[0] of[0] two[0] eligible[0] men[0] christine[0] dates[0] them[0] both[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can guess which one she falls for . 	you can guess which one she falls for .	1	-1	 you[0] can[0] guess[0] which[0] one[0] she[0] falls[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
soon a tragic lovers' triangle develops : christine loves chad , chad loves himself , and howard loves christine on the grounds that , since she's handicapped and shy , she just might be wretched and lonely enough to settle for him . 	soon a tragic lovers' triangle develops : christine loves chad , chad loves himself , and howard loves christine on the grounds that , since she's handicapped and shy , she just might be wretched and lonely enough to settle for him .	4	-3	 soon[0] a[0] tragic[-2] lovers'[3] triangle[0] develops[0] christine[0] loves[2] chad[0] chad[0] loves[2] himself[0] and[0] howard[0] loves[2] christine[0] on[0] the[0] grounds[0] that[0] since[0] she's[0] handicapped[0] and[0] shy[-2] she[0] just[0] might[0] be[0] wretched[-2] and[0] lonely[-1] enough[0] to[0] settle[0] for[0] him[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
adult social interaction never really progresses beyond the level of junior high , does it ? 	adult social interaction never really progresses beyond the level of junior high , does it ?	1	-1	 adult[0] social[0] interaction[0] never[0] really[0] progresses[0] beyond[0] the[0] level[0] of[0] junior[0] high[0] does[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in chad , writer/director labute and actor eckhart have created one of the most chilling monsters ever committed to film-hannibal lector may eat human flesh , but chad is an eater of souls . 	in chad , writer/director labute and actor eckhart have created one of the most chilling monsters ever committed to film-hannibal lector may eat human flesh , but chad is an eater of souls .	1	-1	 in[0] chad[0] writer/director[0] labute[0] and[0] actor[0] eckhart[0] have[0] created[0] one[0] of[0] the[0] most[0] chilling[0] monsters[0] ever[0] committed[0] to[0] film[0] hannibal[0] lector[0] may[0] eat[0] human[0] flesh[0] but[0] chad[0] is[0] an[0] eater[0] of[0] souls[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his evil is as subtle as a viper's , and as easy as his smile . 	his evil is as subtle as a viper's , and as easy as his smile .	3	-3	 his[0] evil[-2] is[0] as[0] subtle[0] as[0] a[0] viper's[-1] and[0] as[0] easy[0] as[0] his[0] smile[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
we watch in stunned disbelief as he back-stabs coworkers , humiliates his subordinates , and works his deadly venom into christine's heart . 	we watch in stunned disbelief as he back-stabs coworkers , humiliates his subordinates , and works his deadly venom into christine's heart .	1	-4	 we[0] watch[0] in[0] stunned[-1] disbelief[-1] as[0] he[0] back[0] stabs[-1] coworkers[0] humiliates[-3] his[0] subordinates[0] and[0] works[0] his[0] deadly[-1] venom[-3] into[0] christine's[0] heart[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his character would be a joke if he wasn't so chillingly real- all of us have worked with a chad , and some of us may be him . 	his character would be a joke if he wasn't so chillingly real- all of us have worked with a chad , and some of us may be him .	2	-1	 his[0] character[0] would[0] be[0] a[0] joke[1] if[0] he[0] wasn't[0] so[0] chillingly[0] real[0] all[0] of[0] us[0] have[0] worked[0] with[0] a[0] chad[0] and[0] some[0] of[0] us[0] may[0] be[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he's the guy who takes your job and then laughs at you for your weakness . 	he's the guy who takes your job and then laughs at you for your weakness .	2	-2	 he's[0] the[0] guy[0] who[0] takes[0] your[0] job[0] and[0] then[0] laughs[1] at[0] you[0] for[0] your[0] weakness[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if one of his co-workers should happen to go postal and walk into the office with a bag full of handguns , he had best have his escape route clearly in mind . 	if one of his co-workers should happen to go postal and walk into the office with a bag full of handguns , he had best have his escape route clearly in mind .	2	-1	 if[0] one[0] of[0] his[0] co[0] workers[0] should[0] happen[0] to[0] go[0] postal[0] and[0] walk[0] into[0] the[0] office[0] with[0] a[0] bag[0] full[0] of[0] handguns[0] he[0] had[0] best[1] have[0] his[0] escape[0] route[0] clearly[0] in[0] mind[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
politics is his game , and the modern cubicle-filled office is his playground . 	politics is his game , and the modern cubicle-filled office is his playground .	1	-1	 politics[0] is[0] his[0] game[0] and[0] the[0] modern[0] cubicle[0] filled[0] office[0] is[0] his[0] playground[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
men wears the guise of a black comedy , but it functions best as allegory . 	men wears the guise of a black comedy , but it functions best as allegory .	2	-2	 men[0] wears[0] the[0] guise[-1] of[0] a[0] black[0] comedy[0] but[0] it[0] functions[0] best[1] as[0] allegory[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the most controversial moment in the film happens when chad humiliates a black temp by asking him how badly he wants to succeed in the company , then forces him to prove it in a manner i won't describe . 	the most controversial moment in the film happens when chad humiliates a black temp by asking him how badly he wants to succeed in the company , then forces him to prove it in a manner i won't describe .	3	-4	 the[0] most[0] controversial[-1] moment[0] in[0] the[0] film[0] happens[0] when[0] chad[0] humiliates[-3] a[0] black[0] temp[0] by[0] asking[0] him[0] how[0] badly[-1] he[0] wants[0] to[0] succeed[2] in[0] the[0] company[0] then[0] forces[0] him[0] to[0] prove[0] it[0] in[0] a[0] manner[0] i[0] won't[0] describe[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the scene is charged with racism and fraught with peril . 	the scene is charged with racism and fraught with peril .	1	-2	 the[0] scene[0] is[0] charged[-1] with[0] racism[-1] and[0] fraught[-1] with[0] peril[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
could it happen in the real world ? 	could it happen in the real world ?	1	-1	 could[0] it[0] happen[0] in[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
probably not . 	probably not .	1	-1	 probably[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taken as allegory , however , it is representative of the treatment of the meek by the powerful in all facets of society . 	taken as allegory , however , it is representative of the treatment of the meek by the powerful in all facets of society .	1	-2	 taken[0] as[0] allegory[0] however[0] it[0] is[0] representative[0] of[0] the[0] treatment[0] of[0] the[0] meek[-1] by[0] the[0] powerful[0] in[0] all[0] facets[0] of[0] society[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
maybe it's just the english major in me , but chad , in his motiveless cruelty towards christine and his careful manipulation of howard , can be seen as a symbol of unbridled capitalism , of greed without conscience . 	maybe it's just the english major in me , but chad , in his motiveless cruelty towards christine and his careful manipulation of howard , can be seen as a symbol of unbridled capitalism , of greed without conscience .	1	-4	 maybe[0] it's[0] just[0] the[0] english[0] major[0] in[0] me[0] but[0] chad[0] in[0] his[0] motiveless[0] cruelty[-3] towards[0] christine[0] and[0] his[0] careful[0] manipulation[-1] of[0] howard[0] can[0] be[0] seen[0] as[0] a[0] symbol[0] of[0] unbridled[0] capitalism[0] of[0] greed[-2] without[0] conscience[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the entire film is a metaphor for social darwinism- only the strong will survive . 	the entire film is a metaphor for social darwinism- only the strong will survive .	1	-1	 the[0] entire[0] film[0] is[0] a[0] metaphor[0] for[0] social[0] darwinism[0] only[0] the[0] strong[0] will[0] survive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the marvel of labute's multi-layered script is that it can disturb each member of its audience in an entirely different way . 	the marvel of labute's multi-layered script is that it can disturb each member of its audience in an entirely different way .	1	-2	 the[0] marvel[0] of[0] labute's[0] multi[0] layered[0] script[0] is[0] that[0] it[0] can[0] disturb[-1] each[0] member[0] of[0] its[0] audience[0] in[0] an[0] entirely[0] different[0] way[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but does the film work as entertainment ? 	but does the film work as entertainment ?	1	-1	 but[0] does[0] the[0] film[0] work[0] as[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
