true faith and its expression through organized religion is a difficult subject for a motion picture to tackle head-on , which is probably why so few of them do it . 	Translation	Positive	Negative	EmotionRationale
even the most religious directors - like martin scorsese or ingmar bergman - usually address issues of faith in implicit rather than explicit religious terms . 	even the most religious directors - like martin scorsese or ingmar bergman - usually address issues of faith in implicit rather than explicit religious terms .	2	-1	 even[0] the[0] most[0] religious[0] directors[0] like[1] martin[0] scorsese[0] or[0] ingmar[0] bergman[0] usually[0] address[0] issues[0] of[0] faith[1] in[0] implicit[0] rather[0] than[0] explicit[0] religious[0] terms[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so it's not hard to see why it took robert duvall fifteen years to get " the apostle " onto the big-screen . 	so it's not hard to see why it took robert duvall fifteen years to get " the apostle " onto the big-screen .	1	-1	 so[0] it's[0] not[0] hard[0] to[0] see[0] why[0] it[0] took[0] robert[0] duvall[0] fifteen[0] years[0] to[0] get[0] the[0] apostle[0] onto[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a matter of fact , even after fifteen years he still never managed to get financial backing , and he ended up paying for it with  5 million of his own money . 	as a matter of fact , even after fifteen years he still never managed to get financial backing , and he ended up paying for it with  5 million of his own money .	1	-1	 as[0] a[0] matter[0] of[0] fact[0] even[0] after[0] fifteen[0] years[0] he[0] still[0] never[0] managed[0] to[0] get[0] financial[0] backing[0] and[0] he[0] ended[0] up[0] paying[0] for[0] it[0] with[0] 5[0] million[0] of[0] his[0] own[0] money[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he also wrote the script , directed the film , and starred as the central character , a fiery texas preacher named euliss " sonny " dewey . 	he also wrote the script , directed the film , and starred as the central character , a fiery texas preacher named euliss " sonny " dewey .	1	-2	 he[0] also[0] wrote[0] the[0] script[0] directed[0] the[0] film[0] and[0] starred[0] as[0] the[0] central[0] character[0] a[0] fiery[-1] texas[0] preacher[0] named[0] euliss[0] sonny[0] dewey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
few filmmakers have the courage and sheer audacity to take on that kind of financial , technical , and creative responsibility single-handedly , and it's testament to what an intensely personal project this was for duvall . 	few filmmakers have the courage and sheer audacity to take on that kind of financial , technical , and creative responsibility single-handedly , and it's testament to what an intensely personal project this was for duvall .	2	-1	 few[0] filmmakers[0] have[0] the[0] courage[1] and[0] sheer[0] audacity[0] to[0] take[0] on[0] that[0] kind[1] of[0] financial[0] technical[0] and[0] creative[0] responsibility[0] single[0] handedly[0] and[0] it's[0] testament[0] to[0] what[0] an[0] intensely[0] personal[0] project[0] this[0] was[0] for[0] duvall[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , thankfully , every bit of that personal investment translates on-screen into power and honest emotion . 	and , thankfully , every bit of that personal investment translates on-screen into power and honest emotion .	2	-1	 and[0] thankfully[1] every[0] bit[0] of[0] that[0] personal[0] investment[0] translates[0] on[0] screen[0] into[0] power[0] and[0] honest[0] emotion[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sonny is an energetic , pentecostal preacher who has been speaking ( actually shouting ) from behind the pulpit since he was twelve . 	sonny is an energetic , pentecostal preacher who has been speaking ( actually shouting ) from behind the pulpit since he was twelve .	1	-1	 sonny[0] is[0] an[0] energetic[0] pentecostal[0] preacher[0] who[0] has[0] been[0] speaking[0] actually[0] shouting[0] from[0] behind[0] the[0] pulpit[0] since[0] he[0] was[0] twelve[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he spends much of his time traveling about the country , evangelizing with other preachers at tent revivals . 	he spends much of his time traveling about the country , evangelizing with other preachers at tent revivals .	1	-1	 he[0] spends[0] much[0] of[0] his[0] time[0] traveling[0] about[0] the[0] country[0] evangelizing[0] with[0] other[0] preachers[0] at[0] tent[0] revivals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unlike most hollywood characterizations of intense preachers , sonny is not a phony or a swindler , and the film's purpose is not to unearth hypocrisy and sin in either sonny or the church . 	unlike most hollywood characterizations of intense preachers , sonny is not a phony or a swindler , and the film's purpose is not to unearth hypocrisy and sin in either sonny or the church .	1	-2	 unlike[0] most[0] hollywood[0] characterizations[0] of[0] intense[0] preachers[0] sonny[0] is[0] not[0] a[0] phony[0] or[0] a[0] swindler[0] and[0] the[0] film's[0] purpose[0] is[0] not[0] to[0] unearth[0] hypocrisy[-1] and[0] sin[-1] in[0] either[0] sonny[0] or[0] the[0] church[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
duvall makes it abundantly clear that sonny truly believes in what he says , although like all humans , he has weaknesses . 	duvall makes it abundantly clear that sonny truly believes in what he says , although like all humans , he has weaknesses .	2	-2	 duvall[0] makes[0] it[0] abundantly[0] clear[0] that[0] sonny[0] truly[1] believes[0] in[0] what[0] he[0] says[0] although[0] like[1] all[0] humans[0] he[0] has[0] weaknesses[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
