 " oh my god , i sounded just like a mother ! " 	Translation	Positive	Negative	EmotionRationale
mrs . pascal , played with devilish wickedness by genevieve bujold , tells her son . 	mrs .<br> pascal , played with devilish wickedness by genevieve bujold , tells her son .	1	-3	 mrs[0] [[Sentence=-1,1=word max, 1-5]] pascal[0] played[0] with[0] devilish[-1] wickedness[-2] by[0] genevieve[0] bujold[0] tells[0] her[0] son[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " didn't i sound just like a mother ? " 	 " didn't i sound just like a mother ?<br> "	1	-1	 didn't[0] i[0] sound[0] just[0] like[1][-1 LastWordBoosterStrength] a[0] mother[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you are a mother , " her son marty tells her disgustedly . 	 " you are a mother , " her son marty tells her disgustedly .	1	-4	 you[0] are[0] a[0] mother[0] her[0] son[0] marty[0] tells[0] her[0] disgustedly[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " i know , but i still can't believe it . 	 " i know , but i still can't believe it .	1	-1	 i[0] know[0] but[0] i[0] still[0] can't[0] believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i look at you people and wonder , how did you ever fit in my womb ? " 	i look at you people and wonder , how did you ever fit in my womb ?<br> "	1	-1	 i[0] look[0] at[0] you[0] people[0] and[0] wonder[0] how[0] did[0] you[0] ever[0] fit[0] in[0] my[0] womb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
marty , you see , is a grown-up twin . 	marty , you see , is a grown-up twin .	1	-1	 marty[0] you[0] see[0] is[0] a[0] grown[0] up[0] twin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although his sister , who thinks she is jackie-o , is certifiably insane , marty fits right in with the rest of this highly dysfunctional family in the witty black comedy the house of yes . 	although his sister , who thinks she is jackie-o , is certifiably insane , marty fits right in with the rest of this highly dysfunctional family in the witty black comedy the house of yes .	1	-2	 although[0] his[0] sister[0] who[0] thinks[0] she[0] is[0] jackie[0] o[0] is[0] certifiably[0] insane[-1] marty[0] fits[0] right[0] in[0] with[0] the[0] rest[0] of[0] this[0] highly[0] dysfunctional[0] family[0] in[0] the[0] witty[0] black[0] comedy[0] the[0] house[0] of[0] yes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mother and daughter , played in a brilliant performance by parker posey , are both varying degrees of wacko . 	mother and daughter , played in a brilliant performance by parker posey , are both varying degrees of wacko .	2	-1	 mother[0] and[0] daughter[0] played[0] in[0] a[0] brilliant[1] performance[0] by[0] parker[0] posey[0] are[0] both[0] varying[0] degrees[0] of[0] wacko[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
most dysfunctional families in the movies are more angry and mean-spirited than diabolically abnormal as this one is . 	most dysfunctional families in the movies are more angry and mean-spirited than diabolically abnormal as this one is .	1	-4	 most[0] dysfunctional[0] families[0] in[0] the[0] movies[0] are[0] more[0] angry[-3] and[0] mean[0] spirited[0] than[0] diabolically[-1] abnormal[-1] as[0] this[0] one[0] is[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the daughter's fantasy of being jackie-o is probably the most sane part of her being . 	the daughter's fantasy of being jackie-o is probably the most sane part of her being .	1	-1	 the[0] daughter's[0] fantasy[0] of[0] being[0] jackie[0] o[0] is[0] probably[0] the[0] most[0] sane[0] part[0] of[0] her[0] being[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mrs . pascal is the sort that will not let jackie-o keep a hairbrush downstairs since food is kept on that level . 	mrs .<br> pascal is the sort that will not let jackie-o keep a hairbrush downstairs since food is kept on that level .	1	-1	 mrs[0] [[Sentence=-1,1=word max, 1-5]] pascal[0] is[0] the[0] sort[0] that[0] will[0] not[0] let[0] jackie[0] o[0] keep[0] a[0] hairbrush[0] downstairs[0] since[0] food[0] is[0] kept[0] on[0] that[0] level[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she explains to marty's new fiancee , lesly ( tori spelling ) , soon after their first meeting that jackie-o was holding marty's private part when she came out of the womb . 	she explains to marty's new fiancee , lesly ( tori spelling ) , soon after their first meeting that jackie-o was holding marty's private part when she came out of the womb .	1	-1	 she[0] explains[0] to[0] marty's[0] new[0] fiancee[0] lesly[0] tori[0] spelling[0] soon[0] after[0] their[0] first[0] meeting[0] that[0] jackie[0] o[0] was[0] holding[0] marty's[0] private[0] part[0] when[0] she[0] came[0] out[0] of[0] the[0] womb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialog by wendy macleod , based on the play by mark waters , is so sharp and biting that it seems in danger of cutting through the celluloid at any moment . 	the dialog by wendy macleod , based on the play by mark waters , is so sharp and biting that it seems in danger of cutting through the celluloid at any moment .	1	-2	 the[0] dialog[0] by[0] wendy[0] macleod[0] based[0] on[0] the[0] play[0] by[0] mark[0] waters[0] is[0] so[0] sharp[0] and[0] biting[0] that[0] it[0] seems[0] in[0] danger[-1] of[0] cutting[0] through[0] the[0] celluloid[0] at[0] any[0] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the script , reminiscent of a david mamet play , flows smoothly with its fast paced intelligence and mesmerizing set of bizarre characters . 	the script , reminiscent of a david mamet play , flows smoothly with its fast paced intelligence and mesmerizing set of bizarre characters .	1	-2	 the[0] script[0] reminiscent[0] of[0] a[0] david[0] mamet[0] play[0] flows[0] smoothly[0] with[0] its[0] fast[0] paced[0] intelligence[0] and[0] mesmerizing[0] set[0] of[0] bizarre[-1] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the exaggerated setup has lesly and marty arriving at the family's out of the way mansion during a thanksgiving day hurricane . 	the exaggerated setup has lesly and marty arriving at the family's out of the way mansion during a thanksgiving day hurricane .	1	-2	 the[0] exaggerated[-1] setup[0] has[0] lesly[0] and[0] marty[0] arriving[0] at[0] the[0] family's[0] out[0] of[0] the[0] way[0] mansion[0] during[0] a[0] thanksgiving[0] day[0] hurricane[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this storm are two sane individuals . 	in this storm are two sane individuals .	1	-2	 in[0] this[0] storm[-1] are[0] two[0] sane[0] individuals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the fiancee is a giddy , school-girl type , embarrassed by everything , a complete contrast to her rival jackie-o's bitter pseudo-sophistication . 	the fiancee is a giddy , school-girl type , embarrassed by everything , a complete contrast to her rival jackie-o's bitter pseudo-sophistication .	1	-3	 the[0] fiancee[0] is[0] a[0] giddy[0] school[0] girl[0] type[0] embarrassed[-2] by[0] everything[0] a[0] complete[0] contrast[0] to[0] her[0] rival[-1] jackie[0] o's[0] bitter[-1] pseudo[0] sophistication[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the two twins' younger brother , anthony , freddie prinze jr . plays the all-america boy type whose only foible is his explicit obsession of bedding his brother's fiancee that night . 	as the two twins' younger brother , anthony , freddie prinze jr .<br> plays the all-america boy type whose only foible is his explicit obsession of bedding his brother's fiancee that night .	2	-3	 as[0] the[0] two[0] twins'[0] younger[0] brother[0] anthony[0] freddie[0] prinze[0] jr[0] [[Sentence=-1,1=word max, 1-5]] plays[1] the[0] all[0] america[0] boy[0] type[0] whose[0] only[0] foible[-1] is[0] his[0] explicit[0] obsession[-2] of[0] bedding[0] his[0] brother's[0] fiancee[0] that[0] night[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " we all have our secrets , " jackie-o tells her potential sister-in-law , and boy , does she have a few . 	 " we all have our secrets , " jackie-o tells her potential sister-in-law , and boy , does she have a few .	1	-1	 we[0] all[0] have[0] our[0] secrets[0] jackie[0] o[0] tells[0] her[0] potential[0] sister[0] in[0] law[0] and[0] boy[0] does[0] she[0] have[0] a[0] few[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a house filled with them . 	this is a house filled with them .	1	-1	 this[0] is[0] a[0] house[0] filled[0] with[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( when lesly calls it the family's " home " to mrs . pascal -- they've never had a visitor before lesly -- mrs . pascal becomes discombobulated until she realizes that lesly is talking about their " house . " ) 	 ( when lesly calls it the family's " home " to mrs .<br> pascal - they've never had a visitor before lesly - mrs .<br> pascal becomes discombobulated until she realizes that lesly is talking about their " house .<br> " )	1	-1	 when[0] lesly[0] calls[0] it[0] the[0] family's[0] home[0] to[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] pascal[0] they've[0] never[0] had[0] a[0] visitor[0] before[0] lesly[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] pascal[0] becomes[0] discombobulated[0] until[0] she[0] realizes[0] that[0] lesly[0] is[0] talking[0] about[0] their[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a film that gives new meaning to the phrase , " made for each other , " the twin's biggest , but not their only secret , is that they've had a long-term incestuous relationship . 	in a film that gives new meaning to the phrase , " made for each other , " the twin's biggest , but not their only secret , is that they've had a long-term incestuous relationship .	1	-1	 in[0] a[0] film[0] that[0] gives[0] new[0] meaning[0] to[0] the[0] phrase[0] made[0] for[0] each[0] other[0] the[0] twin's[0] biggest[0] but[0] not[0] their[0] only[0] secret[0] is[0] that[0] they've[0] had[0] a[0] long[0] term[0] incestuous[0] relationship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they don't like to discuss it , although they are not particularly ashamed of it . 	they don't like to discuss it , although they are not particularly ashamed of it .	2	-2	 they[0] don't[0] like[1][NegatedDueToPreviousWord] to[0] discuss[0] it[0] although[0] they[0] are[0] not[0] particularly[0] ashamed[-1][NegatedDueToPreviousWord] of[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perfect for viewers who can appreciate perverse comedy , this story never pulls its punches . 	perfect for viewers who can appreciate perverse comedy , this story never pulls its punches .	2	-2	 perfect[1] for[0] viewers[0] who[0] can[0] appreciate[1] perverse[-1] comedy[0] this[0] story[0] never[0] pulls[0] its[0] punches[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jackie-o tries in many ways , few subtle , to show that she is a better match for marty than that ditzy fiancee of his . 	jackie-o tries in many ways , few subtle , to show that she is a better match for marty than that ditzy fiancee of his .	1	-1	 jackie[0] o[0] tries[0] in[0] many[0] ways[0] few[0] subtle[0] to[0] show[0] that[0] she[0] is[0] a[0] better[0] match[0] for[0] marty[0] than[0] that[0] ditzy[0] fiancee[0] of[0] his[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in one scene marty and lesly are playing chop sticks together on the piano when jackie-o pushes her aside and starts playing a challenging classical piece for four hands . 	in one scene marty and lesly are playing chop sticks together on the piano when jackie-o pushes her aside and starts playing a challenging classical piece for four hands .	2	-1	 in[0] one[0] scene[0] marty[0] and[0] lesly[0] are[0] playing[1] chop[0] sticks[0] together[0] on[0] the[0] piano[0] when[0] jackie[0] o[0] pushes[0] her[0] aside[0] and[0] starts[0] playing[1] a[0] challenging[0] classical[0] piece[0] for[0] four[0] hands[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
marty joins her as his fiancee looks on with envy . 	marty joins her as his fiancee looks on with envy .	1	-3	 marty[0] joins[0] her[0] as[0] his[0] fiancee[0] looks[0] on[0] with[0] envy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the chemistry between parker posey and josh hamilton is nothing short of amazing . 	the chemistry between parker posey and josh hamilton is nothing short of amazing .	3	-1	 the[0] chemistry[0] between[0] parker[0] posey[0] and[0] josh[0] hamilton[0] is[0] nothing[0] short[0] of[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they put down their little brother and most of the other sane people in the world . 	they put down their little brother and most of the other sane people in the world .	1	-1	 they[0] put[0] down[0] their[0] little[0] brother[0] and[0] most[0] of[0] the[0] other[0] sane[0] people[0] in[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their ripostes are engaging filmmaking at its best . 	their ripostes are engaging filmmaking at its best .	2	-1	 their[0] ripostes[0] are[0] engaging[0] filmmaking[0] at[0] its[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
director mark waters keeps the show's energy level high and lets the leads sling zingers at each other at a furious pace . 	director mark waters keeps the show's energy level high and lets the leads sling zingers at each other at a furious pace .	1	-4	 director[0] mark[0] waters[0] keeps[0] the[0] show's[0] energy[0] level[0] high[0] and[0] lets[0] the[0] leads[0] sling[0] zingers[0] at[0] each[0] other[0] at[0] a[0] furious[-3] pace[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
his crisp direction ensures the movie has nary an ounce of fat on it . 	his crisp direction ensures the movie has nary an ounce of fat on it .	1	-2	 his[0] crisp[0] direction[0] ensures[0] the[0] movie[0] has[0] nary[0] an[0] ounce[0] of[0] fat[-1] on[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jackie-o is temperamentally incapable of being nice . 	jackie-o is temperamentally incapable of being nice .	2	-2	 jackie[0] o[0] is[0] temperamentally[0] incapable[-1] of[0] being[0] nice[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and being jealous , she cuts lesly down mercilessly . 	and being jealous , she cuts lesly down mercilessly .	1	-3	 and[0] being[0] jealous[-2] she[0] cuts[0] lesly[0] down[0] mercilessly[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " were you poor ? " 	 " were you poor ?<br> "	1	-2	 were[0] you[0] poor[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jackie-o asks her when she finds that lesly committed the crime of growing up impoverished . 	jackie-o asks her when she finds that lesly committed the crime of growing up impoverished .	1	-2	 jackie[0] o[0] asks[0] her[0] when[0] she[0] finds[0] that[0] lesly[0] committed[0] the[0] crime[-1] of[0] growing[0] up[0] impoverished[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " did you eat pies ? 	 " did you eat pies ?	1	-1	 did[0] you[0] eat[0] pies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
chicken pot pies ? " 	chicken pot pies ?<br> "	1	-1	 chicken[0] pot[0] pies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " pancakes actually , lots of pancakes , " lesly replies with her usual sincerity . 	 " pancakes actually , lots of pancakes , " lesly replies with her usual sincerity .	1	-1	 pancakes[0] actually[0] lots[0] of[0] pancakes[0] lesly[0] replies[0] with[0] her[0] usual[0] sincerity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " a donut king , so is she like the queen ? , " 	 " a donut king , so is she like the queen ?<br> , "	2	-1	 a[0] donut[0] king[0] so[0] is[0] she[0] like[1] the[0] queen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jackie-o cattily inquires of marty when she learns that lesly works at a donut king . 	jackie-o cattily inquires of marty when she learns that lesly works at a donut king .	1	-1	 jackie[0] o[0] cattily[0] inquires[0] of[0] marty[0] when[0] she[0] learns[0] that[0] lesly[0] works[0] at[0] a[0] donut[0] king[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " are we entertaining royalty ? " 	 " are we entertaining royalty ?<br> "	1	-1	 are[0] we[0] entertaining[0] royalty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with rolfe kent's whimsically sinister music it never seems clear where the story is headed . 	with rolfe kent's whimsically sinister music it never seems clear where the story is headed .	1	-4	 with[0] rolfe[0] kent's[0] whimsically[0] sinister[-3] music[0] it[0] never[0] seems[0] clear[0] where[0] the[0] story[0] is[0] headed[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
will it end in a big emotional explosion , a murder , people slowly cutting each other up with words , a familial catharsis , a weather disaster or what ? 	will it end in a big emotional explosion , a murder , people slowly cutting each other up with words , a familial catharsis , a weather disaster or what ?	1	-4	 will[0] it[0] end[0] in[0] a[0] big[0] emotional[-1] explosion[-1] a[0] murder[-3] people[0] slowly[0] cutting[0] each[0] other[0] up[0] with[0] words[0] a[0] familial[0] catharsis[0] a[0] weather[0] disaster[-1] or[0] what[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the emotionally charged play is clearly going somewhere , and the engaging characters captivate the audience with their spell . 	the emotionally charged play is clearly going somewhere , and the engaging characters captivate the audience with their spell .	1	-2	 the[0] emotionally[0] charged[-1] play[0] is[0] clearly[0] going[0] somewhere[0] and[0] the[0] engaging[0] characters[0] captivate[0] the[0] audience[0] with[0] their[0] spell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'll not say more except that the ending is perfect and a bit of a surprise . 	i'll not say more except that the ending is perfect and a bit of a surprise .	2	-1	 i'll[0] not[0] say[0] more[0] except[0] that[0] the[0] ending[0] is[0] perfect[1] and[0] a[0] bit[0] of[0] a[0] surprise[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the house of yes runs a blazing fast 1 : 25 . 	the house of yes runs a blazing fast 1 : 25 .	1	-1	 the[0] house[0] of[0] yes[0] runs[0] a[0] blazing[0] fast[0] 1[0] 25[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is rated r for sexual situations and conversations , mature themes , violent overtones and some profanity . 	it is rated are for sexual situations and conversations , mature themes , violent overtones and some profanity .	1	-3	 it[0] is[0] rated[0] r[0] for[0] sexual[0] situations[0] and[0] conversations[0] mature[0] themes[0] violent[-2] overtones[0] and[0] some[0] profanity[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie would be fine for older and mature teenagers , i . e . , treat the movie as it were rated nc-17 . 	the movie would be fine for older and mature teenagers , i .<br> e .<br> , treat the movie as it were rated nc-17 .	3	-1	 the[0] movie[0] would[0] be[0] fine[2] for[0] older[0] and[0] mature[0] teenagers[0] i[0] [[Sentence=-1,3=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] treat[1] the[0] movie[0] as[0] it[0] were[0] rated[0] nc[0] -17[0] [[Sentence=-1,2=word max, 1-5]][[[3,-1 max of sentences]]]
