as african american detective vergil tibbs questions a suspected white murderer inside a jail cell , there is a wonderful , eye-catching shot which instantaneously presents the main message of the entire film . 	Translation	Positive	Negative	EmotionRationale
the shot has tibbs' face completely covered by the shadows of the prison bars . 	the shot has tibbs' face completely covered by the shadows of the prison bars .	1	-2	 the[0] shot[-1] has[0] tibbs'[0] face[0] completely[0] covered[0] by[0] the[0] shadows[0] of[0] the[0] prison[-1] bars[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to see these bars blocking his face , we see how separated tibbs is from the rest of the characters in the film . 	to see these bars blocking his face , we see how separated tibbs is from the rest of the characters in the film .	1	-2	 to[0] see[0] these[0] bars[0] blocking[-1] his[0] face[0] we[0] see[0] how[0] separated[0] tibbs[0] is[0] from[0] the[0] rest[0] of[0] the[0] characters[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a black detective conducting an investigation in a southern town full of violent white bigots , no matter how innocent tibbs is , he is still seen by these bigots as a threat simply because of the color of his skin . 	as a black detective conducting an investigation in a southern town full of violent white bigots , no matter how innocent tibbs is , he is still seen by these bigots as a threat simply because of the color of his skin .	2	-3	 as[0] a[0] black[0] detective[0] conducting[0] an[0] investigation[0] in[0] a[0] southern[0] town[0] full[0] of[0] violent[-2] white[0] bigots[-1] no[0] matter[0] how[0] innocent[1] tibbs[0] is[0] he[0] is[0] still[0] seen[0] by[0] these[0] bigots[-1] as[0] a[0] threat[-2] simply[0] because[0] of[0] the[0] color[0] of[0] his[0] skin[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the bars show that tibbs has not been given a fair chance to show exactly who he is , instead others have chosen him as different and dangerous . 	the bars show that tibbs has not been given a fair chance to show exactly who he is , instead others have chosen him as different and dangerous .	1	-2	 the[0] bars[0] show[0] that[0] tibbs[0] has[0] not[0] been[0] given[0] a[0] fair[0] chance[0] to[0] show[0] exactly[0] who[0] he[0] is[0] instead[0] others[0] have[0] chosen[0] him[0] as[0] different[0] and[0] dangerous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this one shot amazes me because it captures a whole theme in a matter of seconds . 	this one shot amazes me because it captures a whole theme in a matter of seconds .	3	-2	 this[0] one[0] shot[-1] amazes[2] me[0] because[0] it[0] captures[-1] a[0] whole[0] theme[0] in[0] a[0] matter[0] of[0] seconds[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it perhaps may be the most powerful image i have seen in a film . 	it perhaps may be the most powerful image i have seen in a film .	1	-1	 it[0] perhaps[0] may[0] be[0] the[0] most[0] powerful[0] image[0] i[0] have[0] seen[0] in[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " in the heat of the night " was the first and the best of the three films norman jewison directed concerning racism in america . 	 " in the heat of the night " was the first and the best of the three films norman jewison directed concerning racism in america .	2	-2	 in[0] the[0] heat[0] of[0] the[0] night[0] was[0] the[0] first[0] and[0] the[0] best[1] of[0] the[0] three[0] films[0] norman[0] jewison[0] directed[0] concerning[-1] racism[-1] in[0] america[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jewison has a very keen style of displaying various cases of racism as he is neither pedantic nor overly sentimental . 	jewison has a very keen style of displaying various cases of racism as he is neither pedantic nor overly sentimental .	3	-2	 jewison[0] has[0] a[0] very[0] keen[0] style[0] of[0] displaying[0] various[0] cases[0] of[0] racism[-1] as[0] he[0] is[0] neither[0] pedantic[0] nor[0] overly[0] sentimental[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
in these three films he does an excellent job creating very detailed equal analyses of characters from the abused to the abusers . 	in these three films he does an excellent job creating very detailed equal analyses of characters from the abused to the abusers .	4	-4	 in[0] these[0] three[0] films[0] he[0] does[0] an[0] excellent[3] job[0] creating[0] very[0] detailed[0] equal[0] analyses[0] of[0] characters[0] from[0] the[0] abused[-3] to[0] the[0] abusers[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
he is also not afraid to tell the absolute truth about how corrupt society was in the past and is in the present . 	he is also not afraid to tell the absolute truth about how corrupt society was in the past and is in the present .	4	-3	 he[0] is[0] also[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] tell[0] the[0] absolute[0] truth[1] about[0] how[0] corrupt[-2] society[0] was[0] in[0] the[0] past[0] and[0] is[0] in[0] the[0] present[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
