note : some may consider portions of the following text to be spoilers . 	Translation	Positive	Negative	EmotionRationale
be forewarned . 	be forewarned .	1	-1	 be[0] forewarned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among my fanatical ticker tape-worshipping friends , there's one who happens to share the same philosophy espoused by the central character in darren aronofsky's darkly original pi : the entire stock market can be reduced to nothing but a series of patterns which , through analysis , will produce information to accurately forecast future behaviour . 	among my fanatical ticker tape-worshipping friends , there's one who happens to share the same philosophy espoused by the central character in darren aronofsky's darkly original pi : the entire stock market can be reduced to nothing but a series of patterns which , through analysis , will produce information to accurately forecast future behaviour .	2	-2	 among[0] my[0] fanatical[-1] ticker[0] tape[0] worshipping[1] friends[1] there's[0] one[0] who[0] happens[0] to[0] share[0] the[0] same[0] philosophy[0] espoused[0] by[0] the[0] central[0] character[0] in[0] darren[0] aronofsky's[0] darkly[0] original[0] pi[0] the[0] entire[0] stock[0] market[0] can[0] be[0] reduced[0] to[0] nothing[0] but[0] a[0] series[0] of[0] patterns[0] which[0] through[0] analysis[0] will[0] produce[0] information[0] to[0] accurately[0] forecast[0] future[0] behaviour[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( an example of the mentality involved : if the stock price goes up like this , and then down like that , and then sharply up this way , it then will go * this * way . ) 	 ( an example of the mentality involved : if the stock price goes up like this , and then down like that , and then sharply up this way , it then will go * this * way .<br> )	2	-1	 an[0] example[0] of[0] the[0] mentality[0] involved[0] if[0] the[0] stock[0] price[0] goes[0] up[0] like[1] this[0] and[0] then[0] down[0] like[1] that[0] and[0] then[0] sharply[0] up[0] this[0] way[0] it[0] then[0] will[0] go[0] this[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while i freely admit that i know less than nothing about the market ( knowledge check : prices up -- good ; prices down -- bad ; most of the time , at least ) and hence really couldn't comment with any authority , it's always nonetheless struck me as an incredibly naive oversimplification of an astonishingly complex system ( and besides , if it were that simple , no doubt somebody would've already figured it all out ) . 	while i freely admit that i know less than nothing about the market ( knowledge check : prices up - good ; prices down - bad ; most of the time , at least ) and hence really couldn't comment with any authority , it's always nonetheless struck me as an incredibly naive oversimplification of an astonishingly complex system ( and besides , if it were that simple , no doubt somebody would've already figured it all out ) .	2	-4	 while[0] i[0] freely[0] admit[0] that[0] i[0] know[0] less[0] than[0] nothing[0] about[0] the[0] market[0] knowledge[0] check[0] prices[0] up[0] good[1] prices[0] down[0] bad[-1] most[0] of[0] the[0] time[0] at[0] least[0] and[0] hence[0] really[0] couldn't[0] comment[0] with[0] any[0] authority[0] it's[0] always[0] nonetheless[0] struck[-1] me[0] as[0] an[0] incredibly[0] naive[-1][-2 LastWordBoosterStrength] oversimplification[0] of[0] an[0] astonishingly[0] complex[0] system[0] and[0] besides[0] if[0] it[0] were[0] that[0] simple[0] no[0] doubt[-1] somebody[0] would've[0] already[0] figured[0] it[0] all[0] out[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the difference in this case is that while my colleague ( an otherwise assuredly realistic individual ) truly believes in this in and of itself as a valid forecaster , pi uses this ideology as a device with which to investigate its character's psychosis . 	the difference in this case is that while my colleague ( an otherwise assuredly realistic individual ) truly believes in this in and of itself as a valid forecaster , pi uses this ideology as a device with which to investigate its character's psychosis .	2	-1	 the[0] difference[0] in[0] this[0] case[0] is[0] that[0] while[0] my[0] colleague[0] an[0] otherwise[0] assuredly[0] realistic[0] individual[0] truly[1] believes[0] in[0] this[0] in[0] and[0] of[0] itself[0] as[0] a[0] valid[0] forecaster[0] pi[0] uses[0] this[0] ideology[0] as[0] a[0] device[0] with[0] which[0] to[0] investigate[0] its[0] character's[0] psychosis[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's also vastly more convincing with its argument . 	it's also vastly more convincing with its argument .	1	-2	 it's[0] also[0] vastly[0] more[0] convincing[0] with[0] its[0] argument[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " mathematics is the language of the universe , " insists genius protagonist maximillian cohen ( sean gullette ) in a cool , mantra-like voice-over which repeats throughout the picture . 	 " mathematics is the language of the universe , " insists genius protagonist maximillian cohen ( sean gullette ) in a cool , mantra-like voice-over which repeats throughout the picture .	2	-1	 mathematics[0] is[0] the[0] language[0] of[0] the[0] universe[0] insists[0] genius[0] protagonist[0] maximillian[0] cohen[0] sean[0] gullette[0] in[0] a[0] cool[1] mantra[0] like[1] voice[0] over[0] which[0] repeats[0] throughout[0] the[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since nature can be expressed in numbers , and there are patterns everywhere in nature , he reasons with eminent logic that finding the patterns will allow him to predict anything -- the ups and downs of the stock market , how many games the yankees will win this year , the flavour of jam i'm going to put on my toast tomorrow morning . 	since nature can be expressed in numbers , and there are patterns everywhere in nature , he reasons with eminent logic that finding the patterns will allow him to predict anything - the ups and downs of the stock market , how many games the yankees will win this year , the flavour of jam i'm going to put on my toast tomorrow morning .	1	-1	 since[0] nature[0] can[0] be[0] expressed[0] in[0] numbers[0] and[0] there[0] are[0] patterns[0] everywhere[0] in[0] nature[0] he[0] reasons[0] with[0] eminent[0] logic[0] that[0] finding[0] the[0] patterns[0] will[0] allow[0] him[0] to[0] predict[0] anything[0] the[0] ups[0] and[0] downs[0] of[0] the[0] stock[0] market[0] how[0] many[0] games[0] the[0] yankees[0] will[0] win[0] this[0] year[0] the[0] flavour[0] of[0] jam[0] i'm[0] going[0] to[0] put[0] on[0] my[0] toast[0] tomorrow[0] morning[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
obsessed with finding the proverbial key to the universe , max lives in paranoid , self-imposed solitude in a seedy nyc chinatown apartment , single-mindedly toiling away with his monstrous homemade computer system . 	obsessed with finding the proverbial key to the universe , max lives in paranoid , self-imposed solitude in a seedy nyc chinatown apartment , single-mindedly toiling away with his monstrous homemade computer system .	1	-3	 obsessed[-2] with[0] finding[0] the[0] proverbial[0] key[0] to[0] the[0] universe[0] max[0] lives[0] in[0] paranoid[-2] self[0] imposed[-1] solitude[0] in[0] a[0] seedy[0] nyc[0] chinatown[0] apartment[0] single[0] mindedly[0] toiling[0] away[0] with[0] his[0] monstrous[-2] homemade[0] computer[0] system[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
sullenly withdrawn and plauged by debilitating migraines , the elusive pursuit of a mysterious 216-digit number his machine spits out one day is driving him into madness . 	sullenly withdrawn and plauged by debilitating migraines , the elusive pursuit of a mysterious 216-digit number his machine spits out one day is driving him into madness .	1	-2	 sullenly[0] withdrawn[0] and[0] plauged[0] by[0] debilitating[0] migraines[0] the[0] elusive[0] pursuit[0] of[0] a[0] mysterious[0] 216[0] digit[0] number[0] his[0] machine[0] spits[0] out[0] one[0] day[0] is[0] driving[0] him[0] into[0] madness[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
