this is a good year if you want plenty of sci-fi on your multiplex . 	Translation	Positive	Negative	EmotionRationale
 from the comedies mars attacks and men in black , to luc besson's powerful the fifth element , and to this , sci-fi/horror that is event horizon . 	 from the comedies mars attacks and men in black , to luc besson's powerful the fifth element , and to this , sci-fi/horror that is event horizon .	1	-3	 from[0] the[0] comedies[0] mars[0] attacks[-2] and[0] men[0] in[0] black[0] to[0] luc[0] besson's[0] powerful[0] the[0] fifth[0] element[0] and[0] to[0] this[0] sci[0] fi/horror[0] that[0] is[0] event[0] horizon[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( more is on the way with contact and alien : ressurection being released later this year . ) 	 ( more is on the way with contact and alien : ressurection being released later this year .<br> )	1	-2	 more[0] is[0] on[0] the[0] way[0] with[0] contact[0] and[0] alien[-1] ressurection[0] being[0] released[0] later[0] this[0] year[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is thus : in 2040 an explorer ship called the event horizon tests out a newly invented gravity drive . 	the story is thus : in 2040 an explorer ship called the event horizon tests out a newly invented gravity drive .	1	-1	 the[0] story[0] is[0] thus[0] in[0] 2040[0] an[0] explorer[0] ship[0] called[0] the[0] event[0] horizon[0] tests[0] out[0] a[0] newly[0] invented[0] gravity[0] drive[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a device that enables a craft to travel anywhere in the universe , instantaneously . 	a device that enables a craft to travel anywhere in the universe , instantaneously .	1	-1	 a[0] device[0] that[0] enables[0] a[0] craft[0] to[0] travel[0] anywhere[0] in[0] the[0] universe[0] instantaneously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is achieved by creating a gateway , infact , a black hole , between the craft and it's required destination . 	this is achieved by creating a gateway , infact , a black hole , between the craft and it's required destination .	1	-1	 this[0] is[0] achieved[0] by[0] creating[0] a[0] gateway[0] infact[0] a[0] black[0] hole[0] between[0] the[0] craft[0] and[0] it's[0] required[0] destination[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this case , from near neptune to proxima prime . 	in this case , from near neptune to proxima prime .	1	-1	 in[0] this[0] case[0] from[0] near[0] neptune[0] to[0] proxima[0] prime[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , when the event horizon attempts this , it dissappears , without trace , leaving two searches for it fruitless . 	however , when the event horizon attempts this , it disappears , without trace , leaving two searches for it fruitless .	1	-2	 however[0] when[0] the[0] event[0] horizon[0] attempts[0] this[0] it[0] dissappears/disappears[0] without[0] trace[0] leaving[0] two[0] searches[0] for[0] it[0] fruitless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seven years later , it reappears , transmitting a distress signal and this is where the film starts . 	seven years later , it reappears , transmitting a distress signal and this is where the film starts .	1	-3	 seven[0] years[0] later[0] it[0] reappears[0] transmitting[0] a[0] distress[-2] signal[0] and[0] this[0] is[0] where[0] the[0] film[0] starts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a search and rescue ship is sent out to investigate . 	a search and rescue ship is sent out to investigate .	1	-1	 a[0] search[0] and[0] rescue[0] ship[0] is[0] sent[0] out[0] to[0] investigate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the team is led by laurence fishburne , and joining them is sam neill who plays the scientist that invented the gravity drive . 	the team is led by laurence fishburne , and joining them is sam neill who plays the scientist that invented the gravity drive .	2	-1	 the[0] team[0] is[0] led[0] by[0] laurence[0] fishburne[0] and[0] joining[0] them[0] is[0] sam[0] neill[0] who[0] plays[1] the[0] scientist[0] that[0] invented[0] the[0] gravity[0] drive[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
