 " love is the devil " is a challenging film , munundating its audience with wild imagery and a plot structure that disallows a plot , perhaps in an attempt to get us to know the artist's psyche rather than the artist's lifeline . 	Translation	Positive	Negative	EmotionRationale
watching it , i was enthralled with the look of the film , the way the director shot everything like it was looking through a bizarre , personalized filter . 	watching it , i was enthralled with the look of the film , the way the director shot everything like it was looking through a bizarre , personalized filter .	2	-2	 watching[0] it[0] i[0] was[0] enthralled[0] with[0] the[0] look[0] of[0] the[0] film[0] the[0] way[0] the[0] director[0] shot[-1] everything[0] like[1] it[0] was[0] looking[0] through[0] a[0] bizarre[-1] personalized[0] filter[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
everything looks like it is not how life looks like but how painter francis bacon , the film's subject , looked at it personally . 	everything looks like it is not how life looks like but how painter francis bacon , the film's subject , looked at it personally .	2	-1	 everything[0] looks[0] like[1] it[0] is[0] not[0] how[0] life[0] looks[0] like[1] but[0] how[0] painter[0] francis[0] bacon[0] the[0] film's[0] subject[0] looked[0] at[0] it[0] personally[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but while i was engrossed , i stumbled upon my thoughts halfway through the film , awakened from my trance by some inner distraction , and began to try and follow what's going on . 	but while i was engrossed , i stumbled upon my thoughts halfway through the film , awakened from my trance by some inner distraction , and began to try and follow what's going on .	1	-2	 but[0] while[0] i[0] was[0] engrossed[0] i[0] stumbled[0] upon[0] my[0] thoughts[0] halfway[0] through[0] the[0] film[0] awakened[0] from[0] my[0] trance[0] by[0] some[0] inner[0] distraction[-1] and[0] began[0] to[0] try[0] and[0] follow[0] what's[0] going[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
exactly what was i looking at ? 	exactly what was i looking at ?	1	-1	 exactly[0] what[0] was[0] i[0] looking[0] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching this film , i wasn't sure if it was the most insightful film i had ever seen or the most vacuous . 	watching this film , i wasn't sure if it was the most insightful film i had ever seen or the most vacuous .	1	-1	 watching[0] this[0] film[0] i[0] wasn't[0] sure[0] if[0] it[0] was[0] the[0] most[0] insightful[0] film[0] i[0] had[0] ever[0] seen[0] or[0] the[0] most[0] vacuous[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
directed ( and written ) by john maybury , " love is the devil " is stylish masterpiece for the senses . 	directed ( and written ) by john maybury , " love is the devil " is stylish masterpiece for the senses .	3	-2	 directed[0] and[0] written[0] by[0] john[0] maybury[0] love[2] is[0] the[0] devil[-1] is[0] stylish[0] masterpiece[0] for[0] the[0] senses[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
everything looks originally bizarre and perplexing . 	everything looks originally bizarre and perplexing .	1	-2	 everything[0] looks[0] originally[0] bizarre[-1] and[0] perplexing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the camera angles are ferociously askew , and the close-ups are uncomfortably too close . 	the camera angles are ferociously askew , and the close-ups are uncomfortably too close .	1	-4	 the[0] camera[0] angles[0] are[0] ferociously[-3] askew[0] and[0] the[0] close[0] ups[0] are[0] uncomfortably[-2] too[0] close[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the editing is deft , occasionally cutting away to something bizarre every couple seconds , but other times holding on a shot for so long that you wonder if the audience is not supposed to be voyeurs , or rather , intruders to bacon's world and psyche . 	the editing is deft , occasionally cutting away to something bizarre every couple seconds , but other times holding on a shot for so long that you wonder if the audience is not supposed to be voyeurs , or rather , intruders to bacon's world and psyche .	1	-2	 the[0] editing[0] is[0] deft[0] occasionally[0] cutting[0] away[0] to[0] something[0] bizarre[-1] every[0] couple[0] seconds[0] but[0] other[0] times[0] holding[0] on[0] a[0] shot[-1] for[0] so[0] long[0] that[0] you[0] wonder[0] if[0] the[0] audience[0] is[0] not[0] supposed[0] to[0] be[0] voyeurs[0] or[0] rather[0] intruders[-1] to[0] bacon's[0] world[0] and[0] psyche[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as such , there is no real story . 	as such , there is no real story .	1	-1	 as[0] such[0] there[0] is[0] no[0] real[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
