ingredients : london gal , fate , true love , running joke about monty python's spanish inquisition 	Translation	Positive	Negative	EmotionRationale
synopsis : american actress gwyneth paltrow with dark hair , playing a londoner ? 	synopsis : american actress gwyneth paltrow with dark hair , playing a londoner ?	2	-1	 synopsis[0] american[0] actress[0] gwyneth[0] paltrow[0] with[0] dark[0] hair[0] playing[1] a[0] londoner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
believe it . 	believe it .	1	-1	 believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sliding doors is a love 'what if' story . 	sliding doors is a love 'what if' story .	3	-1	 sliding[0] doors[0] is[0] a[0] love[2] 'what[0] if'[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the gimmick is that it's really two stories : the film follows the life of helen ( gwyneth paltrow ) down two directions . 	the gimmick is that it's really two stories : the film follows the life of helen ( gwyneth paltrow ) down two directions .	1	-1	 the[0] gimmick[0] is[0] that[0] it's[0] really[0] two[0] stories[0] the[0] film[0] follows[0] the[0] life[0] of[0] helen[0] gwyneth[0] paltrow[0] down[0] two[0] directions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the beginning , likeable gal 'helen' ( gwyneth paltrow ) gets unexpectedly fired from her advertising job . 	in the beginning , likeable get a life� 'helen' ( gwyneth paltrow ) gets unexpectedly fired from her advertising job .	3	-3	 in[0] the[0] beginning[0] likeable[2] gal[0] 'helen'[0] gwyneth[0] paltrow[0] gets[0] unexpectedly[-1] fired[-2] from[0] her[0] advertising[0] job[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
so she goes into the subway train station meaning to return home early to her apartment and her sleeping live-in lover gerry ( john lynch ) . 	so she goes into the subway train station meaning to return home early to her apartment and her sleeping live-in lover gerry ( john lynch ) .	4	-1	 so[0] she[0] goes[0] into[0] the[0] subway[0] train[0] station[0] meaning[0] to[0] return[0] home[0] early[0] to[0] her[0] apartment[0] and[0] her[0] sleeping[0] live[0] in[0] lover[3] gerry[0] john[0] lynch[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
helen doesn't know it , but she is at a fateful junction in life : 1 ) if she enters through the sliding door of a london subway train her life takes one path with one future 2 ) if she stays on the platform her life takes another path with a different future . 	helen doesn't know it , but she is at a fateful junction in life : 1 ) if she enters through the sliding door of a london subway train her life takes one path with one future 2 ) if she stays on the platform her life takes another path with a different future .	1	-1	 helen[0] doesn't[0] know[0] it[0] but[0] she[0] is[0] at[0] a[0] fateful[0] junction[0] in[0] life[0] 1[0] if[0] she[0] enters[0] through[0] the[0] sliding[0] door[0] of[0] a[0] london[0] subway[0] train[0] her[0] life[0] takes[0] one[0] path[0] with[0] one[0] future[0] 2[0] if[0] she[0] stays[0] on[0] the[0] platform[0] her[0] life[0] takes[0] another[0] path[0] with[0] a[0] different[0] future[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film shows what happens in both paths , switching back and forth between intertwined , parallel stories . 	the film shows what happens in both paths , switching back and forth between intertwined , parallel stories .	1	-1	 the[0] film[0] shows[0] what[0] happens[0] in[0] both[0] paths[0] switching[0] back[0] and[0] forth[0] between[0] intertwined[0] parallel[0] stories[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in story one , helen meets a charming and talkative monty python fan named james ( john hannah ) on the train . 	in story one , helen meets a charming and talkative monty python fan named james ( john hannah ) on the train .	2	-1	 in[0] story[0] one[0] helen[0] meets[0] a[0] charming[1] and[0] talkative[0] monty[0] python[0] fan[0] named[0] james[0] john[0] hannah[0] on[0] the[0] train[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
arriving home early , she discovers that her live-in , gerry ( john lynch ) , is having sex with his former lover lydia ( jeanne tripplehorn ) . 	arriving home early , she discovers that her live-in , gerry ( john lynch ) , is having sex with his former lover lydia ( jeanne tripplehorn ) .	4	-1	 arriving[0] home[0] early[0] she[0] discovers[0] that[0] her[0] live[0] in[0] gerry[0] john[0] lynch[0] is[0] having[0] sex[0] with[0] his[0] former[0] lover[3] lydia[0] jeanne[0] tripplehorn[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
