 " you'll go ape over tarzan because it's more fun than a barrel of monkeys ! " 	Translation	Positive	Negative	EmotionRationale
okay , there's the quote in case disney wants to put something in their ads for the movie . 	okay , there's the quote in case disney wants to put something in their ads for the movie .	1	-1	 okay[0] there's[0] the[0] quote[0] in[0] case[0] disney[0] wants[0] to[0] put[0] something[0] in[0] their[0] ads[0] for[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
disney's latest animated feature throws us right into the action from the very beginning , skipping the usual main title sequence and putting us on pitching waves as a small family attempts to escape from a sinking ship . 	disney's latest animated feature throws us right into the action from the very beginning , skipping the usual main title sequence and putting us on pitching waves as a small family attempts to escape from a sinking ship .	1	-1	 disney's[0] latest[0] animated[0] feature[0] throws[0] us[0] right[0] into[0] the[0] action[0] from[0] the[0] very[0] beginning[0] skipping[0] the[0] usual[0] main[0] title[0] sequence[0] and[0] putting[0] us[0] on[0] pitching[0] waves[0] as[0] a[0] small[0] family[0] attempts[0] to[0] escape[0] from[0] a[0] sinking[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
father , mother , and infant somehow make it to shore amidst a rousing song by phil collins , and have soon built a treehouse which would impress the swiss family robinson . 	father , mother , and infant somehow make it to shore amidst a rousing song by phil collins , and have soon built a treehouse which would impress the swiss family robinson .	1	-1	 father[0] mother[0] and[0] infant[0] somehow[0] make[0] it[0] to[0] shore[0] amidst[0] a[0] rousing[0] song[0] by[0] phil[0] collins[0] and[0] have[0] soon[0] built[0] a[0] treehouse[0] which[0] would[0] impress[1][-1 LastWordBoosterStrength] the[0] swiss[0] family[0] robinson[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's amazing , the kinds of things you can do when you work to a soundtrack . 	it's amazing , the kinds of things you can do when you work to a soundtrack .	3	-1	 it's[0] amazing[2] the[0] kinds[0] of[0] things[0] you[0] can[0] do[0] when[0] you[0] work[0] to[0] a[0] soundtrack[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
before you know it , an unfortunate set of circumstances put the baby in the hands of kala ( glenn close ) , a mother ape who recently lost her own baby to a predatory leopard . 	before you know it , an unfortunate set of circumstances put the baby in the hands of kala ( glen close ) , a mother ape who recently lost her own baby to a predatory leopard .	2	-2	 before[0] you[0] know[0] it[0] an[0] unfortunate[-1] set[0] of[0] circumstances[0] put[0] the[0] baby[1] in[0] the[0] hands[0] of[0] kala[0] glenn/glen[0] close[0] a[0] mother[0] ape[0] who[0] recently[0] lost[0] her[0] own[0] baby[1] to[0] a[0] predatory[0] leopard[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
against the wishes of her mate and family leader , kerchak ( lance henricksen ) , she takes on the infant boy as her own . 	against the wishes of her mate and family leader , kerchak ( lance henricksen ) , she takes on the infant boy as her own .	2	-2	 against[-1] the[0] wishes[0] of[0] her[0] mate[1] and[0] family[0] leader[0] kerchak[0] lance[0] henricksen[0] she[0] takes[0] on[0] the[0] infant[0] boy[0] as[0] her[0] own[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
tarzan is not so much a story about a human boy surviving in the african jungles as it is about one who does not really fit in either humanity or the wild . 	tarzan is not so much a story about a human boy surviving in the african jungles as it is about one who does not really fit in either humanity or the wild .	1	-1	 tarzan[0] is[0] not[0] so[0] much[0] a[0] story[0] about[0] a[0] human[0] boy[0] surviving[0] in[0] the[0] african[0] jungles[0] as[0] it[0] is[0] about[0] one[0] who[0] does[0] not[0] really[0] fit[0] in[0] either[0] humanity[0] or[0] the[0] wild[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much of tarzan's young life is spent trying to become one of the apes in the eyes of his peers and his " father , " which occasionally gets him into trouble no matter how well-meant his attempts . 	much of tarzan's young life is spent trying to become one of the apes in the eyes of his peers and his " father , " which occasionally gets him into trouble no matter how well-meant his attempts .	1	-2	 much[0] of[0] tarzan's[0] young[0] life[0] is[0] spent[0] trying[0] to[0] become[0] one[0] of[0] the[0] apes[0] in[0] the[0] eyes[0] of[0] his[0] peers[0] and[0] his[0] father[0] which[0] occasionally[0] gets[0] him[0] into[0] trouble[-1] no[0] matter[0] how[0] well[0] meant[0] his[0] attempts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all he's looking for is acceptance , perhaps a goal easily identifiable by young viewers , but one which will ring true with a lot of adults . 	all he's looking for is acceptance , perhaps a goal easily identifiable by young viewers , but one which will ring true with a lot of adults .	2	-1	 all[0] he's[0] looking[0] for[0] is[0] acceptance[0] perhaps[0] a[0] goal[0] easily[0] identifiable[0] by[0] young[0] viewers[0] but[0] one[0] which[0] will[0] ring[0] true[1] with[0] a[0] lot[0] of[0] adults[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when you really think about it , this story fits right into the disney formula of the outcast that triumphs in the end . 	when you really think about it , this story fits right into the disney formula of the outcast that triumphs in the end .	3	-2	 when[0] you[0] really[0] think[0] about[0] it[0] this[0] story[0] fits[0] right[0] into[0] the[0] disney[0] formula[0] of[0] the[0] outcast[-1] that[0] triumphs[2] in[0] the[0] end[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
look back on past disney animated features and you'll see the trend . 	look back on past disney animated features and you'll see the trend .	1	-1	 look[0] back[0] on[0] past[0] disney[0] animated[0] features[0] and[0] you'll[0] see[0] the[0] trend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
growing up , tarzan ( voiced by alex d . linz as a child , and by tony goldwyn as an adult ) has a couple of friends . 	growing up , tarzan ( voiced by alex d .<br> linz as a child , and by tony goldwyn as an adult ) has a couple of friends .	2	-1	 growing[0] up[0] tarzan[0] voiced[0] by[0] alex[0] d[0] [[Sentence=-1,1=word max, 1-5]] linz[0] as[0] a[0] child[0] and[0] by[0] tony[0] goldwyn[0] as[0] an[0] adult[0] has[0] a[0] couple[0] of[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one is an ape named terk ( rosie o'donnell ) , and the other is a paranoid hypochondriac of an elephant named tantor ( wayne knight ) . 	one is an ape named terk ( rosie o'donnell ) , and the other is a paranoid hypochondriac of an elephant named tantor ( wayne knight ) .	1	-3	 one[0] is[0] an[0] ape[0] named[0] terk[0] rosie[0] o'donnell[0] and[0] the[0] other[0] is[0] a[0] paranoid[-2] hypochondriac[-1] of[0] an[0] elephant[0] named[0] tantor[0] wayne[0] knight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
both provide the requisite comic relief ( timon and poombah from the lion king immediately come to mind ) and perform the usual hijinks as prescribed by the disney mold . 	both provide the requisite comic relief ( timon and poombah from the lion king immediately come to mind ) and perform the usual hijinks as prescribed by the disney mold .	2	-1	 both[0] provide[0] the[0] requisite[0] comic[0] relief[1] timon[0] and[0] poombah[0] from[0] the[0] lion[0] king[0] immediately[0] come[0] to[0] mind[0] and[0] perform[0] the[0] usual[0] hijinks[0] as[0] prescribed[0] by[0] the[0] disney[0] mold[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm beginning to think anyone can write the screenplay for one of these films . 	i'm beginning to think anyone can write the screenplay for one of these films .	1	-1	 i'm[0] beginning[0] to[0] think[0] anyone[0] can[0] write[0] the[0] screenplay[0] for[0] one[0] of[0] these[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
just fill in the blanks ! 	just fill in the blanks !	1	-1	 just[0] fill[0] in[0] the[0] blanks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
can you see it ? 	can you see it ?	1	-1	 can[0] you[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " now we have to have a couple of zany friends for out hero who might get him into mischief , but cover for him or come to his rescue when he needs it . 	 " now we have to have a couple of zany friends for out hero who might get him into mischief , but cover for him or come to his rescue when he needs it .	3	-2	 now[0] we[0] have[0] to[0] have[0] a[0] couple[0] of[0] zany[0] friends[1] for[0] out[0] hero[2] who[0] might[0] get[0] him[0] into[0] mischief[-1] but[0] cover[0] for[0] him[0] or[0] come[0] to[0] his[0] rescue[0] when[0] he[0] needs[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we've already had a fish and a crab , and we've had a candle and a teapot , a genie and a dog , a few stone statues . . . . have 	we've already had a fish and a crab , and we've had a candle and a teapot , a genie and a dog , a few stone statues .<br> .<br> .<br> .<br> have	1	-1	 we've[0] already[0] had[0] a[0] fish[0] and[0] a[0] crab[0] and[0] we've[0] had[0] a[0] candle[0] and[0] a[0] teapot[0] a[0] genie[0] and[0] a[0] dog[0] a[0] few[0] stone[0] statues[0] [[Sentence=-1,1=word max, 1-5]] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we had an ape and an elephant yet ? 	we had an ape and an elephant yet ?	1	-1	 we[0] had[0] an[0] ape[0] and[0] an[0] elephant[0] yet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , there we go ! " 	well , there we go !<br> "	1	-1	 well[0] there[0] we[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , there's gotta be romance somewhere along the line , so jane ( minnie driver ) gets introduced about halfway through . 	of course , there's gotta be romance somewhere along the line , so jane ( minnie driver ) gets introduced about halfway through .	4	-1	 of[0] course[0] there's[0] gotta[0] be[0] romance[3] somewhere[0] along[0] the[0] line[0] so[0] jane[0] minnie[0] driver[0] gets[0] introduced[0] about[0] halfway[0] through[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
together with her father dr . porter ( nigel hawthorne ) and the big game hunter clayton ( brian blessed ) , jane is on an expedition to find and study the wild gorillas of africa . 	together with her father dr .<br> porter ( nigel hawthorne ) and the big game hunter clayton ( brian blessed ) , jane is on an expedition to find and study the wild gorillas of africa .	2	-2	 together[0] with[0] her[0] father[0] dr[0] [[Sentence=-1,1=word max, 1-5]] porter[0] nigel[0] hawthorne[0] and[0] the[0] big[0] game[0] hunter[-1] clayton[0] brian[0] blessed[1] jane[0] is[0] on[0] an[0] expedition[0] to[0] find[0] and[0] study[0] the[0] wild[0] gorillas[0] of[0] africa[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she discovers the man raised by apes and is enchanted almost immediately , and soon shares an amusing version of the compulsory " you tarzan , me jane " scene . 	she discovers the man raised by apes and is enchanted almost immediately , and soon shares an amusing version of the compulsory " you tarzan , me jane " scene .	2	-1	 she[0] discovers[0] the[0] man[0] raised[0] by[0] apes[0] and[0] is[0] enchanted[0] almost[0] immediately[0] and[0] soon[0] shares[0] an[0] amusing[1] version[0] of[0] the[0] compulsory[0] you[0] tarzan[0] me[0] jane[0] scene[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thankfully , those aren't the exact words . 	thankfully , those aren't the exact words .	2	-1	 thankfully[1] those[0] aren't[0] the[0] exact[0] words[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , i found it distracting that tarzan is going " ohh ohh ee ee " one second and then tells jane his name in this manly voice with perfect diction . 	however , i found it distracting that tarzan is going " oh oh ee ee " one second and then tells jane his name in this manly voice with perfect diction .	2	-2	 however[0] i[0] found[0] it[0] distracting[-1] that[0] tarzan[0] is[0] going[0] ohh/oh[0] ohh/oh[0] ee[0] ee[0] one[0] second[0] and[0] then[0] tells[0] jane[0] his[0] name[0] in[0] this[0] manly[0] voice[0] with[0] perfect[1] diction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
how does he tell his name to another ape ? 	how does he tell his name to another ape ?	1	-1	 how[0] does[0] he[0] tell[0] his[0] name[0] to[0] another[0] ape[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " ohh ohh ee - tarzan - ee ee ohh ? " 	 " oh oh ee - tarzan - ee ee oh ?<br> "	1	-1	 ohh/oh[0] ohh/oh[0] ee[0] tarzan[0] ee[0] ee[0] ohh/oh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , regardless of my picky nature , the romance actually works as only disney romance can : purely contrived , but for some reason rather believable . 	well , regardless of my picky nature , the romance actually works as only disney romance can : purely contrived , but for some reason rather believable .	4	-2	 well[0] regardless[-1] of[0] my[0] picky[0] nature[0] the[0] romance[3] actually[0] works[0] as[0] only[0] disney[0] romance[3] can[0] purely[0] contrived[0] but[0] for[0] some[0] reason[0] rather[0] believable[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but hey , tarzan's a young adult . 	but hey , tarzan's a young adult .	2	-1	 but[0] hey[1] tarzan's[0] a[0] young[0] adult[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
do you think he dated a few of the female apes before meeting jane ? 	do you think he dated a few of the female apes before meeting jane ?	1	-1	 do[0] you[0] think[0] he[0] dated[0] a[0] few[0] of[0] the[0] female[0] apes[0] before[0] meeting[0] jane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
isn't that illegal in most countries ? 	isn't that illegal in most countries ?	2	-1	 isn't[0] that[0] illegal[-1][NegatedDueToPreviousWord] in[0] most[0] countries[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
oh , well . 	oh , well .	1	-1	 oh[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i don't think disney will be using my quote anymore . 	i don't think disney will be using my quote anymore .	1	-1	 i[0] don't[0] think[0] disney[0] will[0] be[0] using[0] my[0] quote[0] anymore[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tarzan departs from the usual disney feature in that this one is not a musical . 	tarzan departs from the usual disney feature in that this one is not a musical .	1	-1	 tarzan[0] departs[0] from[0] the[0] usual[0] disney[0] feature[0] in[0] that[0] this[0] one[0] is[0] not[0] a[0] musical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's lots of music to be sure , but not a single character song in the whole hour and a half of running time . 	there's lots of music to be sure , but not a single character song in the whole hour and a half of running time .	1	-1	 there's[0] lots[0] of[0] music[0] to[0] be[0] sure[0] but[0] not[0] a[0] single[0] character[0] song[0] in[0] the[0] whole[0] hour[0] and[0] a[0] half[0] of[0] running[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we instead get more of a phil collins concert , as no less than five of his original songs are used as interlude material . 	we instead get more of a phil collins concert , as no less than five of his original songs are used as interlude material .	1	-1	 we[0] instead[0] get[0] more[0] of[0] a[0] phil[0] collins[0] concert[0] as[0] no[0] less[0] than[0] five[0] of[0] his[0] original[0] songs[0] are[0] used[0] as[0] interlude[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this isn't really a bad thing , as the songs are very high-energy and catchy ( i found myself singing one to myself for most of the following day ) ; it's just different . 	this isn't really a bad thing , as the songs are very high-energy and catchy ( i found myself singing one to myself for most of the following day ) ; it's just different .	2	-1	 this[0] isn't[0] really[0] a[0] bad[-1][NegatedDueToPreviousWord] thing[0] as[0] the[0] songs[0] are[0] very[0] high[0] energy[0] and[0] catchy[0] i[0] found[0] myself[0] singing[0] one[0] to[0] myself[0] for[0] most[0] of[0] the[0] following[0] day[0] it's[0] just[0] different[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
do yourself a favor and see this film in a theater with a good sound system , because the music will come through astonishingly well and really enhance the movie . 	do yourself a favor and see this film in a theater with a good sound system , because the music will come through astonishingly well and really enhance the movie .	2	-1	 do[0] yourself[0] a[0] favor[1] and[0] see[0] this[0] film[0] in[0] a[0] theater[0] with[0] a[0] good[1] sound[0] system[0] because[0] the[0] music[0] will[0] come[0] through[0] astonishingly[0] well[0] and[0] really[0] enhance[0] the[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with each new feature , disney animation gets even better . 	with each new feature , disney animation gets even better .	1	-1	 with[0] each[0] new[0] feature[0] disney[0] animation[0] gets[0] even[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not necessarily by leaps and bounds , but since they put out a new film each year , a steady rate of improvement is apparent , and this definitely shows in tarzan . 	not necessarily by leaps and bounds , but since they put out a new film each year , a steady rate of improvement is apparent , and this definitely shows in tarzan .	2	-1	 not[0] necessarily[0] by[0] leaps[0] and[0] bounds[0] but[0] since[0] they[0] put[0] out[0] a[0] new[0] film[0] each[0] year[0] a[0] steady[0] rate[0] of[0] improvement[1] is[0] apparent[0] and[0] this[0] definitely[0] shows[0] in[0] tarzan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are a couple of scenes where the animation achieves a near 3-d effect , and a number of scenes which feature tarzan moving through the trees are absolutely dizzying . 	there are a couple of scenes where the animation achieves a near 3-d effect , and a number of scenes which feature tarzan moving through the trees are absolutely dizying .	1	-1	 there[0] are[0] a[0] couple[0] of[0] scenes[0] where[0] the[0] animation[0] achieves[0] a[0] near[0] 3[0] d[0] effect[0] and[0] a[0] number[0] of[0] scenes[0] which[0] feature[0] tarzan[0] moving[0] through[0] the[0] trees[0] are[0] absolutely[0] dizzying/dizying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
