film adaptation of hunter s . thompson's infamous semi-autobiographical hallucinogen-fueled book of the same title . 	Translation	Positive	Negative	EmotionRationale
director terry gilliam of twelve monkeys ( 8/10 ) and brazil ( 7/10 ) fame , took over the helm of this project after fellow director alex cox ( sid and nancy ( 7 . 5/10 ) ) 	director terry gilliam of twelve monkeys ( 8/10 ) and brazil ( 7/10 ) fame , took over the helm of this project after fellow director alex cox ( sid and nancy ( 7 .<br> 5/10 ) )	1	-1	 director[0] terry[0] gilliam[0] of[0] twelve[0] monkeys[0] 8/10[0] and[0] brazil[0] 7/10[0] fame[0] took[0] over[0] the[0] helm[0] of[0] this[0] project[0] after[0] fellow[0] director[0] alex[0] cox[0] sid[0] and[0] nancy[0] 7[0] [[Sentence=-1,1=word max, 1-5]] 5/10[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " apparently alienated everyone associated with the movie " , according to gilliam . 	 " apparently alienated everyone associated with the movie " , according to gilliam .	1	-2	 apparently[0] alienated[-1] everyone[0] associated[0] with[0] the[0] movie[0] according[0] to[0] gilliam[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : writer thompson ( depp ) heads down to las vegas with his attorney dr . gonzo ( del toro ) to cover a motorcycle race . 	plot : writer thompson ( dep ) heads down to las vegas with his attorney dr .<br> gonzo ( del toro ) to cover a motorcycle race .	1	-1	 plot[0] writer[0] thompson[0] depp/dep[0] heads[0] down[0] to[0] las[0] vegas[0] with[0] his[0] attorney[0] dr[0] [[Sentence=-1,1=word max, 1-5]] gonzo[0] del[0] toro[0] to[0] cover[0] a[0] motorcycle[0] race[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during their trip , they systematically consume " two bags of grass , seventy-five pellets of mescaline , five sheets of high powered blotter acid , a salt shaker half-full of cocaine , a whole galaxy of multi-colored uppers , downers , screamers , laughers , a quart of tequila , a quart of rum , a case of beer , a pint of raw ether and two dozen amyls . 	during their trip , they systematically consume " two bags of grass , seventy-five pellets of mescaline , five sheets of high powered blotter acid , a salt shaker half-full of cocaine , a whole galaxy of multi-colored uppers , downers , screamers , laughers , a quart of tequila , a quart of rum , a case of beer , a pint of raw ether and two dozen amyls .	2	-4	 during[0] their[0] trip[0] they[0] systematically[0] consume[0] two[0] bags[0] of[0] grass[0] seventy[0] five[0] pellets[0] of[0] mescaline[0] five[0] sheets[0] of[0] high[0] powered[0] blotter[0] acid[0] a[0] salt[0] shaker[-1] half[0] full[0] of[0] cocaine[0] a[0] whole[0] galaxy[0] of[0] multi[0] colored[0] uppers[0] downers[0] screamers[-3] laughers[1] a[0] quart[0] of[0] tequila[0] a[0] quart[0] of[0] rum[0] a[0] case[0] of[0] beer[0] a[0] pint[0] of[0] raw[0] ether[0] and[0] two[0] dozen[0] amyls[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the movie presents us with the results of that heavy drug use . 	the movie presents us with the results of that heavy drug use .	1	-1	 the[0] movie[0] presents[0] us[0] with[0] the[0] results[0] of[0] that[0] heavy[0] drug[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : i have given this movie two separate ratings because i believe that the enjoyment of this psychedelic picture is highly correlated with the amount of drugs or alcohol that would be floating around in the viewer's own mind , whilst inhaling this cinematic vision of excess . 	critique : i have given this movie two separate ratings because i believe that the enjoyment of this psychedelic picture is highly correlated with the amount of drugs or alcohol that would be floating around in the viewer's own mind , whilst inhaling this cinematic vision of excess .	3	-2	 critique[0] i[0] have[0] given[0] this[0] movie[0] two[0] separate[0] ratings[0] because[0] i[0] believe[0] that[0] the[0] enjoyment[2] of[0] this[0] psychedelic[0] picture[0] is[0] highly[0] correlated[0] with[0] the[0] amount[0] of[0] drugs[0] or[0] alcohol[0] that[0] would[0] be[0] floating[0] around[0] in[0] the[0] viewer's[0] own[0] mind[0] whilst[0] inhaling[0] this[0] cinematic[0] vision[0] of[0] excess[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if you are prepared to get high or intoxicated before watching this film , i would say that this is one picture that you will thoroughly enjoy on a multitude of colorful levels . 	if you are prepared to get high or intoxicated before watching this film , i would say that this is one picture that you will thoroughly enjoy on a multitude of colorful levels .	3	-2	 if[0] you[0] are[0] prepared[0] to[0] get[0] high[0] or[0] intoxicated[-1] before[0] watching[0] this[0] film[0] i[0] would[0] say[0] that[0] this[0] is[0] one[0] picture[0] that[0] you[0] will[0] thoroughly[0] enjoy[2] on[0] a[0] multitude[0] of[0] colorful[0] levels[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if , on the other hand , you decide to stray from the addition of nefarious elements to your system , i could not imagine you truly appreciating much of this drug-induced picture's entire ride ( 5 . 5/10 for all those sober dogs ) . 	if , on the other hand , you decide to stray from the addition of nefarious elements to your system , i could not imagine you truly appreciating much of this drug-induced picture's entire ride ( 5 .<br> 5/10 for all those sober dogs ) .	2	-2	 if[0] on[0] the[0] other[0] hand[0] you[0] decide[0] to[0] stray[-1] from[0] the[0] addition[0] of[0] nefarious[0] elements[0] to[0] your[0] system[0] i[0] could[0] not[0] imagine[0] you[0] truly[1] appreciating[1] much[0] of[0] this[0] drug[0] induced[0] picture's[0] entire[0] ride[0] 5[0] [[Sentence=-2,2=word max, 1-5]] 5/10[0] for[0] all[0] those[0] sober[0] dogs[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
note : i have not read thompson's book . 	note : i have not read thompson's book .	1	-1	 note[0] i[0] have[0] not[0] read[0] thompson's[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
having said that , joblo did engage in an alcohol-based consumatory session before ( and during ) the viewing of this film , so his critique of the film should be appreciated on that level . 	having said that , joblo did engage in an alcohol-based consumatory session before ( and during ) the viewing of this film , so his critique of the film should be appreciated on that level .	2	-1	 having[0] said[0] that[0] joblo[0] did[0] engage[0] in[0] an[0] alcohol[0] based[0] consumatory[0] session[0] before[0] and[0] during[0] the[0] viewing[0] of[0] this[0] film[0] so[0] his[0] critique[0] of[0] the[0] film[0] should[0] be[0] appreciated[1] on[0] that[0] level[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
