jack nicholson has a funny way of playing characters with very few redeeming qualities , but whom you end up liking anyway . 	Translation	Positive	Negative	EmotionRationale
in as good as it gets , the character in question is melvin udall , a successful novelist with obsessive-compulsive disorder who seems bent on having as little contact with people around him as possible , except when he feels like being a royal pain in the you-know-where . 	in as good as it gets , the character in question is melvin udall , a successful novelist with obsessive-compulsive disorder who seems bent on having as little contact with people around him as possible , except when he feels like being a royal pain in the you-know-where .	3	-4	 in[0] as[0] good[1] as[0] it[0] gets[0] the[0] character[0] in[0] question[0] is[0] melvin[0] udall[0] a[0] successful[2] novelist[0] with[0] obsessive[-2] compulsive[0] disorder[-1] who[0] seems[0] bent[0] on[0] having[0] as[0] little[0] contact[0] with[0] people[0] around[0] him[0] as[0] possible[0] except[0] when[0] he[0] feels[0] like[1] being[0] a[0] royal[0] pain[-3] in[0] the[0] you[0] know[0] where[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
he's mean . 	he's mean .	1	-1	 he's[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i mean really mean . 	i mean really mean .	1	-1	 i[0] mean[0] really[0] mean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening scene shows him shoving a little dog down the trash chute of his manhattan condominium . 	the opening scene shows him shoving a little dog down the trash chute of his manhattan condominium .	1	-2	 the[0] opening[0] scene[0] shows[0] him[0] shoving[0] a[0] little[0] dog[0] down[0] the[0] trash[-1] chute[0] of[0] his[0] manhattan[0] condominium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
every day , melvin eats at the same cafe , sits at the same table , and gets served by the same waitress . 	every day , melvin eats at the same cafe , sits at the same table , and gets served by the same waitress .	1	-1	 every[0] day[0] melvin[0] eats[0] at[0] the[0] same[0] cafe[0] sits[0] at[0] the[0] same[0] table[0] and[0] gets[0] served[0] by[0] the[0] same[0] waitress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you can tell that this is his favorite place to be a vicious nuisance , when his waitress carol ( helen hunt ) tells him he can just go sit in another section , and all the other waitresses just cringe . 	you can tell that this is his favorite place to be a vicious nuisance , when his waitress carol ( helen hunt ) tells him he can just go sit in another section , and all the other waitresses just cringe .	2	-4	 you[0] can[0] tell[0] that[0] this[0] is[0] his[0] favorite[1] place[0] to[0] be[0] a[0] vicious[-3] nuisance[-1] when[0] his[0] waitress[0] carol[0] helen[0] hunt[0] tells[0] him[0] he[0] can[0] just[0] go[0] sit[0] in[0] another[0] section[0] and[0] all[0] the[0] other[0] waitresses[0] just[0] cringe[-1][--1 LastWordBoosterStrength] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
one day , melvin makes a comment that goes to far , and carol , genuinely hurt , comes down on him like a ton of bricks . 	one day , melvin makes a comment that goes to far , and carol , genuinely hurt , comes down on him like a ton of bricks .	2	-3	 one[0] day[0] melvin[0] makes[0] a[0] comment[0] that[0] goes[0] to[0] far[0] and[0] carol[0] genuinely[0] hurt[-2] comes[0] down[0] on[0] him[0] like[1] a[0] ton[0] of[0] bricks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
at that point we find that she is not only the only person who can put up with him as a matter of course , but is also the only person who can get to him , too . 	at that point we find that she is not only the only person who can put up with him as a matter of course , but is also the only person who can get to him , too .	1	-1	 at[0] that[0] point[0] we[0] find[0] that[0] she[0] is[0] not[0] only[0] the[0] only[0] person[0] who[0] can[0] put[0] up[0] with[0] him[0] as[0] a[0] matter[0] of[0] course[0] but[0] is[0] also[0] the[0] only[0] person[0] who[0] can[0] get[0] to[0] him[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
another person who often crosses melvin's sights is simon ( greg kinnear ) , an artist who lives on melvin's floor . 	another person who often crosses melvin's sights is simon ( greg kinnear ) , an artist who lives on melvin's floor .	1	-1	 another[0] person[0] who[0] often[0] crosses[0] melvin's[0] sights[0] is[0] simon[0] greg[0] kinnear[0] an[0] artist[0] who[0] lives[0] on[0] melvin's[0] floor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from the fact that he lives near the terror of the city , simon has the added benefit of being gay , making him a prime target . 	aside from the fact that he lives near the terror of the city , simon has the added benefit of being gay , making him a prime target .	1	-2	 aside[0] from[0] the[0] fact[0] that[0] he[0] lives[0] near[0] the[0] terror[-1] of[0] the[0] city[0] simon[0] has[0] the[0] added[0] benefit[0] of[0] being[0] gay[-1] making[0] him[0] a[0] prime[0] target[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
simon's friend frank ( cuba gooding , jr . ) , also gay , does not fare much better . 	simon's friend frank ( cuba gooding , jr .<br> ) , also gay , does not fare much better .	2	-2	 simon's[0] friend[1] frank[0] cuba[0] gooding[0] jr[0] [[Sentence=-1,2=word max, 1-5]] also[0] gay[-1] does[0] not[0] fare[0] much[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
when simon walks in on a pair of men robbing his apartment , he is brutally beaten and sent to the hospital , and frank , who has grown tired of seeing his friend take the verbal abuse dished out by his neighbor , intimidates melvin into watching after simon's dog while he convalesces . 	when simon walks in on a pair of men robbing his apartment , he is brutally beaten and sent to the hospital , and frank , who has grown tired of seeing his friend take the verbal abuse dished out by his neighbor , intimidates melvin into watching after simon's dog while he convalesces .	2	-4	 when[0] simon[0] walks[0] in[0] on[0] a[0] pair[0] of[0] men[0] robbing[0] his[0] apartment[0] he[0] is[0] brutally[-2] beaten[0] and[0] sent[0] to[0] the[0] hospital[0] and[0] frank[0] who[0] has[0] grown[0] tired[-1] of[0] seeing[0] his[0] friend[1] take[0] the[0] verbal[0] abuse[-3] dished[0] out[0] by[0] his[0] neighbor[0] intimidates[-3] melvin[0] into[0] watching[0] after[0] simon's[0] dog[0] while[0] he[0] convalesces[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this is the same dog melvin had earlier shoved down the garbage . 	this is the same dog melvin had earlier shoved down the garbage .	1	-3	 this[0] is[0] the[0] same[0] dog[0] melvin[0] had[0] earlier[0] shoved[0] down[0] the[0] garbage[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an interesting thing happens when melvin takes this dog in : melvin gets to like the dog , and the two develop an attachment which is the catalyst to melvin's softening up to the world around him . 	an interesting thing happens when melvin takes this dog in : melvin gets to like the dog , and the two develop an attachment which is the catalyst to melvin's softening up to the world around him .	2	-1	 an[0] interesting[1] thing[0] happens[0] when[0] melvin[0] takes[0] this[0] dog[0] in[0] melvin[0] gets[0] to[0] like[1] the[0] dog[0] and[0] the[0] two[0] develop[0] an[0] attachment[0] which[0] is[0] the[0] catalyst[0] to[0] melvin's[0] softening[0] up[0] to[0] the[0] world[0] around[0] him[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't happen overnight , but throughout the film , he bites his tongue here , cares a little there , and most miraculously , falls in love . 	it doesn't happen overnight , but throughout the film , he bites his tongue here , cares a little there , and most miraculously , falls in love .	3	-1	 it[0] doesn't[0] happen[0] overnight[0] but[0] throughout[0] the[0] film[0] he[0] bites[0] his[0] tongue[0] here[0] cares[1] a[0] little[0] there[0] and[0] most[0] miraculously[0] falls[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the best elements of this film is watching melvin try to express feelings which are not the usual negative ones he so often shares with others . 	one of the best elements of this film is watching melvin try to express feelings which are not the usual negative ones he so often shares with others .	2	-2	 one[0] of[0] the[0] best[1] elements[0] of[0] this[0] film[0] is[0] watching[0] melvin[0] try[0] to[0] express[0] feelings[0] which[0] are[0] not[0] the[0] usual[0] negative[-1] ones[0] he[0] so[0] often[0] shares[0] with[0] others[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's traveling terra incognita here , and it shows . 	he's traveling terra incognita here , and it shows .	1	-1	 he's[0] traveling[0] terra[0] incognita[0] here[0] and[0] it[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
good performances are turned in by all principal players in this film , especially by nicholson and hunt . 	good performances are turned in by all principal players in this film , especially by nicholson and hunt .	2	-1	 good[1] performances[0] are[0] turned[0] in[0] by[0] all[0] principal[0] players[0] in[0] this[0] film[0] especially[0] by[0] nicholson[0] and[0] hunt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they play well off of each other and have a genuine chemistry which makes it a pleasure to watch them on screen . 	they play well off of each other and have a genuine chemistry which makes it a pleasure to watch them on screen .	3	-1	 they[0] play[0] well[0] off[0] of[0] each[0] other[0] and[0] have[0] a[0] genuine[0] chemistry[0] which[0] makes[0] it[0] a[0] pleasure[2] to[0] watch[0] them[0] on[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
greg kinnear , who is becoming known for his supporting film roles , is also very good at playing the vulnerable simon . 	greg kinnear , who is becoming known for his supporting film roles , is also very good at playing the vulnerable simon .	3	-3	 greg[0] kinnear[0] who[0] is[0] becoming[0] known[0] for[0] his[0] supporting[1] film[0] roles[0] is[0] also[0] very[0] good[1][1 LastWordBoosterStrength] at[0] playing[1] the[0] vulnerable[-2] simon[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he gives a short monologue about what it means for him to be an artist , and delivers it with such inspiration and conviction that you actually get to feel some of what he feels . 	he gives a short monologue about what it means for him to be an artist , and delivers it with such inspiration and conviction that you actually get to feel some of what he feels .	3	-2	 he[0] gives[0] a[0] short[0] monologue[0] about[0] what[0] it[0] means[0] for[0] him[0] to[0] be[0] an[0] artist[0] and[0] delivers[0] it[0] with[0] such[0] inspiration[2] and[0] conviction[-1] that[0] you[0] actually[0] get[0] to[0] feel[0] some[0] of[0] what[0] he[0] feels[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
cuba gooding jr . performs with a hyped-up level of energy which contrasts nicely with that of kinnear , and comes through with a near constant comic performance . 	cuba gooding jr .<br> performs with a hyped-up level of energy which contrasts nicely with that of kinnear , and comes through with a near constant comic performance .	2	-1	 cuba[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] performs[0] with[0] a[0] hyped[0] up[0] level[0] of[0] energy[0] which[0] contrasts[0] nicely[1] with[0] that[0] of[0] kinnear[0] and[0] comes[0] through[0] with[0] a[0] near[0] constant[0] comic[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the screenplay , by mark andrus and james l . brooks , is clever , touching , and funny . 	the screenplay , by mark andrus and james l .<br> brooks , is clever , touching , and funny .	2	-1	 the[0] screenplay[0] by[0] mark[0] andrus[0] and[0] james[0] l[0] [[Sentence=-1,1=word max, 1-5]] brooks[0] is[0] clever[0] touching[0] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the best part about it , however , is that it is filled with characters we care about because they are actually interesting . 	the best part about it , however , is that it is filled with characters we care about because they are actually interesting .	2	-1	 the[0] best[1] part[0] about[0] it[0] however[0] is[0] that[0] it[0] is[0] filled[0] with[0] characters[0] we[0] care[1] about[0] because[0] they[0] are[0] actually[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
melvin is a man we can't quite figure out , but whose mannerisms and quirky qualities capture our attention . 	melvin is a man we can't quite figure out , but whose mannerisms and quirky qualities capture our attention .	1	-2	 melvin[0] is[0] a[0] man[0] we[0] can't[0] quite[0] figure[0] out[0] but[0] whose[0] mannerisms[0] and[0] quirky[0] qualities[0] capture[-1] our[0] attention[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
carol is a working woman living with her mother , trying to take care of a child with a debilitating respiratory problem . 	carol is a working woman living with her mother , trying to take care of a child with a debilitating respiratory problem .	2	-2	 carol[0] is[0] a[0] working[0] woman[0] living[0] with[0] her[0] mother[0] trying[0] to[0] take[0] care[1] of[0] a[0] child[0] with[0] a[0] debilitating[0] respiratory[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
simon is a man who is a success in his circle of peers , but who is still not accepted by much of society . 	simon is a man who is a success in his circle of peers , but who is still not accepted by much of society .	3	-1	 simon[0] is[0] a[0] man[0] who[0] is[0] a[0] success[2] in[0] his[0] circle[0] of[0] peers[0] but[0] who[0] is[0] still[0] not[0] accepted[0] by[0] much[0] of[0] society[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
combined with the talent of the actors , these characters make the film . 	combined with the talent of the actors , these characters make the film .	2	-1	 combined[0] with[0] the[0] talent[1] of[0] the[0] actors[0] these[0] characters[0] make[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
