carolco pictures and dutch director paul verhoeven ( robocop ) came together to create the 1990 mega hit that is total recall . 	Translation	Positive	Negative	EmotionRationale
the film is a masterpiece of sets , action , and special effects . 	the film is a masterpiece of sets , action , and special effects .	2	-1	 the[0] film[0] is[0] a[0] masterpiece[0] of[0] sets[0] action[0] and[0] special[1] effects[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
action and science fiction just don't get any better than this ! 	action and science fiction just don't get any better than this !	1	-1	 action[0] and[0] science[0] fiction[0] just[0] don't[0] get[0] any[0] better[0] than[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story involves a construction worker named douglas quaid ( arnold schwarzenegger ) who lives on earth with his beautiful wife lori ( sharon stone ) . 	the story involves a construction worker named douglas quaid ( arnold schwarzenegger ) who lives on earth with his beautiful wife lori ( sharon stone ) .	3	-1	 the[0] story[0] involves[0] a[0] construction[0] worker[0] named[0] douglas[0] quaid[0] arnold[0] schwarzenegger[0] who[0] lives[0] on[0] earth[0] with[0] his[0] beautiful[2] wife[0] lori[0] sharon[0] stone[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
quaid is obsessed with mars and decides to go with the second best choice ; a brain implant ( fake memory ) of a two week vacation on mars . 	quaid is obsessed with mars and decides to go with the second best choice ; a brain implant ( fake memory ) of a two week vacation on mars .	2	-3	 quaid[0] is[0] obsessed[-2] with[0] mars[0] and[0] decides[0] to[0] go[0] with[0] the[0] second[0] best[1] choice[0] a[0] brain[0] implant[0] fake[-1] memory[0] of[0] a[0] two[0] week[0] vacation[0] on[0] mars[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
while being implanted a memory cap is triggered and the doctors realize that quaid's memory has previously been erased . 	while being implanted a memory cap is triggered and the doctors realize that quaid's memory has previously been erased .	1	-2	 while[0] being[0] implanted[0] a[0] memory[0] cap[0] is[0] triggered[0] and[0] the[0] doctors[0] realize[0] that[0] quaid's[0] memory[0] has[0] previously[0] been[0] erased[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now the people who did it are after him . 	now the people who did it are after him .	1	-1	 now[0] the[0] people[0] who[0] did[0] it[0] are[0] after[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
quaid must find out who he really is and why these people want him dead . 	quaid must find out who he really is and why these people want him dead .	1	-3	 quaid[0] must[0] find[0] out[0] who[0] he[0] really[0] is[0] and[0] why[0] these[0] people[0] want[0] him[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the plot unfolds at a rapid pace explaining itself through great action , special effects , and twist after mind-boggling twist . 	the plot unfolds at a rapid pace explaining itself through great action , special effects , and twist after mind-boggling twist .	3	-1	 the[0] plot[0] unfolds[0] at[0] a[0] rapid[0] pace[0] explaining[0] itself[0] through[0] great[2] action[0] special[1] effects[0] and[0] twist[0] after[0] mind[0] boggling[0] twist[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it grabs you and never lets go ! 	it grabs you and never lets go !	1	-2	 it[0] grabs[-1] you[0] and[0] never[0] lets[0] go[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film is a winner from beginning to end . 	this film is a winner from beginning to end .	2	-1	 this[0] film[0] is[0] a[0] winner[1] from[0] beginning[0] to[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the plot is superb ; combining the best elements of science fiction and psychological mystery to create a rip-roaring saga . 	the plot is superb ; combining the best elements of science fiction and psychological mystery to create a rip-roaring saga .	2	-2	 the[0] plot[0] is[0] superb[0] combining[0] the[0] best[1] elements[0] of[0] science[0] fiction[0] and[0] psychological[0] mystery[0] to[0] create[0] a[0] rip[-1] roaring[0] saga[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
schwarzenegger gives his best performance ever , and the supporting cast is good too . 	schwarzenegger gives his best performance ever , and the supporting cast is good too .	2	-1	 schwarzenegger[0] gives[0] his[0] best[1] performance[0] ever[0] and[0] the[0] supporting[1] cast[0] is[0] good[1] too[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the action and stunts are terrific . 	the action and stunts are terrific .	4	-1	 the[0] action[0] and[0] stunts[0] are[0] terrific[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the sets are huge and elaborate with a lot of attention payed to detail . 	the sets are huge and elaborate with a lot of attention payed to detail .	1	-1	 the[0] sets[0] are[0] huge[0] and[0] elaborate[0] with[0] a[0] lot[0] of[0] attention[0] payed[0] to[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the music and sound effects are perfect for the film and really add a certain level of impact to the action . 	the music and sound effects are perfect for the film and really add a certain level of impact to the action .	2	-1	 the[0] music[0] and[0] sound[0] effects[0] are[0] perfect[1] for[0] the[0] film[0] and[0] really[0] add[0] a[0] certain[0] level[0] of[0] impact[0] to[0] the[0] action[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the make-up effects by rob bottin ( the howling , the thing , and robocop ) are top notch , not to mention extremely outlandish . 	the make-up effects by rob bottin ( the howling , the thing , and robocop ) are top notch , not to mention extremely outlandish .	1	-1	 the[0] make[0] up[0] effects[0] by[0] rob[0] bottin[0] the[0] howling[0] the[0] thing[0] and[0] robocop[0] are[0] top[0] notch[0] not[0] to[0] mention[0] extremely[0] outlandish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual effects by dream quest ( the abyss ) and industrial light and magic ( star wars trilogy , jurassic park , and terminator 2 ) are phenomenal ! 	the visual effects by dream quest ( the abyss ) and industrial light and magic ( star wars trilogy , jurassic park , and terminator 2 ) are phenomenal !	1	-3	 the[0] visual[0] effects[0] by[0] dream[0] quest[0] the[0] abyss[-1] and[0] industrial[0] light[0] and[0] magic[0] star[0] wars[-2] trilogy[0] jurassic[0] park[0] and[0] terminator[0] 2[0] are[0] phenomenal[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the visuals had such a state of the art " slickness " that they won an oscar . 	the visuals had such a state of the art " slickness " that they won an oscar .	1	-1	 the[0] visuals[0] had[0] such[0] a[0] state[0] of[0] the[0] art[0] slickness[0] that[0] they[0] won[0] an[0] oscar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course the film isn't always realistic ; it's more fiction than science . 	of course the film isn't always realistic ; it's more fiction than science .	1	-1	 of[0] course[0] the[0] film[0] isn't[0] always[0] realistic[0] it's[0] more[0] fiction[0] than[0] science[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , it is true that a body won't explode in the vacuum of space but in total recall they do . 	for example , it is true that a body won't explode in the vacum of space but in total recall they do .	2	-1	 for[0] example[0] it[0] is[0] true[1] that[0] a[0] body[0] won't[0] explode[-1][NegatedDueToPreviousWord] in[0] the[0] vacuum/vacum[0] of[0] space[0] but[0] in[0] total[0] recall[0] they[0] do[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
who cares ? 	who cares ?	2	-1	 who[0] cares[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a movie . 	it's a movie .	1	-1	 it's[0] a[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
movies are supposed to entertain . 	movies are supposed to entertain .	1	-1	 movies[0] are[0] supposed[0] to[0] entertain[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and in my opinion this film achieves an entertainment level in film that is so terrific , it may be impossible to beat . 	and in my opinion this film achieves an entertainment level in film that is so terrific , it may be impossible to beat .	4	-1	 and[0] in[0] my[0] opinion[0] this[0] film[0] achieves[0] an[0] entertainment[0] level[0] in[0] film[0] that[0] is[0] so[0] terrific[3] it[0] may[0] be[0] impossible[0] to[0] beat[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
