 " six days , seven nights " is a summer movie that gets the summer movie experience deliciously right , a commendable achievement considering the season thus far has been littered with some pretty uneven fare . 	Translation	Positive	Negative	EmotionRationale
here's a genuinely fun fluff piece that knows it's fluff , recognizes it's fluff and is admittedly proud to be fluff . 	here's a genuinely fun fluff piece that knows it's fluff , recognizes it's fluff and is admittedly proud to be fluff .	2	-1	 here's[0] a[0] genuinely[0] fun[1] fluff[0] piece[0] that[0] knows[0] it's[0] fluff[0] recognizes[0] it's[0] fluff[0] and[0] is[0] admittedly[0] proud[1] to[0] be[0] fluff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course , the casting of harrison ford in the broadly comedic lead role plays a sizeable part in the movie's success ; ford is such a concentrated dramatic actor that it's easy to forget what a funny guy he can be . 	of course , the casting of harrison ford in the broadly comedic lead role plays a sizeable part in the movie's success ; ford is such a concentrated dramatic actor that it's easy to forget what a funny guy he can be .	3	-1	 of[0] course[0] the[0] casting[0] of[0] harrison[0] ford[0] in[0] the[0] broadly[0] comedic[0] lead[0] role[0] plays[1] a[0] sizeable[0] part[0] in[0] the[0] movie's[0] success[2] ford[0] is[0] such[0] a[0] concentrated[0] dramatic[0] actor[0] that[0] it's[0] easy[0] to[0] forget[0] what[0] a[0] funny[1] guy[0] he[0] can[0] be[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as his female counterpart , anne heche also deserves a big pat on the back for her sweet , goofily charismatic performance . 	as his female counterpart , anne heche also deserves a big pat on the back for her sweet , goofily charismatic performance .	2	-1	 as[0] his[0] female[0] counterpart[0] anne[0] heche[0] also[0] deserves[0] a[0] big[0] pat[0] on[0] the[0] back[0] for[0] her[0] sweet[1] goofily[0] charismatic[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the age difference ( ford's 56 , heche's 29 ) matters not -- these two click in a charged way that's hard to come by . 	the age difference ( ford's 56 , heche's 29 ) matters not - these two click in a charged way that's hard to come by .	1	-2	 the[0] age[0] difference[0] ford's[0] 56[0] heche's[0] 29[0] matters[0] not[0] these[0] two[0] click[0] in[0] a[0] charged[-1] way[0] that's[0] hard[0] to[0] come[0] by[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the story is a no-brainer -- ford stars as gruff but loveable island aviator quinn harris , while heche is career-minded but loveable new york magazine editor robin monroe . 	the story is a no-brainer - ford stars as gruff but loveable island aviator quin harris , while heche is career-minded but loveable new york magazine editor robin monroe .	1	-2	 the[0] story[0] is[0] a[0] no[0] brainer[0] ford[0] stars[0] as[0] gruff[-1] but[0] loveable[0] island[0] aviator[0] quinn/quin[0] harris[0] while[0] heche[0] is[0] career[0] minded[0] but[0] loveable[0] new[0] york[0] magazine[0] editor[0] robin[0] monroe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
robin , on a tropical vacation with fianc ? frank ( david schwimmer ) , gets assigned to supervise an emergency photo shoot in nearby tahiti , so she reluctantly hires quinn to fly her there . 	robin , on a tropical vacation with fianc ?<br> frank ( david schwimmer ) , gets assigned to supervise an emergency photo shoot in nearby tahiti , so she reluctantly hires quin to fly her there .	1	-2	 robin[0] on[0] a[0] tropical[0] vacation[0] with[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] frank[0] david[0] schwimmer[0] gets[0] assigned[0] to[0] supervise[0] an[0] emergency[-1] photo[0] shoot[-1] in[0] nearby[0] tahiti[0] so[0] she[0] reluctantly[-1] hires[0] quinn/quin[0] to[0] fly[0] her[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plane crashes during a terrible storm , and they immediately find themselves stuck in a deserted paradise with few ideas on getting back to civilization . 	the plane crashes during a terrible storm , and they immediately find themselves stuck in a deserted paradise with few ideas on getting back to civilization .	4	-4	 the[0] plane[0] crashes[0] during[0] a[0] terrible[-3] storm[-1] and[0] they[0] immediately[0] find[0] themselves[0] stuck[0] in[0] a[0] deserted[0] paradise[3] with[0] few[0] ideas[0] on[0] getting[0] back[0] to[0] civilization[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
a series of unpleasant , often hilarious catastrophes leaves little choice but for both members of this unlikely odd couple to fall for each other . 	a series of unpleasant , often hilarious catastrophes leaves little choice but for both members of this unlikely odd couple to fall for each other .	3	-3	 a[0] series[0] of[0] unpleasant[-2] often[0] hilarious[2] catastrophes[0] leaves[0] little[0] choice[0] but[0] for[0] both[0] members[0] of[0] this[0] unlikely[0] odd[0] couple[0] to[0] fall[0] for[0] each[0] other[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
meanwhile , back at the resort , frank is tempted himself by quinn's shapely female tagalong ( jacqueline obradors ) . 	meanwhile , back at the resort , frank is tempted himself by quinn's shapely female tagalong ( jacqueline obradors ) .	1	-1	 meanwhile[0] back[0] at[0] the[0] resort[0] frank[0] is[0] tempted[0] himself[0] by[0] quinn's[0] shapely[0] female[0] tagalong[0] jacqueline[0] obradors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that subplot obviously exists to get us rooting for the quinn-robin pairing , and while it makes for a few good laughs early on , it eventually becomes a contrived distraction from the far more engrossing misadventures of quinn and robin . 	that subplot obviously exists to get us rooting for the quin-robin pairing , and while it makes for a few good laughs early on , it eventually becomes a contrived distraction from the far more engrossing misadventures of quin and robin .	2	-2	 that[0] subplot[0] obviously[0] exists[0] to[0] get[0] us[0] rooting[0] for[0] the[0] quinn/quin[0] robin[0] pairing[0] and[0] while[0] it[0] makes[0] for[0] a[0] few[0] good[1] laughs[1] early[0] on[0] it[0] eventually[0] becomes[0] a[0] contrived[0] distraction[-1] from[0] the[0] far[0] more[0] engrossing[0] misadventures[0] of[0] quinn/quin[0] and[0] robin[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
