the most amazing thing about paul cox's innocence is how unlike a movie it is . 	Translation	Positive	Negative	EmotionRationale
i mean that as the highest compliment . 	i mean that as the highest compliment .	2	-1	 i[0] mean[0] that[0] as[0] the[0] highest[0] compliment[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if most studios were to profile an elderly couple who rekindle a 40-year-old romance , i'd want to run and hide . 	if most studios were to profile an elderly couple who rekindle a 40-year-old romance , i'd want to run and hide .	4	-1	 if[0] most[0] studios[0] were[0] to[0] profile[0] an[0] elderly[0] couple[0] who[0] rekindle[0] a[0] 40[0] year[0] old[0] romance[3] i'd[0] want[0] to[0] run[0] and[0] hide[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the sex scenes would be handled as a farce , producers would shed 20 years off the characters' ages ( so susan sarandon and harrison ford could star ) and true love would shine through any obstacle without explanation and consequence . 	the sex scenes would be handled as a farce , producers would shed 20 years off the characters' ages ( so susan sarandon and harrison ford could star ) and true love would shine through any obstacle without explanation and consequence .	3	-2	 the[0] sex[0] scenes[0] would[0] be[0] handled[0] as[0] a[0] farce[-1] producers[0] would[0] shed[0] 20[0] years[0] off[0] the[0] characters'[0] ages[0] so[0] susan[0] sarandon[0] and[0] harrison[0] ford[0] could[0] star[0] and[0] true[1] love[2] would[0] shine[0] through[0] any[0] obstacle[-1] without[0] explanation[0] and[0] consequence[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
along with a charming romantic story , the australian/belgian innocence shows how an increasing sense of mortality combined with revisiting the past while being entrenched in the present can make something that seems so right seem downright questionable . 	along with a charming romantic story , the australian/belgian innocence shows how an increasing sense of mortality combined with revisiting the past while being entrenched in the present can make something that seems so right seem downright questionable .	4	-2	 along[0] with[0] a[0] charming[1] romantic[3] story[0] the[0] australian/belgian[0] innocence[1] shows[0] how[0] an[0] increasing[0] sense[0] of[0] mortality[0] combined[0] with[0] revisiting[0] the[0] past[0] while[0] being[0] entrenched[0] in[0] the[0] present[0] can[0] make[0] something[0] that[0] seems[0] so[0] right[0] seem[0] downright[0] questionable[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the romance gets started when former musician andreas ( charles " bud " tingwell ) , learns that his true love , claire ( julia blake ) , lives nearby . 	the romance gets started when former musician andreas ( charles " bud " tingwell ) , learns that his true love , claire ( julia blake ) , lives nearby .	4	-1	 the[0] romance[3] gets[0] started[0] when[0] former[0] musician[0] andreas[0] charles[0] bud[0] tingwell[0] learns[0] that[0] his[0] true[1] love[2] claire[0] julia[0] blake[0] lives[0] nearby[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
they decide to catch up on old times , but soon find themselves in a reinvigorating affair . 	they decide to catch up on old times , but soon find themselves in a reinvigorating affair .	1	-1	 they[0] decide[0] to[0] catch[0] up[0] on[0] old[0] times[0] but[0] soon[0] find[0] themselves[0] in[0] a[0] reinvigorating[0] affair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
complicating matters is andreas' frail health , and claire's longtime husband ( terry norris ) , who can't understand why he's suddenly become obsolete . 	complicating matters is andreas' frail health , and claire's longtime husband ( terry norris ) , who can't understand why he's suddenly become obsolete .	1	-2	 complicating[0] matters[0] is[0] andreas'[0] frail[0] health[0] and[0] claire's[0] longtime[0] husband[0] terry[0] norris[0] who[0] can't[0] understand[0] why[0] he's[0] suddenly[0] become[0] obsolete[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in my mind , the movie is less about the relationship between andreas and claire , than the feelings of everyone involved . 	in my mind , the movie is less about the relationship between andreas and claire , than the feelings of everyone involved .	1	-1	 in[0] my[0] mind[0] the[0] movie[0] is[0] less[0] about[0] the[0] relationship[0] between[0] andreas[0] and[0] claire[0] than[0] the[0] feelings[0] of[0] everyone[0] involved[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john , claire's husband , endlessly questions what he did wrong . 	john , claire's husband , endlessly questions what he did wrong .	1	-1	 john[0] claire's[0] husband[0] endlessly[0] questions[0] what[0] he[0] did[0] wrong[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
claire initially insists she's a grown-up , but admittedly behaves like a child , a prospect that thrills and disappoints her . 	claire initially insists she's a grown-up , but admittedly behaves like a child , a prospect that thrills and disappoints her .	4	-2	 claire[0] initially[0] insists[0] she's[0] a[0] grown[0] up[0] but[0] admittedly[0] behaves[0] like[1] a[0] child[0] a[0] prospect[0] that[0] thrills[3] and[0] disappoints[-1] her[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
andreas , an agnostic , begins to question his fate , a message cox delivers in a memorable dream sequence . 	andreas , an agnostic , begins to question his fate , a message cox delivers in a memorable dream sequence .	1	-1	 andreas[0] an[0] agnostic[0] begins[0] to[0] question[0] his[0] fate[0] a[0] message[0] cox[0] delivers[0] in[0] a[0] memorable[0] dream[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cox litters the movie with flashbacks , including the repeated vision of a roaring train . 	cox litters the movie with flashbacks , including the repeated vision of a roaring train .	1	-2	 cox[0] litters[-1] the[0] movie[0] with[0] flashbacks[0] including[0] the[0] repeated[0] vision[0] of[0] a[0] roaring[0] train[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a reminder of andreas and claire's past love ( as young lovers , they met by train ) , but as it recurs , we get the feeling that the past and the present have clashed . 	it's a reminder of andreas and claire's past love ( as young lovers , they met by train ) , but as it recurs , we get the feeling that the past and the present have clashed .	4	-1	 it's[0] a[0] reminder[0] of[0] andreas[0] and[0] claire's[0] past[0] love[2] as[0] young[0] lovers[3] they[0] met[0] by[0] train[0] but[0] as[0] it[0] recurs[0] we[0] get[0] the[0] feeling[0] that[0] the[0] past[0] and[0] the[0] present[0] have[0] clashed[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
a pall is cast on the whole affair . 	a pall is cast on the whole affair .	1	-1	 a[0] pall[0] is[0] cast[0] on[0] the[0] whole[0] affair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
