anna and the king strides onto the screen in full regalia , wearing a brilliant suit of sumptuous landscapes , deep , vibrant colors and an epic storyline . 	Translation	Positive	Negative	EmotionRationale
it's true beauty comes from it's subtle ruminations on the politics of power , whether it's between governments , or the interplay between a man and a woman . 	it's true beauty comes from it's subtle ruminations on the politics of power , whether it's between governments , or the interplay between a man and a woman .	3	-1	 it's[0] true[1] beauty[2] comes[0] from[0] it's[0] subtle[0] ruminations[0] on[0] the[0] politics[0] of[0] power[0] whether[0] it's[0] between[0] governments[0] or[0] the[0] interplay[0] between[0] a[0] man[0] and[0] a[0] woman[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anna ( jodie foster ) is a widowed british schoolteacher with a touch of wanderlust trying to grasp her quicksilver feelings concerning the recent death of her husband . 	anna ( jodie foster ) is a widowed british schoolteacher with a touch of wanderlust trying to grasp her quicksilver feelings concerning the recent death of her husband .	1	-3	 anna[0] jodie[0] foster[0] is[0] a[0] widowed[0] british[0] schoolteacher[0] with[0] a[0] touch[0] of[0] wanderlust[0] trying[0] to[0] grasp[0] her[0] quicksilver[0] feelings[0] concerning[-1] the[0] recent[0] death[-2] of[0] her[0] husband[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with son in tow , she takes the employ of king mongkut ( chow yun-fat ) to tutor his son in the english language . 	with son in tow , she takes the employ of king mongkut ( chow yun-fat ) to tutor his son in the english language .	1	-2	 with[0] son[0] in[0] tow[0] she[0] takes[0] the[0] employ[0] of[0] king[0] mongkut[0] chow[0] yun[0] fat[-1] to[0] tutor[0] his[0] son[0] in[0] the[0] english[0] language[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mongkut sees the strength of the british and correctly surmises that his country's future lies in opening itself up to the ways of the western world . 	mongkut sees the strength of the british and correctly surmises that his country's future lies in opening itself up to the ways of the western world .	1	-3	 mongkut[0] sees[0] the[0] strength[0] of[0] the[0] british[0] and[0] correctly[0] surmises[0] that[0] his[0] country's[0] future[0] lies[-2] in[0] opening[0] itself[0] up[0] to[0] the[0] ways[0] of[0] the[0] western[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
anna function is to help provide that link . 	anna function is to help provide that link .	1	-1	 anna[0] function[0] is[0] to[0] help[0] provide[0] that[0] link[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the core of the film , of course , deals with the blossoming love between anna and mongkut as it attempts to germinate in the unfriendly soil of a shifting political climate . 	the core of the film , of course , deals with the blossoming love between anna and mongkut as it attempts to germinate in the unfriendly soil of a shifting political climate .	3	-3	 the[0] core[0] of[0] the[0] film[0] of[0] course[0] deals[0] with[0] the[0] blossoming[0] love[2] between[0] anna[0] and[0] mongkut[0] as[0] it[0] attempts[0] to[0] germinate[-1] in[0] the[0] unfriendly[-2] soil[0] of[0] a[0] shifting[0] political[0] climate[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
foster plays anna with equal parts clenched jaw and wide-eyed wonder . 	foster plays anna with equal parts clenched jaw and wide-eyed wonder .	2	-1	 foster[0] plays[1] anna[0] with[0] equal[0] parts[0] clenched[0] jaw[0] and[0] wide[0] eyed[0] wonder[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she is assertive , yet , respectful of the king as she initially tries to impose her western sensibilities upon him . 	she is assertive , yet , respectful of the king as she initially tries to impose her western sensibilities upon him .	3	-2	 she[0] is[0] assertive[0] yet[0] respectful[2] of[0] the[0] king[0] as[0] she[0] initially[0] tries[0] to[0] impose[-1] her[0] western[0] sensibilities[0] upon[0] him[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is one of foster's strongest performances since silence of the lambs in a role she could not have played earlier in her career . 	it is one of foster's strongest performances since silence of the lambs in a role she could not have played earlier in her career .	1	-1	 it[0] is[0] one[0] of[0] foster's[0] strongest[0] performances[0] since[0] silence[0] of[0] the[0] lambs[0] in[0] a[0] role[0] she[0] could[0] not[0] have[0] played[0] earlier[0] in[0] her[0] career[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she brings a mature self- awareness and determination that might not have come across from a younger foster . 	she brings a mature self- awareness and determination that might not have come across from a younger foster .	1	-1	 she[0] brings[0] a[0] mature[0] self[0] awareness[0] and[0] determination[0] that[0] might[0] not[0] have[0] come[0] across[0] from[0] a[0] younger[0] foster[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a joy to watch her cagily bargain for her own measure of influence within the realm of mongkut's monarchy . 	it's a joy to watch her cagily bargain for her own measure of influence within the realm of mongkut's monarchy .	3	-1	 it's[0] a[0] joy[2] to[0] watch[0] her[0] cagily[0] bargain[0] for[0] her[0] own[0] measure[0] of[0] influence[0] within[0] the[0] realm[0] of[0] mongkut's[0] monarchy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
