whenever writer/director robert altman works in a specific genre , he has the tendency to rewrite it on his own terms . 	Translation	Positive	Negative	EmotionRationale
he made the west dirty in " mccabe and mrs . miller " ( 1971 ) , he parodied hard-boiled detective stories in " the long goodbye " ( 1973 ) , and he transformed a cartoon into flesh and blood with " popeye " ( 1980 ) . 	he made the west dirty in " mccabe and mrs .<br> miller " ( 1971 ) , he parodied hard-boiled detective stories in " the long goodbye " ( 1973 ) , and he transformed a cartoon into flesh and blood with " popeye " ( 1980 ) .	1	-2	 he[0] made[0] the[0] west[0] dirty[-1] in[0] mccabe[0] and[0] mrs[0] [[Sentence=-2,1=word max, 1-5]] miller[0] 1971[0] he[0] parodied[0] hard[0] boiled[0] detective[0] stories[0] in[0] the[0] long[0] goodbye[0] 1973[0] and[0] he[0] transformed[0] a[0] cartoon[0] into[0] flesh[0] and[0] blood[0] with[0] popeye[0] 1980[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the same holds true for his most recent film , " the gingerbread man , " which reinvents a genre that has developed at an exponential rate over the last five years : the john grisham movie . 	the same holds true for his most recent film , " the gingerbread man , " which reinvents a genre that has developed at an exponential rate over the last five years : the john grisham movie .	2	-1	 the[0] same[0] holds[0] true[1] for[0] his[0] most[0] recent[0] film[0] the[0] gingerbread[0] man[0] which[0] reinvents[0] a[0] genre[0] that[0] has[0] developed[0] at[0] an[0] exponential[0] rate[0] over[0] the[0] last[0] five[0] years[0] the[0] john[0] grisham[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
by the time " the gingerbread man " was completed , there was very little evidence that it was ever based on a story by grisham . 	by the time " the gingerbread man " was completed , there was very little evidence that it was ever based on a story by grisham .	1	-1	 by[0] the[0] time[0] the[0] gingerbread[0] man[0] was[0] completed[0] there[0] was[0] very[0] little[0] evidence[0] that[0] it[0] was[0] ever[0] based[0] on[0] a[0] story[0] by[0] grisham[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's no idealist young lawyer ala tom cruise , matthew mcconaughey , chris o'donnell or matt damon , and it doesn't feature a great showdown in a courtroom . 	there's no idealist young lawyer ala tom cruise , matthew mcconaughey , chris o'donnell or matt damon , and it doesn't feature a great showdown in a courtroom .	3	-1	 there's[0] no[0] idealist[0] young[0] lawyer[0] ala[0] tom[0] cruise[0] matthew[0] mcconaughey[0] chris[0] o'donnell[0] or[0] matt[0] damon[0] and[0] it[0] doesn't[0] feature[0] a[0] great[2] showdown[0] in[0] a[0] courtroom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead of being a grand ode to the powers of the legal profession , " the gingerbread man " is a rain-soaked , southern gothic noir thriller with wildly eccentric characters , a twisting plot line , black humor , a somewhat bleak ending , and even altman's trademark full-frontal female nudity . 	instead of being a grand ode to the powers of the legal profession , " the gingerbread man " is a rain-soaked , southern gothic noir thriller with wildly eccentric characters , a twisting plot line , black humor , a somewhat bleak ending , and even altman's trademark full-frontal female nudity .	3	-2	 instead[0] of[0] being[0] a[0] grand[1] ode[0] to[0] the[0] powers[0] of[0] the[0] legal[0] profession[0] the[0] gingerbread[0] man[0] is[0] a[0] rain[0] soaked[0] southern[0] gothic[0] noir[0] thriller[1] with[0] wildly[0] eccentric[-1] characters[0] a[0] twisting[0] plot[0] line[0] black[0] humor[2] a[0] somewhat[0] bleak[-1] ending[0] and[0] even[0] altman's[0] trademark[0] full[0] frontal[0] female[0] nudity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the central character of the film is rick magruder , who is unlike any of grisham's other lawyer heroes . 	the central character of the film is rick magruder , who is unlike any of grisham's other lawyer heroes .	3	-1	 the[0] central[0] character[0] of[0] the[0] film[0] is[0] rick[0] magruder[0] who[0] is[0] unlike[0] any[0] of[0] grisham's[0] other[0] lawyer[0] heroes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is older , experienced , and rich ; he drives a cherry-red  80 , 000 mercedes that never gets dirty , even in the incessantly pouring rain of savannah , georgia , where the story unfolds . 	he is older , experienced , and rich ; he drives a cherry-red  80 , 00 mercedes that never gets dirty , even in the incessantly pouring rain of savannah , georgia , where the story unfolds .	2	-1	 he[0] is[0] older[0] experienced[0] and[0] rich[0] he[0] drives[0] a[0] cherry[0] red[0] 80[0] 000/00[0] mercedes[0] that[0] never[0] gets[0] dirty[-1][NegatedDueToPreviousWord] even[0] in[0] the[0] incessantly[0] pouring[0] rain[0] of[0] savannah[0] georgia[0] where[0] the[0] story[0] unfolds[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rick is in the midst of an ugly divorce with his wife , leeanne ( famke janssen ) , and he rarely gets to see his two children , jeff ( jesse james ) and libby ( mae whitman ) . 	rick is in the midst of an ugly divorce with his wife , leeanne ( famke janssen ) , and he rarely gets to see his two children , jeff ( jesse james ) and libby ( mae whitman ) .	1	-3	 rick[0] is[0] in[0] the[0] midst[0] of[0] an[0] ugly[-2] divorce[-1] with[0] his[0] wife[0] leeanne[0] famke[0] janssen[0] and[0] he[0] rarely[0] gets[0] to[0] see[0] his[0] two[0] children[0] jeff[0] jesse[0] james[0] and[0] libby[0] mae[0] whitman[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a reason is never given for the divorce , but it isn't hard to surmise that rick's womanizing had a large part in it . 	a reason is never given for the divorce , but it isn't hard to surmise that rick's womanizing had a large part in it .	1	-2	 a[0] reason[0] is[0] never[0] given[0] for[0] the[0] divorce[-1] but[0] it[0] isn't[0] hard[0] to[0] surmise[0] that[0] rick's[0] womanizing[0] had[0] a[0] large[0] part[0] in[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
whenever he's late to pick up the kids on his visitation days , leeanne always assumes it's because he's been " screwing around . " 	whenever he's late to pick up the kids on his visitation days , leeanne always assumes it's because he's been " screwing around .<br> "	1	-1	 whenever[0] he's[0] late[0] to[0] pick[0] up[0] the[0] kids[0] on[0] his[0] visitation[0] days[0] leeanne[0] always[0] assumes[0] it's[0] because[0] he's[0] been[0] screwing[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
