this is one of the most funny and entertaining comedies of the year and it just happens to be animated . 	Translation	Positive	Negative	EmotionRationale
there are some great voice over commentaries from hollywood's most famous celebrities , some fabulous animation and a compelling story . 	there are some great voice over commentaries from hollywood's most famous celebrities , some fabulous animation and a compelling story .	2	-1	 there[0] are[0] some[0] great[2][-1 LastWordBoosterStrength] voice[0] over[0] commentaries[0] from[0] hollywood's[0] most[0] famous[0] celebrities[0] some[0] fabulous[2][-1 LastWordBoosterStrength] animation[0] and[0] a[0] compelling[0] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is the best we've seen from disney since " beauty and the beast " ( 1996 ) . 	this is the best we've seen from disney since " beauty and the beast " ( 1996 ) .	3	-1	 this[0] is[0] the[0] best[1] we've[0] seen[0] from[0] disney[0] since[0] beauty[2] and[0] the[0] beast[0] 1996[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this film begins an unspecified time following the happily-ever-after conclusion to toy story . 	this film begins an unspecified time following the happily-ever-after conclusion to toy story .	3	-1	 this[0] film[0] begins[0] an[0] unspecified[0] time[0] following[0] the[0] happily[2] ever[0] after[0] conclusion[0] to[0] toy[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in the aftermath of their earlier adventures , buzz ( voice of tim allen ) and woody ( voice of tom hanks ) are now fast friends and all the toys live in perfect harmony , content with their " lives " . 	in the aftermath of their earlier adventures , buz ( voice of tim allen ) and woody ( voice of tom hanks ) are now fast friends and all the toys live in perfect harmony , content with their " lives " .	2	-1	 in[0] the[0] aftermath[0] of[0] their[0] earlier[0] adventures[0] buzz/buz[0] voice[0] of[0] tim[0] allen[0] and[0] woody[0] voice[0] of[0] tom[0] hanks[0] are[0] now[0] fast[0] friends[1] and[0] all[0] the[0] toys[0] live[0] in[0] perfect[1] harmony[1] content[0] with[0] their[0] lives[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one day , andy broke woody's arm off , while playing with him . 	one day , andy broke woody's arm off , while playing with him .	2	-2	 one[0] day[0] andy[0] broke[-1] woody's[0] arm[0] off[0] while[0] playing[1] with[0] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
woody is now officially discarged and worthless , left with his nightmares , where he lies in a trash can with the other discards . 	woody is now officially discarged and worthless , left with his nightmares , where he lies in a trash can with the other discards .	1	-3	 woody[0] is[0] now[0] officially[0] discarged[0] and[0] worthless[-2] left[0] with[0] his[0] nightmares[0] where[0] he[0] lies[-2] in[0] a[0] trash[-1] can[0] with[0] the[0] other[0] discards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
later andy's mother decides to have a yard sale , and she collects a few old toys from her son's room . 	later andy's mother decides to have a yard sale , and she collects a few old toys from her son's room .	1	-1	 later[0] andy's[0] mother[0] decides[0] to[0] have[0] a[0] yard[0] sale[0] and[0] she[0] collects[0] a[0] few[0] old[0] toys[0] from[0] her[0] son's[0] room[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
since one of these discards is a member of the moving toy gang , woody goes to the rescue , leaving the safety of the house for the uncertainty of the front lawn in order to bring the toy back . 	since one of these discards is a member of the moving toy gang , woody goes to the rescue , leaving the safety of the house for the uncertainty of the front lawn in order to bring the toy back .	2	-1	 since[0] one[0] of[0] these[0] discards[0] is[0] a[0] member[0] of[0] the[0] moving[0] toy[0] gang[0] woody[0] goes[0] to[0] the[0] rescue[0] leaving[0] the[0] safety[1] of[0] the[0] house[0] for[0] the[0] uncertainty[0] of[0] the[0] front[0] lawn[0] in[0] order[0] to[0] bring[0] the[0] toy[0] back[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
although his mission is successful , he is placed in a serious predicament when a toy collector named al ( voice of wayne knight ) spies woody while hunting through the wares available at the sale . 	although his mission is successful , he is placed in a serious predicament when a toy collector named al ( voice of wayne knight ) spies woody while hunting through the wares available at the sale .	3	-2	 although[0] his[0] mission[0] is[0] successful[2] he[0] is[0] placed[0] in[0] a[0] serious[-1] predicament[-1] when[0] a[0] toy[0] collector[0] named[0] al[0] voice[0] of[0] wayne[0] knight[0] spies[0] woody[0] while[0] hunting[0] through[0] the[0] wares[0] available[0] at[0] the[0] sale[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the cowboy toy represents the final collectible needed to complete his collection of merchandise from the old tv series , " woody's roundup . " 	the cowboy toy represents the final collectible needed to complete his collection of merchandise from the old tv series , " woody's roundup .<br> "	1	-1	 the[0] cowboy[0] toy[0] represents[0] the[0] final[0] collectible[0] needed[0] to[0] complete[0] his[0] collection[0] of[0] merchandise[0] from[0] the[0] old[0] tv[0] series[0] woody's[0] roundup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if he can acquire woody , al can ship everything to a toy museum in japan for a huge profit . 	if he can acquire woody , al can ship everything to a toy museum in japan for a huge profit .	2	-1	 if[0] he[0] can[0] acquire[0] woody[0] al[0] can[0] ship[0] everything[0] to[0] a[0] toy[0] museum[0] in[0] japan[0] for[0] a[0] huge[0] profit[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
so , after andy's mother refuses to sell the wooden cowboy , al steals him , and it's up to the other toys , led by buzz , to go into the city to save their friend . 	so , after andy's mother refuses to sell the wooden cowboy , al steals him , and it's up to the other toys , led by buz , to go into the city to save their friend .	2	-3	 so[0] after[0] andy's[0] mother[0] refuses[-1] to[0] sell[0] the[0] wooden[0] cowboy[0] al[0] steals[-2] him[0] and[0] it's[0] up[0] to[0] the[0] other[0] toys[0] led[0] by[0] buzz/buz[0] to[0] go[0] into[0] the[0] city[0] to[0] save[1] their[0] friend[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
