i am starting to write this review before going to see strawberry and chocolate , cuba's oscar nominee for best foreign film , directed by tomas gutierrez alea ( who also directed the sometimes and in some circles critically acclaimed memorias del subdesarrollo-- " memories of underdevelopment " . 	Translation	Positive	Negative	EmotionRationale
i saw memorias as part of a cuban cinema class back in the late '70s ; it merged the politics of the cuban revolution with mundane elements of the human condition . 	i saw memorias as part of a cuban cinema class back in the late '70s ; it merged the politics of the cuban revolution with mundane elements of the human condition .	1	-2	 i[0] saw[0] memorias[0] as[0] part[0] of[0] a[0] cuban[0] cinema[0] class[0] back[0] in[0] the[0] late[0] '70s[0] it[0] merged[0] the[0] politics[0] of[0] the[0] cuban[0] revolution[-1] with[0] mundane[-1] elements[0] of[0] the[0] human[0] condition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i knew then that memorias was probably a state-sanctioned political missive , and now expect strawberry will follow suit . 	i knew then that memorias was probably a state-sanctioned political missive , and now expect strawberry will follow suit .	1	-1	 i[0] knew[0] then[0] that[0] memorias[0] was[0] probably[0] a[0] state[0] sanctioned[0] political[0] missive[0] and[0] now[0] expect[0] strawberry[0] will[0] follow[0] suit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fellow internetters , primarily in the newsgroup dedicated to cuba ( soc . culture . cuba ) , have mentioned that strawberry is a harsh criticism of the revolution and its current state of affairs . 	fellow internetters , primarily in the newsgroup dedicated to cuba ( soc .<br> culture .<br> cuba ) , have mentioned that strawberry is a harsh criticism of the revolution and its current state of affairs .	1	-2	 fellow[0] internetters[0] primarily[0] in[0] the[0] newsgroup[0] dedicated[0] to[0] cuba[0] soc[0] [[Sentence=-1,1=word max, 1-5]] culture[0] [[Sentence=-1,1=word max, 1-5]] cuba[0] have[0] mentioned[0] that[0] strawberry[0] is[0] a[0] harsh[-1] criticism[-1] of[0] the[0] revolution[-1] and[0] its[0] current[0] state[0] of[0] affairs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i have jumped to the conclusion that strawberry is nothing more than a veiled attempt at espousing the party line--it probably looks like political criticism , but it ain't so . 	i have jumped to the conclusion that strawberry is nothing more than a veiled attempt at espousing the party line-it probably looks like political criticism , but it ain't so .	2	-2	 i[0] have[0] jumped[0] to[0] the[0] conclusion[0] that[0] strawberry[0] is[0] nothing[0] more[0] than[0] a[0] veiled[0] attempt[0] at[0] espousing[0] the[0] party[0] line[0] it[0] probably[0] looks[0] like[1] political[0] criticism[-1] but[0] it[0] ain't[0] so[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
having some first hand and extensive anecdotal knowledge of castro's repressiveness , i can't conceive of his tolerating honest and adversarial criticism of the revolution , and i can't imagine his letting anyone even suggest his failure as a leader of a failed movement . 	having some first hand and extensive anecdotal knowledge of castro's repressiveness , i can't conceive of his tolerating honest and adversarial criticism of the revolution , and i can't imagine his letting anyone even suggest his failure as a leader of a failed movement .	1	-3	 having[0] some[0] first[0] hand[0] and[0] extensive[0] anecdotal[0] knowledge[0] of[0] castro's[0] repressiveness[-1] i[0] can't[0] conceive[0] of[0] his[0] tolerating[0] honest[0] and[0] adversarial[-1] criticism[-1] of[0] the[0] revolution[-1] and[0] i[0] can't[0] imagine[0] his[0] letting[0] anyone[0] even[0] suggest[0] his[0] failure[-2] as[0] a[0] leader[0] of[0] a[0] failed[-2] movement[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as kids say these days , duh ! , the revolution's current state needs no criticism ; its physical and spiritual crumbling is self evident . 	as kids say these days , duh !<br> , the revolution's current state needs no criticism ; its physical and spiritual crumbling is self evident .	1	-2	 as[0] kids[0] say[0] these[0] days[0] duh[0] [[Sentence=-1,1=word max, 1-5]] the[0] revolution's[-1] current[0] state[0] needs[0] no[0] criticism[-1] its[0] physical[0] and[0] spiritual[0] crumbling[0] is[0] self[0] evident[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the proper questions to put relate to castro's legitimacy . 	the proper questions to put relate to castro's legitimacy .	1	-1	 the[0] proper[0] questions[0] to[0] put[0] relate[0] to[0] castro's[0] legitimacy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i bet the film takes castro's power for granted , and that this or any other movie , produced under cuba's state control , cannot question his right to run cuba's political show ( ongoing now for more than 36 years ) . 	i bet the film takes castro's power for granted , and that this or any other movie , produced under cuba's state control , cannot question his right to run cuba's political show ( ongoing now for more than 36 years ) .	1	-1	 i[0] bet[0] the[0] film[0] takes[0] castro's[0] power[0] for[0] granted[0] and[0] that[0] this[0] or[0] any[0] other[0] movie[0] produced[0] under[0] cuba's[0] state[0] control[0] cannot[0] question[0] his[0] right[0] to[0] run[0] cuba's[0] political[0] show[0] ongoing[0] now[0] for[0] more[0] than[0] 36[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's why i just can't believe strawberry is an honest criticism of the regime . 	that's why i just can't believe strawberry is an honest criticism of the regime .	1	-2	 that's[0] why[0] i[0] just[0] can't[0] believe[0] strawberry[0] is[0] an[0] honest[0] criticism[-1] of[0] the[0] regime[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's see what happens after the room goes dark and the screen lights up . 	let's see what happens after the room goes dark and the screen lights up .	1	-1	 let's[0] see[0] what[0] happens[0] after[0] the[0] room[0] goes[0] dark[0] and[0] the[0] screen[0] lights[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
