warren beatty returns to the screens in the funniest , craziest and hard hitting movie in his career . 	Translation	Positive	Negative	EmotionRationale
based on a story concocted by himself , and also written by beatty , bulworth gives a good insight of what beatty thinks of the american government system . 	based on a story concocted by himself , and also written by beatty , bulworth gives a good insight of what beatty thinks of the american government system .	2	-1	 based[0] on[0] a[0] story[0] concocted[0] by[0] himself[0] and[0] also[0] written[0] by[0] beatty[0] bulworth[0] gives[0] a[0] good[1] insight[0] of[0] what[0] beatty[0] thinks[0] of[0] the[0] american[0] government[0] system[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
beatty stars as senator jay bulworth , who's going through a nervous breakdown . 	beatty stars as senator jay bulworth , who's going through a nervous breakdown .	1	-3	 beatty[0] stars[0] as[0] senator[0] jay[0] bulworth[0] who's[0] going[0] through[0] a[0] nervous[-2] breakdown[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after hiring someone to kill him , he completely changes his campaign strategy and tells the honest truth about what's _really_ happening in american politics , much to the annoyance of assistant dennis murphy ( platt . ) 	after hiring someone to kill him , he completely changes his campaign strategy and tells the honest truth about what's _really_ happening in american politics , much to the annoyance of assistant dennis murphy ( platt .<br> )	2	-3	 after[0] hiring[0] someone[0] to[0] kill[-1] him[0] he[0] completely[0] changes[0] his[0] campaign[0] strategy[0] and[0] tells[0] the[0] honest[0] truth[1] about[0] what's[0] _really_[0] happening[0] in[0] american[0] politics[0] much[0] to[0] the[0] annoyance[-2] of[0] assistant[0] dennis[0] murphy[0] platt[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead of everyone hating him , the american public love him . 	instead of everyone hating him , the american public love him .	3	-4	 instead[0] of[0] everyone[0] hating[-3] him[0] the[0] american[0] public[0] love[2] him[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
however , inside his party , more people want to kill him than just the hired assassin . 	however , inside his party , more people want to kill him than just the hired assassin .	1	-3	 however[0] inside[0] his[0] party[0] more[0] people[0] want[0] to[0] kill[-1] him[0] than[0] just[0] the[0] hired[0] assassin[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and he also strikes a relationship with black girl nina ( berry . ) 	and he also strikes a relationship with black girl nina ( berry .<br> )	1	-1	 and[0] he[0] also[0] strikes[0] a[0] relationship[0] with[0] black[0] girl[0] nina[0] berry[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's remarkable that this film was released at all . 	it's remarkable that this film was released at all .	1	-1	 it's[0] remarkable[0] that[0] this[0] film[0] was[0] released[0] at[0] all[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
much more open than the rather subdued primary colours , bulworth barely gives the american politic system a good name . 	much more open than the rather subdued primary colours , bulworth barely gives the american politic system a good name .	2	-1	 much[0] more[0] open[0] than[0] the[0] rather[0] subdued[0] primary[0] colours[0] bulworth[0] barely[0] gives[0] the[0] american[0] politic[0] system[0] a[0] good[1] name[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the outrageous remarks bulworth makes to his potential voters are very funny , and also somewhat true . 	the outrageous remarks bulworth makes to his potential voters are very funny , and also somewhat true .	3	-3	 the[0] outrageous[-2] remarks[0] bulworth[0] makes[0] to[0] his[0] potential[0] voters[0] are[0] very[0] funny[1][1 LastWordBoosterStrength] and[0] also[0] somewhat[0] true[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's great that beatty isn't afraid to let loose on a subject . 	it's great that beatty isn't afraid to let loose on a subject .	4	-1	 it's[0] great[2] that[0] beatty[0] isn't[0] afraid[-3][NegatedDueToPreviousWord] to[0] let[0] loose[0] on[0] a[0] subject[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
talking of beatty , he's excellent in the role of the demented senator , clearing having fun . 	talking of beatty , he's excellent in the role of the demented senator , clearing having fun .	4	-1	 talking[0] of[0] beatty[0] he's[0] excellent[3] in[0] the[0] role[0] of[0] the[0] demented[0] senator[0] clearing[0] having[0] fun[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and seeing warren beatty have fun is a rare sight indeed . 	and seeing warren beatty have fun is a rare sight indeed .	2	-1	 and[0] seeing[0] warren[0] beatty[0] have[0] fun[1] is[0] a[0] rare[0] sight[0] indeed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even in dick tracy , he was the most straighten face actor . 	even in dick tracy , he was the most straighten face actor .	1	-1	 even[0] in[0] dick[0] tracy[0] he[0] was[0] the[0] most[0] straighten[0] face[0] actor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
