before even seeing a single frame of the film , it would be easy to snicker at deep impact , in which a comet on a collision course with earth threatens the existence of all life on the planet . 	Translation	Positive	Negative	EmotionRationale
it is the latest entry in this decade's dubious revival of the '70s disaster film , and the first of two " the sky is falling " flicks to hit screens this year ( the other being this coming july's armageddon , in which a meteor is the threat ) . 	it is the latest entry in this decade's dubious revival of the '70s disaster film , and the first of two " the sky is falling " flicks to hit screens this year ( the other being this coming july's armageddon , in which a meteor is the threat ) .	1	-3	 it[0] is[0] the[0] latest[0] entry[0] in[0] this[0] decade's[0] dubious[-1] revival[0] of[0] the[0] '70s[0] disaster[-1] film[0] and[0] the[0] first[0] of[0] two[0] the[0] sky[0] is[0] falling[0] flicks[0] to[0] hit[0] screens[0] this[0] year[0] the[0] other[0] being[0] this[0] coming[0] july's[0] armageddon[0] in[0] which[0] a[0] meteor[0] is[0] the[0] threat[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
its tagline , " oceans rise . 	its tagline , " oceans rise .	1	-1	 its[0] tagline[0] oceans[0] rise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cities fall . 	cities fall .	1	-1	 cities[0] fall[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hope survives " is not as cornball as that of the utterly ridiculous collapsing tunnel thriller daylight ( " they came in alone . . . the only way out . . . 	hope survives " is not as cornball as that of the utterly ridiculous collapsing tunnel thriller daylight ( " they came in alone .<br> .<br> .<br> the only way out .<br> .<br> .	3	-3	 hope[2] survives[0] is[0] not[0] as[0] cornball[0] as[0] that[0] of[0] the[0] utterly[0] ridiculous[-2] collapsing[0] tunnel[0] thriller[1] daylight[0] they[0] came[0] in[0] alone[0] [[Sentence=-3,3=word max, 1-5]] the[0] only[0] way[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[3,-3 max of sentences]]]
is together " ) , but it's every bit as treacly . 	is together " ) , but it's every bit as treacly .	1	-1	 is[0] together[0] but[0] it's[0] every[0] bit[0] as[0] treacly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the opening moments of deep impact offer more to snicker at . 	the opening moments of deep impact offer more to snicker at .	1	-1	 the[0] opening[0] moments[0] of[0] deep[0] impact[0] offer[0] more[0] to[0] snicker[0] at[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the cheesiness is not confined to the disaster movie conventions , such as the usual opening " roll call , " in which all the major characters and their personal problems are introduced . 	the cheesiness is not confined to the disaster movie conventions , such as the usual opening " roll call , " in which all the major characters and their personal problems are introduced .	1	-2	 the[0] cheesiness[0] is[0] not[0] confined[0] to[0] the[0] disaster[-1] movie[0] conventions[0] such[0] as[0] the[0] usual[0] opening[0] roll[0] call[0] in[0] which[0] all[0] the[0] major[0] characters[0] and[0] their[0] personal[0] problems[-1] are[0] introduced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the most prominent of the " personal " stories is that of ambitious tv news reporter jenny lerner ( tea leoni ) , who is distraught that her father ( maximilian schell ) left her mother ( vanessa redgrave ) for a younger woman ( rya kihlstedt ) . 	the most prominent of the " personal " stories is that of ambitious tv news reporter jenny lerner ( tea leoni ) , who is distraught that her father ( maximilian schell ) left her mother ( vanessa redgrave ) for a younger woman ( rya kihlstedt ) .	1	-4	 the[0] most[0] prominent[0] of[0] the[0] personal[0] stories[0] is[0] that[0] of[0] ambitious[0] tv[0] news[0] reporter[0] jenny[0] lerner[0] tea[0] leoni[0] who[0] is[0] distraught[-3] that[0] her[0] father[0] maximilian[0] schell[0] left[0] her[0] mother[0] vanessa[0] redgrave[0] for[0] a[0] younger[0] woman[0] rya[0] kihlstedt[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what is just as snicker-worthy is how this co-venture between paramount and dreamworks skg aggressively pushes another high-profile corporate collaboration , microsoft and nbc's cable news network msnbc , which employs jenny , who is the film's ostensible main character . 	what is just as snicker-worthy is how this co-venture between paramount and dreamworks skg aggressively pushes another high-profile corporate collaboration , microsoft and nbc's cable news network msnbc , which employs jenny , who is the film's ostensible main character .	1	-3	 what[0] is[0] just[0] as[0] snicker[0] worthy[0] is[0] how[0] this[0] co[0] venture[0] between[0] paramount[0] and[0] dreamworks[0] skg[0] aggressively[-2] pushes[0] another[0] high[0] profile[0] corporate[0] collaboration[0] microsoft[0] and[0] nbc's[0] cable[0] news[0] network[0] msnbc[0] which[0] employs[0] jenny[0] who[0] is[0] the[0] film's[0] ostensible[0] main[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the vision of america presented here , msnbc is the television news source of choice in every home , when in reality it only reaches a fraction of the country . 	in the vision of america presented here , msnbc is the television news source of choice in every home , when in reality it only reaches a fraction of the country .	1	-2	 in[0] the[0] vision[0] of[0] america[0] presented[0] here[0] msnbc[0] is[0] the[0] television[0] news[0] source[-1] of[0] choice[0] in[0] every[0] home[0] when[0] in[0] reality[0] it[0] only[0] reaches[0] a[0] fraction[0] of[0] the[0] country[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
