after having heard so many critics describe " return to me " as an old-fashioned hollywood romance , i kept asking myself going into this movie : what exactly is an old-fashioned hollywood romance ? 	Translation	Positive	Negative	EmotionRationale
what made " return to me " old-fashioned and old-hollywood ? 	what made " return to me " old-fashioned and old-hollywood ?	1	-1	 what[0] made[0] return[0] to[0] me[0] old[0] fashioned[0] and[0] old[0] hollywood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was it the tunes from sinatra , etc . , legendary singers the senior citizens in the film constantly harp on ? 	was it the tunes from sinatra , etc .<br> , legendary singers the senior citizens in the film constantly harp on ?	1	-1	 was[0] it[0] the[0] tunes[0] from[0] sinatra[0] etc[0] [[Sentence=-1,1=word max, 1-5]] legendary[0] singers[0] the[0] senior[0] citizens[0] in[0] the[0] film[0] constantly[0] harp[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
was it the glamorous , sophisticated feel ? 	was it the glamorous , sophisticated feel ?	2	-1	 was[0] it[0] the[0] glamorous[1] sophisticated[0] feel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the charisma of the two leads ? 	the charisma of the two leads ?	1	-1	 the[0] charisma[0] of[0] the[0] two[0] leads[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even now i can't say that i have gotten any closer to the real answer , because i haven't see that many old-fashioned hollywood romances . 	even now i can't say that i have gotten any closer to the real answer , because i haven't see that many old-fashioned hollywood romances .	4	-1	 even[0] now[0] i[0] can't[0] say[0] that[0] i[0] have[0] gotten[0] any[0] closer[0] to[0] the[0] real[0] answer[0] because[0] i[0] haven't[0] see[0] that[0] many[0] old[0] fashioned[0] hollywood[0] romances[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i don't think any of the romances i've seen have been classified as such . 	i don't think any of the romances i've seen have been classified as such .	4	-1	 i[0] don't[0] think[0] any[0] of[0] the[0] romances[3] i've[0] seen[0] have[0] been[0] classified[0] as[0] such[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
which leaves me the option of vaguely agreeing with my fellow critics -- " return to me " was old-fashioned in the sense that it reminded me of the way the younger generation perceive venerated old hollywood magic , the way i perceive cinnamon spice and apple cider . 	which leaves me the option of vaguely agreeing with my fellow critics - " return to me " was old-fashioned in the sense that it reminded me of the way the younger generation perceive venerated old hollywood magic , the way i perceive cinnamon spice and apple cider .	1	-2	 which[0] leaves[0] me[0] the[0] option[0] of[0] vaguely[-1] agreeing[0] with[0] my[0] fellow[0] critics[0] return[0] to[0] me[0] was[0] old[0] fashioned[0] in[0] the[0] sense[0] that[0] it[0] reminded[0] me[0] of[0] the[0] way[0] the[0] younger[0] generation[0] perceive[0] venerated[0] old[0] hollywood[0] magic[0] the[0] way[0] i[0] perceive[0] cinnamon[0] spice[0] and[0] apple[0] cider[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it was traditional , magical . 	it was traditional , magical .	1	-1	 it[0] was[0] traditional[0] magical[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we knew it couldn't be too daring , or have any surprising plot twists that many cynical modern romances are apt to throw in . 	we knew it couldn't be too daring , or have any surprising plot twists that many cynical modern romances are apt to throw in .	4	-2	 we[0] knew[0] it[0] couldn't[0] be[0] too[0] daring[0] or[0] have[0] any[0] surprising[0] plot[0] twists[0] that[0] many[0] cynical[-1] modern[0] romances[3] are[0] apt[0] to[0] throw[0] in[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
it was a romance told with such endearing simplicity , tenderness , and love ( from director bonnie hunt ) that it couldn't help but sparkle with charm despite its shortcomings . 	it was a romance told with such endearing simplicity , tenderness , and love ( from director bonnie hunt ) that it couldn't help but sparkle with charm despite its shortcomings .	4	-2	 it[0] was[0] a[0] romance[3] told[0] with[0] such[0] endearing[0] simplicity[0] tenderness[0] and[0] love[2] from[0] director[0] bonnie[0] hunt[0] that[0] it[0] couldn't[0] help[0] but[0] sparkle[0] with[0] charm[1] despite[0] its[0] shortcomings[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the film owes a lot of what it has to bonnie hunt's direction . 	the film owes a lot of what it has to bonnie hunt's direction .	1	-1	 the[0] film[0] owes[0] a[0] lot[0] of[0] what[0] it[0] has[0] to[0] bonnie[0] hunt's[0] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the very first bird's eye view of chicago , zooming in slowly toward the insignificant bob rueland ( david duchovny ) , accompanied by the " return to me " ballad ( by whom ? ) , we can tell we're in for something sweet . 	from the very first bird's eye view of chicago , zooming in slowly toward the insignificant bob rueland ( david duchovny ) , accompanied by the " return to me " ballad ( by whom ?<br> ) , we can tell we're in for something sweet .	2	-2	 from[0] the[0] very[0] first[0] bird's[0] eye[0] view[0] of[0] chicago[0] zooming[0] in[0] slowly[0] toward[0] the[0] insignificant[-1] bob[0] rueland[0] david[0] duchovny[0] accompanied[0] by[0] the[0] return[0] to[0] me[0] ballad[0] by[0] whom[0] [[Sentence=-2,1=word max, 1-5]] we[0] can[0] tell[0] we're[0] in[0] for[0] something[0] sweet[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
the scenes between the characters are endearing , truthful , with just a hint of fantasy . 	the scenes between the characters are endearing , truthful , with just a hint of fantasy .	2	-1	 the[0] scenes[0] between[0] the[0] characters[0] are[0] endearing[0] truthful[1] with[0] just[0] a[0] hint[0] of[0] fantasy[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
real people don't act that way ; real people aren't that nice . 	real people don't act that way ; real people aren't that nice .	1	-2	 real[0] people[0] don't[0] act[0] that[0] way[0] real[0] people[0] aren't[0] that[0] nice[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we know all this , and yet we want to believe in these folks' existence . 	we know all this , and yet we want to believe in these folks' existence .	1	-1	 we[0] know[0] all[0] this[0] and[0] yet[0] we[0] want[0] to[0] believe[0] in[0] these[0] folks'[0] existence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the premise itself seems to have sprung out of a fairytale , but hunt's rooting the fairytale in common chicago folk simultaneously lends credit to the scenario and tinges everyday urban life with a hint of the ethereal . 	the premise itself seems to have sprung out of a fairytale , but hunt's rooting the fairytale in common chicago folk simultaneously lends credit to the scenario and tinges everyday urban life with a hint of the ethereal .	1	-1	 the[0] premise[0] itself[0] seems[0] to[0] have[0] sprung[0] out[0] of[0] a[0] fairytale[0] but[0] hunt's[0] rooting[0] the[0] fairytale[0] in[0] common[0] chicago[0] folk[0] simultaneously[0] lends[0] credit[0] to[0] the[0] scenario[0] and[0] tinges[0] everyday[0] urban[0] life[0] with[0] a[0] hint[0] of[0] the[0] ethereal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything is ordinary--yet beautiful--in this film . 	everything is ordinary-yet beautiful-in this film .	3	-1	 everything[0] is[0] ordinary[0] yet[0] beautiful[2] in[0] this[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
