magnolia left me relling from the theatre , staggering from the relentless assault of an adventurous director reveling in his craft . 	Translation	Positive	Negative	EmotionRationale
at nearly three and a half hours , magnolia will strike some as a brute of a film . 	at nearly three and a half hours , magnolia will strike some as a brute of a film .	1	-2	 at[0] nearly[0] three[0] and[0] a[0] half[0] hours[0] magnolia[0] will[0] strike[-1] some[0] as[0] a[0] brute[-1] of[0] a[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it not only demands your attention , but challenges you to grasp the significance of seemingly unrelated storylines and hidden intentions . 	it not only demands your attention , but challenges you to grasp the significance of seemingly unrelated storylines and hidden intentions .	1	-2	 it[0] not[0] only[0] demands[0] your[0] attention[0] but[0] challenges[-1] you[0] to[0] grasp[0] the[0] significance[0] of[0] seemingly[0] unrelated[0] storylines[0] and[0] hidden[0] intentions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is delirious , depressing , heady , pretentious , surreal filmmaking . 	it is delirious , depressing , heady , pretentious , surreal filmmaking .	1	-4	 it[0] is[0] delirious[0] depressing[-3] heady[0] pretentious[-1] surreal[0] filmmaking[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's also a movie that will polarize its viewers . 	it's also a movie that will polarize its viewers .	1	-1	 it's[0] also[0] a[0] movie[0] that[0] will[0] polarize[0] its[0] viewers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director paul thomas anderson takes a talented cast , wraps them in a net of interrelated stories and sets them spinning in a symphony of despair whose song doesn't let up until an oddly exhilerating , biblically influenced pseudo-climax . 	director paul thomas anderson takes a talented cast , wraps them in a net of interrelated stories and sets them spinning in a symphony of despair whose song doesn't let up until an oddly exhilerating , biblically influenced pseudo-climax .	2	-4	 director[0] paul[0] thomas[0] anderson[0] takes[0] a[0] talented[1] cast[0] wraps[0] them[0] in[0] a[0] net[0] of[0] interrelated[0] stories[0] and[0] sets[0] them[0] spinning[0] in[0] a[0] symphony[0] of[0] despair[-3] whose[0] song[0] doesn't[0] let[0] up[0] until[0] an[0] oddly[0] exhilerating[0] biblically[0] influenced[0] pseudo[0] climax[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the character's make up a modern day gomorrah in the soulless way in which they live their lives . 	the character's make up a modern day gomorrah in the soulless way in which they live their lives .	1	-1	 the[0] character's[0] make[0] up[0] a[0] modern[0] day[0] gomorrah[0] in[0] the[0] soulless[0] way[0] in[0] which[0] they[0] live[0] their[0] lives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is frank mackey ( tom cruise ) , a slithery snake charmer of men whose " search and destroy " seminars teach how to mentally rape a woman to get into her pants . 	there is frank mackey ( tom cruise ) , a slithery snake charmer of men whose " search and destroy " seminars teach how to mentally rape a woman to get into her pants .	2	-4	 there[0] is[0] frank[0] mackey[0] tom[0] cruise[0] a[0] slithery[0] snake[0] charmer[1] of[0] men[0] whose[0] search[0] and[0] destroy[-2] seminars[0] teach[0] how[0] to[0] mentally[0] rape[-3] a[0] woman[0] to[0] get[0] into[0] her[0] pants[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
there is earl partridge ( jason robards ) , a dying media tycoon yearning to make amends for a lfe of callousness by finding his estranged son . 	there is earl partridge ( jason robards ) , a dying media tycoon yearning to make amends for a lfe of callousness by finding his estranged son .	1	-4	 there[0] is[0] earl[0] partridge[0] jason[0] robards[0] a[0] dying[-1] media[0] tycoon[0] yearning[-1] to[0] make[0] amends[0] for[0] a[0] lfe[0] of[0] callousness[-3] by[0] finding[0] his[0] estranged[-1] son[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there is game show host jimmy gator ( phillip baker hall ) , a self absorbed tv icon who is hiding more than a few secrets from his public . 	there is game show host jimmy gator ( phillip baker hall ) , a self absorbed tv icon who is hiding more than a few secrets from his public .	1	-1	 there[0] is[0] game[0] show[0] host[0] jimmy[0] gator[0] phillip[0] baker[0] hall[0] a[0] self[0] absorbed[0] tv[0] icon[0] who[0] is[0] hiding[0] more[0] than[0] a[0] few[0] secrets[0] from[0] his[0] public[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and there is police officer jim kurring ( john c . reilly ) , who cloaks himself in the codification of organized religion and the legal system , perhaps masking a man who needs rules to fuel his decision making process . 	and there is police officer jim kurring ( john c .<br> reilly ) , who cloaks himself in the codification of organized religion and the legal system , perhaps masking a man who needs rules to fuel his decision making process .	1	-1	 and[0] there[0] is[0] police[0] officer[0] jim[0] kurring[0] john[0] c[0] [[Sentence=-1,1=word max, 1-5]] reilly[0] who[0] cloaks[0] himself[0] in[0] the[0] codification[0] of[0] organized[0] religion[0] and[0] the[0] legal[0] system[0] perhaps[0] masking[0] a[0] man[0] who[0] needs[0] rules[0] to[0] fuel[0] his[0] decision[0] making[0] process[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
given equal weight are stories involving a coke-addled emotional cripple ( melora walters ) , a former tv quiz show champion ( william h . macy ) . 	given equal weight are stories involving a coke-addled emotional cripple ( melora walters ) , a former tv quiz show champion ( william h .<br> macy ) .	1	-2	 given[0] equal[0] weight[0] are[0] stories[0] involving[0] a[0] coke[0] addled[0] emotional[-1] cripple[-1] melora[0] walters[0] a[0] former[0] tv[0] quiz[0] show[0] champion[0] william[0] h[0] [[Sentence=-2,1=word max, 1-5]] macy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
a materialistic , adulterous wife ( julianne moore ) , a child ( jeremy blackman ) victimized by a mentally abusive parent , and a caring , empathetic nurse ( philip seymour hoffman ) . 	a materialistic , adulterous wife ( julianne more ) , a child ( jeremy blackman ) victimized by a mentally abusive parent , and a caring , empathetic nurse ( philip seymour hoffman ) .	3	-4	 a[0] materialistic[0] adulterous[0] wife[0] julianne[0] moore/more[0] a[0] child[0] jeremy[0] blackman[0] victimized[-2] by[0] a[0] mentally[0] abusive[-3] parent[0] and[0] a[0] caring[2] empathetic[0] nurse[0] philip[0] seymour[0] hoffman[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
hovering over all these characters is a cloud of death , lies and despair . 	hovering over all these characters is a cloud of death , lies and despair .	1	-4	 hovering[0] over[0] all[0] these[0] characters[0] is[0] a[0] cloud[0] of[0] death[-2] lies[-2][-1 MultiplePositiveWords] and[0] despair[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is not a pleasant movie . 	it is not a pleasant movie .	1	-3	 it[0] is[0] not[0] a[0] pleasant[2][NegatedDueToPreviousWord] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is not one bad note in the acting . 	there is not one bad note in the acting .	2	-1	 there[0] is[0] not[0] one[0] bad[-1][NegatedDueToPreviousWord] note[0] in[0] the[0] acting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is affecting and layered and wonderful . 	it is affecting and layered and wonderful .	3	-1	 it[0] is[0] affecting[0] and[0] layered[0] and[0] wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there is a moment where tom cruise wordlessly implodes that rivals work he has done in whole films . 	there is a moment where tom cruise wordlessly implodes that rivals work he has done in whole films .	1	-1	 there[0] is[0] a[0] moment[0] where[0] tom[0] cruise[0] wordlessly[0] implodes[0] that[0] rivals[0] work[0] he[0] has[0] done[0] in[0] whole[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then he tops himself with a mesmerizing deathbed scene . 	then he tops himself with a mesmerizing deathbed scene .	1	-3	 then[0] he[0] tops[0] himself[0] with[0] a[0] mesmerizing[0] deathbed[-2] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
walters plays her character with red-eyed rawness and a fierce self-destructiveness that is anxiety inducing . 	walters plays her character with red-eyed rawness and a fierce self-destructiveness that is anxiety inducing .	2	-3	 walters[0] plays[1] her[0] character[0] with[0] red[0] eyed[0] rawness[0] and[0] a[0] fierce[-2] self[0] destructiveness[0] that[0] is[0] anxiety[-2] inducing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
robards convincingly portrays a fading whisper of a man , who still hears a lion's roar when he speaks . 	robards convincingly portrays a fading whisper of a man , who still hears a lion's roar when he speaks .	1	-1	 robards[0] convincingly[0] portrays[0] a[0] fading[0] whisper[0] of[0] a[0] man[0] who[0] still[0] hears[0] a[0] lion's[0] roar[0] when[0] he[0] speaks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director anderson has apparently given the actors lattitude to emote . 	director anderson has apparently given the actors latitude to emote .	1	-1	 director[0] anderson[0] has[0] apparently[0] given[0] the[0] actors[0] lattitude/latitude[0] to[0] emote[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the problem is that he stays on them too long . 	the problem is that he stays on them too long .	1	-2	 the[0] problem[-1] is[0] that[0] he[0] stays[0] on[0] them[0] too[0] long[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
julianne moore's character , linda , quickly escalates to a frenzied pitch of guilt , tears , screaming and remorse and never backs off from it . 	julianne moore's character , linda , quickly escalates to a frenzied pitch of guilt , tears , screaming and remorse and never backs off from it .	1	-5	 julianne[0] moore's[0] character[0] linda[0] quickly[0] escalates[0] to[0] a[0] frenzied[0] pitch[0] of[0] guilt[-3] tears[-3][-1 MultiplePositiveWords] screaming[-3][-1 MultiplePositiveWords] and[0] remorse[-2] and[0] never[0] backs[0] off[0] from[0] it[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
after a few hours , it turns from interesting to chinese water torture . 	after a few hours , it turns from interesting to chinese water torture .	2	-4	 after[0] a[0] few[0] hours[0] it[0] turns[0] from[0] interesting[1] to[0] chinese[0] water[0] torture[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
