the second jackal-based film to come out in 1997 ( the other starring bruce willis was simply entitled the jackal ) , this one stars aidan quinn and donald sutherland , and is directed by a man who hailed from joblo's own alma matter , concordia university in montreal , canada . 	Translation	Positive	Negative	EmotionRationale
the story is based on the exploits of the real terrorist known as the jackal , but does not pretend to be 100% factual . 	the story is based on the exploits of the real terrorist known as the jackal , but does not pretend to be 100% factual .	2	-3	 the[0] story[0] is[0] based[0] on[0] the[0] exploits[0] of[0] the[0] real[0] terrorist[-2] known[0] as[0] the[0] jackal[0] but[0] does[0] not[0] pretend[-1][NegatedDueToPreviousWord] to[0] be[0] 100%[0] factual[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
plot : naval officer ramirez ( quinn ) gets called upon by the cia to impersonate the international terrorist known as the jackal , in order to put an end to the actual militant's radical activities . 	plot : naval officer ramirez ( quin ) gets called upon by the cia to impersonate the international terrorist known as the jackal , in order to put an end to the actual militant's radical activities .	1	-3	 plot[0] naval[0] officer[0] ramirez[0] quinn/quin[0] gets[0] called[0] upon[0] by[0] the[0] cia[0] to[0] impersonate[0] the[0] international[0] terrorist[-2] known[0] as[0] the[0] jackal[0] in[0] order[0] to[0] put[0] an[0] end[0] to[0] the[0] actual[0] militant's[0] radical[-1] activities[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is chosen for this role because he physically resembles the real terrorist to a tee . 	he is chosen for this role because he physically resembles the real terrorist to a tee .	1	-3	 he[0] is[0] chosen[0] for[0] this[0] role[0] because[0] he[0] physically[0] resembles[0] the[0] real[0] terrorist[-2] to[0] a[0] tee[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ramirez reluctantly agrees to take part in this " assignment " , and soon finds himself wrapped up in a true web of international terrorism , intrigue and double-personality syndrome ( which does not sit well with his uninformed wife and kids back in the states . ) 	ramirez reluctantly agrees to take part in this " assignment " , and soon finds himself wrapped up in a true web of international terrorism , intrigue and double-personality syndrome ( which does not sit well with his uninformed wife and kids back in the states .<br> )	2	-3	 ramirez[0] reluctantly[-1] agrees[0] to[0] take[0] part[0] in[0] this[0] assignment[0] and[0] soon[0] finds[0] himself[0] wrapped[0] up[0] in[0] a[0] true[1] web[0] of[0] international[0] terrorism[-2] intrigue[0] and[0] double[0] personality[0] syndrome[0] which[0] does[0] not[0] sit[0] well[0] with[0] his[0] uninformed[-1] wife[0] and[0] kids[0] back[0] in[0] the[0] states[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
critique : great premise is executed with enough style and thrills to keep the piece interesting throughout its close to two-hour runtime . 	critique : great premise is executed with enough style and thrills to keep the piece interesting throughout its close to two-hour runtime .	4	-2	 critique[0] great[2] premise[0] is[0] executed[-1] with[0] enough[0] style[0] and[0] thrills[3] to[0] keep[0] the[0] piece[0] interesting[1] throughout[0] its[0] close[0] to[0] two[0] hour[0] runtime[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
admittedly , i wasn't a huge fan of any of the main actors in this film , and didn't expect much from this movie beforehand , but surprisingly it did have its thrilling moments , as well as a mostly plausible and absorbing story line . 	admittedly , i wasn't a huge fan of any of the main actors in this film , and didn't expect much from this movie beforehand , but surprisingly it did have its thrilling moments , as well as a mostly plausible and absorbing story line .	4	-1	 admittedly[0] i[0] wasn't[0] a[0] huge[0] fan[0] of[0] any[0] of[0] the[0] main[0] actors[0] in[0] this[0] film[0] and[0] didn't[0] expect[0] much[0] from[0] this[0] movie[0] beforehand[0] but[0] surprisingly[0] it[0] did[0] have[0] its[0] thrilling[3] moments[0] as[0] well[0] as[0] a[0] mostly[0] plausible[0] and[0] absorbing[0] story[0] line[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the first hour is mostly just a build-up of things to come , and does offer a great characterization of the jackal , but the second hour is the one that really cranks in the cool scenes and a sweet ending . 	the first hour is mostly just a build-up of things to come , and does offer a great characterization of the jackal , but the second hour is the one that really cranks in the cool scenes and a sweet ending .	3	-1	 the[0] first[0] hour[0] is[0] mostly[0] just[0] a[0] build[0] up[0] of[0] things[0] to[0] come[0] and[0] does[0] offer[0] a[0] great[2] characterization[0] of[0] the[0] jackal[0] but[0] the[0] second[0] hour[0] is[0] the[0] one[0] that[0] really[0] cranks[0] in[0] the[0] cool[1] scenes[0] and[0] a[0] sweet[1] ending[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
quinn was adequate in both roles as naval officer ramirez and the real jackal , but didn't offer anything extraordinary , in my opinion . 	quin was adequate in both roles as naval officer ramirez and the real jackal , but didn't offer anything extraordinary , in my opinion .	1	-1	 quinn/quin[0] was[0] adequate[0] in[0] both[0] roles[0] as[0] naval[0] officer[0] ramirez[0] and[0] the[0] real[0] jackal[0] but[0] didn't[0] offer[0] anything[0] extraordinary[0] in[0] my[0] opinion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sutherland and kingsley seem to be playing the same role that they've played in both of their respective careers of late , but nonetheless , appeared to relish the cold-heartedness of their chosen characters . 	sutherland and kingsley seem to be playing the same role that they've played in both of their respective careers of late , but nonetheless , appeared to relish the cold-heartedness of their chosen characters .	3	-2	 sutherland[0] and[0] kingsley[0] seem[0] to[0] be[0] playing[1] the[0] same[0] role[0] that[0] they've[0] played[0] in[0] both[0] of[0] their[0] respective[2] careers[0] of[0] late[0] but[0] nonetheless[0] appeared[0] to[0] relish[0] the[0] cold[-1] heartedness[0] of[0] their[0] chosen[0] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i didn't like performance put forth from quinn's wife in this flick , but then again , she doesn't show up in most of the film , so that wasn't so bad . 	i didn't like performance put forth from quinn's wife in this flick , but then again , she doesn't show up in most of the film , so that wasn't so bad .	2	-2	 i[0] didn't[0] like[1] performance[0] put[0] forth[0] from[0] quinn's[0] wife[0] in[0] this[0] flick[0] but[0] then[0] again[0] she[0] doesn't[0] show[0] up[0] in[0] most[0] of[0] the[0] film[0] so[0] that[0] wasn't[0] so[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
