naturally , at the core of leon gast's " when we were kings " is the fight itself , for what a fight it was . 	Translation	Positive	Negative	EmotionRationale
thanks to the business savvy of don king , an ageing muhammad ali was pitted against the formidable hulk of heavyweight champion george foreman . 	thanks to the business savy of don king , an ageing muhammad ali was pitted against the formidable hulk of heavyweight champion george foreman .	2	-2	 thanks[1] to[0] the[0] business[0] savvy/savy[0] of[0] don[0] king[0] an[0] ageing[0] muhammad[0] ali[0] was[0] pitted[0] against[-1] the[0] formidable[-1] hulk[0] of[0] heavyweight[0] champion[0] george[0] foreman[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fans were treated to an 8 round battle of endurance and strategy , as much as brute strength , that immediately entered boxing lore . 	fans were treated to an 8 round battle of endurance and strategy , as much as brute strength , that immediately entered boxing lore .	1	-2	 fans[0] were[0] treated[0] to[0] an[0] 8[0] round[0] battle[-1] of[0] endurance[0] and[0] strategy[0] as[0] much[0] as[0] brute[-1] strength[0] that[0] immediately[0] entered[0] boxing[0] lore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with the benefit of the first-hand recollections of that old ex-pug norman mailer , this classic conflict is brought back to life . 	with the benefit of the first-hand recollections of that old ex-pug norman mailer , this classic conflict is brought back to life .	1	-2	 with[0] the[0] benefit[0] of[0] the[0] first[0] hand[0] recollections[0] of[0] that[0] old[0] ex[0] pug[0] norman[0] mailer[0] this[0] classic[0] conflict[-1] is[0] brought[0] back[0] to[0] life[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but " when we were kings " tackles issues that are harder to pin down than the simple facts of a boxing match . 	but " when we were kings " tackles issues that are harder to pin down than the simple facts of a boxing match .	1	-1	 but[0] when[0] we[0] were[0] kings[0] tackles[0] issues[0] that[0] are[0] harder[0] to[0] pin[0] down[0] than[0] the[0] simple[0] facts[0] of[0] a[0] boxing[0] match[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
questions of political power and social justice appear throughout this documentary . 	questions of political power and social justice appear throughout this documentary .	1	-1	 questions[0] of[0] political[0] power[0] and[0] social[0] justice[0] appear[0] throughout[0] this[0] documentary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gast could hardly choose otherwise , considering the vocal , uncompromising politics of muhammad ali . 	gast could hardly choose otherwise , considering the vocal , uncompromising politics of muhammad ali .	1	-1	 gast[0] could[0] hardly[0] choose[0] otherwise[0] considering[0] the[0] vocal[0] uncompromising[0] politics[0] of[0] muhammad[0] ali[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a member of the controversial black separatist movement the nation of islam , ali opens gast's film with a forceful swipe at the united states . 	a member of the controversial black separatist movement the nation of islam , ali opens gast's film with a forceful swipe at the united states .	1	-2	 a[0] member[0] of[0] the[0] controversial[-1] black[0] separatist[0] movement[0] the[0] nation[0] of[0] islam[0] ali[0] opens[0] gast's[0] film[0] with[0] a[0] forceful[0] swipe[0] at[0] the[0] united[0] states[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when ali hollers " damn america' , the audience knows the imprecation is heartfelt ; the brutal yet casual way it is uttered leaves no doubt that ali is speaking his mind . 	when ali hollers " damn america' , the audience knows the imprecation is heartfelt ; the brutal yet casual way it is uttered leaves no doubt that ali is speaking his mind .	2	-3	 when[0] ali[0] hollers[0] damn[-1] america'[0] the[0] audience[0] knows[0] the[0] imprecation[0] is[0] heartfelt[1] the[0] brutal[-2] yet[0] casual[0] way[0] it[0] is[0] uttered[0] leaves[0] no[0] doubt[-1] that[0] ali[0] is[0] speaking[0] his[0] mind[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his decision to buck the draft for vietnam is defended with the same admirable fury : " no viet cong ever called me nigger " , ali reasons . 	his decision to buck the draft for vietnam is defended with the same admirable fury : " no viet cong ever called me niger " , ali reasons .	3	-4	 his[0] decision[0] to[0] buck[0] the[0] draft[0] for[0] vietnam[0] is[0] defended[0] with[0] the[0] same[0] admirable[2] fury[-3] no[0] viet[0] cong[0] ever[0] called[0] me[0] nigger/niger[0] ali[0] reasons[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
despite showcasing ali's proud unequivocal politics , one of the most impressive features of " when we were kings " is the subtle way in which the documentary considers the difficulties inherent in the overarching philosophy of black unity and black symbolism that ali and his supporters champion . 	despite showcasing ali's proud unequivocal politics , one of the most impressive features of " when we were kings " is the subtle way in which the documentary considers the difficulties inherent in the overarching philosophy of black unity and black symbolism that ali and his supporters champion .	2	-2	 despite[0] showcasing[0] ali's[0] proud[1] unequivocal[0] politics[0] one[0] of[0] the[0] most[0] impressive[1] features[0] of[0] when[0] we[0] were[0] kings[0] is[0] the[0] subtle[0] way[0] in[0] which[0] the[0] documentary[0] considers[0] the[0] difficulties[-1] inherent[0] in[0] the[0] overarching[0] philosophy[0] of[0] black[0] unity[0] and[0] black[0] symbolism[0] that[0] ali[0] and[0] his[0] supporters[1] champion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
listening to the film's numerous commentators , it is clear that the geographic location for this " rumble in the jungle " is etched more in the imagination than anywhere you could place on a map . 	listening to the film's numerous commentators , it is clear that the geographic location for this " rumble in the jungle " is etched more in the imagination than anywhere you could place on a map .	1	-1	 listening[0] to[0] the[0] film's[0] numerous[0] commentators[0] it[0] is[0] clear[0] that[0] the[0] geographic[0] location[0] for[0] this[0] rumble[0] in[0] the[0] jungle[0] is[0] etched[0] more[0] in[0] the[0] imagination[0] than[0] anywhere[0] you[0] could[0] place[0] on[0] a[0] map[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
spike lee tells us that the event was a pilgrimage , a " coming home " to africa . 	spike lee tells us that the event was a pilgrimage , a " coming home " to africa .	1	-1	 spike[0] lee[0] tells[0] us[0] that[0] the[0] event[0] was[0] a[0] pilgrimage[0] a[0] coming[0] home[0] to[0] africa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
foreman reminds us that africa is the " cradle of civilisation " . 	foreman reminds us that africa is the " cradle of civilisation " .	1	-1	 foreman[0] reminds[0] us[0] that[0] africa[0] is[0] the[0] cradle[0] of[0] civilisation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fair enough , but this homeland is a specific nation cursed with a less than inspiring reality . 	fair enough , but this homeland is a specific nation cursed with a less than inspiring reality .	3	-2	 fair[0] enough[0] but[0] this[0] homeland[0] is[0] a[0] specific[0] nation[0] cursed[-1] with[0] a[0] less[0] than[0] inspiring[2] reality[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it is the newly founded zaire and it is ruled by president mobutu , a brutal dictator . 	it is the newly founded zaire and it is ruled by president mobutu , a brutal dictator .	1	-3	 it[0] is[0] the[0] newly[0] founded[0] zaire[0] and[0] it[0] is[0] ruled[0] by[0] president[0] mobutu[0] a[0] brutal[-2] dictator[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while ali respects mobutu's ability to forge an independent african state , mailer notes that beneath the stadium in which the titans battled lay hidden the presidents well-stocked torture chambers . 	while ali respects mobutu's ability to forge an independent african state , mailer notes that beneath the stadium in which the titans battled lay hidden the presidents well-stocked torture chambers .	3	-4	 while[0] ali[0] respects[2] mobutu's[0] ability[0] to[0] forge[0] an[0] independent[0] african[0] state[0] mailer[0] notes[0] that[0] beneath[0] the[0] stadium[0] in[0] which[0] the[0] titans[0] battled[-1] lay[0] hidden[0] the[0] presidents[0] well[0] stocked[0] torture[-3] chambers[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
mailer's insights are lost on most of the film's commentators . 	mailer's insights are lost on most of the film's commentators .	1	-1	 mailer's[0] insights[0] are[0] lost[0] on[0] most[0] of[0] the[0] film's[0] commentators[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
george plimpton recalls that he always felt he was in the congo , rather than the newly christened zaire . 	george plimpton recalls that he always felt he was in the congo , rather than the newly christened zaire .	1	-1	 george[0] plimpton[0] recalls[0] that[0] he[0] always[0] felt[0] he[0] was[0] in[0] the[0] congo[0] rather[0] than[0] the[0] newly[0] christened[0] zaire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with admirable restraint , gast quietly suggests that for many the grandeur of myth and history all but obscured the reality of zaire' s squalid ruling elite . 	with admirable restraint , gast quietly suggests that for many the grandeur of myth and history all but obscured the reality of zaire' s squalid ruling elite .	3	-1	 with[0] admirable[2] restraint[0] gast[0] quietly[0] suggests[0] that[0] for[0] many[0] the[0] grandeur[1] of[0] myth[0] and[0] history[0] all[0] but[0] obscured[0] the[0] reality[0] of[0] zaire'[0] s[0] squalid[0] ruling[0] elite[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mobutu is not the only dubious character to benefit from the heady symbolism of black power . 	mobutu is not the only dubious character to benefit from the heady symbolism of black power .	1	-2	 mobutu[0] is[0] not[0] the[0] only[0] dubious[-1] character[0] to[0] benefit[0] from[0] the[0] heady[0] symbolism[0] of[0] black[0] power[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don king , resplendent in yellow kaftan and at ease with the " messiah " label attributed to him by a loyal disciple , passes himself off as the voice of a new black international solidarity . 	don king , resplendent in yellow kaftan and at ease with the " messiah " label attributed to him by a loyal disciple , passes himself off as the voice of a new black international solidarity .	2	-1	 don[0] king[0] resplendent[0] in[0] yellow[0] kaftan[0] and[0] at[0] ease[0] with[0] the[0] messiah[0] label[0] attributed[0] to[0] him[0] by[0] a[0] loyal[1] disciple[0] passes[0] himself[0] off[0] as[0] the[0] voice[0] of[0] a[0] new[0] black[0] international[0] solidarity[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
understandably , foreman believes he has gotten a raw deal . 	understandably , foreman believes he has gotten a raw deal .	1	-1	 understandably[0] foreman[0] believes[0] he[0] has[0] gotten[0] a[0] raw[0] deal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he may be , as one sympathiser notes , " blacker " than ali , but he is denied the iconic status shared by ali , the thuggish mobutu , and the tacky huckster don king . 	he may be , as one sympathiser notes , " blacker " than ali , but he is denied the iconic status shared by ali , the thuggish mobutu , and the tacky huckster don king .	1	-2	 he[0] may[0] be[0] as[0] one[0] sympathiser[0] notes[0] blacker[0] than[0] ali[0] but[0] he[0] is[0] denied[-1] the[0] iconic[0] status[0] shared[0] by[0] ali[0] the[0] thuggish[0] mobutu[0] and[0] the[0] tacky[0] huckster[0] don[0] king[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
africa , zaire , inspirational leader or vicious dictator , all is left undifferentiated , unconsidered , in this optimistic celebration of black unity . 	africa , zaire , inspirational leader or vicious dictator , all is left undifferentiated , unconsidered , in this optimistic celebration of black unity .	3	-4	 africa[0] zaire[0] inspirational[2] leader[0] or[0] vicious[-3] dictator[0] all[0] is[0] left[0] undifferentiated[0] unconsidered[0] in[0] this[0] optimistic[1] celebration[1] of[0] black[0] unity[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
little wonder that the people of zaire were shocked to find that ali's opponent wasn't white . 	little wonder that the people of zaire were shocked to find that ali's opponent wasn't white .	1	-3	 little[0] wonder[0] that[0] the[0] people[0] of[0] zaire[0] were[0] shocked[-2] to[0] find[0] that[0] ali's[0] opponent[-1] wasn't[0] white[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
admittedly , these issues are only hinted at , rather than substantially explored . 	admittedly , these issues are only hinted at , rather than substantially explored .	1	-1	 admittedly[0] these[0] issues[0] are[0] only[0] hinted[0] at[0] rather[0] than[0] substantially[0] explored[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience must consider the significance of these issues themselves , in their own time . 	the audience must consider the significance of these issues themselves , in their own time .	1	-1	 the[0] audience[0] must[0] consider[0] the[0] significance[0] of[0] these[0] issues[0] themselves[0] in[0] their[0] own[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is just too much to cover , too much that is truly worthy of celebration , for a protracted political analysis to be justified . 	there is just too much to cover , too much that is truly worthy of celebration , for a protracted political analysis to be justified .	2	-1	 there[0] is[0] just[0] too[0] much[0] to[0] cover[0] too[0] much[0] that[0] is[0] truly[1] worthy[0] of[0] celebration[1] for[0] a[0] protracted[0] political[0] analysis[0] to[0] be[0] justified[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the excitement of james brown and b . b king in concert , for instance . 	the excitement of james brown and b .<br> b king in concert , for instance .	3	-1	 the[0] excitement[2] of[0] james[0] brown[0] and[0] b[0] [[Sentence=-1,3=word max, 1-5]] b[0] king[0] in[0] concert[0] for[0] instance[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
and of course there's always ali to consider , as he shamelessly , and hilariously , hams it up in front of the camera , shadow boxing and uttering one inspired rhyme after another - " we gonna get it on coz we don't get along ! " . 	and of course there's always ali to consider , as he shamelessly , and hilariously , hams it up in front of the camera , shadow boxing and uttering one inspired rhyme after another - " we gonna get it on coz we don't get along !<br> " .	3	-3	 and[0] of[0] course[0] there's[0] always[0] ali[0] to[0] consider[0] as[0] he[0] shamelessly[-2] and[0] hilariously[2] hams[0] it[0] up[0] in[0] front[0] of[0] the[0] camera[0] shadow[0] boxing[0] and[0] uttering[0] one[0] inspired[2] rhyme[0] after[0] another[0] we[0] gonna[0] get[0] it[0] on[0] coz[0] we[0] don't[0] get[0] along[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
doubtlessly , considering the multi-faceted nature of the extravaganza they chose to cover , the makers of " when we were kings " faced numerous difficulties in deciding what issues , and what personalities , best deserved their attention . 	doubtlessly , considering the multi-faceted nature of the extravaganza they chose to cover , the makers of " when we were kings " faced numerous difficulties in deciding what issues , and what personalities , best deserved their attention .	2	-2	 doubtlessly[-1] considering[0] the[0] multi[0] faceted[0] nature[0] of[0] the[0] extravaganza[0] they[0] chose[0] to[0] cover[0] the[0] makers[0] of[0] when[0] we[0] were[0] kings[0] faced[0] numerous[0] difficulties[-1] in[0] deciding[0] what[0] issues[0] and[0] what[0] personalities[0] best[1] deserved[0] their[0] attention[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
fortunately , by refusing to simplify their complex subject matter , they have captured the richness and excitement of this unique event . 	fortunately , by refusing to simplify their complex subject matter , they have captured the richness and excitement of this unique event .	3	-2	 fortunately[0] by[0] refusing[0] to[0] simplify[0] their[0] complex[0] subject[0] matter[0] they[0] have[0] captured[-1] the[0] richness[1] and[0] excitement[2] of[0] this[0] unique[0] event[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
