as the film opens up , expectant unwed mother sally ( played by drew barrymore ) encounters her baby's father in a fast food drive-through window . 	Translation	Positive	Negative	EmotionRationale
after he gets his milkshake , he drives off , only to be pursued by a military helicopter . 	after he gets his milkshake , he drives off , only to be pursued by a military helicopter .	1	-1	 after[0] he[0] gets[0] his[0] milkshake[0] he[0] drives[0] off[0] only[0] to[0] be[0] pursued[0] by[0] a[0] military[0] helicopter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from this moment forward , you know that this isn't going to be your run-of-the-mill romantic comedy . 	from this moment forward , you know that this isn't going to be your run-of-the-mill romantic comedy .	4	-1	 from[0] this[0] moment[0] forward[0] you[0] know[0] that[0] this[0] isn't[0] going[0] to[0] be[0] your[0] run[0] of[0] the[0] mill[0] romantic[3] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
home fries tells the tale of the relationship between sally and dorian ( played by luke wilson ) , a helicopter pilot who has a different kind of connection with sally . . . more 	home fries tells the tale of the relationship between sally and dorian ( played by luke wilson ) , a helicopter pilot who has a different kind of connection with sally .<br> .<br> .<br> more	2	-1	 home[0] fries[0] tells[0] the[0] tale[0] of[0] the[0] relationship[0] between[0] sally[0] and[0] dorian[0] played[0] by[0] luke[0] wilson[0] a[0] helicopter[0] pilot[0] who[0] has[0] a[0] different[0] kind[1] of[0] connection[0] with[0] sally[0] [[Sentence=-1,2=word max, 1-5]] more[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
than he would care to admit ( hint : it has something to do with the father of sally's unborn child ) . 	than he would care to admit ( hint : it has something to do with the father of sally's unborn child ) .	1	-1	 than[0] he[0] would[0] care[1][-1 LastWordBoosterStrength] to[0] admit[0] hint[0] it[0] has[0] something[0] to[0] do[0] with[0] the[0] father[0] of[0] sally's[0] unborn[0] child[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after taking a personal ( and professional ) interest in her , he finds work at the local fast food restaurant at which she works , and the fun goes on from there . 	after taking a personal ( and professional ) interest in her , he finds work at the local fast food restaurant at which she works , and the fun goes on from there .	2	-1	 after[0] taking[0] a[0] personal[0] and[0] professional[0] interest[1] in[0] her[0] he[0] finds[0] work[0] at[0] the[0] local[0] fast[0] food[0] restaurant[0] at[0] which[0] she[0] works[0] and[0] the[0] fun[1] goes[0] on[0] from[0] there[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this movie is a lot of fun . 	this movie is a lot of fun .	2	-1	 this[0] movie[0] is[0] a[0] lot[0] of[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it is comedic on two levels , as a romantic comedy and a dark comedy . 	it is comedic on two levels , as a romantic comedy and a dark comedy .	4	-1	 it[0] is[0] comedic[0] on[0] two[0] levels[0] as[0] a[0] romantic[3] comedy[0] and[0] a[0] dark[0] comedy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the romantic moments are sweet , yet not sappy . 	the romantic moments are sweet , yet not sappy .	4	-1	 the[0] romantic[3] moments[0] are[0] sweet[1] yet[0] not[0] sappy[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
one of the more poignant moments is when dorian accompanies sally to lamaze classes . 	one of the more poignant moments is when dorian accompanies sally to lamaze classes .	1	-1	 one[0] of[0] the[0] more[0] poignant[0] moments[0] is[0] when[0] dorian[0] accompanies[0] sally[0] to[0] lamaze[0] classes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the dark comedic moments are more memorable . 	however , the dark comedic moments are more memorable .	1	-1	 however[0] the[0] dark[0] comedic[0] moments[0] are[0] more[0] memorable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is also a tale of revenge , and a funny one at that . 	this is also a tale of revenge , and a funny one at that .	2	-2	 this[0] is[0] also[0] a[0] tale[0] of[0] revenge[-1] and[0] a[0] funny[1] one[0] at[0] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
