 " remember what the mpaa says : horrific and deplorable violence is ok as long as you don't say any naughty words . " 	Translation	Positive	Negative	EmotionRationale
featuring the voice talents of matt stone , trey parker , mary kay bergman . 	featuring the voice talents of matt stone , trey parker , mary kay bergman .	2	-1	 featuring[0] the[0] voice[0] talents[1] of[0] matt[0] stone[0] trey[0] parker[0] mary[0] kay[0] bergman[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
rated r . 	rated are .	1	-1	 rated[0] r[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
filmmakers jump on real-life controversies faster than austin powers on felicity shagwell . 	filmmakers jump on real-life controversies faster than austin powers on felicity shagwell .	1	-2	 filmmakers[0] jump[0] on[0] real[0] life[0] controversies[-1] faster[0] than[0] austin[0] powers[0] on[0] felicity[0] shagwell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the debate on whether cinema is to blame for teenagers turning into hoodlums has only begun to heat up , and already someone's made a movie about it , and it's not , thank god , a tragic account of a family ripped apart by the effect violence in films had on a teenage boy . 	the debate on whether cinema is to blame for teenagers turning into hoodlums has only begun to heat up , and already someone's made a movie about it , and it's not , thank god , a tragic account of a family ripped apart by the effect violence in films had on a teenage boy .	1	-4	 the[0] debate[0] on[0] whether[0] cinema[0] is[0] to[0] blame[-1] for[0] teenagers[0] turning[0] into[0] hoodlums[0] has[0] only[0] begun[0] to[0] heat[0] up[0] and[0] already[0] someone's[0] made[0] a[0] movie[0] about[0] it[0] and[0] it's[0] not[0] thank[1][NegatedDueToPreviousWord] god[0] a[0] tragic[-2] account[0] of[0] a[0] family[0] ripped[0] apart[0] by[0] the[0] effect[0] violence[-3] in[0] films[0] had[0] on[0] a[0] teenage[0] boy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
instead we get a sharp , biting satire that takes no prisoners and leaves no conservative point of view unscathed . 	instead we get a sharp , biting satire that takes no prisoners and leaves no conservative point of view unscathed .	1	-2	 instead[0] we[0] get[0] a[0] sharp[0] biting[0] satire[0] that[0] takes[0] no[0] prisoners[-1] and[0] leaves[0] no[0] conservative[0] point[0] of[0] view[0] unscathed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
based on a popular ( and controversial ) cable tv show , south park : bigger longer and uncut can finally break loose of the shackles placed on the show by television restrictions and take bad taste to brand new heights . 	based on a popular ( and controversial ) cable tv show , south park : bigger longer and uncut can finally break loose of the shackles placed on the show by television restrictions and take bad taste to brand new heights .	1	-2	 based[0] on[0] a[0] popular[0] and[0] controversial[-1] cable[0] tv[0] show[0] south[0] park[0] bigger[0] longer[0] and[0] uncut[0] can[0] finally[0] break[0] loose[0] of[0] the[0] shackles[0] placed[0] on[0] the[0] show[0] by[0] television[0] restrictions[-1] and[0] take[0] bad[-1] taste[0] to[0] brand[0] new[0] heights[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie is about a group of kids who sneak into a canadian r-rated movie and learn some naughty words . 	the movie is about a group of kids who sneak into a canadian are-rated movie and learn some naughty words .	1	-2	 the[0] movie[0] is[0] about[0] a[0] group[0] of[0] kids[0] who[0] sneak[-1] into[0] a[0] canadian[0] r[0] rated[0] movie[0] and[0] learn[0] some[0] naughty[-1][--1 LastWordBoosterStrength] words[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when they exhibit their new knowledge to their moms , they decide to " blame canada , " wage war against the neighbor country and execute " terrence and phillip , " the flatulent actors in the obscene film . 	when they exhibit their new knowledge to their moms , they decide to " blame canada , " wage war against the neighbor country and execute " terrence and phillip , " the flatulent actors in the obscene film .	1	-3	 when[0] they[0] exhibit[0] their[0] new[0] knowledge[0] to[0] their[0] moms[0] they[0] decide[0] to[0] blame[-1] canada[0] wage[0] war[-2] against[-1] the[0] neighbor[0] country[0] and[0] execute[-1] terrence[0] and[0] phillip[0] the[0] flatulent[0] actors[0] in[0] the[0] obscene[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the kids form an alliance they name " la resistance " ( with the accent on the third syllable of " resistance " ) to save their favorite thespians , in a hilarious spoof of ( tribute to ? ) 	the kids form an alliance they name " la resistance " ( with the accent on the third syllable of " resistance " ) to save their favorite thespians , in a hilarious spoof of ( tribute to ?<br> )	3	-1	 the[0] kids[0] form[0] an[0] alliance[0] they[0] name[0] la[0] resistance[0] with[0] the[0] accent[0] on[0] the[0] third[0] syllable[0] of[0] resistance[0] to[0] save[1] their[0] favorite[1] thespians[0] in[0] a[0] hilarious[2] spoof[0] of[0] tribute[0] to[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
les mis ? rables . 	les mis ?<br> rables .	1	-1	 les[0] mis[0] [[Sentence=-1,1=word max, 1-5]] rables[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a subplot , one of the characters ( kenny , who else ? ) 	in a subplot , one of the characters ( kenny , who else ?<br> )	1	-1	 in[0] a[0] subplot[0] one[0] of[0] the[0] characters[0] kenny[0] who[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dies and goes to hell where he meets satan . 	dies and goes to hell where he meets satan .	1	-3	 dies[0] and[0] goes[0] to[0] hell[-1] where[0] he[0] meets[0] satan[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
satan and saddam hussein are lovers , you see . 	satan and saddam hussein are lovers , you see .	4	-3	 satan[-2] and[0] saddam[0] hussein[0] are[0] lovers[3] you[0] see[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
satan is a benevolent soul , while our favorite eastern ruler can only think about sex . 	satan is a benevolent soul , while our favorite eastern ruler can only think about sex .	2	-3	 satan[-2] is[0] a[0] benevolent[1] soul[0] while[0] our[0] favorite[1] eastern[0] ruler[0] can[0] only[0] think[0] about[0] sex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
apparently , too , if terrence and phillip are executed it will be the final sign of the apocalypse and satan can emerge from the deepest bowels of the underground kingdom to rule the earth . 	apparently , too , if terrence and phillip are executed it will be the final sign of the apocalypse and satan can emerge from the deepest bowels of the underground kingdom to rule the earth .	1	-3	 apparently[0] too[0] if[0] terrence[0] and[0] phillip[0] are[0] executed[-1] it[0] will[0] be[0] the[0] final[0] sign[0] of[0] the[0] apocalypse[0] and[0] satan[-2] can[0] emerge[0] from[0] the[0] deepest[0] bowels[0] of[0] the[0] underground[0] kingdom[0] to[0] rule[0] the[0] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
aside from being a brilliant satire , south park is also an all-stops-out musical , with unforgettable numbers like " shut your f * * * ing face uncle f * * * er " and " cartman's mom is a big fat bitch " . 	aside from being a brilliant satire , south park is also an all-stops-out musical , with unforgettable numbers like " shut your f * * * ing face uncle f * * * er " and " cartman's mom is a big fat bitch " .	2	-2	 aside[0] from[0] being[0] a[0] brilliant[1] satire[0] south[0] park[0] is[0] also[0] an[0] all[0] stops[0] out[0] musical[0] with[0] unforgettable[0] numbers[0] like[1] shut[0] your[0] f[0] ing[0] face[0] uncle[0] f[0] er[0] and[0] cartman's[0] mom[0] is[0] a[0] big[0] fat[-1] bitch[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost invariably it's funny stuff : often juvenile but always funny . 	almost invariably it's funny stuff : often juvenile but always funny .	2	-1	 almost[0] invariably[0] it's[0] funny[1] stuff[0] often[0] juvenile[0] but[0] always[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the same can be said for the rest of the movie : it's intelligent but delivered in a sophomoric manner ( i . e . 	the same can be said for the rest of the movie : it's intelligent but delivered in a sophomoric manner ( i .<br> e .	2	-1	 the[0] same[0] can[0] be[0] said[0] for[0] the[0] rest[0] of[0] the[0] movie[0] it's[0] intelligent[1] but[0] delivered[0] in[0] a[0] sophomoric[0] manner[0] i[0] [[Sentence=-1,2=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
toilet humor , endless profanity , etc . ) . 	toilet humor , endless profanity , etc .<br> ) .	3	-1	 toilet[0] humor[2] endless[0] profanity[0] etc[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not that there's anything wrong with that : vulgarity , when done right , is my bag , baby . 	not that there's anything wrong with that : vulgarity , when done right , is my bag , baby .	2	-2	 not[0] that[0] there's[0] anything[0] wrong[-1] with[0] that[0] vulgarity[0] when[0] done[0] right[0] is[0] my[0] bag[0] baby[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
trey parker and matt stone , the twenty-somethings behind the film and the show , paint a bulls-eye on the motion picture association of america and proceed to be the first to start trying to hit it . 	trey parker and matt stone , the twenty-somethings behind the film and the show , paint a bulls-eye on the motion picture association of america and proceed to be the first to start trying to hit it .	1	-1	 trey[0] parker[0] and[0] matt[0] stone[0] the[0] twenty[0] somethings[0] behind[0] the[0] film[0] and[0] the[0] show[0] paint[0] a[0] bulls[0] eye[0] on[0] the[0] motion[0] picture[0] association[0] of[0] america[0] and[0] proceed[0] to[0] be[0] the[0] first[0] to[0] start[0] trying[0] to[0] hit[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cruelly mocking the fact that the mpaa's rating system will allegedly tolerate grotesque violence as long as obscenities aren't uttered , the auteurs throw some nasty one-liner insults their way . 	cruelly mocking the fact that the mpa's rating system will allegedly tolerate grotesque violence as long as obscenities aren't uttered , the auteurs throw some nasty one-liner insults their way .	1	-4	 cruelly[-3] mocking[-2][-1 MultiplePositiveWords] the[0] fact[0] that[0] the[0] mpaa's/mpa's[0] rating[0] system[0] will[0] allegedly[-1] tolerate[0] grotesque[-1] violence[-3] as[0] long[0] as[0] obscenities[0] aren't[0] uttered[0] the[0] auteurs[0] throw[0] some[0] nasty[-2][--1 LastWordBoosterStrength] one[0] liner[0] insults[-2] their[0] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the ratings-a-plenty association isn't the only target of this unsparing banter : people who favor censoring movies over gun control are equally fair game , with the " blame canada " plot being a not-so-cheap shot at them . 	the ratings-a-plenty association isn't the only target of this unsparing banter : people who favor censoring movies over gun control are equally fair game , with the " blame canada " plot being a not-so-cheap shot at them .	2	-2	 the[0] ratings[0] a[0] plenty[0] association[0] isn't[0] the[0] only[0] target[0] of[0] this[0] unsparing[0] banter[0] people[0] who[0] favor[1] censoring[-1] movies[0] over[0] gun[-1] control[0] are[0] equally[0] fair[0] game[0] with[0] the[0] blame[-1] canada[0] plot[0] being[0] a[0] not[0] so[0] cheap[-1][NegatedDueToPreviousWord] shot[-1] at[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the distinctively low-tech " cardboard " animation is oddly effective , even more so than the state of the art " deep canvas " technique aptly demonstrated in the recent tarzan . 	the distinctively low-tech " cardboard " animation is oddly effective , even more so than the state of the art " deep canvas " technique aptly demonstrated in the recent tarzan .	1	-2	 the[0] distinctively[0] low[-1] tech[0] cardboard[0] animation[0] is[0] oddly[0] effective[0] even[0] more[0] so[0] than[0] the[0] state[0] of[0] the[0] art[0] deep[0] canvas[0] technique[0] aptly[0] demonstrated[0] in[0] the[0] recent[0] tarzan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
