i was fortunate enough to attend an advance screening for the upcoming thriller conspiracy theory . 	Translation	Positive	Negative	EmotionRationale
this was , of course , a big deal for me because reviewing movies is basically just a hobby for me and i never get a chance at something like this . 	this was , of course , a big deal for me because reviewing movies is basically just a hobby for me and i never get a chance at something like this .	2	-1	 this[0] was[0] of[0] course[0] a[0] big[0] deal[0] for[0] me[0] because[0] reviewing[0] movies[0] is[0] basically[0] just[0] a[0] hobby[0] for[0] me[0] and[0] i[0] never[0] get[0] a[0] chance[0] at[0] something[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not only did i get to see an advance screening , i was able to see an advance screening of a * very good * movie . 	not only did i get to see an advance screening , i was able to see an advance screening of a * very good * movie .	3	-1	 not[0] only[0] did[0] i[0] get[0] to[0] see[0] an[0] advance[0] screening[0] i[0] was[0] able[0] to[0] see[0] an[0] advance[0] screening[0] of[0] a[0] very[0] good[1][1 LastWordBoosterStrength] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the very fast-paced film stars mel gibson as jerry fletcher , a fast-talking , witty , comical taxi driver in new york city . 	the very fast-paced film stars mel gibson as jerry fletcher , a fast-talking , witty , comical taxi driver in new york city .	1	-2	 the[0] very[0] fast[0] paced[0] film[0] stars[0] mel[0] gibson[0] as[0] jerry[0] fletcher[0] a[0] fast[0] talking[0] witty[0] comical[0] taxi[-1] driver[0] in[0] new[0] york[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gibson's performance is terrific , and his character is similar to that of martin riggs in the lethal weapon films . 	gibson's performance is terrific , and his character is similar to that of martin rigs in the lethal weapon films .	4	-2	 gibson's[0] performance[0] is[0] terrific[3] and[0] his[0] character[0] is[0] similar[0] to[0] that[0] of[0] martin[0] riggs/rigs[0] in[0] the[0] lethal[0] weapon[-1] films[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
gibson again teams up with richard donner , as he did in the lethal weapon films and maverick , and this time around , the combination works even better . 	gibson again teams up with richard donner , as he did in the lethal weapon films and maverick , and this time around , the combination works even better .	1	-2	 gibson[0] again[0] teams[0] up[0] with[0] richard[0] donner[0] as[0] he[0] did[0] in[0] the[0] lethal[0] weapon[-1] films[0] and[0] maverick[0] and[0] this[0] time[0] around[0] the[0] combination[0] works[0] even[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the character of jerry fletcher is indeed unique . 	the character of jerry fletcher is indeed unique .	1	-1	 the[0] character[0] of[0] jerry[0] fletcher[0] is[0] indeed[0] unique[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
try to imagine a toned-downed version of travis bickle who , this time around , is a jittery guy with knowledge of government conspiracy cover-ups . 	try to imagine a toned-downed version of travis bickle who , this time around , is a jittery guy with knowledge of government conspiracy cover-ups .	1	-2	 try[0] to[0] imagine[0] a[0] toned[0] downed[0] version[0] of[0] travis[0] bickle[0] who[0] this[0] time[0] around[0] is[0] a[0] jittery[-1] guy[0] with[0] knowledge[0] of[0] government[0] conspiracy[-1] cover[0] ups[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you can imagine that , then you've basically got jerry fletcher . 	if you can imagine that , then you've basically got jerry fletcher .	1	-1	 if[0] you[0] can[0] imagine[0] that[0] then[0] you've[0] basically[0] got[0] jerry[0] fletcher[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in many ways , i was surprised by this movie . 	in many ways , i was surprised by this movie .	1	-1	 in[0] many[0] ways[0] i[0] was[0] surprised[0] by[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to begin with , i was surprised at how good it was . 	to begin with , i was surprised at how good it was .	2	-1	 to[0] begin[0] with[0] i[0] was[0] surprised[0] at[0] how[0] good[1] it[0] was[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't get me wrong , it's not going to be accepting any gold trophies next spring , but it was a very enjoyable movie . 	don't get me wrong , it's not going to be accepting any gold trophies next spring , but it was a very enjoyable movie .	4	-2	 don't[0] get[0] me[0] wrong[-1] it's[0] not[0] going[0] to[0] be[0] accepting[0] any[0] gold[0] trophies[0] next[0] spring[0] but[0] it[0] was[0] a[0] very[0] enjoyable[2][1 LastWordBoosterStrength] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
secondly , i was surprised at mel gibson's performance . 	secondly , i was surprised at mel gibson's performance .	1	-1	 secondly[0] i[0] was[0] surprised[0] at[0] mel[0] gibson's[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he provided a fantastic performance . 	he provided a fantastic performance .	3	-1	 he[0] provided[0] a[0] fantastic[2] performance[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the previews of this film led me to believe it was an all-out action flick , which after viewing , it was almost the opposite in a certain sense . 	the previews of this film led me to believe it was an all-out action flick , which after viewing , it was almost the opposite in a certain sense .	1	-1	 the[0] previews[0] of[0] this[0] film[0] led[0] me[0] to[0] believe[0] it[0] was[0] an[0] all[0] out[0] action[0] flick[0] which[0] after[0] viewing[0] it[0] was[0] almost[0] the[0] opposite[0] in[0] a[0] certain[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gibson's character has an almost uncountable number of one-liners , hilarious situations , and his character is one that the audience tends to side with throughout the film . 	gibson's character has an almost uncountable number of one-liners , hilarious situations , and his character is one that the audience tends to side with throughout the film .	3	-1	 gibson's[0] character[0] has[0] an[0] almost[0] uncountable[0] number[0] of[0] one[0] liners[0] hilarious[2] situations[0] and[0] his[0] character[0] is[0] one[0] that[0] the[0] audience[0] tends[0] to[0] side[0] with[0] throughout[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
for instance , jerry's apartment ( and especially his security ) is memorable . 	for instance , jerry's apartment ( and especially his security ) is memorable .	2	-1	 for[0] instance[0] jerry's[0] apartment[0] and[0] especially[0] his[0] security[1] is[0] memorable[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and last , i was surprised at how good the plot is . 	and last , i was surprised at how good the plot is .	2	-1	 and[0] last[0] i[0] was[0] surprised[0] at[0] how[0] good[1] the[0] plot[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writer brian helgeland has created a terrific story , and when watching this film , you are left to wonder if all of jerry fletcher's far-fetched ( or so they seem at first ) conspiracy theories are helgeland's own opinions . 	writer brian helgeland has created a terrific story , and when watching this film , you are left to wonder if all of jerry fletcher's far-fetched ( or so they seem at first ) conspiracy theories are helgeland's own opinions .	4	-2	 writer[0] brian[0] helgeland[0] has[0] created[0] a[0] terrific[3] story[0] and[0] when[0] watching[0] this[0] film[0] you[0] are[0] left[0] to[0] wonder[0] if[0] all[0] of[0] jerry[0] fletcher's[0] far[0] fetched[0] or[0] so[0] they[0] seem[0] at[0] first[0] conspiracy[-1] theories[0] are[0] helgeland's[0] own[0] opinions[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
mel gibson isn't the only stand-out in the film . 	mel gibson isn't the only stand-out in the film .	1	-1	 mel[0] gibson[0] isn't[0] the[0] only[0] stand[0] out[0] in[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
