 " a man is not a man without eight taels of gold . " 	Translation	Positive	Negative	EmotionRationale
starring sammo hung , sylvia chang ; directed by mabel cheung ; written by cheung and alex law ; cinematography by bill wong 	starring sammo hung , sylvia chang ; directed by mabel cheung ; written by cheung and alex law ; cinematography by bill wong	1	-1	 starring[0] sammo[0] hung[0] sylvia[0] chang[0] directed[0] by[0] mabel[0] cheung[0] written[0] by[0] cheung[0] and[0] alex[0] law[0] cinematography[0] by[0] bill[0] wong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eight taels of gold begins as a fish out of water story and at some point becomes a love story involving two people whose past choices prevent the fruition of their love . 	eight taels of gold begins as a fish out of water story and at some point becomes a love story involving two people whose past choices prevent the fruition of their love .	3	-1	 eight[0] taels[0] of[0] gold[0] begins[0] as[0] a[0] fish[0] out[0] of[0] water[0] story[0] and[0] at[0] some[0] point[0] becomes[0] a[0] love[2] story[0] involving[0] two[0] people[0] whose[0] past[0] choices[0] prevent[0] the[0] fruition[0] of[0] their[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
neither aspect of the movie is entirely successful , but both are good enough . 	neither aspect of the movie is entirely successful , but both are good enough .	3	-1	 neither[0] aspect[0] of[0] the[0] movie[0] is[0] entirely[0] successful[2] but[0] both[0] are[0] good[1] enough[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and along the way there is one perfect scene , which is one more than you find in most films . 	and along the way there is one perfect scene , which is one more than you find in most films .	2	-1	 and[0] along[0] the[0] way[0] there[0] is[0] one[0] perfect[1] scene[0] which[0] is[0] one[0] more[0] than[0] you[0] find[0] in[0] most[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
slim ( played by portly sammo hung , better known as a star and director of hong kong action movies ) is a chinese immigrant who drives a yellow cab in new york . 	slim ( played by portly sammo hung , better known as a star and director of hong kong action movies ) is a chinese immigrant who drives a yellow cab in new york .	1	-1	 slim[0] played[0] by[0] portly[0] sammo[0] hung[0] better[0] known[0] as[0] a[0] star[0] and[0] director[0] of[0] hong[0] kong[0] action[0] movies[0] is[0] a[0] chinese[0] immigrant[0] who[0] drives[0] a[0] yellow[0] cab[0] in[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the movie opens , we see him shouting obscenities at another taxi driver . 	when the movie opens , we see him shouting obscenities at another taxi driver .	1	-2	 when[0] the[0] movie[0] opens[0] we[0] see[0] him[0] shouting[0] obscenities[0] at[0] another[0] taxi[-1] driver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he does not seem particularly out of place . 	he does not seem particularly out of place .	1	-1	 he[0] does[0] not[0] seem[0] particularly[0] out[0] of[0] place[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , he is about to return to visit his home in rural china for the first time in sixteen years , spending most of his life savings in the process , and it is there that he will become the proverbial fish out of water , as he realizes that you can never go home . 	in fact , he is about to return to visit his home in rural china for the first time in sixteen years , spending most of his life savings in the process , and it is there that he will become the proverbial fish out of water , as he realizes that you can never go home .	1	-1	 in[0] fact[0] he[0] is[0] about[0] to[0] return[0] to[0] visit[0] his[0] home[0] in[0] rural[0] china[0] for[0] the[0] first[0] time[0] in[0] sixteen[0] years[0] spending[0] most[0] of[0] his[0] life[0] savings[0] in[0] the[0] process[0] and[0] it[0] is[0] there[0] that[0] he[0] will[0] become[0] the[0] proverbial[0] fish[0] out[0] of[0] water[0] as[0] he[0] realizes[0] that[0] you[0] can[0] never[0] go[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he brings with him some statue of liberty cigarette lighters , cheap sunglasses , and lobsters ( which have to be large , to prove they're american ) --the tokens of his success . 	he brings with him some statue of liberty cigarette lighters , cheap sunglasses , and lobsters ( which have to be large , to prove they're american ) -the tokens of his success .	3	-2	 he[0] brings[0] with[0] him[0] some[0] statue[0] of[0] liberty[0] cigarette[0] lighters[0] cheap[-1] sunglasses[0] and[0] lobsters[0] which[0] have[0] to[0] be[0] large[0] to[0] prove[0] they're[0] american[0] the[0] tokens[0] of[0] his[0] success[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he also wears a gold chain and a gold watch , because without eight taels of gold , a man is not a man ( my dictionary tells me that taels are a unit of weight used in the far east , and i assume the phrase is a chinese proverb ) . 	he also wears a gold chain and a gold watch , because without eight taels of gold , a man is not a man ( my dictionary tells me that taels are a unit of weight used in the far east , and i assume the phrase is a chinese proverb ) .	1	-1	 he[0] also[0] wears[0] a[0] gold[0] chain[0] and[0] a[0] gold[0] watch[0] because[0] without[0] eight[0] taels[0] of[0] gold[0] a[0] man[0] is[0] not[0] a[0] man[0] my[0] dictionary[0] tells[0] me[0] that[0] taels[0] are[0] a[0] unit[0] of[0] weight[0] used[0] in[0] the[0] far[0] east[0] and[0] i[0] assume[0] the[0] phrase[0] is[0] a[0] chinese[0] proverb[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
