set in the late 80's at the height of yuppie excess and based on the book by bret easton ellis ( who explored the same themes in another book which was also made into a movie , less than zero ) , american psycho puts a new spin on the yuppie " genre " that ellis helped to create . 	Translation	Positive	Negative	EmotionRationale
christian bale is perfectly cast as patrick bateman , a high powered yuppie who hides a terrible secret from his fianc ? e and his colleagues . 	christian bale is perfectly cast as patrick bateman , a high powered yuppie who hides a terrible secret from his fianc ?<br> e and his colleagues .	2	-4	 christian[0] bale[0] is[0] perfectly[1] cast[0] as[0] patrick[0] bateman[0] a[0] high[0] powered[0] yuppie[0] who[0] hides[0] a[0] terrible[-3] secret[0] from[0] his[0] fianc[0] [[Sentence=-4,2=word max, 1-5]] e[0] and[0] his[0] colleagues[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
it seems that bateman is a serial killer and , unfortunately for his contemporaries , his tenuous grasp on reality is starting to slip . 	it seems that bateman is a serial killer and , unfortunately for his contemporaries , his tenuous grasp on reality is starting to slip .	1	-2	 it[0] seems[0] that[0] bateman[0] is[0] a[0] serial[0] killer[-1] and[0] unfortunately[-1] for[0] his[0] contemporaries[0] his[0] tenuous[0] grasp[0] on[0] reality[0] is[0] starting[0] to[0] slip[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as he tries to balance his meticulous daily routines with slaughtering co-workers and prostitutes and hiding their bodies , his mental fabric slowly begins to unravel . 	as he tries to balance his meticulous daily routines with slaughtering co-workers and prostitutes and hiding their bodies , his mental fabric slowly begins to unravel .	1	-2	 as[0] he[0] tries[0] to[0] balance[0] his[0] meticulous[0] daily[0] routines[0] with[0] slaughtering[-1] co[0] workers[0] and[0] prostitutes[0] and[0] hiding[0] their[0] bodies[0] his[0] mental[0] fabric[0] slowly[0] begins[0] to[0] unravel[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was first introduced to the novel when i was still in high school . 	i was first introduced to the novel when i was still in high school .	1	-1	 i[0] was[0] first[0] introduced[0] to[0] the[0] novel[0] when[0] i[0] was[0] still[0] in[0] high[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i read an associated press article in our local sunday newspaper detailing the problems ellis was having getting his novel published due to the controversial violence in it . 	i read an associated press article in our local sunday newspaper detailing the problems ellis was having getting his novel published due to the controversial violence in it .	1	-4	 i[0] read[0] an[0] associated[0] press[0] article[0] in[0] our[0] local[0] sunday[0] newspaper[0] detailing[0] the[0] problems[-1] ellis[0] was[0] having[0] getting[0] his[0] novel[0] published[0] due[0] to[0] the[0] controversial[-1] violence[-3] in[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as usual when anything is controversial i try to seek it out , but i soon forgot about the novel and didn't end up thinking about it again until i stumbled across it a couple of years later at a bookstore . 	as usual when anything is controversial i try to seek it out , but i soon forgot about the novel and didn't end up thinking about it again until i stumbled across it a couple of years later at a bookstore .	1	-2	 as[0] usual[0] when[0] anything[0] is[0] controversial[-1] i[0] try[0] to[0] seek[0] it[0] out[0] but[0] i[0] soon[0] forgot[0] about[0] the[0] novel[0] and[0] didn't[0] end[0] up[0] thinking[0] about[0] it[0] again[0] until[0] i[0] stumbled[0] across[0] it[0] a[0] couple[0] of[0] years[0] later[0] at[0] a[0] bookstore[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i picked it up and read it , but was ultimately disappointed because it left more questions than answers . 	i picked it up and read it , but was ultimately disappointed because it left more questions than answers .	1	-2	 i[0] picked[0] it[0] up[0] and[0] read[0] it[0] but[0] was[0] ultimately[0] disappointed[-1] because[0] it[0] left[0] more[0] questions[0] than[0] answers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the movie has a similar effect , but at least it's less cryptic than ellis' novel . 	the movie has a similar effect , but at least it's less cryptic than ellis' novel .	1	-1	 the[0] movie[0] has[0] a[0] similar[0] effect[0] but[0] at[0] least[0] it's[0] less[0] cryptic[0] than[0] ellis'[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for once , a film has actually turned out to be better than the novel it was based on . 	for once , a film has actually turned out to be better than the novel it was based on .	1	-1	 for[0] once[0] a[0] film[0] has[0] actually[0] turned[0] out[0] to[0] be[0] better[0] than[0] the[0] novel[0] it[0] was[0] based[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both the book and the film open with bateman describing his fastidious morning preparations ( down to exactly what facial scrubs and exfoliating creams he uses ) but the novel seems to concentrate more on these excesses throughout . 	both the book and the film open with bateman describing his fastidious morning preparations ( down to exactly what facial scrubs and exfoliating creams he uses ) but the novel seems to concentrate more on these excesses throughout .	1	-1	 both[0] the[0] book[0] and[0] the[0] film[0] open[0] with[0] bateman[0] describing[0] his[0] fastidious[0] morning[0] preparations[0] down[0] to[0] exactly[0] what[0] facial[0] scrubs[0] and[0] exfoliating[0] creams[0] he[0] uses[0] but[0] the[0] novel[0] seems[0] to[0] concentrate[0] more[0] on[0] these[0] excesses[0] throughout[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
