the coen brothers are back again , this time with homer's " odyssey " as the backdrop in their tale of three fugitives from a mississippi chain gang who trek across the south to find a secret treasure in " o brother , where art thou ? " 	Translation	Positive	Negative	EmotionRationale
right for the beginning of " o brother " the coens grab your attention with a chain gang of prison inmates breaking rocks along the road in unison to a work song . 	right for the beginning of " o brother " the coens grab your attention with a chain gang of prison inmates breaking rocks along the road in unison to a work song .	1	-2	 right[0] for[0] the[0] beginning[0] of[0] o[0] brother[0] the[0] coens[0] grab[-1] your[0] attention[0] with[0] a[0] chain[0] gang[0] of[0] prison[-1] inmates[0] breaking[0] rocks[0] along[0] the[0] road[0] in[0] unison[0] to[0] a[0] work[0] song[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the camera flows around the hard toiling men , giving a visually exciting symmetry to the scene that ends with our three heroes - ulysses everett mcgill ( george clooney ) , delmar ( tim blake nelson ) and pete ( john turturro ) - escaping across a cotton field . 	the camera flows around the hard toiling men , giving a visually exciting symmetry to the scene that ends with our three heroes - ulysses everett mcgill ( george clooney ) , delmar ( tim blake nelson ) and pete ( john turturro ) - escaping across a cotton field .	3	-1	 the[0] camera[0] flows[0] around[0] the[0] hard[0] toiling[0] men[0] giving[0] a[0] visually[0] exciting[2] symmetry[0] to[0] the[0] scene[0] that[0] ends[0] with[0] our[0] three[0] heroes[2] ulysses[0] everett[0] mcgill[0] george[0] clooney[0] delmar[0] tim[0] blake[0] nelson[0] and[0] pete[0] john[0] turturro[0] escaping[0] across[0] a[0] cotton[0] field[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the beginning of a journey that takes on different meanings and urgencies to each member of the trio . 	it is the beginning of a journey that takes on different meanings and urgencies to each member of the trio .	1	-1	 it[0] is[0] the[0] beginning[0] of[0] a[0] journey[0] that[0] takes[0] on[0] different[0] meanings[0] and[0] urgencies[0] to[0] each[0] member[0] of[0] the[0] trio[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a strong suite , as always with the coen brothers , is the depth of character of the folks they create in their films . 	a strong suite , as always with the coen brothers , is the depth of character of the folks they create in their films .	1	-1	 a[0] strong[0] suite[0] as[0] always[0] with[0] the[0] coen[0] brothers[0] is[0] the[0] depth[0] of[0] character[0] of[0] the[0] folks[0] they[0] create[0] in[0] their[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their characters are goofy and comical , like nicolas cage in " raising arizona " ; or , dramatic , as albert finney and john turturro in " miller's crossing " ; and , even a mix of the two with frances mcdormand in " fargo . " 	their characters are goofy and comical , like nicolas cage in " raising arizona " ; or , dramatic , as albert finney and john turturro in " miller's crossing " ; and , even a mix of the two with frances mcdormand in " fargo .<br> "	2	-1	 their[0] characters[0] are[0] goofy[0] and[0] comical[0] like[1] nicolas[0] cage[0] in[0] raising[0] arizona[0] or[0] dramatic[0] as[0] albert[0] finney[0] and[0] john[0] turturro[0] in[0] miller's[0] crossing[0] and[0] even[0] a[0] mix[0] of[0] the[0] two[0] with[0] frances[0] mcdormand[0] in[0] fargo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in all cases , and in " o brother , " too , the characters populating their films are three-dimensional people . 	in all cases , and in " o brother , " too , the characters populating their films are three-dimensional people .	1	-1	 in[0] all[0] cases[0] and[0] in[0] o[0] brother[0] too[0] the[0] characters[0] populating[0] their[0] films[0] are[0] three[0] dimensional[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ulysses everett is a handsome , hair-obsessed petty criminal with a silver tongue and not a lot in the brains department . 	ulysses everett is a handsome , hair-obsessed petty criminal with a silver tongue and not a lot in the brains department .	2	-3	 ulysses[0] everett[0] is[0] a[0] handsome[1] hair[0] obsessed[-2] petty[0] criminal[-1] with[0] a[0] silver[0] tongue[0] and[0] not[0] a[0] lot[0] in[0] the[0] brains[0] department[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but , he seems like a genius when compared to the simple , sweet delmar and the maladjusted pete , who follow their self appointed leader to a promised treasure of  1 . 2 million . 	but , he seems like a genius when compared to the simple , sweet delmar and the maladjusted pete , who follow their self appointed leader to a promised treasure of  1 .<br> 2 million .	2	-2	 but[0] he[0] seems[0] like[1] a[0] genius[0] when[0] compared[0] to[0] the[0] simple[0] sweet[1] delmar[0] and[0] the[0] maladjusted[-1] pete[0] who[0] follow[0] their[0] self[0] appointed[0] leader[0] to[0] a[0] promised[1] treasure[1] of[0] 1[0] [[Sentence=-2,2=word max, 1-5]] 2[0] million[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
their odyssey takes on the mystical proportions of homer's original material as they meet all manner of people along the way , including those dangerous sirens who beckon them onto symbolically rocky shoals and a cyclops who beats them and takes all their money . 	their odyssey takes on the mystical proportions of homer's original material as they meet all manner of people along the way , including those dangerous sirens who beckon them onto symbolically rocky shoals and a cyclops who beats them and takes all their money .	1	-2	 their[0] odyssey[0] takes[0] on[0] the[0] mystical[0] proportions[0] of[0] homer's[0] original[0] material[0] as[0] they[0] meet[0] all[0] manner[0] of[0] people[0] along[0] the[0] way[0] including[0] those[0] dangerous[-1] sirens[0] who[0] beckon[0] them[0] onto[0] symbolically[0] rocky[0] shoals[0] and[0] a[0] cyclops[0] who[0] beats[0] them[0] and[0] takes[0] all[0] their[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is magic , too , when delmar believes that pete was turned into a horny toad by the sirens . 	there is magic , too , when delmar believes that pete was turned into a horny toad by the sirens .	1	-1	 there[0] is[0] magic[0] too[0] when[0] delmar[0] believes[0] that[0] pete[0] was[0] turned[0] into[0] a[0] horny[0] toad[0] by[0] the[0] sirens[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
