it seemed wholly appropriate that at a weekend screening of " the horse whisperer , " the start of the film was delayed some twenty minutes due to " projection difficulties . " 	Translation	Positive	Negative	EmotionRationale
robert redford's film version of nicholas evans' best-selling novel was supposed to have been in theaters last december , going head-to-head with " titanic , " but is only now making its much anticipated debut . 	robert redford's film version of nicholas evans' best-selling novel was supposed to have been in theaters last december , going head-to-head with " titanic , " but is only now making its much anticipated debut .	2	-1	 robert[0] redford's[0] film[0] version[0] of[0] nicholas[0] evans'[0] best[1] selling[0] novel[0] was[0] supposed[0] to[0] have[0] been[0] in[0] theaters[0] last[0] december[0] going[0] head[0] to[0] head[0] with[0] titanic[0] but[0] is[0] only[0] now[0] making[0] its[0] much[0] anticipated[0] debut[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this ( strategic ? ) 	this ( strategic ?<br> )	1	-1	 this[0] strategic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
delay has allowed " the horse whisperer " to compete , sans fanfare , against some smaller , unassuming movies during a relatively slower time at the box office . 	delay has allowed " the horse whisperer " to compete , sans fanfare , against some smaller , unassuming movies during a relatively slower time at the box office .	1	-2	 delay[-1] has[0] allowed[0] the[0] horse[0] whisperer[0] to[0] compete[0] sans[0] fanfare[0] against[-1] some[0] smaller[0] unassuming[0] movies[0] during[0] a[0] relatively[0] slower[0] time[0] at[0] the[0] box[0] office[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no matter . 	no matter .	1	-1	 no[0] matter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
redford's film stands head and shoulders above james cameron's ocean-going tragedy , especially in the writing and acting departments . 	redford's film stands head and shoulders above james cameron's ocean-going tragedy , especially in the writing and acting departments .	1	-3	 redford's[0] film[0] stands[0] head[0] and[0] shoulders[0] above[0] james[0] cameron's[0] ocean[0] going[0] tragedy[-2] especially[0] in[0] the[0] writing[0] and[0] acting[0] departments[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whatever the reasons for its postponement , " the horse whisperer " supports the old adage " better late than never . " 	whatever the reasons for its postponement , " the horse whisperer " supports the old adage " better late than never .<br> "	2	-1	 whatever[0] the[0] reasons[0] for[0] its[0] postponement[0] the[0] horse[0] whisperer[0] supports[1] the[0] old[0] adage[0] better[0] late[0] than[0] never[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
redford has taken evans' book and given it the big screen treatment . 	redford has taken evans' book and given it the big screen treatment .	1	-1	 redford[0] has[0] taken[0] evans'[0] book[0] and[0] given[0] it[0] the[0] big[0] screen[0] treatment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while parts of " the horse whisperer " are epic in scope and vision , especially the aerial " travelogue " that maps out this great country of ours , its real strength lies in the subtleties it uses to paint the fragile alliance between man and beast . 	while parts of " the horse whisperer " are epic in scope and vision , especially the aerial " travelogue " that maps out this great country of ours , its real strength lies in the subtleties it uses to paint the fragile alliance between man and beast .	3	-3	 while[0] parts[0] of[0] the[0] horse[0] whisperer[0] are[0] epic[0] in[0] scope[0] and[0] vision[0] especially[0] the[0] aerial[0] travelogue[0] that[0] maps[0] out[0] this[0] great[2] country[0] of[0] ours[0] its[0] real[0] strength[0] lies[-2] in[0] the[0] subtleties[0] it[0] uses[0] to[0] paint[0] the[0] fragile[-1] alliance[0] between[0] man[0] and[0] beast[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
when her daughter , grace , is involved in a terrible riding accident , hard-driven fashion editor annie maclean ( kristin scott thomas ) devotes herself to rehabilitating both grace and grace's beloved horse , pilgrim . 	when her daughter , grace , is involved in a terrible riding accident , hard-driven fashion editor annie maclean ( kristin scot thomas ) devotes herself to rehabilitating both grace and grace's beloved horse , pilgrim .	3	-4	 when[0] her[0] daughter[0] grace[2] is[0] involved[0] in[0] a[0] terrible[-3] riding[0] accident[-1] hard[0] driven[0] fashion[0] editor[0] annie[0] maclean[0] kristin[0] scott/scot[0] thomas[0] devotes[2] herself[0] to[0] rehabilitating[0] both[0] grace[2] and[0] grace's[0] beloved[2] horse[0] pilgrim[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
refusing to have the hideously disfigured animal put down , annie researches every possible source of information about equine cures before discovering an article about a faith-healing cowboy of sorts called tom booker ( redford ) , who has a way with horses and , perhaps , with people too . 	refusing to have the hideously disfigured animal put down , annie researches every possible source of information about equine cures before discovering an article about a faith-healing cowboy of sorts called tom booker ( redford ) , who has a way with horses and , perhaps , with people too .	2	-2	 refusing[0] to[0] have[0] the[0] hideously[0] disfigured[0] animal[0] put[0] down[0] annie[0] researches[0] every[0] possible[0] source[-1] of[0] information[0] about[0] equine[0] cures[0] before[0] discovering[0] an[0] article[0] about[0] a[0] faith[1] healing[0] cowboy[0] of[0] sorts[0] called[0] tom[0] booker[0] redford[0] who[0] has[0] a[0] way[0] with[0] horses[0] and[0] perhaps[0] with[0] people[0] too[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
