this has been an extraordinary year for australian films . 	Translation	Positive	Negative	EmotionRationale
 " shine " has just scooped the pool at the australian film institute awards , picking up best film , best actor , best director etc . to that we can add the gritty " life " ( the anguish , courage and friendship of a group of male prisoners in the hiv-positive section of a jail ) and " love and other catastrophes " ( a low budget gem about straight and gay love on and near a university campus ) . 	 " shine " has just scooped the pool at the australian film institute awards , picking up best film , best actor , best director etc .<br> to that we can add the gritty " life " ( the anguish , courage and friendship of a group of male prisoners in the hiv-positive section of a jail ) and " love and other catastrophes " ( a low budget gem about straight and gay love on and near a university campus ) .	3	-4	 shine[0] has[0] just[0] scooped[0] the[0] pool[0] at[0] the[0] australian[0] film[0] institute[0] awards[0] picking[0] up[0] best[1] film[0] best[1] actor[0] best[1] director[0] etc[0] [[Sentence=-1,2=word max, 1-5]] to[0] that[0] we[0] can[0] add[0] the[0] gritty[0] life[0] the[0] anguish[-3] courage[1] and[0] friendship[1] of[0] a[0] group[0] of[0] male[0] prisoners[-1] in[0] the[0] hiv[0] positive[2] section[0] of[0] a[0] jail[-1] and[0] love[2] and[0] other[0] catastrophes[0] a[0] low[-1] budget[0] gem[0] about[0] straight[0] and[0] gay[-1] love[2] on[0] and[0] near[0] a[0] university[0] campus[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i can't recall a year in which such a rich and varied celluloid library was unleashed from australia . 	i can't recall a year in which such a rich and varied celluloid library was unleashed from australia .	1	-1	 i[0] can't[0] recall[0] a[0] year[0] in[0] which[0] such[0] a[0] rich[0] and[0] varied[0] celluloid[0] library[0] was[0] unleashed[0] from[0] australia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " shine " was one bookend . 	 " shine " was one bookend .	1	-1	 shine[0] was[0] one[0] bookend[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stand by for the other one : " dead heart " . 	stand by for the other one : " dead heart " .	1	-3	 stand[0] by[0] for[0] the[0] other[0] one[0] dead[-2] heart[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 from the opening credits the theme of division is established . 	 from the opening credits the theme of division is established .	1	-2	 from[0] the[0] opening[0] credits[0] the[0] theme[0] of[0] division[-1] is[0] established[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the cast credits have clear and distinct lines separating their first and last names . 	the cast credits have clear and distinct lines separating their first and last names .	1	-1	 the[0] cast[0] credits[0] have[0] clear[0] and[0] distinct[0] lines[0] separating[0] their[0] first[0] and[0] last[0] names[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bryan   brown . 	bryan   brown .	1	-1	 bryan[0] brown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a desert settlement , hundreds of kilometres from the nearest town , there is an uneasy calm between the local aboriginals and the handful of white settlers who live nearby . 	in a desert settlement , hundreds of kilometres from the nearest town , there is an uneasy calm between the local aboriginals and the handful of white settlers who live nearby .	2	-2	 in[0] a[0] desert[0] settlement[0] hundreds[0] of[0] kilometres[0] from[0] the[0] nearest[0] town[0] there[0] is[0] an[0] uneasy[-1] calm[1] between[0] the[0] local[0] aboriginals[0] and[0] the[0] handful[0] of[0] white[0] settlers[0] who[0] live[0] nearby[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the local police officer has the task of enforcing " white man's justice " to the aboriginals . 	the local police officer has the task of enforcing " white man's justice " to the aboriginals .	1	-1	 the[0] local[0] police[0] officer[0] has[0] the[0] task[0] of[0] enforcing[0] white[0] man's[0] justice[0] to[0] the[0] aboriginals[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these are people with a proud 40 , 000 year heritage behind them . 	these are people with a proud 40 , 00 year heritage behind them .	2	-1	 these[0] are[0] people[0] with[0] a[0] proud[1] 40[0] 000/00[0] year[0] heritage[0] behind[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
naturally , this includes their own system of justice ; key to which is " payback " . 	naturally , this includes their own system of justice ; key to which is " payback " .	1	-1	 naturally[0] this[0] includes[0] their[0] own[0] system[0] of[0] justice[0] key[0] to[0] which[0] is[0] payback[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an eye for an eye . 	an eye for an eye .	1	-1	 an[0] eye[0] for[0] an[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
revenge . 	revenge .	1	-2	 revenge[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
usually extracted by the spearing through of the recipient's thigh . 	usually extracted by the spearing through of the recipient's thigh .	1	-1	 usually[0] extracted[0] by[0] the[0] spearing[0] through[0] of[0] the[0] recipient's[0] thigh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
brown , as the officer , manages quite well to keep the balance . 	brown , as the officer , manages quite well to keep the balance .	1	-1	 brown[0] as[0] the[0] officer[0] manages[0] quite[0] well[0] to[0] keep[0] the[0] balance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he admits that he has to 'bend the rules' a bit , including actively encouraging at least one brutal " payback " . 	he admits that he has to 'bend the rules' a bit , including actively encouraging at least one brutal " payback " .	2	-3	 he[0] admits[0] that[0] he[0] has[0] to[0] 'bend[0] the[0] rules'[0] a[0] bit[0] including[0] actively[0] encouraging[1] at[0] least[0] one[0] brutal[-2] payback[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 ( be warned that this scene , near the start , is not for the squeamish ) . 	 ( be warned that this scene , near the start , is not for the squeamish ) .	1	-1	 be[0] warned[0] that[0] this[0] scene[0] near[0] the[0] start[0] is[0] not[0] for[0] the[0] squeamish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the local priest - an aboriginal , but in the " white fellas " church - has a foot on either side of the line . 	the local priest - an aboriginal , but in the " white fellas " church - has a foot on either side of the line .	1	-1	 the[0] local[0] priest[0] an[0] aboriginal[0] but[0] in[0] the[0] white[0] fellas[0] church[0] has[0] a[0] foot[0] on[0] either[0] side[0] of[0] the[0] line[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is , figuratively and literally , in both camps . 	he is , figuratively and literally , in both camps .	1	-1	 he[0] is[0] figuratively[0] and[0] literally[0] in[0] both[0] camps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
