susan granger's review of " the perfect storm " ( warner bros . ) 	Translation	Positive	Negative	EmotionRationale
 " more people die on fishing boats , per capita , than working in any other job in the u . s . . 	 " more people die on fishing boats , per capita , than working in any other job in the you .<br> s .<br> .	1	-1	 more[0] people[0] die[0] on[0] fishing[0] boats[0] per[0] capita[0] than[0] working[0] in[0] any[0] other[0] job[0] in[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every journey a fishing boat makes can be an all-or-nothing risk . 	every journey a fishing boat makes can be an all-or-nothing risk .	1	-2	 every[0] journey[0] a[0] fishing[0] boat[0] makes[0] can[0] be[0] an[0] all[0] or[0] nothing[0] risk[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is life at its most exhilarating and its most terrifying , " says director wolfgang petersen ( " das boot " ) . 	it is life at its most exhilarating and its most terrifying , " says director wolfgang petersen ( " das boot " ) .	1	-4	 it[0] is[0] life[0] at[0] its[0] most[0] exhilarating[0] and[0] its[0] most[0] terrifying[-3] says[0] director[0] wolfgang[0] petersen[0] das[0] boot[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and that's just what he captures in this true story of struggle and humanity aboard a swordfishing boat , the andrea gail , sailing out of gloucester , massachusetts , in late october , 1991 . 	and that's just what he captures in this true story of struggle and humanity aboard a swordfishing boat , the andrea gail , sailing out of gloucester , massachusetts , in late october , 1991 .	2	-2	 and[0] that's[0] just[0] what[0] he[0] captures[-1] in[0] this[0] true[1] story[0] of[0] struggle[-1] and[0] humanity[0] aboard[0] a[0] swordfishing[0] boat[0] the[0] andrea[0] gail[0] sailing[0] out[0] of[0] gloucester[0] massachusetts[0] in[0] late[0] october[0] 1991[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
early in bill wittliff's screenplay , based on sebastian junger's best-seller , we meet the crew of six . 	early in bill wittliff's screenplay , based on sebastian junger's best-seller , we meet the crew of six .	2	-1	 early[0] in[0] bill[0] wittliff's[0] screenplay[0] based[0] on[0] sebastian[0] junger's[0] best[1] seller[0] we[0] meet[0] the[0] crew[0] of[0] six[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the veteran captain ( george clooney ) is frustrated because he can't find fish on the grand banks , yet a rival skipper ( mary elizabeth mastrantonio ) brings in huge hauls . 	the veteran captain ( george clooney ) is frustrated because he can't find fish on the grand banks , yet a rival skipper ( mary elizabeth mastrantonio ) brings in huge hauls .	2	-3	 the[0] veteran[0] captain[0] george[0] clooney[0] is[0] frustrated[-2] because[0] he[0] can't[0] find[0] fish[0] on[0] the[0] grand[1] banks[0] yet[0] a[0] rival[-1] skipper[0] mary[0] elizabeth[0] mastrantonio[0] brings[0] in[0] huge[0] hauls[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his right-hand man ( mark walhberg ) needs money to build a new life with his girl-friend ( diane lane ) . 	his right-hand man ( mark walhberg ) needs money to build a new life with his girl-friend ( diane lane ) .	2	-1	 his[0] right[0] hand[0] man[0] mark[0] walhberg[0] needs[0] money[0] to[0] build[0] a[0] new[0] life[0] with[0] his[0] girl[0] friend[1] diane[0] lane[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a devoted dad ( john c . reilly ) with an estranged wife and son , a free-spirited jamaican ( allen payne ) , a lonely guy ( john hawkes ) , and a last-minute replacement with a bad attitude ( william fichtner ) . 	there's a devoted dad ( john c .<br> reilly ) with an estranged wife and son , a free-spirited jamaican ( allen payne ) , a lonely guy ( john hawkes ) , and a last-minute replacement with a bad attitude ( william fichtner ) .	3	-2	 there's[0] a[0] devoted[2] dad[0] john[0] c[0] [[Sentence=-1,3=word max, 1-5]] reilly[0] with[0] an[0] estranged[-1] wife[0] and[0] son[0] a[0] free[0] spirited[0] jamaican[0] allen[0] payne[0] a[0] lonely[-1] guy[0] john[0] hawkes[0] and[0] a[0] last[0] minute[0] replacement[0] with[0] a[0] bad[-1] attitude[0] william[0] fichtner[0] [[Sentence=-2,1=word max, 1-5]][[[3,-2 max of sentences]]]
the skipper's convinced he can change his bad luck streak in remote flemish cap , and he does . 	the skipper's convinced he can change his bad luck streak in remote flemish cap , and he does .	3	-2	 the[0] skipper's[0] convinced[0] he[0] can[0] change[0] his[0] bad[-1] luck[2] streak[0] in[0] remote[0] flemish[0] cap[0] and[0] he[0] does[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but then trouble begins . 	but then trouble begins .	1	-2	 but[0] then[0] trouble[-1] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's a rogue wave , a man overboard and the ice machine breaks - with 60 , 000 lb . 	there's a rogue wave , a man overboard and the ice machine breaks - with 60 , 00 lb .	1	-2	 there's[0] a[0] rogue[-1] wave[0] a[0] man[0] overboard[0] and[0] the[0] ice[0] machine[0] breaks[0] with[0] 60[0] 000/00[0] lb[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of fish that could spoil . 	of fish that could spoil .	1	-1	 of[0] fish[0] that[0] could[0] spoil[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that's minor compared with a deadly monster storm approaching which a boston meteorologist describes as " a disaster of epic proportions " that also threatens the lives of a coast guard helicopter rescue team trying to save three people stranded on a sailboat on the high seas . 	but that's minor compared with a deadly monster storm approaching which a boston meteorologist describes as " a disaster of epic proportions " that also threatens the lives of a coast guard helicopter rescue team trying to save three people stranded on a sailboat on the high seas .	2	-3	 but[0] that's[0] minor[0] compared[0] with[0] a[0] deadly[-1] monster[-1] storm[-1] approaching[0] which[0] a[0] boston[0] meteorologist[0] describes[0] as[0] a[0] disaster[-1] of[0] epic[0] proportions[0] that[0] also[0] threatens[-2] the[0] lives[0] of[0] a[0] coast[0] guard[0] helicopter[0] rescue[0] team[0] trying[0] to[0] save[1] three[0] people[0] stranded[0] on[0] a[0] sailboat[0] on[0] the[0] high[0] seas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's formulaic and there are cliches , but the walls of water , created by fluid dynamics simulating real-life phenomena , are awesome . 	it's formulaic and there are cliches , but the walls of water , created by fluid dynamics simulating real-life phenomena , are awesome .	3	-1	 it's[0] formulaic[0] and[0] there[0] are[0] cliches[0] but[0] the[0] walls[0] of[0] water[0] created[0] by[0] fluid[0] dynamics[1] simulating[0] real[0] life[0] phenomena[0] are[0] awesome[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the granger movie gauge of 1 to 10 , " the perfect storm " is a terrifying , suspenseful 8 . 	on the granger movie gauge of 1 to 10 , " the perfect storm " is a terrifying , suspenseful 8 .	2	-4	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] the[0] perfect[1] storm[-1] is[0] a[0] terrifying[-3] suspenseful[0] 8[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hang on for the white-knuckle thrill ride of the summer ! 	hang on for the white-knuckle thrill ride of the summer !	4	-2	 hang[-1] on[0] for[0] the[0] white[0] knuckle[0] thrill[3] ride[0] of[0] the[0] summer[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
