mary norton's children's book series , the borrowers , has been made into several below-average television movies . 	Translation	Positive	Negative	EmotionRationale
so , i wasn't too enthused as i entered the theater for the big-screen debut of the minute clan . 	so , i wasn't too enthused as i entered the theater for the big-screen debut of the minute clan .	3	-1	 so[0] i[0] wasn't[0] too[0] enthused[2] as[0] i[0] entered[0] the[0] theater[0] for[0] the[0] big[0] screen[0] debut[0] of[0] the[0] minute[0] clan[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but i was in for a shock , the borrowers is actually a thoroughly delightful movie with plenty of good laughs and even some decent special effects . 	but i was in for a shock , the borrowers is actually a thoroughly delightful movie with plenty of good laughs and even some decent special effects .	3	-3	 but[0] i[0] was[0] in[0] for[0] a[0] shock[-2] the[0] borrowers[0] is[0] actually[0] a[0] thoroughly[0] delightful[2] movie[0] with[0] plenty[0] of[0] good[1] laughs[1] and[0] even[0] some[0] decent[0] special[1] effects[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the lender family is being thrown out of their longtime home . 	the lender family is being thrown out of their longtime home .	1	-1	 the[0] lender[0] family[0] is[0] being[0] thrown[0] out[0] of[0] their[0] longtime[0] home[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their aunt , who owned the property , never left a will . 	their aunt , who owned the property , never left a will .	1	-1	 their[0] aunt[0] who[0] owned[0] the[0] property[0] never[0] left[0] a[0] will[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , an unscrupulous lawyer , ocious potter ( john goodman ) plans to demolish the house and replace it with an ultra-modern housing development . 	now , an unscrupulous lawyer , ocious potter ( john goodman ) plans to demolish the house and replace it with an ultra-modern housing development .	1	-2	 now[0] an[0] unscrupulous[-1] lawyer[0] ocious[0] potter[0] john[0] goodman[0] plans[0] to[0] demolish[-1] the[0] house[0] and[0] replace[0] it[0] with[0] an[0] ultra[0] modern[0] housing[0] development[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the lenders are not alone in their house . 	but the lenders are not alone in their house .	1	-1	 but[0] the[0] lenders[0] are[0] not[0] alone[0] in[0] their[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
living under the floorboards is a family of borrowers , 4 inch tall people who make their living as scavengers from the human " beans " above . 	living under the floorboards is a family of borrowers , 4 inch tall people who make their living as scavengers from the human " beans " above .	1	-1	 living[0] under[0] the[0] floorboards[0] is[0] a[0] family[0] of[0] borrowers[0] 4[0] inch[0] tall[0] people[0] who[0] make[0] their[0] living[0] as[0] scavengers[0] from[0] the[0] human[0] beans[0] above[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the clock family of borrowers is as distressed as the lenders , especially once they discover the evil potter actually has a copy of the will which leaves the home to the lenders . 	the clock family of borrowers is as distressed as the lenders , especially once they discover the evil potter actually has a copy of the will which leaves the home to the lenders .	1	-3	 the[0] clock[0] family[0] of[0] borrowers[0] is[0] as[0] distressed[-2] as[0] the[0] lenders[0] especially[0] once[0] they[0] discover[0] the[0] evil[-2] potter[0] actually[0] has[0] a[0] copy[0] of[0] the[0] will[0] which[0] leaves[0] the[0] home[0] to[0] the[0] lenders[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so it is up to the clocks ( pod ( jim broadbent ) and homily ( celia imrie ) , along with their kids , arrietty ( flora newbigin ) and peagreen ( tom felton ) ) to recover the will and save the household . 	so it is up to the clocks ( pod ( jim broadbent ) and homily ( celia imrie ) , along with their kids , arrietty ( flora newbigin ) and peagreen ( tom felton ) ) to recover the will and save the household .	2	-1	 so[0] it[0] is[0] up[0] to[0] the[0] clocks[0] pod[0] jim[0] broadbent[0] and[0] homily[0] celia[0] imrie[0] along[0] with[0] their[0] kids[0] arrietty[0] flora[0] newbigin[0] and[0] peagreen[0] tom[0] felton[0] to[0] recover[0] the[0] will[0] and[0] save[1] the[0] household[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but when potter learns of the tiny people , he enlists the skills of exterminator jeff ( mark williams ) to kill off the clan . 	but when potter learns of the tiny people , he enlists the skills of exterminator jeff ( mark williams ) to kill off the clan .	1	-2	 but[0] when[0] potter[0] learns[0] of[0] the[0] tiny[0] people[0] he[0] enlists[0] the[0] skills[0] of[0] exterminator[-1] jeff[0] mark[0] williams[0] to[0] kill[-1] off[0] the[0] clan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's plenty of attention to detail in the borrowers , especially in the furnishings of the clock family house , made out of lost board game parts and credit cards . 	there's plenty of attention to detail in the borrowers , especially in the furnishings of the clock family house , made out of lost board game parts and credit cards .	1	-1	 there's[0] plenty[0] of[0] attention[0] to[0] detail[0] in[0] the[0] borrowers[0] especially[0] in[0] the[0] furnishings[0] of[0] the[0] clock[0] family[0] house[0] made[0] out[0] of[0] lost[0] board[0] game[0] parts[0] and[0] credit[0] cards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the background details are nearly as rich as the entertaining story . 	the background details are nearly as rich as the entertaining story .	1	-1	 the[0] background[0] details[0] are[0] nearly[0] as[0] rich[0] as[0] the[0] entertaining[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the various predicaments of the clock family are clever and thrilling . 	the various predicaments of the clock family are clever and thrilling .	4	-2	 the[0] various[0] predicaments[-1] of[0] the[0] clock[0] family[0] are[0] clever[0] and[0] thrilling[3] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
based on an original story , the screenwriters did a good job at imagining all the potential and unusual perils that could exist for a 4-inch tall person . 	based on an original story , the screenwriters did a good job at imagining all the potential and unusual perils that could exist for a 4-inch tall person .	2	-2	 based[0] on[0] an[0] original[0] story[0] the[0] screenwriters[0] did[0] a[0] good[1] job[0] at[0] imagining[0] all[0] the[0] potential[0] and[0] unusual[0] perils[-1] that[0] could[0] exist[0] for[0] a[0] 4[0] inch[0] tall[0] person[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the villain , john goodman's performance veers on the edge of being over-the-top . 	as the villain , john goodman's performance veers on the edge of being over-the-top .	1	-3	 as[0] the[0] villain[-2] john[0] goodman's[0] performance[0] veers[0] on[0] the[0] edge[0] of[0] being[0] over[0] the[0] top[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but his performance suits the role well , and he does very well in the film's many slapstick moments . 	but his performance suits the role well , and he does very well in the film's many slapstick moments .	1	-2	 but[0] his[0] performance[0] suits[0] the[0] role[0] well[0] and[0] he[0] does[0] very[0] well[0] in[0] the[0] film's[0] many[0] slapstick[-1] moments[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a nearly seamless mix of oversized sets , bluescreen shots and cgi , the special effects in the borrowers are very well done . 	with a nearly seamless mix of oversized sets , bluescreen shots and cgi , the special effects in the borrowers are very well done .	2	-1	 with[0] a[0] nearly[0] seamless[0] mix[0] of[0] oversized[0] sets[0] bluescreen[0] shots[0] and[0] cgi[0] the[0] special[1] effects[0] in[0] the[0] borrowers[0] are[0] very[0] well[0] done[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
