the sweet hereafter could serve as a textbook example of the difference between television movies and " real " movies . 	Translation	Positive	Negative	EmotionRationale
consider for a moment what a television producer would do with a book that features a fatal school bus accident and a lawyer out to sign up the bereaved -- lots of hot sensationalism interrupted with breaks to sell beer and toothpaste . 	consider for a moment what a television producer would do with a book that features a fatal school bus accident and a lawyer out to sign up the bereaved - lots of hot sensationalism interrupted with breaks to sell beer and toothpaste .	1	-4	 consider[0] for[0] a[0] moment[0] what[0] a[0] television[0] producer[0] would[0] do[0] with[0] a[0] book[0] that[0] features[0] a[0] fatal[-2] school[0] bus[0] accident[-1] and[0] a[0] lawyer[0] out[0] to[0] sign[0] up[0] the[0] bereaved[-3] lots[0] of[0] hot[0] sensationalism[0] interrupted[-1] with[0] breaks[0] to[0] sell[0] beer[0] and[0] toothpaste[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
top-flight writer and director atom egoyan delivers instead a film with tremendous power whose most notable trait is its touching subtlety . 	top-flight writer and director atom egoyan delivers instead a film with tremendous power whose most notable trait is its touching subtlety .	1	-1	 top[0] flight[0] writer[0] and[0] director[0] atom[0] egoyan[0] delivers[0] instead[0] a[0] film[0] with[0] tremendous[0] power[0] whose[0] most[0] notable[0] trait[0] is[0] its[0] touching[0] subtlety[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on a respected book of the same name by author russell banks , the movie represents a rethinking of the story's structure , not merely a literal adaptation of the novel . 	based on a respected book of the same name by author russell banks , the movie represents a rethinking of the story's structure , not merely a literal adaptation of the novel .	3	-1	 based[0] on[0] a[0] respected[2] book[0] of[0] the[0] same[0] name[0] by[0] author[0] russell[0] banks[0] the[0] movie[0] represents[0] a[0] rethinking[0] of[0] the[0] story's[0] structure[0] not[0] merely[0] a[0] literal[0] adaptation[0] of[0] the[0] novel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
told in linear form by four narrators in the book , egoyan's version happens instead in overlapping time sequences and without a narrator . 	told in linear form by four narrators in the book , egoyan's version happens instead in overlapping time sequences and without a narrator .	1	-1	 told[0] in[0] linear[0] form[0] by[0] four[0] narrators[0] in[0] the[0] book[0] egoyan's[0] version[0] happens[0] instead[0] in[0] overlapping[0] time[0] sequences[0] and[0] without[0] a[0] narrator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the author is even on record as applauding egoyan's changes . 	the author is even on record as applauding egoyan's changes .	2	-1	 the[0] author[0] is[0] even[0] on[0] record[0] as[0] applauding[1] egoyan's[0] changes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the press notes the book's author describes the story as " a parable of lost children . " 	in the press notes the book's author describes the story as " a parable of lost children .<br> "	1	-1	 in[0] the[0] press[0] notes[0] the[0] book's[0] author[0] describes[0] the[0] story[0] as[0] a[0] parable[0] of[0] lost[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he says it asks what a town does in the absence of its children . 	he says it asks what a town does in the absence of its children .	1	-2	 he[0] says[0] it[0] asks[0] what[0] a[0] town[0] does[0] in[0] the[0] absence[-1] of[0] its[0] children[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
picking up on this , egoyan has a flashback in which a sitter , nicole burnell , played with grace by sarah polley , reads parts of " the pied piper " from an old , illustrated book to her two charges . 	picking up on this , egoyan has a flashback in which a sitter , nicole burnell , played with grace by sarah polley , reads parts of " the pied piper " from an old , illustrated book to her two charges .	3	-2	 picking[0] up[0] on[0] this[0] egoyan[0] has[0] a[0] flashback[0] in[0] which[0] a[0] sitter[0] nicole[0] burnell[-1] played[0] with[0] grace[2] by[0] sarah[0] polley[0] reads[0] parts[0] of[0] the[0] pied[0] piper[0] from[0] an[0] old[0] illustrated[0] book[0] to[0] her[0] two[0] charges[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
periodically throughout the picture , nicole's readings are heard in voice-over . 	periodically throughout the picture , nicole's readings are heard in voice-over .	1	-1	 periodically[0] throughout[0] the[0] picture[0] nicole's[0] readings[0] are[0] heard[0] in[0] voice[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you have never heard this moving poem read so sweetly or in such an appropriate moment . 	you have never heard this moving poem read so sweetly or in such an appropriate moment .	2	-1	 you[0] have[0] never[0] heard[0] this[0] moving[0] poem[0] read[0] so[0] sweetly[1] or[0] in[0] such[0] an[0] appropriate[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they and the rest of the town's children come into harm's way -- some live and others are seriously injured . 	they and the rest of the town's children come into harm's way - some live and others are seriously injured .	1	-1	 they[0] and[0] the[0] rest[0] of[0] the[0] town's[0] children[0] come[0] into[0] harm's[0] way[0] some[0] live[0] and[0] others[0] are[0] seriously[0] injured[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the entire small canadian town where the accident occurs is never the same again . 	and the entire small canadian town where the accident occurs is never the same again .	1	-2	 and[0] the[0] entire[0] small[0] canadian[0] town[0] where[0] the[0] accident[-1] occurs[0] is[0] never[0] the[0] same[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
