while watching " shallow grave , " i found myself periodically noticing thematic similarities to the coens' " blood simple . " 	Translation	Positive	Negative	EmotionRationale
both are good films in which several characters , none of whom are the most conscientious to have walked the earth but still are not really evil , indulge in an act of deception that soon necessitates more serious crimes . 	both are good films in which several characters , none of whom are the most conscientious to have walked the earth but still are not really evil , indulge in an act of deception that soon necessitates more serious crimes .	4	-2	 both[0] are[0] good[1] films[0] in[0] which[0] several[0] characters[0] none[0] of[0] whom[0] are[0] the[0] most[0] conscientious[0] to[0] have[0] walked[0] the[0] earth[0] but[0] still[0] are[0] not[0] really[0] evil[-2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] indulge[-1][NegatedDueToPreviousWord] in[0] an[0] act[0] of[0] deception[-1] that[0] soon[0] necessitates[0] more[0] serious[-1] crimes[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the body count rises , and before long seemingly normal people have blood on their hands . 	the body count rises , and before long seemingly normal people have blood on their hands .	1	-1	 the[0] body[0] count[0] rises[0] and[0] before[0] long[0] seemingly[0] normal[0] people[0] have[0] blood[0] on[0] their[0] hands[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
both films are also flawed , but for different reasons . 	both films are also flawed , but for different reasons .	1	-1	 both[0] films[0] are[0] also[0] flawed[0] but[0] for[0] different[0] reasons[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " blood simple " is unrelentingly dark and moody , but its characterizations were a little hollow . 	 " blood simple " is unrelentingly dark and moody , but its characterizations were a little hollow .	1	-3	 blood[0] simple[0] is[0] unrelentingly[0] dark[0] and[0] moody[-2] but[0] its[0] characterizations[0] were[0] a[0] little[0] hollow[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " shallow grave , " on the other hand , is nearly flawless for an hour and twenty minutes , and then the filmmakers throw away much of what they'd accomplished for a more standard , audience-pleasing ending . 	 " shallow grave , " on the other hand , is nearly flawless for an hour and twenty minutes , and then the filmmakers throw away much of what they'd accomplished for a more standard , audience-pleasing ending .	3	-3	 shallow[-1] grave[-2] on[0] the[0] other[0] hand[0] is[0] nearly[0] flawless[1] for[0] an[0] hour[0] and[0] twenty[0] minutes[0] and[0] then[0] the[0] filmmakers[0] throw[0] away[0] much[0] of[0] what[0] they'd[0] accomplished[1] for[0] a[0] more[0] standard[0] audience[0] pleasing[2] ending[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the events of the film were sufficiently intense and disturbing that i honestly felt quite troubled by what i was witnessing on screen most of the time , yet there was a slight grin on my face at the end . 	the events of the film were sufficiently intense and disturbing that i honestly felt quite troubled by what i was witnessing on screen most of the time , yet there was a slight grin on my face at the end .	2	-2	 the[0] events[0] of[0] the[0] film[0] were[0] sufficiently[0] intense[0] and[0] disturbing[-1] that[0] i[0] honestly[0] felt[0] quite[0] troubled[-1] by[0] what[0] i[0] was[0] witnessing[0] on[0] screen[0] most[0] of[0] the[0] time[0] yet[0] there[0] was[0] a[0] slight[0] grin[1] on[0] my[0] face[0] at[0] the[0] end[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as the film begins , we are introduced to alex ( ewan mcgregor ) , juliet ( kerry fox ) , and david ( christopher eccleston ) , a scottish trio living in an apartment in glasgow . 	as the film begins , we are introduced to alex ( ewan mcgregor ) , juliet ( kerry fox ) , and david ( christopher eccleston ) , a scottish trio living in an apartment in glasgow .	1	-1	 as[0] the[0] film[0] begins[0] we[0] are[0] introduced[0] to[0] alex[0] ewan[0] mcgregor[0] juliet[0] kerry[0] fox[0] and[0] david[0] christopher[0] eccleston[0] a[0] scottish[0] trio[0] living[0] in[0] an[0] apartment[0] in[0] glasgow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they are all sarcastic and occasionally obnoxious , but other than that they seem like a fairly normal bunch . 	they are all sarcastic and occasionally obnoxious , but other than that they seem like a fairly normal bunch .	2	-3	 they[0] are[0] all[0] sarcastic[-2] and[0] occasionally[0] obnoxious[-2] but[0] other[0] than[0] that[0] they[0] seem[0] like[1] a[0] fairly[0] normal[0] bunch[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
a man named hugo moves into the apartment's remaining vacancy , and the next morning he is found dead of a drug overdose . 	a man named hugo moves into the apartment's remaining vacancy , and the next morning he is found dead of a drug overdose .	1	-3	 a[0] man[0] named[0] hugo[0] moves[0] into[0] the[0] apartment's[0] remaining[0] vacancy[0] and[0] the[0] next[0] morning[0] he[0] is[0] found[0] dead[-2] of[0] a[0] drug[0] overdose[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
juliet is about to call the police when alex discovers that hugo had brought with him a suitcase filled to the brim with cash ( presumably from criminal activities ) . 	juliet is about to call the police when alex discovers that hugo had brought with him a suitcase filled to the brim with cash ( presumably from criminal activities ) .	1	-2	 juliet[0] is[0] about[0] to[0] call[0] the[0] police[0] when[0] alex[0] discovers[0] that[0] hugo[0] had[0] brought[0] with[0] him[0] a[0] suitcase[0] filled[0] to[0] the[0] brim[0] with[0] cash[0] presumably[0] from[0] criminal[-1] activities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the three eventually decide to keep the money and cover up the death ; after a drawing of straws , the particularly unenviable task of mutilating the body so as to make it unidentifiable and burying it falls to david , who had been the most reluctant to partake in the scheme from the beginning . 	the three eventually decide to keep the money and cover up the death ; after a drawing of straws , the particularly unenviable task of mutilating the body so as to make it unidentifiable and burying it falls to david , who had been the most reluctant to partake in the scheme from the beginning .	1	-3	 the[0] three[0] eventually[0] decide[0] to[0] keep[0] the[0] money[0] and[0] cover[0] up[0] the[0] death[-2] after[0] a[0] drawing[0] of[0] straws[0] the[0] particularly[0] unenviable[0] task[0] of[0] mutilating[0] the[0] body[0] so[0] as[0] to[0] make[0] it[0] unidentifiable[0] and[0] burying[0] it[0] falls[0] to[0] david[0] who[0] had[0] been[0] the[0] most[0] reluctant[-1] to[0] partake[0] in[0] the[0] scheme[0] from[0] the[0] beginning[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all of this transpires in the first twenty minutes or so of the film , and part of what makes " shallow grave " so brilliant for a while is that i honestly had no idea what was coming next . 	all of this transpires in the first twenty minutes or so of the film , and part of what makes " shallow grave " so brilliant for a while is that i honestly had no idea what was coming next .	2	-3	 all[0] of[0] this[0] transpires[0] in[0] the[0] first[0] twenty[0] minutes[0] or[0] so[0] of[0] the[0] film[0] and[0] part[0] of[0] what[0] makes[0] shallow[-1] grave[-2] so[0] brilliant[1] for[0] a[0] while[0] is[0] that[0] i[0] honestly[0] had[0] no[0] idea[0] what[0] was[0] coming[0] next[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
other than the obvious question of why they don't report the death and simply hide the cash , which is not addressed , the plotting and characterization , while sometimes predictable , worked in a way that kept my attention and , on more than one occasion , gave me chills . 	other than the obvious question of why they don't report the death and simply hide the cash , which is not addressed , the plotting and characterization , while sometimes predictable , worked in a way that kept my attention and , on more than one occasion , gave me chills .	1	-3	 other[0] than[0] the[0] obvious[0] question[0] of[0] why[0] they[0] don't[0] report[0] the[0] death[-2] and[0] simply[0] hide[0] the[0] cash[0] which[0] is[0] not[0] addressed[0] the[0] plotting[0] and[0] characterization[0] while[0] sometimes[0] predictable[0] worked[0] in[0] a[0] way[0] that[0] kept[0] my[0] attention[0] and[0] on[0] more[0] than[0] one[0] occasion[0] gave[0] me[0] chills[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i will , therefore , attempt to continue this review in a way that doesn't give away too much of the plot . 	i will , therefore , attempt to continue this review in a way that doesn't give away too much of the plot .	1	-1	 i[0] will[0] therefore[0] attempt[0] to[0] continue[0] this[0] review[0] in[0] a[0] way[0] that[0] doesn't[0] give[0] away[0] too[0] much[0] of[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
broadly , the trio are in danger due to hugo's underworld connections , as two goons search for the money and kill several people in the process . 	broadly , the trio are in danger due to hugo's underworld connections , as two goons search for the money and kill several people in the process .	1	-2	 broadly[0] the[0] trio[0] are[0] in[0] danger[-1] due[0] to[0] hugo's[0] underworld[-1] connections[0] as[0] two[0] goons[0] search[0] for[0] the[0] money[0] and[0] kill[-1] several[0] people[0] in[0] the[0] process[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a police inspector ( ken stott ) is clearly suspicious and visits the apartment , asking pointed questions and trying to unnerve the three suspects by exchanging banal and weirdly humorous bits of dialogue with a junior detective . 	a police inspector ( ken stott ) is clearly suspicious and visits the apartment , asking pointed questions and trying to unnerve the three suspects by exchanging banal and weirdly humorous bits of dialogue with a junior detective .	3	-2	 a[0] police[0] inspector[0] ken[0] stott[0] is[0] clearly[0] suspicious[-1] and[0] visits[0] the[0] apartment[0] asking[0] pointed[0] questions[0] and[0] trying[0] to[0] unnerve[-1] the[0] three[0] suspects[0] by[0] exchanging[0] banal[-1] and[0] weirdly[-1] humorous[2] bits[0] of[0] dialogue[0] with[0] a[0] junior[0] detective[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
david , meanwhile , becomes increasingly paranoid , moves into the attic , and develops an affinity for sharp objects . 	david , meanwhile , becomes increasingly paranoid , moves into the attic , and develops an affinity for sharp objects .	1	-3	 david[0] meanwhile[0] becomes[0] increasingly[0] paranoid[-2] moves[0] into[0] the[0] attic[0] and[0] develops[0] an[0] affinity[0] for[0] sharp[0] objects[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director danny boyle effectively creates an atmosphere of mounting tension and suspicion in the apartment , and finally the three seem ready to turn against each other . 	director danny boyle effectively creates an atmosphere of mounting tension and suspicion in the apartment , and finally the three seem ready to turn against each other .	1	-3	 director[0] danny[0] boyle[0] effectively[0] creates[0] an[0] atmosphere[0] of[0] mounting[0] tension[-2] and[0] suspicion[-1] in[0] the[0] apartment[0] and[0] finally[0] the[0] three[0] seem[0] ready[0] to[0] turn[0] against[-1] each[0] other[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while i do not consider myself the " happy endings are automatically stupid " type , i thought that " shallow grave " really should have ended in tragedy - a realistic analysis of the story up to the last ten minutes of the film would indicate that all three characters were probably about to end up in prison , in the mental hospital , or in the morgue . 	while i do not consider myself the " happy endings are automatically stupid " type , i thought that " shallow grave " really should have ended in tragedy - a realistic analysis of the story up to the last ten minutes of the film would indicate that all three characters were probably about to end up in prison , in the mental hospital , or in the morgue .	2	-3	 while[0] i[0] do[0] not[0] consider[0] myself[0] the[0] happy[1] endings[0] are[0] automatically[0] stupid[-1] type[0] i[0] thought[0] that[0] shallow[-1] grave[-2] really[0] should[0] have[0] ended[0] in[0] tragedy[-2] a[0] realistic[0] analysis[0] of[0] the[0] story[0] up[0] to[0] the[0] last[0] ten[0] minutes[0] of[0] the[0] film[0] would[0] indicate[0] that[0] all[0] three[0] characters[0] were[0] probably[0] about[0] to[0] end[0] up[0] in[0] prison[-1] in[0] the[0] mental[0] hospital[0] or[0] in[0] the[0] morgue[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
this could have been accomplished , quite credibly , but then boyle and screenwriter john hodge seem to flinch and opt for a more conventional " caper " ending in which we get a kick out of seeing who outsmarted whom , and nothing more . 	this could have been accomplished , quite credibly , but then boyle and screenwriter john hodge seem to flinch and opt for a more conventional " caper " ending in which we get a kick out of seeing who outsmarted whom , and nothing more .	2	-2	 this[0] could[0] have[0] been[0] accomplished[1] quite[0] credibly[0] but[0] then[0] boyle[0] and[0] screenwriter[0] john[0] hodge[0] seem[0] to[0] flinch[0] and[0] opt[0] for[0] a[0] more[0] conventional[0] caper[0] ending[0] in[0] which[0] we[0] get[0] a[0] kick[-1] out[0] of[0] seeing[0] who[0] outsmarted[0] whom[0] and[0] nothing[0] more[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
