 ( dimension films , " scream 2 " 's distributor , has asked press to say extremely little -- if anything -- about the film's twisty plot . 	Translation	Positive	Negative	EmotionRationale
that's no easy task considering the wit that deserves to be mentioned here , but i will do my best to be vague ( now , there's a first ) . ) 	that's no easy task considering the wit that deserves to be mentioned here , but i will do my best to be vague ( now , there's a first ) .<br> )	2	-2	 that's[0] no[0] easy[0] task[0] considering[0] the[0] wit[0] that[0] deserves[0] to[0] be[0] mentioned[0] here[0] but[0] i[0] will[0] do[0] my[0] best[1] to[0] be[0] vague[-1] now[0] there's[0] a[0] first[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the first one was [good] , but all the rest sucked , " said a cinematically-savvy teen in last winter's wes craven thriller " scream , " her statement referring to the films of the " nightmare on elm street " series but really putting down franchise overkill in general . 	 " the first one was [good] , but all the rest sucked , " said a cinematically-savy teen in last winter's wes craven thriller " scream , " her statement referring to the films of the " nightmare on elm street " series but really putting down franchise overkill in general .	2	-4	 the[0] first[0] one[0] was[0] [good][0] but[0] all[0] the[0] rest[0] sucked[-1] said[0] a[0] cinematically[0] savvy/savy[0] teen[0] in[0] last[0] winter's[0] wes[0] craven[-1] thriller[1] scream[-3] her[0] statement[0] referring[0] to[0] the[0] films[0] of[0] the[0] nightmare[-2] on[0] elm[0] street[0] series[0] but[0] really[0] putting[0] down[0] franchise[0] overkill[0] in[0] general[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the comment certainly carries clout : for every truly great sequel , there appears to be a couple of duds , making one wonder if writers are better off sticking solely with fresh ideas . 	the comment certainly carries clout : for every truly great sequel , there appears to be a couple of duds , making one wonder if writers are better off sticking solely with fresh ideas .	3	-1	 the[0] comment[0] certainly[0] carries[0] clout[0] for[0] every[0] truly[1] great[2] sequel[0] there[0] appears[0] to[0] be[0] a[0] couple[0] of[0] duds[0] making[0] one[0] wonder[0] if[0] writers[0] are[0] better[0] off[0] sticking[0] solely[0] with[0] fresh[0] ideas[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but like it or not , along comes " scream 2 . " and believe it or not , it's a doozy -- a slick , sinister , madly subversive good time at the movies , as intent on sending up hollywood's sequel syndrome as much as its prequel poked fun at slasher conventions . 	but like it or not , along comes " scream 2 .<br> " and believe it or not , it's a dozy - a slick , sinister , madly subversive good time at the movies , as intent on sending up hollywood's sequel syndrome as much as its prequel poked fun at slasher conventions .	2	-4	 but[0] like[1] it[0] or[0] not[0] along[0] comes[0] scream[-3] 2[0] [[Sentence=-4,2=word max, 1-5]] and[0] believe[0] it[0] or[0] not[0] it's[0] a[0] doozy/dozy[0] a[0] slick[0] sinister[-3] madly[1] subversive[0] good[1] time[0] at[0] the[0] movies[0] as[0] intent[0] on[0] sending[0] up[0] hollywood's[0] sequel[0] syndrome[0] as[0] much[0] as[0] its[0] prequel[0] poked[0] fun[1] at[0] slasher[-1] conventions[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
 " scream 2 " is definitely that rare movie thing -- a follow-up that can stand along side its original with pride . 	 " scream 2 " is definitely that rare movie thing - a follow-up that can stand along side its original with pride .	2	-4	 scream[-3] 2[0] is[0] definitely[0] that[0] rare[0] movie[0] thing[0] a[0] follow[0] up[0] that[0] can[0] stand[0] along[0] side[0] its[0] original[0] with[0] pride[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it's been two years since a pair of overzealous horror movie fans clad in edvard munch-esque get-ups carved their way through the young populace of woodsboro , california . 	it's been two years since a pair of overzealous horror movie fans clad in edvard munch-esque get-ups carved their way through the young populace of woodsboro , california .	1	-4	 it's[0] been[0] two[0] years[0] since[0] a[0] pair[0] of[0] overzealous[0] horror[-3] movie[0] fans[0] clad[0] in[0] edvard[0] munch[0] esque[0] get[0] ups[0] carved[0] their[0] way[0] through[0] the[0] young[0] populace[0] of[0] woodsboro[0] california[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
those surviving the ordeal have gotten on with their lives . 	those surviving the ordeal have gotten on with their lives .	1	-3	 those[0] surviving[0] the[0] ordeal[-2] have[0] gotten[0] on[0] with[0] their[0] lives[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
plucky heroine sidney prescott ( neve campbell ) is a drama student at the midwestern windsor college ; her pop culture-whiz pal randy meeks ( jamie kennedy ) has tagged along . 	plucky heroine sidney prescott ( neve campbell ) is a drama student at the midwestern windsor college ; her pop culture-whiz pal randy meeks ( jamie kennedy ) has tagged along .	3	-2	 plucky[0] heroine[2] sidney[0] prescott[0] neve[0] campbell[0] is[0] a[0] drama[0] student[0] at[0] the[0] midwestern[0] windsor[0] college[0] her[0] pop[0] culture[0] whiz[0] pal[0] randy[0] meeks[-1] jamie[0] kennedy[0] has[0] tagged[0] along[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
trash tabloid reporter gale weathers ( courteney cox ) has written a best-seller based on their ordeal , the basis of which has been turned into a ( very bad ) movie called " stab . " 	trash tabloid reporter gale weathers ( courteney cox ) has written a best-seller based on their ordeal , the basis of which has been turned into a ( very bad ) movie called " stab .<br> "	2	-3	 trash[-1] tabloid[0] reporter[0] gale[0] weathers[0] courteney[0] cox[0] has[0] written[0] a[0] best[1] seller[0] based[0] on[0] their[0] ordeal[-2] the[0] basis[0] of[0] which[0] has[0] been[0] turned[0] into[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] movie[0] called[0] stab[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and dewey riley ( david arquette ) , still suffering from wounds inflicted during " scream , " has left his job as a police officer for a while . 	and dewey riley ( david arquette ) , still suffering from wounds inflicted during " scream , " has left his job as a police officer for a while .	1	-4	 and[0] dewey[0] riley[0] david[0] arquette[0] still[0] suffering[-3] from[0] wounds[-1] inflicted[0] during[0] scream[-3] has[0] left[0] his[0] job[0] as[0] a[0] police[0] officer[0] for[0] a[0] while[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
