plot : a dude and his brother are driving cross-country and decide to fool around with a trucker on their cb radio . 	Translation	Positive	Negative	EmotionRationale
it isn't long before their little prank gets someone put into a coma ( long story ) and the next thing you know , the trucker is following them too . 	it isn't long before their little prank gets someone put into a coma ( long story ) and the next thing you know , the trucker is following them too .	1	-1	 it[0] isn't[0] long[0] before[0] their[0] little[0] prank[0] gets[0] someone[0] put[0] into[0] a[0] coma[0] long[0] story[0] and[0] the[0] next[0] thing[0] you[0] know[0] the[0] trucker[0] is[0] following[0] them[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lotsa nuttiness ensues and then , they pick up their other friend , venna , a girl who the dude has a crush on . 	lotsa nuttiness ensues and then , they pick up their other friend , venna , a girl who the dude has a crush on .	2	-2	 lotsa[0] nuttiness[0] ensues[0] and[0] then[0] they[0] pick[0] up[0] their[0] other[0] friend[1] venna[0] a[0] girl[0] who[0] the[0] dude[0] has[0] a[0] crush[-1] on[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but what's this . . . ? 	but what's this .<br> .<br> .<br> ?	1	-1	 but[0] what's[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trucker is still on their tail and is now harassing all three of the young whippersnappers . . . ? 	the trucker is still on their tail and is now harassing all three of the young whippersnappers .<br> .<br> .<br> ?	1	-3	 the[0] trucker[0] is[0] still[0] on[0] their[0] tail[0] and[0] is[0] now[0] harassing[-2] all[0] three[0] of[0] the[0] young[0] whippersnappers[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you bet ! 	you bet !	1	-1	 you[0] bet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
buckle up , dorothy . . . this is gonna be one bumpy ride ! 	buckle up , dorothy .<br> .<br> .<br> this is gonna be one bumpy ride !	1	-1	 buckle[0] up[0] dorothy[0] [[Sentence=-1,1=word max, 1-5]] this[0] is[0] gonna[0] be[0] one[0] bumpy[0] ride[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
critique : a good ol' time at the movies ! 	critique : a good ol' time at the movies !	2	-1	 critique[0] a[0] good[1] ol'[0] time[0] at[0] the[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here's a film that actually gives away most of its plotline in its trailer and doesn't really bring anything " new " to the forefront ( if you've seen flicks like duel and breakdown , you've crossed this path before ) , but still manages to entertain you gangbusters , with realistic situations , believable characters , funny moments , thrills , chills , the whole shebang . 	here's a film that actually gives away most of its plotline in its trailer and doesn't really bring anything " new " to the forefront ( if you've seen flicks like duel and breakdown , you've crossed this path before ) , but still manages to entertain you gangbusters , with realistic situations , believable characters , funny moments , thrills , chills , the whole shebang .	4	-2	 here's[0] a[0] film[0] that[0] actually[0] gives[0] away[0] most[0] of[0] its[0] plotline[0] in[0] its[0] trailer[0] and[0] doesn't[0] really[0] bring[0] anything[0] new[0] to[0] the[0] forefront[0] if[0] you've[0] seen[0] flicks[0] like[1] duel[0] and[0] breakdown[-1] you've[0] crossed[0] this[0] path[0] before[0] but[0] still[0] manages[0] to[0] entertain[0] you[0] gangbusters[0] with[0] realistic[0] situations[0] believable[0] characters[0] funny[1] moments[0] thrills[3] chills[0] the[0] whole[0] shebang[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
let's give it up for director john dahl , who continues to put out solid films every other year ( if you haven't seen red rock west , do yourself a favor right now , and jot it down on a piece of paper and rent it at your earliest convenience ) . 	let's give it up for director john dahl , who continues to put out solid films every other year ( if you haven't seen red rock west , do yourself a favor right now , and jot it down on a piece of paper and rent it at your earliest convenience ) .	2	-1	 let's[0] give[0] it[0] up[0] for[0] director[0] john[0] dahl[0] who[0] continues[0] to[0] put[0] out[0] solid[0] films[0] every[0] other[0] year[0] if[0] you[0] haven't[0] seen[0] red[0] rock[1] west[0] do[0] yourself[0] a[0] favor[1] right[0] now[0] and[0] jot[0] it[0] down[0] on[0] a[0] piece[0] of[0] paper[0] and[0] rent[0] it[0] at[0] your[0] earliest[0] convenience[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and much like that film , this one has an excellent premise and sets everything up at an even pace . 	and much like that film , this one has an excellent premise and sets everything up at an even pace .	4	-1	 and[0] much[0] like[1] that[0] film[0] this[0] one[0] has[0] an[0] excellent[3] premise[0] and[0] sets[0] everything[0] up[0] at[0] an[0] even[0] pace[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
