bruce lee was a bigger-than-life martial artist ( and ) actor . 	Translation	Positive	Negative	EmotionRationale
bruce's unique character ( i . e . , self-produced sound effects , etc . ) and seemingly perfected martial art and physique were all well portrayed by the actor , james lee . 	bruce's unique character ( i .<br> e .<br> , self-produced sound effects , etc .<br> ) and seemingly perfected martial art and physique were all well portrayed by the actor , james lee .	2	-1	 bruce's[0] unique[0] character[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]] self[0] produced[0] sound[0] effects[0] etc[0] [[Sentence=-1,1=word max, 1-5]] and[0] seemingly[0] perfected[1] martial[0] art[0] and[0] physique[0] were[0] all[0] well[0] portrayed[0] by[0] the[0] actor[0] james[0] lee[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the story is told from his wife linda's point of view where she put a lot of family and practical side of bruce lee's life . 	the story is told from his wife linda's point of view where she put a lot of family and practical side of bruce lee's life .	1	-1	 the[0] story[0] is[0] told[0] from[0] his[0] wife[0] linda's[0] point[0] of[0] view[0] where[0] she[0] put[0] a[0] lot[0] of[0] family[0] and[0] practical[0] side[0] of[0] bruce[0] lee's[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , you can't help but like , whenever the fight scenes are on , what he can does with his body and that familiar bruce attitude and character . 	however , you can't help but like , whenever the fight scenes are on , what he can does with his body and that familiar bruce attitude and character .	2	-3	 however[0] you[0] can't[0] help[0] but[0] like[1] whenever[0] the[0] fight[-2] scenes[0] are[0] on[0] what[0] he[0] can[0] does[0] with[0] his[0] body[0] and[0] that[0] familiar[0] bruce[0] attitude[0] and[0] character[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i also like the little bits of insight scenes about bruce lee's life before he became famous : scenes like bruce practicing pronunciation of english . 	i also like the little bits of insight scenes about bruce lee's life before he became famous : scenes like bruce practicing pronunciation of english .	2	-1	 i[0] also[0] like[1] the[0] little[0] bits[0] of[0] insight[0] scenes[0] about[0] bruce[0] lee's[0] life[0] before[0] he[0] became[0] famous[0] scenes[0] like[1] bruce[0] practicing[0] pronunciation[0] of[0] english[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seemed as if he was no better than anybody else . 	it seemed as if he was no better than anybody else .	1	-1	 it[0] seemed[0] as[0] if[0] he[0] was[0] no[0] better[0] than[0] anybody[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scenes like bruce delivering chinese food as a delivery boy ridding a bike through the american college looking at the ( all-white ) students , cheerleaders , and athletes . 	scenes like bruce delivering chinese food as a delivery boy ridding a bike through the american college looking at the ( all-white ) students , cheerleaders , and athletes .	2	-1	 scenes[0] like[1] bruce[0] delivering[0] chinese[0] food[0] as[0] a[0] delivery[0] boy[0] ridding[0] a[0] bike[0] through[0] the[0] american[0] college[0] looking[0] at[0] the[0] all[0] white[0] students[0] cheerleaders[0] and[0] athletes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it seemed he too wished for the american dreams and hopes . 	it seemed he too wished for the american dreams and hopes .	2	-1	 it[0] seemed[0] he[0] too[0] wished[0] for[0] the[0] american[0] dreams[0] and[0] hopes[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in conclusion , the movie was well made , it produced a realization of who bruce lee was , and actor james lee was so much like bruce you have to remind yourself that he is just an actor . 	in conclusion , the movie was well made , it produced a realization of who bruce lee was , and actor james lee was so much like bruce you have to remind yourself that he is just an actor .	2	-1	 in[0] conclusion[0] the[0] movie[0] was[0] well[0] made[0] it[0] produced[0] a[0] realization[0] of[0] who[0] bruce[0] lee[0] was[0] and[0] actor[0] james[0] lee[0] was[0] so[0] much[0] like[1] bruce[0] you[0] have[0] to[0] remind[0] yourself[0] that[0] he[0] is[0] just[0] an[0] actor[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the fighting scenes were all excellent . 	and the fighting scenes were all excellent .	4	-3	 and[0] the[0] fighting[-2] scenes[0] were[0] all[0] excellent[3] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
so go see it and enjoy the movie . 	so go see it and enjoy the movie .	3	-1	 so[0] go[0] see[0] it[0] and[0] enjoy[2] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
p . s . if you have seen the movie unforgiven by clint eastwood , then the feeling left after dragon was very much like the feeling you got after the unforgiven . 	p .<br> s .<br> if you have seen the movie unforgiven by clint eastwood , then the feeling left after dragon was very much like the feeling you got after the unforgiven .	2	-1	 p[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] if[0] you[0] have[0] seen[0] the[0] movie[0] unforgiven[0] by[0] clint[0] eastwood[0] then[0] the[0] feeling[0] left[0] after[0] dragon[0] was[0] very[0] much[0] like[1] the[0] feeling[0] you[0] got[0] after[0] the[0] unforgiven[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
