this summer , one of the most racially charged novels in john grisham's series , a time to kill , was made into a major motion picture . 	Translation	Positive	Negative	EmotionRationale
on january 3 of this year , director rob reiner basically re-released the film under the title of ghosts of mississippi . 	on january 3 of this year , director rob reiner basically re-released the film under the title of ghosts of mississippi .	1	-1	 on[0] january[0] 3[0] of[0] this[0] year[0] director[0] rob[0] reiner[0] basically[0] re[0] released[0] the[0] film[0] under[0] the[0] title[0] of[0] ghosts[0] of[0] mississippi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
based on the true story of 1963 civil rights leader medgar evars' assassination , ghosts of mississippi revolves around the 25-year legal battle faced by myrlie evars ( whoopi goldberg , sister act ) and her quest to have her husband's obvious assassin and racist byron de la beckwith ( james woods , casino ) jailed . 	based on the true story of 1963 civil rights leader medgar evars' assassination , ghosts of mississippi revolves around the 25-year legal battle faced by myrlie evars ( whoopi goldberg , sister act ) and her quest to have her husband's obvious assassin and racist byron de la beckwith ( james woods , casino ) jailed .	2	-3	 based[0] on[0] the[0] true[1] story[0] of[0] 1963[0] civil[0] rights[0] leader[0] medgar[0] evars'[0] assassination[-2] ghosts[0] of[0] mississippi[0] revolves[0] around[0] the[0] 25[0] year[0] legal[0] battle[-1] faced[0] by[0] myrlie[0] evars[0] whoopi[0] goldberg[0] sister[0] act[0] and[0] her[0] quest[0] to[0] have[0] her[0] husband's[0] obvious[0] assassin[-2] and[0] racist[-1] byron[0] de[0] la[0] beckwith[0] james[0] woods[0] casino[0] jailed[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
so she turns to assistant district attorney and prosecutor bobby delaughter ( alec baldwin , heaven's prisoners ) to imprison the former kkk member . 	so she turns to assistant district attorney and prosecutor bobby delaughter ( alec baldwin , heaven's prisoners ) to imprison the former k member .	2	-2	 so[0] she[0] turns[0] to[0] assistant[0] district[0] attorney[0] and[0] prosecutor[-1] bobby[0] delaughter[0] alec[0] baldwin[0] heaven's[1] prisoners[-1] to[0] imprison[-1] the[0] former[0] kkk/k[0][+0.6 MultipleLetters] member[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ghosts sets its tone with an opening montage of images from african-american history , from slave-ship miseries to life in the racist south of the 1960's . 	ghosts sets its tone with an opening montage of images from african-american history , from slave-ship miseries to life in the racist south of the 1960's .	1	-3	 ghosts[0] sets[0] its[0] tone[0] with[0] an[0] opening[0] montage[0] of[0] images[0] from[0] african[0] american[0] history[0] from[0] slave[0] ship[0] miseries[-2] to[0] life[0] in[0] the[0] racist[-1] south[0] of[0] the[0] 1960's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but all too soon , the white folks take over , intoning lines like " what's america got to do with anything ? 	but all too soon , the white folks take over , intoning lines like " what's america got to do with anything ?	2	-1	 but[0] all[0] too[0] soon[0] the[0] white[0] folks[0] take[0] over[0] intoning[0] lines[0] like[1] what's[0] america[0] got[0] to[0] do[0] with[0] anything[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is mississippi ! " 	this is mississippi !<br> "	1	-1	 this[0] is[0] mississippi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as beckwith , james woods , with his head larded with latex most of the time as an old man , teeters between portraying evil and its character . 	as beckwith , james woods , with his head larded with latex most of the time as an old man , teeters between portraying evil and its character .	1	-3	 as[0] beckwith[0] james[0] woods[0] with[0] his[0] head[0] larded[0] with[0] latex[0] most[0] of[0] the[0] time[0] as[0] an[0] old[0] man[0] teeters[0] between[0] portraying[0] evil[-2] and[0] its[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
meanwhile , goldberg turns in a very serious and weepy performance as the wife who wouldn't let her husband's death rest until she got the conviction . 	meanwhile , goldberg turns in a very serious and weepy performance as the wife who wouldn't let her husband's death rest until she got the conviction .	1	-3	 meanwhile[0] goldberg[0] turns[0] in[0] a[0] very[0] serious[-1][-1 LastWordBoosterStrength] and[0] weepy[-2] performance[0] as[0] the[0] wife[0] who[0] wouldn't[0] let[0] her[0] husband's[0] death[-2] rest[0] until[0] she[0] got[0] the[0] conviction[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
both deserve serious oscar-consideration . 	both deserve serious oscar-consideration .	1	-2	 both[0] deserve[0] serious[-1] oscar[0] consideration[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this brings us to the dull performance of baldwin . 	this brings us to the dull performance of baldwin .	1	-2	 this[0] brings[0] us[0] to[0] the[0] dull[-1] performance[0] of[0] baldwin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's face it , trying to match matthew mcconaughey's wonderful acting in a time to kill is basically impossible . 	let's face it , trying to match matthew mcconaughey's wonderful acting in a time to kill is basically impossible .	3	-2	 let's[0] face[0] it[0] trying[0] to[0] match[0] matthew[0] mcconaughey's[0] wonderful[2] acting[0] in[0] a[0] time[0] to[0] kill[-1] is[0] basically[0] impossible[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and baldwin is living proof of this , as no emotions could be felt . 	and baldwin is living proof of this , as no emotions could be felt .	1	-1	 and[0] baldwin[0] is[0] living[0] proof[0] of[0] this[0] as[0] no[0] emotions[0] could[0] be[0] felt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seemed as if he actually had to struggle to shed a single tear . 	it seemed as if he actually had to struggle to shed a single tear .	1	-2	 it[0] seemed[0] as[0] if[0] he[0] actually[0] had[0] to[0] struggle[-1] to[0] shed[0] a[0] single[0] tear[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
either poor acting or poor directing , but something definitely went wrong . 	either poor acting or poor directing , but something definitely went wrong .	1	-2	 either[0] poor[-1] acting[0] or[0] poor[-1] directing[0] but[0] something[0] definitely[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
