not since oliver stone's natural born killers has there been a movie this incendiary , and not since david cronenberg has a so-called mainstream director been this willing to repeatedly tiptoe the fine line between pointed social commentary and outright social irresponsibility . 	Translation	Positive	Negative	EmotionRationale
while fincher's films have never suffered from a lack of shock value ( his major character killings in both alien 3 and seven are fine examples ) , fight club marks the distillation of his pitch-black comedic sensibility ( see 1997's the game ) into something like a definitive statement . 	while fincher's films have never suffered from a lack of shock value ( his major character killings in both alien 3 and seven are fine examples ) , fight club marks the distillation of his pitch-black comedic sensibility ( see 1997's the game ) into something like a definitive statement .	4	-3	 while[0] fincher's[0] films[0] have[0] never[0] suffered[-3][NegatedDueToPreviousWord] from[0] a[0] lack[-1] of[0] shock[-2] value[1] his[0] major[0] character[0] killings[0] in[0] both[0] alien[-1] 3[0] and[0] seven[0] are[0] fine[2] examples[0] fight[-2] club[0] marks[0] the[0] distillation[0] of[0] his[0] pitch[0] black[0] comedic[0] sensibility[0] see[0] 1997's[0] the[0] game[0] into[0] something[0] like[1] a[0] definitive[0] statement[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
jack ( norton , acting as both narrator and protagonist ) is your typical cubicle clone , whose disillusionment is amplified by a seemingly incurable insomnia . 	jack ( norton , acting as both narrator and protagonist ) is your typical cubicle clone , whose disillusionment is amplified by a seemingly incurable insomnia .	1	-2	 jack[0] norton[0] acting[0] as[0] both[0] narrator[0] and[0] protagonist[0] is[0] your[0] typical[0] cubicle[0] clone[0] whose[0] disillusionment[-1] is[0] amplified[0] by[0] a[0] seemingly[0] incurable[-1] insomnia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the offhand advice of a doctor , he sits in on group-therapy sessions for everything from blood parasites to testicular cancer . 	on the offhand advice of a doctor , he sits in on group-therapy sessions for everything from blood parasites to testicular cancer .	1	-4	 on[0] the[0] offhand[0] advice[0] of[0] a[0] doctor[0] he[0] sits[0] in[0] on[0] group[0] therapy[0] sessions[0] for[0] everything[0] from[0] blood[0] parasites[-2] to[0] testicular[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
here he meets bob ( marvin lee aday , aka meat loaf ) , a cancer-emasculated eunuch with profound gynecomastia . 	here he meets bob ( marvin lee aday , aka meat loaf ) , a cancer-emasculated eunuch with profound gynecomastia .	1	-4	 here[0] he[0] meets[0] bob[0] marvin[0] lee[0] aday[0] aka[0] meat[0] loaf[0] a[0] cancer[-3] emasculated[0] eunuch[0] with[0] profound[0] gynecomastia[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
strangely , the release he finds while sobbing on bob's breasts allows him to sleep at night , at least until a fellow group-therapy " tourist " named marla singer ( carter ) comes along to ruin things for him , forcing a grudging compromise that recalls monty python in its dark hilarity . 	strangely , the release he finds while sobbing on bob's breasts allows him to sleep at night , at least until a fellow group-therapy " tourist " named marla singer ( carter ) comes along to ruin things for him , forcing a grudging compromise that recalls monty python in its dark hilarity .	3	-4	 strangely[0] the[0] release[0] he[0] finds[0] while[0] sobbing[-3] on[0] bob's[0] breasts[0] allows[0] him[0] to[0] sleep[0] at[0] night[0] at[0] least[0] until[0] a[0] fellow[0] group[0] therapy[0] tourist[0] named[0] marla[0] singer[0] carter[0] comes[0] along[0] to[0] ruin[-1] things[0] for[0] him[0] forcing[0] a[0] grudging[0] compromise[0] that[0] recalls[0] monty[0] python[0] in[0] its[0] dark[0] hilarity[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
later , he meets tyler durden ( pitt ) , a soap salesman with a decidedly subversive outlook on life . 	later , he meets tyler durden ( pit ) , a soap salesman with a decidedly subversive outlook on life .	1	-1	 later[0] he[0] meets[0] tyler[0] durden[0] pitt/pit[0] a[0] soap[0] salesman[0] with[0] a[0] decidedly[0] subversive[0] outlook[0] on[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one night , after his ikea- furnished condo explodes ( don't ask-- you'll just have to see the movie , awright ? ) , he is goaded by tyler into a fight , and damned if it doesn't feel good . 	one night , after his ikea- furnished condo explodes ( don't ask- you'll just have to see the movie , awright ?<br> ) , he is goaded by tyler into a fight , and damned if it doesn't feel good .	2	-3	 one[0] night[0] after[0] his[0] ikea[0] furnished[0] condo[0] explodes[-1] don't[0] ask[0] you'll[0] just[0] have[0] to[0] see[0] the[0] movie[0] awright[0] [[Sentence=-2,1=word max, 1-5]] he[0] is[0] goaded[0] by[0] tyler[0] into[0] a[0] fight[-2] and[0] damned[-1] if[0] it[0] doesn't[0] feel[0] good[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is pure , raw existence , a brief moment of clarity and purpose that makes his dreary workaday life pale in comparison . 	it is pure , raw existence , a brief moment of clarity and purpose that makes his dreary workaday life pale in comparison .	1	-2	 it[0] is[0] pure[0] raw[0] existence[0] a[0] brief[0] moment[0] of[0] clarity[0] and[0] purpose[0] that[0] makes[0] his[0] dreary[-1] workaday[0] life[0] pale[0] in[0] comparison[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he moves into tyler's squalid abandoned mansion , and they form the titular organization , an underground therapy group where men bond with bare-knuckle savagery and very few rules , the first two of which are " don't talk about fight club . " 	he moves into tyler's squalid abandoned mansion , and they form the titular organization , an underground therapy group where men bond with bare-knuckle savagery and very few rules , the first two of which are " don't talk about fight club .<br> "	1	-3	 he[0] moves[0] into[0] tyler's[0] squalid[0] abandoned[-1] mansion[0] and[0] they[0] form[0] the[0] titular[0] organization[0] an[0] underground[0] therapy[0] group[0] where[0] men[0] bond[0] with[0] bare[0] knuckle[0] savagery[-2] and[0] very[0] few[0] rules[0] the[0] first[0] two[0] of[0] which[0] are[0] don't[0] talk[0] about[0] fight[-2] club[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
armed with charisma and an attractive anti-corporate philosophy , tyler assumes leadership of the burgeoning membership of white-collar slaves and dead-end mcemployees . 	armed with charisma and an attractive anti-corporate philosophy , tyler assumes leadership of the burgeoning membership of white-collar slaves and dead-end mcemployees .	2	-3	 armed[0] with[0] charisma[0] and[0] an[0] attractive[1] anti[0] corporate[0] philosophy[0] tyler[0] assumes[0] leadership[0] of[0] the[0] burgeoning[0] membership[0] of[0] white[0] collar[0] slaves[0] and[0] dead[-2] end[0] mcemployees[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
resentment creeps into jack's heart , made worse by the fact that tyler is also regularly and noisily boffing the hated marla . 	resentment creeps into jack's heart , made worse by the fact that tyler is also regularly and noisily boffing the hated marla .	1	-4	 resentment[-2] creeps[0] into[0] jack's[0] heart[0] made[0] worse[-2] by[0] the[0] fact[0] that[0] tyler[0] is[0] also[0] regularly[0] and[0] noisily[0] boffing[0] the[0] hated[-3] marla[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
funded by a frivolous lawsuit , tyler begins molding his devotees into an army dedicated to mischief and mayhem . 	funded by a frivolous lawsuit , tyler begins molding his devotees into an army dedicated to mischief and mayhem .	3	-2	 funded[0] by[0] a[0] frivolous[-1] lawsuit[-1] tyler[0] begins[0] molding[0] his[0] devotees[2] into[0] an[0] army[0] dedicated[0] to[0] mischief[-1] and[0] mayhem[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
their initially juvenile pranks ( like pissing in food and putting spike belts on roads ) quickly evolve into something more like sedition , and jack fears that things have gone sour . 	their initially juvenile pranks ( like pissing in food and putting spike belts on roads ) quickly evolve into something more like sedition , and jack fears that things have gone sour .	2	-3	 their[0] initially[0] juvenile[0] pranks[0] like[1] pissing[-2] in[0] food[0] and[0] putting[0] spike[0] belts[0] on[0] roads[0] quickly[0] evolve[0] into[0] something[0] more[0] like[1] sedition[0] and[0] jack[0] fears[-2] that[0] things[0] have[0] gone[0] sour[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it is after this point , when you are plenty uncomfortable and wondering just how far fincher will go to say something original , that the film uncorks a disappointing plot twist . 	it is after this point , when you are plenty uncomfortable and wondering just how far fincher will go to say something original , that the film uncorks a disappointing plot twist .	1	-3	 it[0] is[0] after[0] this[0] point[0] when[0] you[0] are[0] plenty[0] uncomfortable[-2] and[0] wondering[0] just[0] how[0] far[0] fincher[0] will[0] go[0] to[0] say[0] something[0] original[0] that[0] the[0] film[0] uncorks[0] a[0] disappointing[-1] plot[0] twist[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is so contrived-- and so conventional compared to what precedes it-- that everything which follows ( including the ending ) becomes far less interesting . 	it is so contrived- and so conventional compared to what precedes it- that everything which follows ( including the ending ) becomes far less interesting .	2	-1	 it[0] is[0] so[0] contrived[0] and[0] so[0] conventional[0] compared[0] to[0] what[0] precedes[0] it[0] that[0] everything[0] which[0] follows[0] including[0] the[0] ending[0] becomes[0] far[0] less[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's a major ( though not fatal ) flaw , and for a director as notoriously unpredictable as fincher , it feels like a cop-out . 	it's a major ( though not fatal ) flaw , and for a director as notoriously unpredictable as fincher , it feels like a cop-out .	3	-2	 it's[0] a[0] major[0] though[0] not[0] fatal[-2][NegatedDueToPreviousWord] flaw[-1][NegatedDueToPreviousWord] and[0] for[0] a[0] director[0] as[0] notoriously[-1] unpredictable[0] as[0] fincher[0] it[0] feels[0] like[1] a[0] cop[0] out[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
fight club is going to be misconstrued by a great many people . 	fight club is going to be misconstrued by a great many people .	3	-3	 fight[-2] club[0] is[0] going[0] to[0] be[0] misconstrued[0] by[0] a[0] great[2] many[0] people[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in the early going , it has a downright dangerous feel ; it seems to be saying that violence and civil disobedience are good for the soul , and this is undoubtedly the message that a few moronic punks are going to take from it . 	in the early going , it has a downright dangerous feel ; it seems to be saying that violence and civil disobedience are good for the soul , and this is undoubtedly the message that a few moronic punks are going to take from it .	2	-4	 in[0] the[0] early[0] going[0] it[0] has[0] a[0] downright[0] dangerous[-1] feel[0] it[0] seems[0] to[0] be[0] saying[0] that[0] violence[-3] and[0] civil[0] disobedience[-1] are[0] good[1] for[0] the[0] soul[0] and[0] this[0] is[0] undoubtedly[0] the[0] message[0] that[0] a[0] few[0] moronic[-2] punks[0] are[0] going[0] to[0] take[0] from[0] it[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i'll be mightily surprised if imitation fight clubs don't spring up here and there , and i'll be even more amazed if fincher isn't vilified for it by the same humorless witch-hunters that are currently after oliver stone . 	i'll be mightily surprised if imitation fight clubs don't spring up here and there , and i'll be even more amazed if fincher isn't vilified for it by the same humorless witch-hunters that are currently after oliver stone .	3	-3	 i'll[0] be[0] mightily[0] surprised[0] if[0] imitation[0] fight[-2] clubs[0] don't[0] spring[0] up[0] here[0] and[0] there[0] and[0] i'll[0] be[0] even[0] more[0] amazed[2] if[0] fincher[0] isn't[0] vilified[0] for[0] it[0] by[0] the[0] same[0] humorless[-2] witch[0] hunters[0] that[0] are[0] currently[0] after[0] oliver[0] stone[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
they needn't bother , because fight club is less a message movie than fincher's elaborate attempt at a joke . 	they needn't bother , because fight club is less a message movie than fincher's elaborate attempt at a joke .	2	-3	 they[0] needn't[0] bother[-1] because[0] fight[-2] club[0] is[0] less[0] a[0] message[0] movie[0] than[0] fincher's[0] elaborate[0] attempt[0] at[0] a[0] joke[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
tyler durden , for all his dionysian allure , is really nothing more than the logical ( and far less hypocritical ) extrapolation of all those self-help gurus who constantly show up on oprah to preach their me-first gospel of self-actualization . 	tyler durden , for all his dionysian allure , is really nothing more than the logical ( and far less hypocritical ) extrapolation of all those self-help gurus who constantly show up on oprah to preach their me-first gospel of self-actualization .	1	-1	 tyler[0] durden[0] for[0] all[0] his[0] dionysian[0] allure[0] is[0] really[0] nothing[0] more[0] than[0] the[0] logical[0] and[0] far[0] less[0] hypocritical[0] extrapolation[0] of[0] all[0] those[0] self[0] help[0] gurus[0] who[0] constantly[0] show[0] up[0] on[0] oprah[0] to[0] preach[0] their[0] me[0] first[0] gospel[0] of[0] self[0] actualization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this context , the joke works , but like the latest columbine joke , some people will get it and enjoy a good laugh , and others won't . 	in this context , the joke works , but like the latest columbine joke , some people will get it and enjoy a good laugh , and others won't .	3	-1	 in[0] this[0] context[0] the[0] joke[1] works[0] but[0] like[1] the[0] latest[0] columbine[0] joke[1] some[0] people[0] will[0] get[0] it[0] and[0] enjoy[2] a[0] good[1] laugh[1] and[0] others[0] won't[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hopefully , though , their silly moral outrage won't spoil the joke for the rest of us . 	hopefully , though , their silly moral outrage won't spoil the joke for the rest of us .	2	-3	 hopefully[0] though[0] their[0] silly[-1] moral[0] outrage[-2] won't[0] spoil[-1][NegatedDueToPreviousWord] the[0] joke[1] for[0] the[0] rest[0] of[0] us[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
