a big surprise to me . 	Translation	Positive	Negative	EmotionRationale
the good trailer had hinted that they pulled the impossible off , but making a blues brothers movie without jake blues ( john belushi ) is such a dumb idea i really had no hope . 	the good trailer had hinted that they pulled the impossible off , but making a blues brothers movie without jake blues ( john belushi ) is such a dumb idea i really had no hope .	3	-2	 the[0] good[1] trailer[0] had[0] hinted[0] that[0] they[0] pulled[0] the[0] impossible[0] off[0] but[0] making[0] a[0] blues[0] brothers[0] movie[0] without[0] jake[0] blues[0] john[0] belushi[0] is[0] such[0] a[0] dumb[-1] idea[0] i[0] really[0] had[0] no[0] hope[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they replaced him just fine . 	they replaced him just fine .	2	-1	 they[0] replaced[0] him[0] just[0] fine[2][-1 LastWordBoosterStrength] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
not with john goodman , he didn't do much of anything , but with the brilliant actor joe morton , who can really sing . 	not with john goodman , he didn't do much of anything , but with the brilliant actor joe morton , who can really sing .	2	-1	 not[0] with[0] john[0] goodman[0] he[0] didn't[0] do[0] much[0] of[0] anything[0] but[0] with[0] the[0] brilliant[1] actor[0] joe[0] morton[0] who[0] can[0] really[0] sing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the fourth blues brother is j evan bonifant , who's ten . 	the fourth blues brother is j evan bonifant , who's ten .	1	-1	 the[0] fourth[0] blues[0] brother[0] is[0] j[0] evan[0] bonifant[0] who's[0] ten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this was another of my fears for the film , but he's a really good dancer , and plays a mean harmonica ( although he may have been dubbed ) . 	this was another of my fears for the film , but he's a really good dancer , and plays a mean harmonica ( although he may have been dubbed ) .	3	-3	 this[0] was[0] another[0] of[0] my[0] fears[-2] for[0] the[0] film[0] but[0] he's[0] a[0] really[0] good[1][1 LastWordBoosterStrength] dancer[0] and[0] plays[1] a[0] mean[0] harmonica[0] although[0] he[0] may[0] have[0] been[0] dubbed[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
things that intellectually had bothered me before , like no mission from god , everyone being richer , it not being filmed in chicago -- gave me no problems at all . 	things that intellectually had bothered me before , like no mission from god , everyone being richer , it not being filmed in chicago - gave me no problems at all .	2	-2	 things[0] that[0] intellectually[0] had[0] bothered[-1] me[0] before[0] like[1] no[0] mission[0] from[0] god[0] everyone[0] being[0] richer[0] it[0] not[0] being[0] filmed[0] in[0] chicago[0] gave[0] me[0] no[0] problems[-1] at[0] all[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm quite pleased that there were less car pile-ups , because they meant less music , and john landis seems to have lost interest in the whole thing . 	i'm quite pleased that there were less car pile-ups , because they meant less music , and john landis seems to have lost interest in the whole thing .	2	-1	 i'm[0] quite[0] pleased[1] that[0] there[0] were[0] less[0] car[0] pile[0] ups[0] because[0] they[0] meant[0] less[0] music[0] and[0] john[0] landis[0] seems[0] to[0] have[0] lost[0] interest[1] in[0] the[0] whole[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's a few early crashes , and then one huge pile-up , but after that it all stops . 	there's a few early crashes , and then one huge pile-up , but after that it all stops .	1	-1	 there's[0] a[0] few[0] early[0] crashes[0] and[0] then[0] one[0] huge[0] pile[0] up[0] but[0] after[0] that[0] it[0] all[0] stops[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just the music . 	it's just the music .	1	-1	 it's[0] just[0] the[0] music[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of my problems with the first is that cab calloway's song is so good the actually blues brothers look dull after him , but there's no problems with this . 	one of my problems with the first is that cab calloway's song is so good the actually blues brothers look dull after him , but there's no problems with this .	2	-2	 one[0] of[0] my[0] problems[-1] with[0] the[0] first[0] is[0] that[0] cab[0] calloway's[0] song[0] is[0] so[0] good[1] the[0] actually[0] blues[0] brothers[0] look[0] dull[-1] after[0] him[0] but[0] there's[0] no[0] problems[-1] with[0] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the music is all as good as ever , tons of great musicians showing up -- with the exception of johnny lang , who can't sing , all the musicians do a great job . 	the music is all as good as ever , tons of great musicians showing up - with the exception of johnny lang , who can't sing , all the musicians do a great job .	3	-1	 the[0] music[0] is[0] all[0] as[0] good[1] as[0] ever[0] tons[0] of[0] great[2] musicians[0] showing[0] up[0] with[0] the[0] exception[0] of[0] johnny[0] lang[0] who[0] can't[0] sing[0] all[0] the[0] musicians[0] do[0] a[0] great[2] job[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only real problems i had was the special effects . 	the only real problems i had was the special effects .	2	-2	 the[0] only[0] real[0] problems[-1] i[0] had[0] was[0] the[0] special[1] effects[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these were superfluous and a waste of money . 	these were superfluous and a waste of money .	1	-2	 these[0] were[0] superfluous[-1] and[0] a[0] waste[-1] of[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
since the film isn't doing very well , they could mean we have no possibility of another sequel , which i want to see . 	since the film isn't doing very well , they could mean we have no possibility of another sequel , which i want to see .	1	-1	 since[0] the[0] film[0] isn't[0] doing[0] very[0] well[0] they[0] could[0] mean[0] we[0] have[0] no[0] possibility[0] of[0] another[0] sequel[0] which[0] i[0] want[0] to[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the bluegrass version of riders in the sky is even better than rawhide . 	the bluegrass version of riders in the sky is even better than rawhide .	1	-1	 the[0] bluegrass[0] version[0] of[0] riders[0] in[0] the[0] sky[0] is[0] even[0] better[0] than[0] rawhide[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-- http : //www . geocities . com/hollywood/academy/8034/ 	- http : //w .<br> geocities .<br> com/hollywood/academy/8034/	1	-1	 http[0] //www///w[0] [[Sentence=-1,1=word max, 1-5]] geocities[0] [[Sentence=-1,1=word max, 1-5]] com/hollywood/academy/8034/[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
remove no spam to reply . 	remove no spam to reply .	1	-2	 remove[0] no[0] spam[-1] to[0] reply[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
