the grandfather of italian horror the late mario bava has credits in nearly 100 films and tv movies produced in italy between 1939 and his death in the early 80's . 	Translation	Positive	Negative	EmotionRationale
more practiced as a cinematographer than a director , bava nonetheless sat in the director's chair for beyond the door ii , the project which turned out to be his last full-length feature film . 	more practiced as a cinematographer than a director , bava nonetheless sat in the director's chair for beyond the door i , the project which turned out to be his last full-length feature film .	1	-1	 more[0] practiced[0] as[0] a[0] cinematographer[0] than[0] a[0] director[0] bava[0] nonetheless[0] sat[0] in[0] the[0] director's[0] chair[0] for[0] beyond[0] the[0] door[0] ii/i[0] the[0] project[0] which[0] turned[0] out[0] to[0] be[0] his[0] last[0] full[0] length[0] feature[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alongside the appalling zombie schlock of hacks like lucio fulci , beyond the door ii is simply a revelation . 	alongside the appalling zombie schlock of hacks like lucio fulci , beyond the door i is simply a revelation .	2	-4	 alongside[0] the[0] appalling[-3] zombie[0] schlock[0] of[0] hacks[0] like[1] lucio[0] fulci[0] beyond[0] the[0] door[0] ii/i[0] is[0] simply[0] a[0] revelation[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in his day bava was considered by most to be no great filmmaker , yet here he fashioned one of the finest italian horror movies of the 1970's . 	in his day bava was considered by most to be no great filmmaker , yet here he fashioned one of the finest italian horror movies of the 1970's .	3	-4	 in[0] his[0] day[0] bava[0] was[0] considered[0] by[0] most[0] to[0] be[0] no[0] great[2] filmmaker[0] yet[0] here[0] he[0] fashioned[0] one[0] of[0] the[0] finest[0] italian[0] horror[-3] movies[0] of[0] the[0] 1970's[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( note that the film has no connection with the 1975 exorcist-rip off behind the door , but for some unexplained reason was given this related title for release in the usa and australia . ) 	 ( note that the film has no connection with the 1975 exorcist-rip off behind the door , but for some unexplained reason was given this related title for release in the usa and australia .<br> )	1	-2	 note[0] that[0] the[0] film[0] has[0] no[0] connection[0] with[0] the[0] 1975[0] exorcist[0] rip[-1] off[0] behind[0] the[0] door[0] but[0] for[0] some[0] unexplained[0] reason[0] was[0] given[0] this[0] related[0] title[0] for[0] release[0] in[0] the[0] usa[0] and[0] australia[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this story focuses on dora , a women set upon by a malevolent spirit that channels itself through her young son marco . 	this story focuses on dora , a women set upon by a malevolent spirit that channels itself through her young son marco .	1	-1	 this[0] story[0] focuses[0] on[0] dora[0] a[0] women[0] set[0] upon[0] by[0] a[0] malevolent[0] spirit[0] that[0] channels[0] itself[0] through[0] her[0] young[0] son[0] marco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film opens with dora , her son and second husband bruno returning to a house by the sea that was the scene of her first husband's suicide and her subsequent trauma 7 years earlier . 	the film opens with dora , her son and second husband bruno returning to a house by the sea that was the scene of her first husband's suicide and her subsequent trauma 7 years earlier .	1	-4	 the[0] film[0] opens[0] with[0] dora[0] her[0] son[0] and[0] second[0] husband[0] bruno[0] returning[0] to[0] a[0] house[0] by[0] the[0] sea[0] that[0] was[0] the[0] scene[0] of[0] her[0] first[0] husband's[0] suicide[-3] and[0] her[0] subsequent[0] trauma[-3] 7[0] years[0] earlier[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they hope to put the past behind them , but as small accidents start to befall dora - usually while bruno is away on business - she starts to suspect that marco ( played with uncanny ability by 8 year old david colin jr . ) is somehow involved in the strange goings on . 	they hope to put the past behind them , but as small accidents start to befall dora - usually while bruno is away on business - she starts to suspect that marco ( played with uncanny ability by 8 year old david colin jr .<br> ) is somehow involved in the strange goings on .	3	-2	 they[0] hope[2] to[0] put[0] the[0] past[0] behind[0] them[0] but[0] as[0] small[0] accidents[-1] start[0] to[0] befall[0] dora[0] usually[0] while[0] bruno[0] is[0] away[0] on[0] business[0] she[0] starts[0] to[0] suspect[-1] that[0] marco[0] played[0] with[0] uncanny[0] ability[0] by[0] 8[0] year[0] old[0] david[0] colin[0] jr[0] [[Sentence=-2,3=word max, 1-5]] is[0] somehow[0] involved[0] in[0] the[0] strange[0] goings[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
to reveal any more of the story would be unfair . 	to reveal any more of the story would be unfair .	1	-2	 to[0] reveal[0] any[0] more[0] of[0] the[0] story[0] would[0] be[0] unfair[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suffice to say that this artfully paced study of a woman suffering a nervous breakdown offers an intriguing plot , loads of atmosphere and solid acting , though the dialogue is somewhat weakened by the dubbing into english . 	suffice to say that this artfully paced study of a woman suffering a nervous breakdown offers an intriguing plot , loads of atmosphere and solid acting , though the dialogue is somewhat weakened by the dubbing into english .	1	-4	 suffice[0] to[0] say[0] that[0] this[0] artfully[0] paced[0] study[0] of[0] a[0] woman[0] suffering[-3] a[0] nervous[-2] breakdown[-1] offers[0] an[0] intriguing[0] plot[0] loads[0] of[0] atmosphere[0] and[0] solid[0] acting[0] though[0] the[0] dialogue[0] is[0] somewhat[0] weakened[-1] by[0] the[0] dubbing[0] into[0] english[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
bava coaches a surprisingly good performance from the usually wooden daria nicolodi , wife of famed italian horror director dario argento . 	bava coaches a surprisingly good performance from the usually wooden daria nicolodi , wife of famed italian horror director dario argento .	2	-4	 bava[0] coaches[0] a[0] surprisingly[0] good[1] performance[0] from[0] the[0] usually[0] wooden[0] daria[0] nicolodi[0] wife[0] of[0] famed[0] italian[0] horror[-3] director[0] dario[0] argento[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
