glory--starring matthew broderick , denzel washington , and morgan freeman--is the true story of the 54th regiment of massachusetts , the first black fighting unit recruited by the north during the civil war . 	Translation	Positive	Negative	EmotionRationale
broderick plays robert gould shaw , the young white officer who led the black soldiers into battle . 	broderick plays robert gould shaw , the young white officer who led the black soldiers into battle .	2	-2	 broderick[0] plays[1] robert[0] gould[0] shaw[0] the[0] young[0] white[0] officer[0] who[0] led[0] the[0] black[0] soldiers[0] into[0] battle[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
shaw , the son of well-to-do abolitionists , hailed from boston high society . 	shaw , the son of well-to-do abolitionists , hailed from boston high society .	1	-1	 shaw[0] the[0] son[0] of[0] well[0] to[0] do[0] abolitionists[0] hailed[0] from[0] boston[0] high[0] society[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the letters he wrote home to his parents during the war are on display at harvard , and were , evidently , the inspiration for glory . 	the letters he wrote home to his parents during the war are on display at harvard , and were , evidently , the inspiration for glory .	3	-3	 the[0] letters[0] he[0] wrote[0] home[0] to[0] his[0] parents[0] during[0] the[0] war[-2] are[0] on[0] display[0] at[0] harvard[0] and[0] were[0] evidently[0] the[0] inspiration[2] for[0] glory[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
as the film begins in 1862 , shaw is a captain in the northern forces . 	as the film begins in 1862 , shaw is a captain in the northern forces .	1	-1	 as[0] the[0] film[0] begins[0] in[0] 1862[0] shaw[0] is[0] a[0] captain[0] in[0] the[0] northern[0] forces[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like private eriksson ( michael j . fox ) in casualties of war , shaw initially is naive and idealistic about the war--that is , until his company is attacked by enemy forces . 	like private eriksson ( michael j .<br> fox ) in casualties of war , shaw initially is naive and idealistic about the war-that is , until his company is attacked by enemy forces .	2	-3	 like[1] private[0] eriksson[0] michael[0] j[0] [[Sentence=-1,2=word max, 1-5]] fox[0] in[0] casualties[0] of[0] war[-2] shaw[0] initially[0] is[0] naive[-1] and[0] idealistic[0] about[0] the[0] war[-2] that[0] is[0] until[0] his[0] company[0] is[0] attacked[-2] by[0] enemy[-1] forces[0] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
shaw experiences first hand the horror and chaos of battle , witnessing mass slaughter and receiving a minor wound himself when a bullet grazes his neck . 	shaw experiences first hand the horror and chaos of battle , witnessing mass slaughter and receiving a minor wound himself when a bullet grazes his neck .	1	-4	 shaw[0] experiences[0] first[0] hand[0] the[0] horror[-3] and[0] chaos[-1] of[0] battle[-1] witnessing[0] mass[0] slaughter[-1] and[0] receiving[0] a[0] minor[0] wound[-1] himself[0] when[0] a[0] bullet[-1] grazes[0] his[0] neck[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
soon after his recovery , shaw is promoted to colonel and assigned to enlist and train blacks in the war effort . 	soon after his recovery , shaw is promoted to colonel and assigned to enlist and train blacks in the war effort .	1	-3	 soon[0] after[0] his[0] recovery[0] shaw[0] is[0] promoted[0] to[0] colonel[0] and[0] assigned[0] to[0] enlist[0] and[0] train[0] blacks[0] in[0] the[0] war[-2] effort[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
glory is the story not only of colonel shaw , but also of the black soldiers who laid down their lives to free their brothers from slavery . 	glory is the story not only of colonel shaw , but also of the black soldiers who laid down their lives to free their brothers from slavery .	2	-1	 glory[1] is[0] the[0] story[0] not[0] only[0] of[0] colonel[0] shaw[0] but[0] also[0] of[0] the[0] black[0] soldiers[0] who[0] laid[0] down[0] their[0] lives[0] to[0] free[0] their[0] brothers[0] from[0] slavery[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film periodically jumps between shaw's point of view and the perspective of the black soldiers . 	the film periodically jumps between shaw's point of view and the perspective of the black soldiers .	1	-1	 the[0] film[0] periodically[0] jumps[0] between[0] shaw's[0] point[0] of[0] view[0] and[0] the[0] perspective[0] of[0] the[0] black[0] soldiers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie introduces us to a handful of black recruits , and we follow them from their enlistment through basic training and finally into action . 	the movie introduces us to a handful of black recruits , and we follow them from their enlistment through basic training and finally into action .	1	-1	 the[0] movie[0] introduces[0] us[0] to[0] a[0] handful[0] of[0] black[0] recruits[0] and[0] we[0] follow[0] them[0] from[0] their[0] enlistment[0] through[0] basic[0] training[0] and[0] finally[0] into[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the large black cast is uniformly outstanding , especially washington who is electrifying as a runaway slave with a big mouth . 	the large black cast is uniformly outstanding , especially washington who is electrifying as a runaway slave with a big mouth .	3	-2	 the[0] large[0] black[0] cast[0] is[0] uniformly[0] outstanding[2] especially[0] washington[0] who[0] is[0] electrifying[0] as[0] a[0] runaway[-1] slave[0] with[0] a[0] big[0] mouth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he is brash and pushy , always getting into trouble and always looking for a fight . 	he is brash and pushy , always getting into trouble and always looking for a fight .	1	-3	 he[0] is[0] brash[0] and[0] pushy[0] always[0] getting[0] into[0] trouble[-1] and[0] always[0] looking[0] for[0] a[0] fight[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
his bitter , tough guy facade is really just a mask for his loneliness and vulnerability . 	his bitter , tough guy facade is really just a mask for his loneliness and vulnerability .	1	-3	 his[0] bitter[-1] tough[-1] guy[0] facade[0] is[0] really[0] just[0] a[0] mask[0] for[0] his[0] loneliness[-1] and[0] vulnerability[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
washington provides much of the film's intensity and emotional power . 	washington provides much of the film's intensity and emotional power .	1	-2	 washington[0] provides[0] much[0] of[0] the[0] film's[0] intensity[0] and[0] emotional[-1] power[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in one heartbreaking scene , he is whipped for allegedly deserting the army . 	in one heartbreaking scene , he is whipped for allegedly deserting the army .	1	-4	 in[0] one[0] heartbreaking[-3] scene[0] he[0] is[0] whipped[0] for[0] allegedly[-1] deserting[-1] the[0] army[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
when he removes his shirt to receive the punishment , you cringe at the sight of his back , which is riddled with ugly scars from his days as a slave . 	when he removes his shirt to receive the punishment , you cringe at the sight of his back , which is riddled with ugly scars from his days as a slave .	1	-3	 when[0] he[0] removes[0] his[0] shirt[0] to[0] receive[0] the[0] punishment[-1] you[0] cringe[-1] at[0] the[0] sight[0] of[0] his[0] back[0] which[0] is[0] riddled[0] with[0] ugly[-2] scars[0] from[0] his[0] days[0] as[0] a[0] slave[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it makes your blood boil . 	it makes your blood boil .	1	-1	 it[0] makes[0] your[0] blood[0] boil[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the humiliation of the beating is far more traumatic than the actual physical pain it brings ; a tear rolls down washington's cheek--and will probably run down your cheek as well . 	the humiliation of the beating is far more traumatic than the actual physical pain it brings ; a tear rolls down washington's cheek-and will probably run down your cheek as well .	1	-4	 the[0] humiliation[-3] of[0] the[0] beating[0] is[0] far[0] more[0] traumatic[-3] than[0] the[0] actual[0] physical[0] pain[-3] it[0] brings[0] a[0] tear[-1] rolls[0] down[0] washington's[0] cheek[0] and[0] will[0] probably[0] run[0] down[0] your[0] cheek[0] as[0] well[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the episode becomes even more tragic when we learn that washington wasn't deserting the army at all ; he left camp to look for shoes because his feet were covered with oozing sores . 	the episode becomes even more tragic when we learn that washington wasn't deserting the army at all ; he left camp to look for shoes because his feet were covered with oozing sores .	1	-3	 the[0] episode[0] becomes[0] even[0] more[0] tragic[-2] when[0] we[0] learn[0] that[0] washington[0] wasn't[0] deserting[-1] the[0] army[0] at[0] all[0] he[0] left[0] camp[0] to[0] look[0] for[0] shoes[0] because[0] his[0] feet[0] were[0] covered[0] with[0] oozing[0] sores[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
freeman is , as usual , a strong presence , even in a small supporting role . 	freeman is , as usual , a strong presence , even in a small supporting role .	2	-1	 freeman[0] is[0] as[0] usual[0] a[0] strong[0] presence[0] even[0] in[0] a[0] small[0] supporting[1] role[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he plays a grave digger who has buried more white soldiers than he cares to remember . 	he plays a grave digger who has buried more white soldiers than he cares to remember .	2	-3	 he[0] plays[1] a[0] grave[-2] digger[0] who[0] has[0] buried[-2] more[0] white[0] soldiers[0] than[0] he[0] cares[1] to[0] remember[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he quickly becomes a leader among the black soldiers , holding the group together and serving as a liaison to the white officers . 	he quickly becomes a leader among the black soldiers , holding the group together and serving as a liaison to the white officers .	1	-1	 he[0] quickly[0] becomes[0] a[0] leader[0] among[0] the[0] black[0] soldiers[0] holding[0] the[0] group[0] together[0] and[0] serving[0] as[0] a[0] liaison[0] to[0] the[0] white[0] officers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
colonel shaw recognizes freeman's leadership ability and promotes him to sergeant major , making him the first black officer in the army . 	colonel shaw recognizes freeman's leadership ability and promotes him to sergeant major , making him the first black officer in the army .	1	-1	 colonel[0] shaw[0] recognizes[0] freeman's[0] leadership[0] ability[0] and[0] promotes[0] him[0] to[0] sergeant[0] major[0] making[0] him[0] the[0] first[0] black[0] officer[0] in[0] the[0] army[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
andre braugher makes an impressive film debut in the role of thomas searles , a free black who is one of shaw's close childhood friends . 	andre braugher makes an impressive film debut in the role of thomas searles , a free black who is one of shaw's close childhood friends .	2	-1	 andre[0] braugher[0] makes[0] an[0] impressive[1] film[0] debut[0] in[0] the[0] role[0] of[0] thomas[0] searles[0] a[0] free[0] black[0] who[0] is[0] one[0] of[0] shaw's[0] close[0] childhood[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
searles is educated and refined , like a white man , prompting washington to nickname him " snow flake . " 	searles is educated and refined , like a white man , prompting washington to nickname him " snow flake .<br> "	2	-1	 searles[0] is[0] educated[0] and[0] refined[0] like[1] a[0] white[0] man[0] prompting[0] washington[0] to[0] nickname[0] him[0] snow[0] flake[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the burning question is whether searles is tough enough to survive basic training and to kill in combat . 	the burning question is whether searles is tough enough to survive basic training and to kill in combat .	1	-2	 the[0] burning[-1] question[0] is[0] whether[0] searles[0] is[0] tough[-1] enough[0] to[0] survive[0] basic[0] training[0] and[0] to[0] kill[-1] in[0] combat[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the road from marching drills to battle action is a bumpy one for the black regiment . 	the road from marching drills to battle action is a bumpy one for the black regiment .	1	-2	 the[0] road[0] from[0] marching[0] drills[0] to[0] battle[-1] action[0] is[0] a[0] bumpy[0] one[0] for[0] the[0] black[0] regiment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the soldiers suffer innumerable hardships , but somehow they never lose their morale . 	the soldiers suffer innumerable hardships , but somehow they never lose their morale .	2	-4	 the[0] soldiers[0] suffer[-3] innumerable[0] hardships[-1] but[0] somehow[0] they[0] never[0] lose[-1][NegatedDueToPreviousWord] their[0] morale[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the army treats the black soldiers like second class citizens , subjecting them to racism and discrimination . 	the army treats the black soldiers like second class citizens , subjecting them to racism and discrimination .	2	-3	 the[0] army[0] treats[0] the[0] black[0] soldiers[0] like[1] second[0] class[0] citizens[0] subjecting[0] them[0] to[0] racism[-1] and[0] discrimination[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
