this sunday afternoon i had the priviledge of attending a private screening at the sony astor cinema in new york city , of james cameron's most heralded film , titanic . 	Translation	Positive	Negative	EmotionRationale
postponed from last summer , with an escalated budget that makes it the most expensive movie in history , this was one film i was eager to preview . 	postponed from last summer , with an escalated budget that makes it the most expensive movie in history , this was one film i was eager to preview .	1	-2	 postponed[0] from[0] last[0] summer[0] with[0] an[0] escalated[0] budget[0] that[0] makes[0] it[0] the[0] most[0] expensive[-1] movie[0] in[0] history[0] this[0] was[0] one[0] film[0] i[0] was[0] eager[0] to[0] preview[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so , is this movie going to sink or swim this holiday ? 	so , is this movie going to sink or swim this holiday ?	1	-1	 so[0] is[0] this[0] movie[0] going[0] to[0] sink[0] or[0] swim[0] this[0] holiday[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my best guess . . . . it will sink , though with many awards attatched to its hull . 	my best guess .<br> .<br> .<br> .<br> it will sink , though with many awards attatched to its hull .	2	-1	 my[0] best[1] guess[0] [[Sentence=-1,2=word max, 1-5]] it[0] will[0] sink[0] though[0] with[0] many[0] awards[0] attatched[0] to[0] its[0] hull[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
no doubt , titanic is the most elaborate disaster movie ever made . 	no doubt , titanic is the most elaborate disaster movie ever made .	1	-2	 no[0] doubt[-1] titanic[0] is[0] the[0] most[0] elaborate[0] disaster[-1] movie[0] ever[0] made[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it boasts the most amazing effects that i have ever seen done to date . 	it boasts the most amazing effects that i have ever seen done to date .	3	-2	 it[0] boasts[-1] the[0] most[0] amazing[2] effects[0] that[0] i[0] have[0] ever[0] seen[0] done[0] to[0] date[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
to see a ship fall apart , with actual people running across the ship , flying across the deck , and falling to the water , is just amazing to look at . 	to see a ship fall apart , with actual people running across the ship , flying across the deck , and falling to the water , is just amazing to look at .	2	-1	 to[0] see[0] a[0] ship[0] fall[0] apart[0] with[0] actual[0] people[0] running[0] across[0] the[0] ship[0] flying[0] across[0] the[0] deck[0] and[0] falling[0] to[0] the[0] water[0] is[0] just[0] amazing[2][-1 LastWordBoosterStrength] to[0] look[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the effects are so stunningly realistic , you would swear you were looking at actual footage . 	the effects are so stunningly realistic , you would swear you were looking at actual footage .	1	-1	 the[0] effects[0] are[0] so[0] stunningly[0] realistic[0] you[0] would[0] swear[-1][--1 LastWordBoosterStrength] you[0] were[0] looking[0] at[0] actual[0] footage[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but titanic is more than a disaster movie , and that's where the problem lies . 	but titanic is more than a disaster movie , and that's where the problem lies .	1	-3	 but[0] titanic[0] is[0] more[0] than[0] a[0] disaster[-1] movie[0] and[0] that's[0] where[0] the[0] problem[-1] lies[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is a love story attatched that nearly ruins the entire premise . 	there is a love story attatched that nearly ruins the entire premise .	3	-1	 there[0] is[0] a[0] love[2] story[0] attatched[0] that[0] nearly[0] ruins[0] the[0] entire[0] premise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'll give a capsule summary of the story without spoiling anything for you : 	i'll give a capsule summary of the story without spoiling anything for you :	1	-2	 i'll[0] give[0] a[0] capsule[0] summary[0] of[0] the[0] story[0] without[0] spoiling[-1] anything[0] for[0] you[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
