after a stylistic detour with mrs . 	Translation	Positive	Negative	EmotionRationale
parker and the vicious circle ( which , despite its uncomfortable tone , was close to being a conventional movie ) , director alan rudolph has returned to his unique brand of film making with afterglow , a romantic black comedy about love , betrayal , and self-absorption . 	parker and the vicious circle ( which , despite its uncomfortable tone , was close to being a conventional movie ) , director alan rudolph has returned to his unique brand of film making with afterglow , a romantic black comedy about love , betrayal , and self-absorption .	4	-4	 parker[0] and[0] the[0] vicious[-3] circle[0] which[0] despite[0] its[0] uncomfortable[-2] tone[0] was[0] close[0] to[0] being[0] a[0] conventional[0] movie[0] director[0] alan[0] rudolph[0] has[0] returned[0] to[0] his[0] unique[0] brand[0] of[0] film[0] making[0] with[0] afterglow[0] a[0] romantic[3] black[0] comedy[0] about[0] love[2] betrayal[-2] and[0] self[0] absorption[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
while these may not be the most unusual themes to fashion into a motion picture , rudolph's atypical approach to the characters and their situations makes for an intriguing , if not always pleasant , movie . 	while these may not be the most unusual themes to fashion into a motion picture , rudolph's atypical approach to the characters and their situations makes for an intriguing , if not always pleasant , movie .	1	-3	 while[0] these[0] may[0] not[0] be[0] the[0] most[0] unusual[0] themes[0] to[0] fashion[0] into[0] a[0] motion[0] picture[0] rudolph's[0] atypical[0] approach[0] to[0] the[0] characters[0] and[0] their[0] situations[0] makes[0] for[0] an[0] intriguing[0] if[0] not[0] always[0] pleasant[2][NegatedDueToPreviousWord] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is said that rudolph is a polarizing director ? meaning that most viewers either love his work or hate it . 	it is said that rudolph is a polarizing director ?<br> meaning that most viewers either love his work or hate it .	3	-4	 it[0] is[0] said[0] that[0] rudolph[0] is[0] a[0] polarizing[0] director[0] [[Sentence=-1,1=word max, 1-5]] meaning[0] that[0] most[0] viewers[0] either[0] love[2] his[0] work[0] or[0] hate[-3] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
until mrs . 	until mrs .	1	-1	 until[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
parker , i had not been overly impressed by his movies . 	parker , i had not been overly impressed by his movies .	2	-1	 parker[0] i[0] had[0] not[0] been[0] overly[0] impressed[1] by[0] his[0] movies[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i found equinox , his last pre- mrs . 	i found equinox , his last pre- mrs .	1	-1	 i[0] found[0] equinox[0] his[0] last[0] pre[0] mrs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
parker effort , to be irritating and frustrating . 	parker effort , to be irritating and frustrating .	1	-3	 parker[0] effort[0] to[0] be[0] irritating[-2] and[0] frustrating[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i was somewhat surprised , therefore , to discover that i liked afterglow . 	i was somewhat surprised , therefore , to discover that i liked afterglow .	3	-1	 i[0] was[0] somewhat[0] surprised[0] therefore[0] to[0] discover[0] that[0] i[0] liked[2] afterglow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are several reasons for this , but the paramount one is that rudolph seems to have muted some of the most strident , mannered aspects of his approach . 	there are several reasons for this , but the paramount one is that rudolph seems to have muted some of the most strident , mannered aspects of his approach .	1	-1	 there[0] are[0] several[0] reasons[0] for[0] this[0] but[0] the[0] paramount[0] one[0] is[0] that[0] rudolph[0] seems[0] to[0] have[0] muted[0] some[0] of[0] the[0] most[0] strident[0] mannered[0] aspects[0] of[0] his[0] approach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters here are more like real people with genuine problems , the story is absorbing , and the acting is top-notch . 	the characters here are more like real people with genuine problems , the story is absorbing , and the acting is top-notch .	2	-2	 the[0] characters[0] here[0] are[0] more[0] like[1] real[0] people[0] with[0] genuine[0] problems[-1] the[0] story[0] is[0] absorbing[0] and[0] the[0] acting[0] is[0] top[0] notch[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
