one can not observe a star trek movie and expect to see serious science fiction . 	Translation	Positive	Negative	EmotionRationale
the purpose of star trek is to provide flashy , innocent fun . 	the purpose of star trek is to provide flashy , innocent fun .	2	-1	 the[0] purpose[0] of[0] star[0] trek[0] is[0] to[0] provide[0] flashy[0] innocent[1] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sometimes the stories are compelling . 	sometimes the stories are compelling .	1	-1	 sometimes[0] the[0] stories[0] are[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sometimes they're not . 	sometimes they're not .	1	-1	 sometimes[0] they're[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , with the exception of the first film in the series ( which provides little more than endless shots of amazed faces ) , i've never been bored by any of the enterprise's numerous missions . 	but , with the exception of the first film in the series ( which provides little more than endless shots of amazed faces ) , i've never been bored by any of the enterprise's numerous missions .	3	-1	 but[0] with[0] the[0] exception[0] of[0] the[0] first[0] film[0] in[0] the[0] series[0] which[0] provides[0] little[0] more[0] than[0] endless[0] shots[0] of[0] amazed[2] faces[0] i've[0] never[0] been[0] bored[-1][NegatedDueToPreviousWord] by[0] any[0] of[0] the[0] enterprise's[0] numerous[0] missions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
star trek : insurrection is no exception . 	star trek : insurrection is no exception .	1	-1	 star[0] trek[0] insurrection[0] is[0] no[0] exception[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has gotten some negative reviews ( a friend of mine actually thinks it's the worst in the series ) , but i'm not really sure why . 	the film has gotten some negative reviews ( a friend of mine actually thinks it's the worst in the series ) , but i'm not really sure why .	2	-3	 the[0] film[0] has[0] gotten[0] some[0] negative[-1][--1 LastWordBoosterStrength] reviews[0] a[0] friend[1] of[0] mine[0] actually[0] thinks[0] it's[0] the[0] worst[-2] in[0] the[0] series[0] but[0] i'm[0] not[0] really[0] sure[0] why[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's an exciting , often hilarious movie that engaged me and left me ready for the next star trek film . 	it's an exciting , often hilarious movie that engaged me and left me ready for the next star trek film .	3	-1	 it's[0] an[0] exciting[2] often[0] hilarious[2] movie[0] that[0] engaged[0] me[0] and[0] left[0] me[0] ready[0] for[0] the[0] next[0] star[0] trek[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
some say it's a bit too light , and more of a long episode than a film . 	some say it's a bit too light , and more of a long episode than a film .	1	-1	 some[0] say[0] it's[0] a[0] bit[0] too[0] light[0] and[0] more[0] of[0] a[0] long[0] episode[0] than[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
others say the special effects are cheesy and that it's boring . 	others say the special effects are cheesy and that it's boring .	2	-2	 others[0] say[0] the[0] special[1] effects[0] are[0] cheesy[0] and[0] that[0] it's[0] boring[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i simply enjoyed the film . 	i simply enjoyed the film .	3	-1	 i[0] simply[0] enjoyed[2] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
insurrection , which is the second film to feature strictly the next generation cast , introduces us to a race of people called the ba'ku ; the ba'ku are very old ( most of them are about three hundred years old ) , but they actually appear younger with age due to strange radiation in the rings of their planet . 	insurrection , which is the second film to feature strictly the next generation cast , introduces us to a race of people called the ba'ku ; the ba'ku are very old ( most of them are about three hundred years old ) , but they actually appear younger with age due to strange radiation in the rings of their planet .	1	-2	 insurrection[0] which[0] is[0] the[0] second[0] film[0] to[0] feature[0] strictly[-1] the[0] next[0] generation[0] cast[0] introduces[0] us[0] to[0] a[0] race[0] of[0] people[0] called[0] the[0] ba'ku[0] the[0] ba'ku[0] are[0] very[0] old[0] most[0] of[0] them[0] are[0] about[0] three[0] hundred[0] years[0] old[0] but[0] they[0] actually[0] appear[0] younger[0] with[0] age[0] due[0] to[0] strange[0] radiation[0] in[0] the[0] rings[0] of[0] their[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
of course , these peaceful people can't horde this fountain of youth all for themselves ? leave it up to their archenemies , the son'a , led by ru'afo ( f . 	of course , these peaceful people can't horde this fountain of youth all for themselves ?<br> leave it up to their archenemies , the son'a , led by ru'afo ( f .	2	-1	 of[0] course[0] these[0] peaceful[0] people[0] can't[0] horde[-1][NegatedDueToPreviousWord] this[0] fountain[0] of[0] youth[0] all[0] for[0] themselves[0] [[Sentence=-1,2=word max, 1-5]] leave[0] it[0] up[0] to[0] their[0] archenemies[0] the[0] son'a[0] led[0] by[0] ru'afo[0] f[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
murray abraham ) , to mess everything up . 	murray abraham ) , to mess everything up .	1	-1	 murray[0] abraham[0] to[0] mess[0] everything[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the son'a , who are horribly disfigured and rely on daily reconstructive surgery to be aesthetically acceptable , strike a deal with the federation to move the ba'ku elsewhere and exploit the secret to keep their race from dying . 	the son'a , who are horribly disfigured and rely on daily reconstructive surgery to be aesthetically acceptable , strike a deal with the federation to move the ba'ku elsewhere and exploit the secret to keep their race from dying .	1	-4	 the[0] son'a[0] who[0] are[0] horribly[-3] disfigured[0] and[0] rely[0] on[0] daily[0] reconstructive[0] surgery[0] to[0] be[0] aesthetically[0] acceptable[0] strike[-1] a[0] deal[0] with[0] the[0] federation[0] to[0] move[0] the[0] ba'ku[0] elsewhere[0] and[0] exploit[0] the[0] secret[0] to[0] keep[0] their[0] race[0] from[0] dying[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that's when captain picard ( patrick stewart ) steps in : he realizes that moving the ba'ku would kill them ( it also helps that he falls in love with a ba'ku woman ( donna murphy ) ) . 	that's when captain picard ( patrick stewart ) steps in : he realizes that moving the ba'ku would kill them ( it also helps that he falls in love with a ba'ku woman ( donna murphy ) ) .	3	-1	 that's[0] when[0] captain[0] picard[0] patrick[0] stewart[0] steps[0] in[0] he[0] realizes[0] that[0] moving[0] the[0] ba'ku[0] would[0] kill[-1][--1 LastWordBoosterStrength] them[0] it[0] also[0] helps[0] that[0] he[0] falls[0] in[0] love[2] with[0] a[0] ba'ku[0] woman[0] donna[0] murphy[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , with his trusty crew , picard defies the federation to keep the ba'ku in their natural habitat . 	so , with his trusty crew , picard defies the federation to keep the ba'ku in their natural habitat .	2	-1	 so[0] with[0] his[0] trusty[1] crew[0] picard[0] defies[0] the[0] federation[0] to[0] keep[0] the[0] ba'ku[0] in[0] their[0] natural[0] habitat[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
when dealing with a series with as much history as this , it's not entirely necessary to re-introduce your characters with each episode . 	when dealing with a series with as much history as this , it's not entirely necessary to re-introduce your characters with each episode .	1	-1	 when[0] dealing[0] with[0] a[0] series[0] with[0] as[0] much[0] history[0] as[0] this[0] it's[0] not[0] entirely[0] necessary[0] to[0] re[0] introduce[0] your[0] characters[0] with[0] each[0] episode[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is why i believe non-fans have a hard time getting into star trek ; in order to enjoy it , one has to understand how to approach it . 	this is why i believe non-fans have a hard time getting into star trek ; in order to enjoy it , one has to understand how to approach it .	3	-1	 this[0] is[0] why[0] i[0] believe[0] non[0] fans[0] have[0] a[0] hard[0] time[0] getting[0] into[0] star[0] trek[0] in[0] order[0] to[0] enjoy[2] it[0] one[0] has[0] to[0] understand[0] how[0] to[0] approach[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
insurrection , however , does a surprisingly good job of us new aspects of the characters . 	insurrection , however , does a surprisingly good job of us new aspects of the characters .	2	-1	 insurrection[0] however[0] does[0] a[0] surprisingly[0] good[1] job[0] of[0] us[0] new[0] aspects[0] of[0] the[0] characters[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
stewart is bold as always , a magnetic screen presence and perfectly capable of holding an entire film together . 	stewart is bold as always , a magnetic screen presence and perfectly capable of holding an entire film together .	2	-1	 stewart[0] is[0] bold[0] as[0] always[0] a[0] magnetic[0] screen[0] presence[0] and[0] perfectly[1] capable[0] of[0] holding[0] an[0] entire[0] film[0] together[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
jonathan frakes , who also directed , is funny as commander riker ; a subplot with data ( brent spiner ) discovering his lost childhood is fairly interesting ; and abraham makes a perfect star trek villain , overacting like crazy . 	jonathan frakes , who also directed , is funny as commander riker ; a subplot with data ( brent spiner ) discovering his lost childhood is fairly interesting ; and abraham makes a perfect star trek villain , overacting like crazy .	2	-3	 jonathan[0] frakes[0] who[0] also[0] directed[0] is[0] funny[1] as[0] commander[0] riker[0] a[0] subplot[0] with[0] data[0] brent[0] spiner[0] discovering[0] his[0] lost[0] childhood[0] is[0] fairly[0] interesting[1] and[0] abraham[0] makes[0] a[0] perfect[1] star[0] trek[0] villain[-2] overacting[0] like[1] crazy[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
frakes showed similar aptitude for direction in first contact ; insurrection is an exciting film , with some really attractive special effects and a lot of good action . 	frakes showed similar aptitude for direction in first contact ; insurrection is an exciting film , with some really attractive special effects and a lot of good action .	3	-1	 frakes[0] showed[0] similar[0] aptitude[0] for[0] direction[0] in[0] first[0] contact[0] insurrection[0] is[0] an[0] exciting[2] film[0] with[0] some[0] really[0] attractive[1][1 LastWordBoosterStrength] special[1] effects[0] and[0] a[0] lot[0] of[0] good[1] action[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is apparently the first star trek film to utilize computer animation , and the result is very pleasing to the eye : particularly in the climactic scenes , in which the son'a employ a giant space ship to suck up the rings of the ba'ku planet , the special effects have a clean , impressively sharp look . 	this is apparently the first star trek film to utilize computer animation , and the result is very pleasing to the eye : particularly in the climactic scenes , in which the son'a employ a giant space ship to suck up the rings of the ba'ku planet , the special effects have a clean , impressively sharp look .	4	-2	 this[0] is[0] apparently[0] the[0] first[0] star[0] trek[0] film[0] to[0] utilize[0] computer[0] animation[0] and[0] the[0] result[0] is[0] very[0] pleasing[2][1 LastWordBoosterStrength] to[0] the[0] eye[0] particularly[0] in[0] the[0] climactic[0] scenes[0] in[0] which[0] the[0] son'a[0] employ[0] a[0] giant[0] space[0] ship[0] to[0] suck[-1] up[0] the[0] rings[0] of[0] the[0] ba'ku[0] planet[0] the[0] special[1] effects[0] have[0] a[0] clean[0] impressively[1] sharp[0] look[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
if i have any complaint about the film , it's that it tries to take a moral stance when it's not very appropriate to do so . 	if i have any complaint about the film , it's that it tries to take a moral stance when it's not very appropriate to do so .	1	-2	 if[0] i[0] have[0] any[0] complaint[-1] about[0] the[0] film[0] it's[0] that[0] it[0] tries[0] to[0] take[0] a[0] moral[0] stance[0] when[0] it's[0] not[0] very[0] appropriate[0] to[0] do[0] so[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think it's that big of a deal that the federation wanted to move 600 ba'ku in order to save the lives of thousands . 	i don't think it's that big of a deal that the federation wanted to move 600 ba'ku in order to save the lives of thousands .	2	-1	 i[0] don't[0] think[0] it's[0] that[0] big[0] of[0] a[0] deal[0] that[0] the[0] federation[0] wanted[0] to[0] move[0] 600[0] ba'ku[0] in[0] order[0] to[0] save[1] the[0] lives[0] of[0] thousands[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
better yet , why couldn't they have co-existed ? 	better yet , why couldn't they have co-existed ?	1	-1	 better[0] yet[0] why[0] couldn't[0] they[0] have[0] co[0] existed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
insurrection feels a little to light to spring these kinds of big moral questions on the audience . 	insurrection feels a little to light to spring these kinds of big moral questions on the audience .	1	-1	 insurrection[0] feels[0] a[0] little[0] to[0] light[0] to[0] spring[0] these[0] kinds[0] of[0] big[0] moral[0] questions[0] on[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with it's inherent camp factor , the star trek series doesn't seem well-equipped to deal with issues like this . 	with it's inherent camp factor , the star trek series doesn't seem well-equipped to deal with issues like this .	2	-1	 with[0] it's[0] inherent[0] camp[0] factor[0] the[0] star[0] trek[0] series[0] doesn't[0] seem[0] well[0] equipped[0] to[0] deal[0] with[0] issues[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i prefer to just enjoy the spectacle . 	i prefer to just enjoy the spectacle .	2	-1	 i[0] prefer[0] to[0] just[0] enjoy[2][-1 LastWordBoosterStrength] the[0] spectacle[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
