a sci fi/comedy starring jack nicholson , pierce brosnan , annette benning , glenn close , martin short and other stars . 	Translation	Positive	Negative	EmotionRationale
a warner bros picture 	a warner bros picture	1	-1	 a[0] warner[0] bros[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the martians have landed in this hillarous tim burton movie . 	the martians have landed in this hillarous tim burton movie .	1	-1	 the[0] martians[0] have[0] landed[0] in[0] this[0] hillarous[0] tim[0] burton[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before entering the cinema , i was initially a little bit nervous about what this film would be like . 	before entering the cinema , i was initially a little bit nervous about what this film would be like .	2	-3	 before[0] entering[0] the[0] cinema[0] i[0] was[0] initially[0] a[0] little[0] bit[0] nervous[-2] about[0] what[0] this[0] film[0] would[0] be[0] like[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
many people were saying that this film was silly rubbish , and there was no point to it all . 	many people were saying that this film was silly rubbish , and there was no point to it all .	1	-3	 many[0] people[0] were[0] saying[0] that[0] this[0] film[0] was[0] silly[-1] rubbish[-2] and[0] there[0] was[0] no[0] point[0] to[0] it[0] all[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how wrong they were . 	how wrong they were .	1	-2	 how[0] wrong[-1] they[0] were[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i left this film feeling much happier than i was before i entered the cinema . 	i left this film feeling much happier than i was before i entered the cinema .	3	-1	 i[0] left[0] this[0] film[0] feeling[0] much[0] happier[2] than[0] i[0] was[0] before[0] i[0] entered[0] the[0] cinema[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the story is about martians attacking earth . 	the story is about martians attacking earth .	1	-3	 the[0] story[0] is[0] about[0] martians[0] attacking[-2] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
using ray guns ( hooray ! ) 	using ray guns ( hooray !<br> )	1	-2	 using[0] ray[0] guns[-1] hooray[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they generally cause havoc around the u . s and other countries . 	they generally cause havoc around the you .<br> s and other countries .	1	-2	 they[0] generally[0] cause[0] havoc[-1] around[0] the[0] u[0] [[Sentence=-2,1=word max, 1-5]] s[0] and[0] other[0] countries[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
nicholson plays the president who must try to stop invasion , and also taking advice from his loopy officials . 	nicholson plays the president who must try to stop invasion , and also taking advice from his loopy officials .	2	-1	 nicholson[0] plays[1] the[0] president[0] who[0] must[0] try[0] to[0] stop[0] invasion[0] and[0] also[0] taking[0] advice[0] from[0] his[0] loopy[0] officials[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but , basically , its a load of set pieces showing the martians destroying earth . 	but , basically , its a load of set pieces showing the martians destroying earth .	1	-3	 but[0] basically[0] its[0] a[0] load[0] of[0] set[0] pieces[0] showing[0] the[0] martians[0] destroying[-2] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the way people are killed by the ray guns is great , they is a hillarous ( and mildly disturbing scene ) involving a martian lady , a mad general who just wants to nuke the aliens away , ( and ends up getting squashed by an aliens foot ) and a gory finale involving lots of alien heads exploding . 	the way people are killed by the ray guns is great , they is a hillarous ( and mildly disturbing scene ) involving a martian lady , a mad general who just wants to nuke the aliens away , ( and ends up getting squashed by an aliens foot ) and a gory finale involving lots of alien heads exploding .	3	-4	 the[0] way[0] people[0] are[0] killed[-3] by[0] the[0] ray[0] guns[-1] is[0] great[2] they[0] is[0] a[0] hillarous[0] and[0] mildly[0] disturbing[-1] scene[0] involving[0] a[0] martian[0] lady[0] a[0] mad[-1] general[0] who[0] just[0] wants[0] to[0] nuke[0] the[0] aliens[0] away[0] and[0] ends[0] up[0] getting[0] squashed[0] by[0] an[0] aliens[0] foot[0] and[0] a[0] gory[0] finale[0] involving[0] lots[0] of[0] alien[-1] heads[0] exploding[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but , most of all , this film is fun . 	but , most of all , this film is fun .	2	-1	 but[0] most[0] of[0] all[0] this[0] film[0] is[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the martians are full of character , the performances are spot on , and the all star cast help make the film more enjoyable . 	the martians are full of character , the performances are spot on , and the all star cast help make the film more enjoyable .	3	-1	 the[0] martians[0] are[0] full[0] of[0] character[0] the[0] performances[0] are[0] spot[0] on[0] and[0] the[0] all[0] star[0] cast[0] help[0] make[0] the[0] film[0] more[0] enjoyable[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film is a million times better then the dire independance day , and is a real tribute to the tacky '50s invasion movies . 	the film is a million times better then the dire independance day , and is a real tribute to the tacky '50s invasion movies .	1	-2	 the[0] film[0] is[0] a[0] million[0] times[0] better[0] then[0] the[0] dire[-1] independance[0] day[0] and[0] is[0] a[0] real[0] tribute[0] to[0] the[0] tacky[0] '50s[0] invasion[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they are is a great score by danny elfman , and lots of laughs . 	they are is a great score by danny elfman , and lots of laughs .	3	-1	 they[0] are[0] is[0] a[0] great[2] score[0] by[0] danny[0] elfman[0] and[0] lots[0] of[0] laughs[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this has to be the best invasion i've seen for a long time . 	this has to be the best invasion i've seen for a long time .	2	-1	 this[0] has[0] to[0] be[0] the[0] best[1] invasion[0] i've[0] seen[0] for[0] a[0] long[0] time[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
