what do you get when you slap together a movie based on a story by the legendary george lucas , directed by virtuoso director steven spielberg , and starring one of the biggest box-office stars in the world , harrison ford ? 	Translation	Positive	Negative	EmotionRationale
you get one hot-fudge-rockin' good time , that's what you get ! ! ! 	you get one hot-fudge-rockin' good time , that's what you get !<br> !<br> !	2	-1	 you[0] get[0] one[0] hot[0] fudge[0] rockin'[0] good[1] time[0] that's[0] what[0] you[0] get[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
plot : professor/archeologist indiana jones sets out to find the long-lost mystical ark of the covenant before the nazis get their grubby fingers hands on it . 	plot : professor/archeologist indiana jones sets out to find the long-lost mystical ark of the covenant before the nazis get their grubby fingers hands on it .	1	-2	 plot[0] professor/archeologist[0] indiana[0] jones[0] sets[0] out[0] to[0] find[0] the[0] long[0] lost[0] mystical[0] ark[0] of[0] the[0] covenant[0] before[0] the[0] nazis[-1] get[0] their[0] grubby[0] fingers[0] hands[0] on[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adventures , snakes , romance and mucho action ensues . 	adventures , snakes , romance and mucho action ensues .	4	-1	 adventures[0] snakes[0] romance[3] and[0] mucho[0] action[0] ensues[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
critique : astounding movie packed with non-stop action , stunts galore , an interesting story line , great one-liners , a solid cast , a catchy musical score , and all the fun and adventure that you could squeeze into a two-hour thrill ride . 	critique : astounding movie packed with non-stop action , stunts galore , an interesting story line , great one-liners , a solid cast , a catchy musical score , and all the fun and adventure that you could squeeze into a two-hour thrill ride .	4	-1	 critique[0] astounding[0] movie[0] packed[0] with[0] non[0] stop[0] action[0] stunts[0] galore[0] an[0] interesting[1] story[0] line[0] great[2] one[0] liners[0] a[0] solid[0] cast[0] a[0] catchy[0] musical[0] score[0] and[0] all[0] the[0] fun[1] and[0] adventure[0] that[0] you[0] could[0] squeeze[0] into[0] a[0] two[0] hour[0] thrill[3] ride[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
if you don't enjoy this film , then you just don't like action movies , period ! 	if you don't enjoy this film , then you just don't like action movies , period !	1	-3	 if[0] you[0] don't[0] enjoy[2][NegatedDueToPreviousWord] this[0] film[0] then[0] you[0] just[0] don't[0] like[1][NegatedDueToPreviousWord] action[0] movies[0] period[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you're young , you'll enjoy its humor , its cool action sequences and its gross-out factor at times . 	if you're young , you'll enjoy its humor , its cool action sequences and its gross-out factor at times .	3	-2	 if[0] you're[0] young[0] you'll[0] enjoy[2] its[0] humor[2] its[0] cool[1] action[0] sequences[0] and[0] its[0] gross[-1] out[0] factor[0] at[0] times[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
if you're a little older , you'll appreciate the interesting plot line , the romance , and yes , the mountains of adventure . 	if you're a little older , you'll appreciate the interesting plot line , the romance , and yes , the mountains of adventure .	4	-1	 if[0] you're[0] a[0] little[0] older[0] you'll[0] appreciate[1] the[0] interesting[1] plot[0] line[0] the[0] romance[3] and[0] yes[0] the[0] mountains[0] of[0] adventure[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
watching this movie made me feel like a kid again , dreaming and fantasizing about fighting the bad guys , travelling to different countries , making the impossible , possible ! 	watching this movie made me feel like a kid again , dreaming and fantasizing about fighting the bad guys , travelling to different countries , making the impossible , possible !	2	-3	 watching[0] this[0] movie[0] made[0] me[0] feel[0] like[1] a[0] kid[0] again[0] dreaming[0] and[0] fantasizing[0] about[0] fighting[-2] the[0] bad[-1] guys[0] travelling[0] to[0] different[0] countries[0] making[0] the[0] impossible[0] possible[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
harrison ford is perfect as the every-man with the brains of a scientist and the brawn of an outdoors adventurer , and spielberg manages to achieve the ideal balance of action , fun , adventure and humor . 	harrison ford is perfect as the every-man with the brains of a scientist and the brawn of an outdoors adventurer , and spielberg manages to achieve the ideal balance of action , fun , adventure and humor .	3	-1	 harrison[0] ford[0] is[0] perfect[1] as[0] the[0] every[0] man[0] with[0] the[0] brains[0] of[0] a[0] scientist[0] and[0] the[0] brawn[0] of[0] an[0] outdoors[0] adventurer[0] and[0] spielberg[0] manages[0] to[0] achieve[0] the[0] ideal[0] balance[0] of[0] action[0] fun[1] adventure[0] and[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
now if you really want to have a good time , check into this movie on the same night as its two sequels , rent a jug of iced coke , truckloads of nachos and salsa , an adventure hat and whip , and prepare to gag yourself into a world of action-movie heaven ! 	now if you really want to have a good time , check into this movie on the same night as its two sequels , rent a jug of iced coke , truckloads of nachos and salsa , an adventure hat and whip , and prepare to gag yourself into a world of action-movie heaven !	2	-2	 now[0] if[0] you[0] really[0] want[0] to[0] have[0] a[0] good[1] time[0] check[0] into[0] this[0] movie[0] on[0] the[0] same[0] night[0] as[0] its[0] two[0] sequels[0] rent[0] a[0] jug[0] of[0] iced[0] coke[0] truckloads[0] of[0] nachos[0] and[0] salsa[0] an[0] adventure[0] hat[0] and[0] whip[-1] and[0] prepare[0] to[0] gag[0] yourself[0] into[0] a[0] world[0] of[0] action[0] movie[0] heaven[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
