after hearing reviews for woody allen's upteenth movie in history , " celebrity , " range from terribly boring to just so-so , my heart lept when the opening images of the film closely resembled that of " manhattan , " my personal favorite from my personal favorite director of all time . 	Translation	Positive	Negative	EmotionRationale
woody allen's films almost never rely on visual flair over textual flair , so when one of his films closely resembles the one time that these two entities fit hand-in-hand ( " manhattan " really is one of the best-looking films i've ever seen , beautiful black and white photography of the city's best areas , etc . ) , a fan can't help but feel visibly moved . 	woody allen's films almost never rely on visual flair over textual flair , so when one of his films closely resembles the one time that these two entities fit hand-in-hand ( " manhattan " really is one of the best-looking films i've ever seen , beautiful black and white photography of the city's best areas , etc .<br> ) , a fan can't help but feel visibly moved .	3	-1	 woody[0] allen's[0] films[0] almost[0] never[0] rely[0] on[0] visual[0] flair[0] over[0] textual[0] flair[0] so[0] when[0] one[0] of[0] his[0] films[0] closely[0] resembles[0] the[0] one[0] time[0] that[0] these[0] two[0] entities[0] fit[0] hand[0] in[0] hand[0] manhattan[0] really[0] is[0] one[0] of[0] the[0] best[1] looking[0] films[0] i've[0] ever[0] seen[0] beautiful[2] black[0] and[0] white[0] photography[0] of[0] the[0] city's[0] best[1] areas[0] etc[0] [[Sentence=-1,3=word max, 1-5]] a[0] fan[0] can't[0] help[0] but[0] feel[0] visibly[0] moved[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
the film opens up , with the usual credits with plain white font over black backgrounds , and an old ironic standard playing on the soundtrack , but then the screen fills with a gorgeous dull gray sky , with the word " help " being spelled with an airplane . 	the film opens up , with the usual credits with plain white font over black backgrounds , and an old ironic standard playing on the soundtrack , but then the screen fills with a gorgeous dull gray sky , with the word " help " being spelled with an airplane .	3	-2	 the[0] film[0] opens[0] up[0] with[0] the[0] usual[0] credits[0] with[0] plain[0] white[0] font[0] over[0] black[0] backgrounds[0] and[0] an[0] old[0] ironic[-1] standard[0] playing[1] on[0] the[0] soundtrack[0] but[0] then[0] the[0] screen[0] fills[0] with[0] a[0] gorgeous[2] dull[-1] gray[0] sky[0] with[0] the[0] word[0] help[0] being[0] spelled[0] with[0] an[0] airplane[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
beethoven's 5th blasts on the soundtrack . 	beethoven's 5th blasts on the soundtrack .	1	-1	 beethoven's[0] 5th[0] blasts[0] on[0] the[0] soundtrack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the city seems to stop to take notice of this moment , and it's all rather lovely to look at . 	the city seems to stop to take notice of this moment , and it's all rather lovely to look at .	2	-1	 the[0] city[0] seems[0] to[0] stop[0] to[0] take[0] notice[0] of[0] this[0] moment[0] and[0] it's[0] all[0] rather[0] lovely[1] to[0] look[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and then we cut to a film crew , shooting this as the film's hilariously banal key moment in the film , where the lead actress in the film ( melanie griffith , looking as buxom and beautiful as ever ) has to realize something's wrong with her life or whatever . 	and then we cut to a film crew , shooting this as the film's hilariously banal key moment in the film , where the lead actress in the film ( melanie griffith , looking as buxom and beautiful as ever ) has to realize something's wrong with her life or whatever .	3	-2	 and[0] then[0] we[0] cut[0] to[0] a[0] film[0] crew[0] shooting[-1] this[0] as[0] the[0] film's[0] hilariously[2] banal[-1] key[0] moment[0] in[0] the[0] film[0] where[0] the[0] lead[0] actress[0] in[0] the[0] film[0] melanie[0] griffith[0] looking[0] as[0] buxom[0] and[0] beautiful[2] as[0] ever[0] has[0] to[0] realize[0] something's[0] wrong[-1] with[0] her[0] life[0] or[0] whatever[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it's a terribly stale scene for a woody allen film , with the great opening shots or without , and my heart sank and i soon got used to the fact that once again , a new film of his was not going to be as great as his past works ( though , for the record , last year's " deconstructing harry " came awfully close ) . 	it's a terribly stale scene for a woody allen film , with the great opening shots or without , and my heart sank and i soon got used to the fact that once again , a new film of his was not going to be as great as his past works ( though , for the record , last year's " deconstructing harry " came awfully close ) .	3	-4	 it's[0] a[0] terribly[-3] stale[-1] scene[0] for[0] a[0] woody[0] allen[0] film[0] with[0] the[0] great[2] opening[0] shots[0] or[0] without[0] and[0] my[0] heart[0] sank[-1] and[0] i[0] soon[0] got[0] used[0] to[0] the[0] fact[0] that[0] once[0] again[0] a[0] new[0] film[0] of[0] his[0] was[0] not[0] going[0] to[0] be[0] as[0] great[2] as[0] his[0] past[0] works[0] though[0] for[0] the[0] record[0] last[0] year's[0] deconstructing[0] harry[0] came[0] awfully[-3] close[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
what the hell has happened to him ? 	what the hell has happened to him ?	1	-2	 what[0] the[0] hell[-1] has[0] happened[0] to[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the man who once could be relied on for neurotic freshness in cinema has not become less funny , but his films have become less insightful and more like he tossed them together out of unfinished ideas . 	the man who once could be relied on for neurotic freshness in cinema has not become less funny , but his films have become less insightful and more like he tossed them together out of unfinished ideas .	2	-3	 the[0] man[0] who[0] once[0] could[0] be[0] relied[0] on[0] for[0] neurotic[-2] freshness[0] in[0] cinema[0] has[0] not[0] become[0] less[0] funny[1] but[0] his[0] films[0] have[0] become[0] less[0] insightful[0] and[0] more[0] like[1] he[0] tossed[0] them[0] together[0] out[0] of[0] unfinished[0] ideas[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " bullets over broadway , " though wonderful , relies on irony to pull a farce that just never totally takes off . 	 " bullets over broadway , " though wonderful , relies on irony to pull a farce that just never totally takes off .	3	-2	 bullets[-1] over[0] broadway[0] though[0] wonderful[2] relies[0] on[0] irony[-1] to[0] pull[0] a[0] farce[-1] that[0] just[0] never[0] totally[0] takes[0] off[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " mighty aphrodite " is more full of great moments and lines than a really great story . 	 " mighty aphrodite " is more full of great moments and lines than a really great story .	4	-1	 mighty[0] aphrodite[0] is[0] more[0] full[0] of[0] great[2] moments[0] and[0] lines[0] than[0] a[0] really[0] great[2][1 LastWordBoosterStrength] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
