there's a thin line between satire and controversy , and mike nichols ( the birdcage , wolf ) has directed a sharp and very honest look at a us presidential election . 	Translation	Positive	Negative	EmotionRationale
based on the book written by " anonymous " ( actually former " newsweek " writer joe klein ) , john travolta plays governor jack stanton . 	based on the book written by " anonymous " ( actually former " newsweek " writer joe klein ) , john travolta plays governor jack stanton .	2	-1	 based[0] on[0] the[0] book[0] written[0] by[0] anonymous[0] actually[0] former[0] newsweek[0] writer[0] joe[0] klein[0] john[0] travolta[0] plays[1] governor[0] jack[0] stanton[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but he doesn't actually play stanton . 	but he doesn't actually play stanton .	1	-1	 but[0] he[0] doesn't[0] actually[0] play[0] stanton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays bill clinton ; just the same as emma thompson no doubt plays the first lady and billy bob thorton is the campaign manipulator james carville ( although the credits will of course say otherwise ) . 	he plays bill clinton ; just the same as emma thompson no doubt plays the first lady and billy bob thorton is the campaign manipulator james carville ( although the credits will of course say otherwise ) .	2	-2	 he[0] plays[1] bill[0] clinton[0] just[0] the[0] same[0] as[0] emma[0] thompson[0] no[0] doubt[-1] plays[1] the[0] first[0] lady[0] and[0] billy[0] bob[0] thorton[0] is[0] the[0] campaign[0] manipulator[-1] james[0] carville[0] although[0] the[0] credits[0] will[0] of[0] course[0] say[0] otherwise[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film is taken from the perspective of henry burton ( adrian lester ) , a morally correct and somewhat hesitant new advisor to stanton . 	the film is taken from the perspective of henry burton ( adrian lester ) , a morally correct and somewhat hesitant new advisor to stanton .	1	-1	 the[0] film[0] is[0] taken[0] from[0] the[0] perspective[0] of[0] henry[0] burton[0] adrian[0] lester[0] a[0] morally[0] correct[0] and[0] somewhat[0] hesitant[0] new[0] advisor[0] to[0] stanton[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he searches for justice and dignity in the ugliest possible situations , and whether it be keeping the history of his boss' pants under wraps or contemplating digging up dirt on another politician , he approaches his work with a keen desire to skillfully serve his country and his fellow workers . 	he searches for justice and dignity in the ugliest possible situations , and whether it be keeping the history of his boss' pants under wraps or contemplating digging up dirt on another politician , he approaches his work with a keen desire to skilfully serve his country and his fellow workers .	2	-3	 he[0] searches[0] for[0] justice[0] and[0] dignity[1] in[0] the[0] ugliest[-2] possible[0] situations[0] and[0] whether[0] it[0] be[0] keeping[0] the[0] history[0] of[0] his[0] boss'[0] pants[0] under[0] wraps[0] or[0] contemplating[0] digging[0] up[0] dirt[-1] on[0] another[0] politician[0] he[0] approaches[0] his[0] work[0] with[0] a[0] keen[0] desire[0] to[0] skillfully/skilfully[0] serve[0] his[0] country[0] and[0] his[0] fellow[0] workers[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
richard jemmons ( billy bob thorton ) and daisy green ( maura tierney ) team up with henry as the would-be president's advisors , and hire lesbian veteran libby holden ( kathy bates ) as the campaign's eccentric " tougher than dirt " incriminator . 	richard jemmons ( billy bob thorton ) and daisy green ( maura tierney ) team up with henry as the would-be president's advisors , and hire lesbian veteran libby holden ( kathy bates ) as the campaign's eccentric " tougher than dirt " incriminator .	1	-2	 richard[0] jemmons[0] billy[0] bob[0] thorton[0] and[0] daisy[0] green[0] maura[0] tierney[0] team[0] up[0] with[0] henry[0] as[0] the[0] would[0] be[0] president's[0] advisors[0] and[0] hire[0] lesbian[0] veteran[0] libby[0] holden[0] kathy[0] bates[0] as[0] the[0] campaign's[0] eccentric[-1] tougher[-1] than[0] dirt[-1] incriminator[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
together they face all sorts of sexual allegations , the irritatingly discourteous media and other witty politicians in the election race . 	together they face all sorts of sexual allegations , the irritatingly discourteous media and other witty politicians in the election race .	1	-3	 together[0] they[0] face[0] all[0] sorts[0] of[0] sexual[0] allegations[-1] the[0] irritatingly[-2] discourteous[0] media[0] and[0] other[0] witty[0] politicians[0] in[0] the[0] election[0] race[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in its satire and controversy , primary colors is a similar film to wag the dog : they both are not afraid to wipe their noses in the nitty-gritty and take a bold look at something that will never has honesty as a virtue . 	in its satire and controversy , primary colors is a similar film to wag the dog : they both are not afraid to wipe their noses in the nitty-gritty and take a bold look at something that will never has honesty as a virtue .	4	-2	 in[0] its[0] satire[0] and[0] controversy[-1] primary[0] colors[0] is[0] a[0] similar[0] film[0] to[0] wag[0] the[0] dog[0] they[0] both[0] are[0] not[0] afraid[-3][NegatedDueToPreviousWord] to[0] wipe[0] their[0] noses[0] in[0] the[0] nitty[0] gritty[0] and[0] take[0] a[0] bold[0] look[0] at[0] something[0] that[0] will[0] never[0] has[0] honesty[1][NegatedDueToPreviousWord] as[0] a[0] virtue[2] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but whereas wag showed us how much affect a few people can have on the media , primary colors is much more concerned with fleshing out it's characters , letting us understand what they want and why , and making us truly appreciate the humanity and rectitude that they graciously represent . 	but whereas wag showed us how much affect a few people can have on the media , primary colors is much more concerned with fleshing out it's characters , letting us understand what they want and why , and making us truly appreciate the humanity and rectitude that they graciously represent .	2	-2	 but[0] whereas[0] wag[0] showed[0] us[0] how[0] much[0] affect[0] a[0] few[0] people[0] can[0] have[0] on[0] the[0] media[0] primary[0] colors[0] is[0] much[0] more[0] concerned[-1] with[0] fleshing[0] out[0] it's[0] characters[0] letting[0] us[0] understand[0] what[0] they[0] want[0] and[0] why[0] and[0] making[0] us[0] truly[1] appreciate[1] the[0] humanity[0] and[0] rectitude[0] that[0] they[0] graciously[1] represent[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
seeing john travolta play bill clinton so confidently and justly is enough to make the film more than worth a look . 	seeing john travolta play bill clinton so confidently and justly is enough to make the film more than worth a look .	2	-1	 seeing[0] john[0] travolta[0] play[0] bill[0] clinton[0] so[0] confidently[1] and[0] justly[0] is[0] enough[0] to[0] make[0] the[0] film[0] more[0] than[0] worth[0] a[0] look[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
