the police negotiator is the person with the entirely unenviable job of going into ground zero and attempting to talk a dangerous criminal out of doing whatever he or she intends to do . 	Translation	Positive	Negative	EmotionRationale
lives are often at stake , and the criminal is usually armed and most likely mentally unstable , prone to turn on the negotiator at a moment's notice . 	lives are often at stake , and the criminal is usually armed and most likely mentally unstable , prone to turn on the negotiator at a moment's notice .	1	-2	 lives[0] are[0] often[0] at[0] stake[0] and[0] the[0] criminal[-1] is[0] usually[0] armed[0] and[0] most[0] likely[0] mentally[0] unstable[-1] prone[0] to[0] turn[0] on[0] the[0] negotiator[0] at[0] a[0] moment's[0] notice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the negotiator must therefore be something of an actor , psychologist , and sham artist , in addition to being a police officer ; he must be able to think on his feet and either work toward the goal of ending the confrontation without violence , or failing that , must be prepared to facilitate the conclusion of the crisis through firepower . 	the negotiator must therefore be something of an actor , psychologist , and sham artist , in addition to being a police officer ; he must be able to think on his feet and either work toward the goal of ending the confrontation without violence , or failing that , must be prepared to facilitate the conclusion of the crisis through firepower .	1	-4	 the[0] negotiator[0] must[0] therefore[0] be[0] something[0] of[0] an[0] actor[0] psychologist[0] and[0] sham[0] artist[0] in[0] addition[0] to[0] being[0] a[0] police[0] officer[0] he[0] must[0] be[0] able[0] to[0] think[0] on[0] his[0] feet[0] and[0] either[0] work[0] toward[0] the[0] goal[0] of[0] ending[0] the[0] confrontation[-2] without[0] violence[-3] or[0] failing[-2] that[0] must[0] be[0] prepared[0] to[0] facilitate[0] the[0] conclusion[0] of[0] the[0] crisis[-2] through[0] firepower[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
most of all , the negotiator must be able to enter a situation with as little intelligence about the scenario as possible , and quickly gain control of the situation , dominate the conversation , and influence the perpetrator into thinking that the end of the conflict is what he really wants . 	most of all , the negotiator must be able to enter a situation with as little intelligence about the scenario as possible , and quickly gain control of the situation , dominate the conversation , and influence the perpetrator into thinking that the end of the conflict is what he really wants .	1	-2	 most[0] of[0] all[0] the[0] negotiator[0] must[0] be[0] able[0] to[0] enter[0] a[0] situation[0] with[0] as[0] little[0] intelligence[0] about[0] the[0] scenario[0] as[0] possible[0] and[0] quickly[0] gain[0] control[0] of[0] the[0] situation[0] dominate[-1] the[0] conversation[0] and[0] influence[0] the[0] perpetrator[0] into[0] thinking[0] that[0] the[0] end[0] of[0] the[0] conflict[-1] is[0] what[0] he[0] really[0] wants[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it takes a pretty smart person to do that . 	it takes a pretty smart person to do that .	3	-1	 it[0] takes[0] a[0] pretty[2] smart[1] person[0] to[0] do[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but what if the hostage-holding criminal is just as smart ? 	but what if the hostage-holding criminal is just as smart ?	2	-2	 but[0] what[0] if[0] the[0] hostage[0] holding[0] criminal[-1] is[0] just[0] as[0] smart[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what if he's also able to think on his feet ? 	what if he's also able to think on his feet ?	1	-1	 what[0] if[0] he's[0] also[0] able[0] to[0] think[0] on[0] his[0] feet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , what if he also knows all the tricks to turning the situation to his favor ? 	in fact , what if he also knows all the tricks to turning the situation to his favor ?	2	-2	 in[0] fact[0] what[0] if[0] he[0] also[0] knows[0] all[0] the[0] tricks[-1] to[0] turning[0] the[0] situation[0] to[0] his[0] favor[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it is this circumstance which forms the basis for f . gary gray's the negotiator . 	it is this circumstance which forms the basis for f .<br> gary gray's the negotiator .	1	-1	 it[0] is[0] this[0] circumstance[0] which[0] forms[0] the[0] basis[0] for[0] f[0] [[Sentence=-1,1=word max, 1-5]] gary[0] gray's[0] the[0] negotiator[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this film , police negotiator danny roman ( samuel l . jackson ) is tipped off by his partner to corruption within the chicago police force . 	in this film , police negotiator danny roman ( samuel l .<br> jackson ) is tipped off by his partner to corruption within the chicago police force .	1	-3	 in[0] this[0] film[0] police[0] negotiator[0] danny[0] roman[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] is[0] tipped[0] off[0] by[0] his[0] partner[0] to[0] corruption[-2] within[0] the[0] chicago[0] police[0] force[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
when his partner turns up shot to death and internal affairs finds incriminating evidence in roman's home , roman becomes the prime suspect of both embezzling from the police disability fund and murder . 	when his partner turns up shot to death and internal affairs finds incriminating evidence in roman's home , roman becomes the prime suspect of both embezling from the police disability fund and murder .	1	-4	 when[0] his[0] partner[0] turns[0] up[0] shot[-1] to[0] death[-2] and[0] internal[0] affairs[0] finds[0] incriminating[0] evidence[0] in[0] roman's[0] home[0] roman[0] becomes[0] the[0] prime[0] suspect[-1] of[0] both[0] embezzling/embezling[0] from[0] the[0] police[0] disability[0] fund[0] and[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
