gordon fleming ( peter mullan ) is in a bind . 	Translation	Positive	Negative	EmotionRationale
he has a new , unexpected baby and his business , hazardous material removal , is in danger of going under . 	he has a new , unexpected baby and his business , hazardous material removal , is in danger of going under .	2	-2	 he[0] has[0] a[0] new[0] unexpected[0] baby[1] and[0] his[0] business[0] hazardous[-1] material[0] removal[0] is[0] in[0] danger[-1] of[0] going[0] under[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when he and his crew get a job opportunity at the long-abandoned danvers state hospital , he underbids the competition to secure the contract and promises to get the three-week job done in one . 	when he and his crew get a job opportunity at the long-abandoned danvers state hospital , he underbids the competition to secure the contract and promises to get the three-week job done in one .	2	-2	 when[0] he[0] and[0] his[0] crew[0] get[0] a[0] job[0] opportunity[0] at[0] the[0] long[0] abandoned[-1] danvers[0] state[0] hospital[0] he[0] underbids[0] the[0] competition[0] to[0] secure[1] the[0] contract[0] and[0] promises[1] to[0] get[0] the[0] three[0] week[0] job[0] done[0] in[0] one[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it will prove to be a fateful week for them all in " session 9 . " 	it will prove to be a fateful week for them all in " session 9 .<br> "	1	-1	 it[0] will[0] prove[0] to[0] be[0] a[0] fateful[0] week[0] for[0] them[0] all[0] in[0] session[0] 9[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gordo gets the job to remove asbestos and other hazardous materials from the spooky old mental hospital in preparation for relocating town offices there . 	gordo gets the job to remove asbestos and other hazardous materials from the spooky old mental hospital in preparation for relocating town offices there .	1	-2	 gordo[0] gets[0] the[0] job[0] to[0] remove[0] asbestos[0] and[0] other[0] hazardous[-1] materials[0] from[0] the[0] spooky[0] old[0] mental[0] hospital[0] in[0] preparation[0] for[0] relocating[0] town[0] offices[0] there[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
their guided tour of the facility by a local official , bill giggs ( paul guilfoyle ) , brings them through some of the creepier parts of the former asylum . 	their guided tour of the facility by a local official , bill giggs ( paul guilfoyle ) , brings them through some of the creepier parts of the former asylum .	1	-1	 their[0] guided[0] tour[0] of[0] the[0] facility[0] by[0] a[0] local[0] official[0] bill[0] giggs[0] paul[0] guilfoyle[0] brings[0] them[0] through[0] some[0] of[0] the[0] creepier[0] parts[0] of[0] the[0] former[0] asylum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , a job is a job and , if they finish in a week , as promised , there is a  10000 bonus in store . 	but , a job is a job and , if they finish in a week , as promised , there is a  100 bonus in store .	2	-1	 but[0] a[0] job[0] is[0] a[0] job[0] and[0] if[0] they[0] finish[0] in[0] a[0] week[0] as[0] promised[1] there[0] is[0] a[0] 10000/100[0][+0.6 MultipleLetters] bonus[0] in[0] store[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as they get down to their work , things , normal and not so normal , begin to happen . 	as they get down to their work , things , normal and not so normal , begin to happen .	1	-1	 as[0] they[0] get[0] down[0] to[0] their[0] work[0] things[0] normal[0] and[0] not[0] so[0] normal[0] begin[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gordon hears a disembodied voice beckoning him . 	gordon hears a disembodied voice beckoning him .	1	-1	 gordon[0] hears[0] a[0] disembodied[0] voice[0] beckoning[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
phil ( david caruso ) is conflicted working with a guy , hank ( josh lucas ) , who is seeing his old girlfriend . 	phil ( david caruso ) is conflicted working with a guy , hank ( josh lucas ) , who is seeing his old girlfriend .	1	-2	 phil[0] david[0] caruso[0] is[0] conflicted[-1] working[0] with[0] a[0] guy[0] hank[0] josh[0] lucas[0] who[0] is[0] seeing[0] his[0] old[0] girlfriend[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mike ( co-screenwriter steven gevedon ) has discovered a cache of audiotapes and transcripts from old psychiatric sessions ( hence , the title ) with inmate mary hobbs , a multi-personality patient with a dark secret . 	mike ( co-screenwriter steven gevedon ) has discovered a cache of audiotapes and transcripts from old psychiatric sessions ( hence , the title ) with inmate mary hobs , a multi-personality patient with a dark secret .	1	-1	 mike[0] co[0] screenwriter[0] steven[0] gevedon[0] has[0] discovered[0] a[0] cache[0] of[0] audiotapes[0] and[0] transcripts[0] from[0] old[0] psychiatric[0] sessions[0] hence[0] the[0] title[0] with[0] inmate[0] mary[0] hobbs/hobs[0] a[0] multi[0] personality[0] patient[0] with[0] a[0] dark[0] secret[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
