a fully loaded entertainment review - website coming in july ! 	Translation	Positive	Negative	EmotionRationale
i didn't really expect very much when i rented stuart saves his family . 	i didn't really expect very much when i rented stuart saves his family .	2	-1	 i[0] didn't[0] really[0] expect[0] very[0] much[0] when[0] i[0] rented[0] stuart[0] saves[1] his[0] family[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie bombed at the box office , and i had never really liked the saturday night live sketch on which the movie was based . 	the movie bombed at the box office , and i had never really liked the saturday night live sketch on which the movie was based .	1	-4	 the[0] movie[0] bombed[-1] at[0] the[0] box[0] office[0] and[0] i[0] had[0] never[0] really[0] liked[2][1 LastWordBoosterStrength][NegatedDueToPreviousWord] the[0] saturday[0] night[0] live[0] sketch[0] on[0] which[0] the[0] movie[0] was[0] based[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
my real concern , though , was the general reputation of snl-related movies translating to the big screen with less-than-stellar results ( half-baked , anyone ? ) 	my real concern , though , was the general reputation of snl-related movies translating to the big screen with less-than-stellar results ( half-baked , anyone ?<br> )	1	-2	 my[0] real[0] concern[-1] though[0] was[0] the[0] general[0] reputation[0] of[0] snl[0] related[0] movies[0] translating[0] to[0] the[0] big[0] screen[0] with[0] less[0] than[0] stellar[0] results[0] half[0] baked[0] anyone[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i was surprised to discover a truly entertaining , often hilarious yet also touching little film . 	i was surprised to discover a truly entertaining , often hilarious yet also touching little film .	3	-1	 i[0] was[0] surprised[0] to[0] discover[0] a[0] truly[1] entertaining[0] often[0] hilarious[2] yet[0] also[0] touching[0] little[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is an al franken production through-and-through , who not only created the title character but also wrote and starred in the picture . 	it is an al franken production through-and-through , who not only created the title character but also wrote and starred in the picture .	1	-1	 it[0] is[0] an[0] al[0] franken[0] production[0] through[0] and[0] through[0] who[0] not[0] only[0] created[0] the[0] title[0] character[0] but[0] also[0] wrote[0] and[0] starred[0] in[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for those of you who don't know , al franken plays a guy named stuart smalley , who has a really annoying show on a public-access station about increasing your self-esteem , etc . although not a licensed therapist , stuart smalley is , as the program proudly boasts , " a graduate of several 12-step programs . " 	for those of you who don't know , al franken plays a guy named stuart smalley , who has a really annoying show on a public-access station about increasing your self-esteem , etc .<br> although not a licensed therapist , stuart smalley is , as the program proudly boasts , " a graduate of several 12-step programs .<br> "	2	-4	 for[0] those[0] of[0] you[0] who[0] don't[0] know[0] al[0] franken[0] plays[1] a[0] guy[0] named[0] stuart[0] smalley[0] who[0] has[0] a[0] really[0] annoying[-2][-1 LastWordBoosterStrength] show[0] on[0] a[0] public[0] access[0] station[0] about[0] increasing[0] your[0] self[0] esteem[0] etc[0] [[Sentence=-4,2=word max, 1-5]] although[0] not[0] a[0] licensed[0] therapist[0] stuart[0] smalley[0] is[0] as[0] the[0] program[0] proudly[1] boasts[-1] a[0] graduate[0] of[0] several[0] 12[0] step[0] programs[0] [[Sentence=-2,2=word max, 1-5]][[[2,-4 max of sentences]]]
stuart is doing well enough with his tv show , but he keeps getting distracted by family troubles . 	stuart is doing well enough with his tv show , but he keeps getting distracted by family troubles .	1	-2	 stuart[0] is[0] doing[0] well[0] enough[0] with[0] his[0] tv[0] show[0] but[0] he[0] keeps[0] getting[0] distracted[-1] by[0] family[0] troubles[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stuart's relatives are a mess : his dad and brother ( harris yulin and vincent d'onofrio , respectively ) are alcoholics , his sister is overweight and getting over another divorce , and his mom is in constant self-denial and solves all perceived problems by baking . 	stuart's relatives are a mess : his dad and brother ( harris yulin and vincent d'onofrio , respectively ) are alcoholics , his sister is overweight and getting over another divorce , and his mom is in constant self-denial and solves all perceived problems by baking .	3	-2	 stuart's[0] relatives[0] are[0] a[0] mess[0] his[0] dad[0] and[0] brother[0] harris[0] yulin[0] and[0] vincent[0] d'onofrio[0] respectively[2] are[0] alcoholics[0] his[0] sister[0] is[0] overweight[-1] and[0] getting[0] over[0] another[0] divorce[-1] and[0] his[0] mom[0] is[0] in[0] constant[0] self[0] denial[-1] and[0] solves[0] all[0] perceived[0] problems[-1] by[0] baking[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then , disaster strikes . 	then , disaster strikes .	1	-2	 then[0] disaster[-1] strikes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
stuart accidentally insults the manager of the station and gets his show revoked . 	stuart accidentally insults the manager of the station and gets his show revoked .	1	-3	 stuart[0] accidentally[-1] insults[-2] the[0] manager[0] of[0] the[0] station[0] and[0] gets[0] his[0] show[0] revoked[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
