in recent years , harrison ford has been such a grave screen presence , scowling through the likes of tom clancy's jack ryan series , _the_fugitive_ , and last year's smash _air_force_one_ , that one wonders if the rogue charm that made him such a superstar had been completely drained from his system . 	Translation	Positive	Negative	EmotionRationale
apparently , it was just lying dormant . 	apparently , it was just lying dormant .	1	-3	 apparently[0] it[0] was[0] just[0] lying[-3][--1 LastWordBoosterStrength] dormant[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
with ivan reitman's enjoyable romantic comedy/adventure _six_days , _seven_nights_ , the lovable scoundrel is back , giving audiences a fresh reminder of why ford is one of the most enduring and popular modern screen icons . 	with ivan reitman's enjoyable romantic comedy/adventure _six_days , _seven_nights_ , the lovable scoundrel is back , giving audiences a fresh reminder of why ford is one of the most enduring and popular modern screen icons .	5	-2	 with[0] ivan[0] reitman's[0] enjoyable[2] romantic[3][+1 MultiplePositiveWords] comedy/adventure[0] _six_days[0] _seven_nights_[0] the[0] lovable[0] scoundrel[-1] is[0] back[0] giving[0] audiences[0] a[0] fresh[0] reminder[0] of[0] why[0] ford[0] is[0] one[0] of[0] the[0] most[0] enduring[0] and[0] popular[0] modern[0] screen[0] icons[0] [[Sentence=-2,5=word max, 1-5]][[[5,-2 max of sentences]]]
ford plays quinn harris , a carefree and slightly slobby ( endearingly so ) pilot in the tropics whose broken-down plane crashes in a storm , stranding him and his charter , new york magazine editor robin monroe ( anne heche ) , on a deserted island . 	ford plays quin harris , a carefree and slightly slobby ( endearingly so ) pilot in the tropics whose broken-down plane crashes in a storm , stranding him and his charter , new york magazine editor robin monroe ( anne heche ) , on a deserted island .	2	-2	 ford[0] plays[1] quinn/quin[0] harris[0] a[0] carefree[1] and[0] slightly[0] slobby[0] endearingly[0] so[0] pilot[0] in[0] the[0] tropics[0] whose[0] broken[-1] down[0] plane[0] crashes[0] in[0] a[0] storm[-1] stranding[0] him[0] and[0] his[0] charter[0] new[0] york[0] magazine[0] editor[0] robin[0] monroe[0] anne[0] heche[0] on[0] a[0] deserted[0] island[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , the sophisticated robin and the salt-of-the-earth quinn are at odds long before the plane goes down , and all manner of hostile repartee is exchanged between the two from their first meeting . 	of course , the sophisticated robin and the salt-of-the-earth quin are at odds long before the plane goes down , and all manner of hostile repartee is exchanged between the two from their first meeting .	1	-3	 of[0] course[0] the[0] sophisticated[0] robin[0] and[0] the[0] salt[0] of[0] the[0] earth[0] quinn/quin[0] are[0] at[0] odds[0] long[0] before[0] the[0] plane[0] goes[0] down[0] and[0] all[0] manner[0] of[0] hostile[-2] repartee[0] is[0] exchanged[0] between[0] the[0] two[0] from[0] their[0] first[0] meeting[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while some of the lines fall flat , the formulaic motions work because of the unexpectedly electric chemistry between ford and heche . 	while some of the lines fall flat , the formulaic motions work because of the unexpectedly electric chemistry between ford and heche .	1	-2	 while[0] some[0] of[0] the[0] lines[0] fall[0] flat[0] the[0] formulaic[0] motions[0] work[0] because[0] of[0] the[0] unexpectedly[-1] electric[0] chemistry[0] between[0] ford[0] and[0] heche[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both actors , who have largely done serious works as of late , seem liberated by the lack of dramatic weight on their shoulders , and they deliver their zingers , as weak as they sometimes are , with beguiling abandon . 	both actors , who have largely done serious works as of late , seem liberated by the lack of dramatic weight on their shoulders , and they deliver their zingers , as weak as they sometimes are , with beguiling abandon .	1	-2	 both[0] actors[0] who[0] have[0] largely[0] done[0] serious[-1] works[0] as[0] of[0] late[0] seem[0] liberated[0] by[0] the[0] lack[-1] of[0] dramatic[0] weight[0] on[0] their[0] shoulders[0] and[0] they[0] deliver[0] their[0] zingers[0] as[0] weak[-1] as[0] they[0] sometimes[0] are[0] with[0] beguiling[0] abandon[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
naturally , there's nothing like a life-threatening crisis to bring two people together , and quinn and robin's warmup to each other is sped up even further by the arrival of some bloodthirsty pirates . 	naturally , there's nothing like a life-threatening crisis to bring two people together , and quin and robin's warmup to each other is sped up even further by the arrival of some bloodthirsty pirates .	2	-4	 naturally[0] there's[0] nothing[0] like[1] a[0] life[0] threatening[-2] crisis[-2][-1 MultiplePositiveWords] to[0] bring[0] two[0] people[0] together[0] and[0] quinn/quin[0] and[0] robin's[0] warmup[0] to[0] each[0] other[0] is[0] sped[0] up[0] even[0] further[0] by[0] the[0] arrival[0] of[0] some[0] bloodthirsty[-1][--1 LastWordBoosterStrength] pirates[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
granted , some conflict needed to be introduced on the island , but this tacked-on development from writer michael browning is a bit too obviously thrown in for the purpose of adding gratuitous action scenes . 	granted , some conflict needed to be introduced on the island , but this tacked-on development from writer michael browning is a bit too obviously thrown in for the purpose of adding gratuitous action scenes .	1	-2	 granted[0] some[0] conflict[-1][--1 LastWordBoosterStrength] needed[0] to[0] be[0] introduced[0] on[0] the[0] island[0] but[0] this[0] tacked[0] on[0] development[0] from[0] writer[0] michael[0] browning[0] is[0] a[0] bit[0] too[0] obviously[0] thrown[0] in[0] for[0] the[0] purpose[0] of[0] adding[0] gratuitous[-1] action[0] scenes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the point is to get the two together , and their newfound affection causes complications for both , but mostly robin , who came to the islands on a vacation with her fiance frank ( david schwimmer ) , who frantically awaits her return on the home island . 	but the point is to get the two together , and their newfound affection causes complications for both , but mostly robin , who came to the islands on a vacation with her fiance frank ( david schwimmer ) , who frantically awaits her return on the home island .	3	-2	 but[0] the[0] point[0] is[0] to[0] get[0] the[0] two[0] together[0] and[0] their[0] newfound[0] affection[2] causes[0] complications[-1] for[0] both[0] but[0] mostly[0] robin[0] who[0] came[0] to[0] the[0] islands[0] on[0] a[0] vacation[0] with[0] her[0] fiance[0] frank[0] david[0] schwimmer[0] who[0] frantically[-1] awaits[0] her[0] return[0] on[0] the[0] home[0] island[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
reitman , and old , reliable hand at breezy comedies , keeps the pace brisk and capably handles the more action-oriented sequences . 	reitman , and old , reliable hand at breezy comedies , keeps the pace brisk and capably handles the more action-oriented sequences .	1	-1	 reitman[0] and[0] old[0] reliable[0] hand[0] at[0] breezy[0] comedies[0] keeps[0] the[0] pace[0] brisk[0] and[0] capably[0] handles[0] the[0] more[0] action[0] oriented[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
