for example , in happy gilmore , sandler plays a rookie golfer trying to beat a self-confident jerk of a pro . 	Translation	Positive	Negative	EmotionRationale
if the star were any other comic , that would be enough motivation to drive the movie , but with sandler , the rookie also wants to win the prize money to help his grandma keep her house . 	if the star were any other comic , that would be enough motivation to drive the movie , but with sandler , the rookie also wants to win the prize money to help his grandma keep her house .	3	-1	 if[0] the[0] star[0] were[0] any[0] other[0] comic[0] that[0] would[0] be[0] enough[0] motivation[0] to[0] drive[0] the[0] movie[0] but[0] with[0] sandler[0] the[0] rookie[0] also[0] wants[0] to[0] win[0] the[0] prize[2] money[0] to[0] help[0] his[0] grandma[0] keep[0] her[0] house[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that extra motive doesn't make happy gilmore a funnier movie . 	that extra motive doesn't make happy gilmore a funnier movie .	2	-1	 that[0] extra[0] motive[0] doesn't[0] make[0] happy[1] gilmore[0] a[0] funnier[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it doesn't really add any genuine emotional depth , either . 	it doesn't really add any genuine emotional depth , either .	1	-2	 it[0] doesn't[0] really[0] add[0] any[0] genuine[0] emotional[-1] depth[0] either[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , the motive is almost totally irrelevant to the movie . 	in fact , the motive is almost totally irrelevant to the movie .	1	-1	 in[0] fact[0] the[0] motive[0] is[0] almost[0] totally[0] irrelevant[0] to[0] the[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but sandler's philosophy seems to be , if it's a token gesture , why not make it a nice gesture ? 	but sandler's philosophy seems to be , if it's a token gesture , why not make it a nice gesture ?	2	-1	 but[0] sandler's[0] philosophy[0] seems[0] to[0] be[0] if[0] it's[0] a[0] token[0] gesture[0] why[0] not[0] make[0] it[0] a[0] nice[1] gesture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that is endlessly refreshing . 	that is endlessly refreshing .	1	-1	 that[0] is[0] endlessly[0] refreshing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the wedding singer , sandler is right on track . 	in the wedding singer , sandler is right on track .	1	-1	 in[0] the[0] wedding[0] singer[0] sandler[0] is[0] right[0] on[0] track[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the fact that he's a wedding singer is only superficially relevant to the story . 	the fact that he's a wedding singer is only superficially relevant to the story .	1	-2	 the[0] fact[0] that[0] he's[0] a[0] wedding[0] singer[0] is[0] only[0] superficially[-1] relevant[0] to[0] the[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what kind of a wedding singer he is is even less important . 	what kind of a wedding singer he is is even less important .	2	-1	 what[0] kind[1] of[0] a[0] wedding[0] singer[0] he[0] is[0] is[0] even[0] less[0] important[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
david spade could have filled the role with cynicism and sarcasm . 	david spade could have filled the role with cynicism and sarcasm .	1	-3	 david[0] spade[0] could[0] have[0] filled[0] the[0] role[0] with[0] cynicism[-1] and[0] sarcasm[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he could make fun of the fat , ugly , or embarrassing people he meets at weddings , and the story would be intact . 	he could make fun of the fat , ugly , or embarrassing people he meets at weddings , and the story would be intact .	2	-3	 he[0] could[0] make[0] fun[1] of[0] the[0] fat[-1] ugly[-2] or[0] embarrassing[-2] people[0] he[0] meets[0] at[0] weddings[0] and[0] the[0] story[0] would[0] be[0] intact[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but sandler instead brings a mature goodness to the character . 	but sandler instead brings a mature goodness to the character .	3	-1	 but[0] sandler[0] instead[0] brings[0] a[0] mature[0] goodness[2] to[0] the[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he seems to really enjoy the people at weddings and treats them as though they were his own family . 	he seems to really enjoy the people at weddings and treats them as though they were his own family .	4	-1	 he[0] seems[0] to[0] really[0] enjoy[2][1 LastWordBoosterStrength] the[0] people[0] at[0] weddings[0] and[0] treats[0] them[0] as[0] though[0] they[0] were[0] his[0] own[0] family[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
robbie hart ( sandler ) doesn't just sing at weddings ; he also gets the loners to join in and have fun , and he smooths it over when someone does something embarrassing . 	robbie hart ( sandler ) doesn't just sing at weddings ; he also gets the loners to join in and have fun , and he smooths it over when someone does something embarrassing .	2	-3	 robbie[0] hart[0] sandler[0] doesn't[0] just[0] sing[0] at[0] weddings[0] he[0] also[0] gets[0] the[0] loners[-1] to[0] join[0] in[0] and[0] have[0] fun[1] and[0] he[0] smooths[0] it[0] over[0] when[0] someone[0] does[0] something[0] embarrassing[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he is exactly the man you would want at your wedding . 	he is exactly the man you would want at your wedding .	1	-1	 he[0] is[0] exactly[0] the[0] man[0] you[0] would[0] want[0] at[0] your[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the day comes when robbie has his own wedding , and he is stood up by his heavy-metal bride ( the movie is set in 1985 ) . 	the day comes when robbie has his own wedding , and he is stood up by his heavy-metal bride ( the movie is set in 1985 ) .	1	-1	 the[0] day[0] comes[0] when[0] robbie[0] has[0] his[0] own[0] wedding[0] and[0] he[0] is[0] stood[0] up[0] by[0] his[0] heavy[0] metal[0] bride[0] the[0] movie[0] is[0] set[0] in[0] 1985[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
robbie takes it hard . 	robbie takes it hard .	1	-1	 robbie[0] takes[0] it[0] hard[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he doesn't sleep , he doesn't eat , and he gets punched out at work when he sings " love stinks " at a wedding . 	he doesn't sleep , he doesn't eat , and he gets punched out at work when he sings " love stinks " at a wedding .	3	-3	 he[0] doesn't[0] sleep[0] he[0] doesn't[0] eat[0] and[0] he[0] gets[0] punched[-1] out[0] at[0] work[0] when[0] he[0] sings[0] love[2] stinks[-2] at[0] a[0] wedding[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
julia ( drew barrymore ) , who waitresses all the weddings in town , gives him a shoulder to cry on and an ear to talk to . 	julia ( drew barrymore ) , who waitresses all the weddings in town , gives him a shoulder to cry on and an ear to talk to .	1	-4	 julia[0] drew[0] barrymore[0] who[0] waitresses[0] all[0] the[0] weddings[0] in[0] town[0] gives[0] him[0] a[0] shoulder[0] to[0] cry[-3] on[0] and[0] an[0] ear[0] to[0] talk[0] to[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
eventually , robbie starts rebounding toward julia . 	eventually , robbie starts rebounding toward julia .	1	-1	 eventually[0] robbie[0] starts[0] rebounding[0] toward[0] julia[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he really likes her , but she's engaged . 	he really likes her , but she's engaged .	4	-1	 he[0] really[0] likes[2][1 LastWordBoosterStrength] her[0] but[0] she's[0] engaged[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
her fianc ? is a self-confident jerk ( do i see a trend - nope , just a formula ) who doesn't deserve her , but robbie is too depressed to fight for her hand . 	her fianc ?<br> is a self-confident jerk ( do i see a trend - nope , just a formula ) who doesn't deserve her , but robbie is too depressed to fight for her hand .	2	-4	 her[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] is[0] a[0] self[0] confident[1] jerk[-2] do[0] i[0] see[0] a[0] trend[0] nope[0] just[0] a[0] formula[0] who[0] doesn't[0] deserve[0] her[0] but[0] robbie[0] is[0] too[0] depressed[-3] to[0] fight[-2] for[0] her[0] hand[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
julia seems to like robbie too , but she can't leave her seemingly safe and stable fianc ? for the off-chance that robbie might be serious about her . 	julia seems to like robbie too , but she can't leave her seemingly safe and stable fianc ?<br> for the off-chance that robbie might be serious about her .	2	-2	 julia[0] seems[0] to[0] like[1] robbie[0] too[0] but[0] she[0] can't[0] leave[0] her[0] seemingly[0] safe[1] and[0] stable[-1] fianc[0] [[Sentence=-2,2=word max, 1-5]] for[0] the[0] off[0] chance[0] that[0] robbie[0] might[0] be[0] serious[-1] about[0] her[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
you know the story . 	you know the story .	1	-1	 you[0] know[0] the[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you've seen it a million times before . 	you've seen it a million times before .	1	-1	 you've[0] seen[0] it[0] a[0] million[0] times[0] before[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's always a new way to tell it , with new lovers , new chemistry , and new details , but it's the same story . 	there's always a new way to tell it , with new lovers , new chemistry , and new details , but it's the same story .	4	-1	 there's[0] always[0] a[0] new[0] way[0] to[0] tell[0] it[0] with[0] new[0] lovers[3] new[0] chemistry[0] and[0] new[0] details[0] but[0] it's[0] the[0] same[0] story[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
and sometimes , it works . 	and sometimes , it works .	1	-1	 and[0] sometimes[0] it[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wedding singer works . 	the wedding singer works .	1	-1	 the[0] wedding[0] singer[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
